Season,Date,Team,Opponent,OT
1996,1996-09-01,ARI,IND,0
1996,1996-09-01,ATL,CAR,0
1996,1996-09-01,BAL,OAK,0
1996,1996-09-01,BUF,NYG,1
1996,1996-09-01,CAR,ATL,0
1996,1996-09-01,CIN,STL,0
1996,1996-09-01,DEN,NYJ,0
1996,1996-09-01,DET,MIN,0
1996,1996-09-01,GB,TB,0
1996,1996-09-01,IND,ARI,0
1996,1996-09-01,JAX,PIT,0
1996,1996-09-01,KC,TEN,0
1996,1996-09-01,MIA,NE,0
1996,1996-09-01,MIN,DET,0
1996,1996-09-01,NE,MIA,0
1996,1996-09-01,NO,SF,0
1996,1996-09-01,NYG,BUF,1
1996,1996-09-01,NYJ,DEN,0
1996,1996-09-01,OAK,BAL,0
1996,1996-09-01,PHI,WAS,0
1996,1996-09-01,PIT,JAX,0
1996,1996-09-01,SD,SEA,0
1996,1996-09-01,SEA,SD,0
1996,1996-09-01,SF,NO,0
1996,1996-09-01,STL,CIN,0
1996,1996-09-01,TB,GB,0
1996,1996-09-01,TEN,KC,0
1996,1996-09-01,WAS,PHI,0
1996,1996-09-02,CHI,DAL,0
1996,1996-09-02,DAL,CHI,0
1996,1996-09-08,ARI,MIA,0
1996,1996-09-08,ATL,MIN,0
1996,1996-09-08,BAL,PIT,0
1996,1996-09-08,BUF,NE,0
1996,1996-09-08,CAR,NO,0
1996,1996-09-08,CHI,WAS,0
1996,1996-09-08,CIN,SD,0
1996,1996-09-08,DAL,NYG,0
1996,1996-09-08,DEN,SEA,0
1996,1996-09-08,DET,TB,0
1996,1996-09-08,IND,NYJ,0
1996,1996-09-08,JAX,TEN,0
1996,1996-09-08,KC,OAK,0
1996,1996-09-08,MIA,ARI,0
1996,1996-09-08,MIN,ATL,0
1996,1996-09-08,NE,BUF,0
1996,1996-09-08,NO,CAR,0
1996,1996-09-08,NYG,DAL,0
1996,1996-09-08,NYJ,IND,0
1996,1996-09-08,OAK,KC,0
1996,1996-09-08,PIT,BAL,0
1996,1996-09-08,SD,CIN,0
1996,1996-09-08,SEA,DEN,0
1996,1996-09-08,SF,STL,0
1996,1996-09-08,STL,SF,0
1996,1996-09-08,TB,DET,0
1996,1996-09-08,TEN,JAX,0
1996,1996-09-08,WAS,CHI,0
1996,1996-09-09,GB,PHI,0
1996,1996-09-09,PHI,GB,0
1996,1996-09-15,ARI,NE,0
1996,1996-09-15,BAL,TEN,0
1996,1996-09-15,CHI,MIN,0
1996,1996-09-15,CIN,NO,0
1996,1996-09-15,DAL,IND,0
1996,1996-09-15,DEN,TB,0
1996,1996-09-15,DET,PHI,0
1996,1996-09-15,GB,SD,0
1996,1996-09-15,IND,DAL,0
1996,1996-09-15,JAX,OAK,0
1996,1996-09-15,KC,SEA,0
1996,1996-09-15,MIA,NYJ,0
1996,1996-09-15,MIN,CHI,0
1996,1996-09-15,NE,ARI,0
1996,1996-09-15,NO,CIN,0
1996,1996-09-15,NYG,WAS,0
1996,1996-09-15,NYJ,MIA,0
1996,1996-09-15,OAK,JAX,0
1996,1996-09-15,PHI,DET,0
1996,1996-09-15,SD,GB,0
1996,1996-09-15,SEA,KC,0
1996,1996-09-15,TB,DEN,0
1996,1996-09-15,TEN,BAL,0
1996,1996-09-15,WAS,NYG,0
1996,1996-09-16,BUF,PIT,0
1996,1996-09-16,PIT,BUF,0
1996,1996-09-22,ARI,NO,0
1996,1996-09-22,ATL,PHI,0
1996,1996-09-22,BUF,DAL,0
1996,1996-09-22,CAR,SF,0
1996,1996-09-22,CHI,DET,0
1996,1996-09-22,DAL,BUF,0
1996,1996-09-22,DEN,KC,0
1996,1996-09-22,DET,CHI,0
1996,1996-09-22,GB,MIN,0
1996,1996-09-22,JAX,NE,1
1996,1996-09-22,KC,DEN,0
1996,1996-09-22,MIN,GB,0
1996,1996-09-22,NE,JAX,1
1996,1996-09-22,NO,ARI,0
1996,1996-09-22,NYG,NYJ,0
1996,1996-09-22,NYJ,NYG,0
1996,1996-09-22,OAK,SD,0
1996,1996-09-22,PHI,ATL,0
1996,1996-09-22,SD,OAK,0
1996,1996-09-22,SEA,TB,0
1996,1996-09-22,SF,CAR,0
1996,1996-09-22,STL,WAS,0
1996,1996-09-22,TB,SEA,0
1996,1996-09-22,WAS,STL,0
1996,1996-09-23,IND,MIA,0
1996,1996-09-23,MIA,IND,0
1996,1996-09-29,ARI,STL,1
1996,1996-09-29,ATL,SF,0
1996,1996-09-29,BAL,NO,0
1996,1996-09-29,CAR,JAX,0
1996,1996-09-29,CHI,OAK,0
1996,1996-09-29,CIN,DEN,0
1996,1996-09-29,DEN,CIN,0
1996,1996-09-29,DET,TB,0
1996,1996-09-29,GB,SEA,0
1996,1996-09-29,JAX,CAR,0
1996,1996-09-29,KC,SD,0
1996,1996-09-29,MIN,NYG,0
1996,1996-09-29,NO,BAL,0
1996,1996-09-29,NYG,MIN,0
1996,1996-09-29,NYJ,WAS,0
1996,1996-09-29,OAK,CHI,0
1996,1996-09-29,PIT,TEN,0
1996,1996-09-29,SD,KC,0
1996,1996-09-29,SEA,GB,0
1996,1996-09-29,SF,ATL,0
1996,1996-09-29,STL,ARI,1
1996,1996-09-29,TB,DET,0
1996,1996-09-29,TEN,PIT,0
1996,1996-09-29,WAS,NYJ,0
1996,1996-09-30,DAL,PHI,0
1996,1996-09-30,PHI,DAL,0
1996,1996-10-06,ATL,DET,0
1996,1996-10-06,BAL,NE,0
1996,1996-10-06,BUF,IND,1
1996,1996-10-06,CAR,MIN,0
1996,1996-10-06,CHI,GB,0
1996,1996-10-06,CIN,TEN,1
1996,1996-10-06,DEN,SD,0
1996,1996-10-06,DET,ATL,0
1996,1996-10-06,GB,CHI,0
1996,1996-10-06,IND,BUF,1
1996,1996-10-06,JAX,NO,0
1996,1996-10-06,MIA,SEA,0
1996,1996-10-06,MIN,CAR,0
1996,1996-10-06,NE,BAL,0
1996,1996-10-06,NO,JAX,0
1996,1996-10-06,NYJ,OAK,0
1996,1996-10-06,OAK,NYJ,0
1996,1996-10-06,SD,DEN,0
1996,1996-10-06,SEA,MIA,0
1996,1996-10-06,SF,STL,0
1996,1996-10-06,STL,SF,0
1996,1996-10-06,TEN,CIN,1
1996,1996-10-07,KC,PIT,0
1996,1996-10-07,PIT,KC,0
1996,1996-10-13,ARI,DAL,0
1996,1996-10-13,ATL,TEN,0
1996,1996-10-13,BAL,IND,0
1996,1996-10-13,BUF,MIA,0
1996,1996-10-13,CAR,STL,0
1996,1996-10-13,CHI,NO,0
1996,1996-10-13,CIN,PIT,0
1996,1996-10-13,DAL,ARI,0
1996,1996-10-13,DET,OAK,0
1996,1996-10-13,IND,BAL,0
1996,1996-10-13,JAX,NYJ,0
1996,1996-10-13,MIA,BUF,0
1996,1996-10-13,MIN,TB,0
1996,1996-10-13,NE,WAS,0
1996,1996-10-13,NO,CHI,0
1996,1996-10-13,NYG,PHI,0
1996,1996-10-13,NYJ,JAX,0
1996,1996-10-13,OAK,DET,0
1996,1996-10-13,PHI,NYG,0
1996,1996-10-13,PIT,CIN,0
1996,1996-10-13,STL,CAR,0
1996,1996-10-13,TB,MIN,0
1996,1996-10-13,TEN,ATL,0
1996,1996-10-13,WAS,NE,0
1996,1996-10-14,GB,SF,1
1996,1996-10-14,SF,GB,1
1996,1996-10-17,KC,SEA,0
1996,1996-10-17,SEA,KC,0
1996,1996-10-20,ARI,TB,0
1996,1996-10-20,ATL,DAL,0
1996,1996-10-20,BAL,DEN,0
1996,1996-10-20,BUF,NYJ,0
1996,1996-10-20,CAR,NO,0
1996,1996-10-20,CIN,SF,0
1996,1996-10-20,DAL,ATL,0
1996,1996-10-20,DEN,BAL,0
1996,1996-10-20,IND,NE,0
1996,1996-10-20,JAX,STL,0
1996,1996-10-20,MIA,PHI,0
1996,1996-10-20,NE,IND,0
1996,1996-10-20,NO,CAR,0
1996,1996-10-20,NYG,WAS,0
1996,1996-10-20,NYJ,BUF,0
1996,1996-10-20,PHI,MIA,0
1996,1996-10-20,PIT,TEN,0
1996,1996-10-20,SF,CIN,0
1996,1996-10-20,STL,JAX,0
1996,1996-10-20,TB,ARI,0
1996,1996-10-20,TEN,PIT,0
1996,1996-10-20,WAS,NYG,0
1996,1996-10-21,OAK,SD,0
1996,1996-10-21,SD,OAK,0
1996,1996-10-27,ARI,NYJ,0
1996,1996-10-27,ATL,PIT,0
1996,1996-10-27,BAL,STL,1
1996,1996-10-27,BUF,NE,0
1996,1996-10-27,CAR,PHI,0
1996,1996-10-27,CIN,JAX,0
1996,1996-10-27,DAL,MIA,0
1996,1996-10-27,DEN,KC,0
1996,1996-10-27,DET,NYG,0
1996,1996-10-27,GB,TB,0
1996,1996-10-27,IND,WAS,0
1996,1996-10-27,JAX,CIN,0
1996,1996-10-27,KC,DEN,0
1996,1996-10-27,MIA,DAL,0
1996,1996-10-27,NE,BUF,0
1996,1996-10-27,NYG,DET,0
1996,1996-10-27,NYJ,ARI,0
1996,1996-10-27,PHI,CAR,0
1996,1996-10-27,PIT,ATL,0
1996,1996-10-27,SD,SEA,0
1996,1996-10-27,SEA,SD,0
1996,1996-10-27,SF,TEN,0
1996,1996-10-27,STL,BAL,1
1996,1996-10-27,TB,GB,0
1996,1996-10-27,TEN,SF,0
1996,1996-10-27,WAS,IND,0
1996,1996-10-28,CHI,MIN,0
1996,1996-10-28,MIN,CHI,0
1996,1996-11-03,ARI,NYG,0
1996,1996-11-03,ATL,CAR,0
1996,1996-11-03,BAL,CIN,0
1996,1996-11-03,BUF,WAS,0
1996,1996-11-03,CAR,ATL,0
1996,1996-11-03,CHI,TB,0
1996,1996-11-03,CIN,BAL,0
1996,1996-11-03,DAL,PHI,0
1996,1996-11-03,DET,GB,0
1996,1996-11-03,GB,DET,0
1996,1996-11-03,IND,SD,0
1996,1996-11-03,KC,MIN,0
1996,1996-11-03,MIA,NE,0
1996,1996-11-03,MIN,KC,0
1996,1996-11-03,NE,MIA,0
1996,1996-11-03,NO,SF,0
1996,1996-11-03,NYG,ARI,0
1996,1996-11-03,PHI,DAL,0
1996,1996-11-03,PIT,STL,0
1996,1996-11-03,SD,IND,0
1996,1996-11-03,SEA,TEN,0
1996,1996-11-03,SF,NO,0
1996,1996-11-03,STL,PIT,0
1996,1996-11-03,TB,CHI,0
1996,1996-11-03,TEN,SEA,0
1996,1996-11-03,WAS,BUF,0
1996,1996-11-04,DEN,OAK,0
1996,1996-11-04,OAK,DEN,0
1996,1996-11-10,ARI,WAS,1
1996,1996-11-10,ATL,STL,0
1996,1996-11-10,BAL,JAX,0
1996,1996-11-10,BUF,PHI,0
1996,1996-11-10,CAR,NYG,0
1996,1996-11-10,CHI,DEN,0
1996,1996-11-10,CIN,PIT,0
1996,1996-11-10,DAL,SF,1
1996,1996-11-10,DEN,CHI,0
1996,1996-11-10,GB,KC,0
1996,1996-11-10,IND,MIA,0
1996,1996-11-10,JAX,BAL,0
1996,1996-11-10,KC,GB,0
1996,1996-11-10,MIA,IND,0
1996,1996-11-10,MIN,SEA,0
1996,1996-11-10,NE,NYJ,0
1996,1996-11-10,NO,TEN,0
1996,1996-11-10,NYG,CAR,0
1996,1996-11-10,NYJ,NE,0
1996,1996-11-10,OAK,TB,1
1996,1996-11-10,PHI,BUF,0
1996,1996-11-10,PIT,CIN,0
1996,1996-11-10,SEA,MIN,0
1996,1996-11-10,SF,DAL,1
1996,1996-11-10,STL,ATL,0
1996,1996-11-10,TB,OAK,1
1996,1996-11-10,TEN,NO,0
1996,1996-11-10,WAS,ARI,1
1996,1996-11-11,DET,SD,0
1996,1996-11-11,SD,DET,0
1996,1996-11-17,ARI,NYG,0
1996,1996-11-17,ATL,NO,0
1996,1996-11-17,BAL,SF,0
1996,1996-11-17,BUF,CIN,0
1996,1996-11-17,CAR,STL,0
1996,1996-11-17,CHI,KC,0
1996,1996-11-17,CIN,BUF,0
1996,1996-11-17,DEN,NE,0
1996,1996-11-17,DET,SEA,0
1996,1996-11-17,IND,NYJ,0
1996,1996-11-17,JAX,PIT,0
1996,1996-11-17,KC,CHI,0
1996,1996-11-17,MIA,TEN,0
1996,1996-11-17,MIN,OAK,1
1996,1996-11-17,NE,DEN,0
1996,1996-11-17,NO,ATL,0
1996,1996-11-17,NYG,ARI,0
1996,1996-11-17,NYJ,IND,0
1996,1996-11-17,OAK,MIN,1
1996,1996-11-17,PHI,WAS,0
1996,1996-11-17,PIT,JAX,0
1996,1996-11-17,SD,TB,0
1996,1996-11-17,SEA,DET,0
1996,1996-11-17,SF,BAL,0
1996,1996-11-17,STL,CAR,0
1996,1996-11-17,TB,SD,0
1996,1996-11-17,TEN,MIA,0
1996,1996-11-17,WAS,PHI,0
1996,1996-11-18,DAL,GB,0
1996,1996-11-18,GB,DAL,0
1996,1996-11-24,ARI,PHI,0
1996,1996-11-24,ATL,CIN,0
1996,1996-11-24,BAL,JAX,1
1996,1996-11-24,BUF,NYJ,0
1996,1996-11-24,CAR,TEN,0
1996,1996-11-24,CHI,DET,0
1996,1996-11-24,CIN,ATL,0
1996,1996-11-24,DAL,NYG,0
1996,1996-11-24,DEN,MIN,0
1996,1996-11-24,DET,CHI,0
1996,1996-11-24,GB,STL,0
1996,1996-11-24,IND,NE,0
1996,1996-11-24,JAX,BAL,1
1996,1996-11-24,KC,SD,0
1996,1996-11-24,MIN,DEN,0
1996,1996-11-24,NE,IND,0
1996,1996-11-24,NO,TB,0
1996,1996-11-24,NYG,DAL,0
1996,1996-11-24,NYJ,BUF,0
1996,1996-11-24,OAK,SEA,0
1996,1996-11-24,PHI,ARI,0
1996,1996-11-24,SD,KC,0
1996,1996-11-24,SEA,OAK,0
1996,1996-11-24,SF,WAS,1
1996,1996-11-24,STL,GB,0
1996,1996-11-24,TB,NO,0
1996,1996-11-24,TEN,CAR,0
1996,1996-11-24,WAS,SF,1
1996,1996-11-25,MIA,PIT,0
1996,1996-11-25,PIT,MIA,0
1996,1996-11-28,DAL,WAS,0
1996,1996-11-28,DET,KC,0
1996,1996-11-28,KC,DET,0
1996,1996-11-28,WAS,DAL,0
1996,1996-12-01,ARI,MIN,0
1996,1996-12-01,BAL,PIT,0
1996,1996-12-01,BUF,IND,1
1996,1996-12-01,CAR,TB,0
1996,1996-12-01,CHI,GB,0
1996,1996-12-01,CIN,JAX,0
1996,1996-12-01,DEN,SEA,0
1996,1996-12-01,GB,CHI,0
1996,1996-12-01,IND,BUF,1
1996,1996-12-01,JAX,CIN,0
1996,1996-12-01,MIA,OAK,0
1996,1996-12-01,MIN,ARI,0
1996,1996-12-01,NE,SD,0
1996,1996-12-01,NO,STL,0
1996,1996-12-01,NYG,PHI,0
1996,1996-12-01,NYJ,TEN,0
1996,1996-12-01,OAK,MIA,0
1996,1996-12-01,PHI,NYG,0
1996,1996-12-01,PIT,BAL,0
1996,1996-12-01,SD,NE,0
1996,1996-12-01,SEA,DEN,0
1996,1996-12-01,STL,NO,0
1996,1996-12-01,TB,CAR,0
1996,1996-12-01,TEN,NYJ,0
1996,1996-12-02,ATL,SF,0
1996,1996-12-02,SF,ATL,0
1996,1996-12-05,IND,PHI,0
1996,1996-12-05,PHI,IND,0
1996,1996-12-08,ARI,DAL,0
1996,1996-12-08,ATL,NO,0
1996,1996-12-08,BAL,CIN,0
1996,1996-12-08,BUF,SEA,0
1996,1996-12-08,CAR,SF,0
1996,1996-12-08,CHI,STL,0
1996,1996-12-08,CIN,BAL,0
1996,1996-12-08,DAL,ARI,0
1996,1996-12-08,DEN,GB,0
1996,1996-12-08,DET,MIN,0
1996,1996-12-08,GB,DEN,0
1996,1996-12-08,JAX,TEN,0
1996,1996-12-08,MIA,NYG,0
1996,1996-12-08,MIN,DET,0
1996,1996-12-08,NE,NYJ,0
1996,1996-12-08,NO,ATL,0
1996,1996-12-08,NYG,MIA,0
1996,1996-12-08,NYJ,NE,0
1996,1996-12-08,PIT,SD,0
1996,1996-12-08,SD,PIT,0
1996,1996-12-08,SEA,BUF,0
1996,1996-12-08,SF,CAR,0
1996,1996-12-08,STL,CHI,0
1996,1996-12-08,TB,WAS,0
1996,1996-12-08,TEN,JAX,0
1996,1996-12-08,WAS,TB,0
1996,1996-12-09,KC,OAK,0
1996,1996-12-09,OAK,KC,0
1996,1996-12-14,CHI,SD,0
1996,1996-12-14,NYJ,PHI,0
1996,1996-12-14,PHI,NYJ,0
1996,1996-12-14,SD,CHI,0
1996,1996-12-15,ARI,WAS,0
1996,1996-12-15,ATL,STL,0
1996,1996-12-15,BAL,CAR,0
1996,1996-12-15,CAR,BAL,0
1996,1996-12-15,CIN,TEN,0
1996,1996-12-15,DAL,NE,0
1996,1996-12-15,DEN,OAK,0
1996,1996-12-15,DET,GB,0
1996,1996-12-15,GB,DET,0
1996,1996-12-15,IND,KC,0
1996,1996-12-15,JAX,SEA,0
1996,1996-12-15,KC,IND,0
1996,1996-12-15,MIN,TB,0
1996,1996-12-15,NE,DAL,0
1996,1996-12-15,NO,NYG,0
1996,1996-12-15,NYG,NO,0
1996,1996-12-15,OAK,DEN,0
1996,1996-12-15,PIT,SF,0
1996,1996-12-15,SEA,JAX,0
1996,1996-12-15,SF,PIT,0
1996,1996-12-15,STL,ATL,0
1996,1996-12-15,TB,MIN,0
1996,1996-12-15,TEN,CIN,0
1996,1996-12-15,WAS,ARI,0
1996,1996-12-16,BUF,MIA,0
1996,1996-12-16,MIA,BUF,0
1996,1996-12-21,NE,NYG,0
1996,1996-12-21,NO,STL,0
1996,1996-12-21,NYG,NE,0
1996,1996-12-21,STL,NO,0
1996,1996-12-22,ARI,PHI,0
1996,1996-12-22,ATL,JAX,0
1996,1996-12-22,BAL,TEN,0
1996,1996-12-22,BUF,KC,0
1996,1996-12-22,CAR,PIT,0
1996,1996-12-22,CHI,TB,0
1996,1996-12-22,CIN,IND,0
1996,1996-12-22,DAL,WAS,0
1996,1996-12-22,DEN,SD,0
1996,1996-12-22,GB,MIN,0
1996,1996-12-22,IND,CIN,0
1996,1996-12-22,JAX,ATL,0
1996,1996-12-22,KC,BUF,0
1996,1996-12-22,MIA,NYJ,0
1996,1996-12-22,MIN,GB,0
1996,1996-12-22,NYJ,MIA,0
1996,1996-12-22,OAK,SEA,0
1996,1996-12-22,PHI,ARI,0
1996,1996-12-22,PIT,CAR,0
1996,1996-12-22,SD,DEN,0
1996,1996-12-22,SEA,OAK,0
1996,1996-12-22,TB,CHI,0
1996,1996-12-22,TEN,BAL,0
1996,1996-12-22,WAS,DAL,0
1996,1996-12-23,DET,SF,0
1996,1996-12-23,SF,DET,0
1996,1996-12-28,BUF,JAX,0
1996,1996-12-28,DAL,MIN,0
1996,1996-12-28,JAX,BUF,0
1996,1996-12-28,MIN,DAL,0
1996,1996-12-29,IND,PIT,0
1996,1996-12-29,PHI,SF,0
1996,1996-12-29,PIT,IND,0
1996,1996-12-29,SF,PHI,0
1996,1997-01-04,DEN,JAX,0
1996,1997-01-04,GB,SF,0
1996,1997-01-04,JAX,DEN,0
1996,1997-01-04,SF,GB,0
1996,1997-01-05,CAR,DAL,0
1996,1997-01-05,DAL,CAR,0
1996,1997-01-05,NE,PIT,0
1996,1997-01-05,PIT,NE,0
1996,1997-01-12,CAR,GB,0
1996,1997-01-12,GB,CAR,0
1996,1997-01-12,JAX,NE,0
1996,1997-01-12,NE,JAX,0
1996,1997-01-26,GB,NE,0
1996,1997-01-26,NE,GB,0
1997,1997-08-31,ARI,CIN,0
1997,1997-08-31,ATL,DET,0
1997,1997-08-31,BAL,JAX,0
1997,1997-08-31,BUF,MIN,0
1997,1997-08-31,CAR,WAS,0
1997,1997-08-31,CIN,ARI,0
1997,1997-08-31,DAL,PIT,0
1997,1997-08-31,DEN,KC,0
1997,1997-08-31,DET,ATL,0
1997,1997-08-31,IND,MIA,0
1997,1997-08-31,JAX,BAL,0
1997,1997-08-31,KC,DEN,0
1997,1997-08-31,MIA,IND,0
1997,1997-08-31,MIN,BUF,0
1997,1997-08-31,NE,SD,0
1997,1997-08-31,NO,STL,0
1997,1997-08-31,NYG,PHI,0
1997,1997-08-31,NYJ,SEA,0
1997,1997-08-31,OAK,TEN,1
1997,1997-08-31,PHI,NYG,0
1997,1997-08-31,PIT,DAL,0
1997,1997-08-31,SD,NE,0
1997,1997-08-31,SEA,NYJ,0
1997,1997-08-31,SF,TB,0
1997,1997-08-31,STL,NO,0
1997,1997-08-31,TB,SF,0
1997,1997-08-31,TEN,OAK,1
1997,1997-08-31,WAS,CAR,0
1997,1997-09-01,CHI,GB,0
1997,1997-09-01,GB,CHI,0
1997,1997-09-07,ARI,DAL,1
1997,1997-09-07,ATL,CAR,0
1997,1997-09-07,BAL,CIN,0
1997,1997-09-07,BUF,NYJ,0
1997,1997-09-07,CAR,ATL,0
1997,1997-09-07,CHI,MIN,0
1997,1997-09-07,CIN,BAL,0
1997,1997-09-07,DAL,ARI,1
1997,1997-09-07,DEN,SEA,0
1997,1997-09-07,DET,TB,0
1997,1997-09-07,GB,PHI,0
1997,1997-09-07,IND,NE,0
1997,1997-09-07,JAX,NYG,0
1997,1997-09-07,MIA,TEN,1
1997,1997-09-07,MIN,CHI,0
1997,1997-09-07,NE,IND,0
1997,1997-09-07,NO,SD,0
1997,1997-09-07,NYG,JAX,0
1997,1997-09-07,NYJ,BUF,0
1997,1997-09-07,PHI,GB,0
1997,1997-09-07,PIT,WAS,0
1997,1997-09-07,SD,NO,0
1997,1997-09-07,SEA,DEN,0
1997,1997-09-07,SF,STL,0
1997,1997-09-07,STL,SF,0
1997,1997-09-07,TB,DET,0
1997,1997-09-07,TEN,MIA,1
1997,1997-09-07,WAS,PIT,0
1997,1997-09-08,KC,OAK,0
1997,1997-09-08,OAK,KC,0
1997,1997-09-14,ARI,WAS,1
1997,1997-09-14,ATL,OAK,0
1997,1997-09-14,BAL,NYG,0
1997,1997-09-14,BUF,KC,0
1997,1997-09-14,CAR,SD,0
1997,1997-09-14,CHI,DET,0
1997,1997-09-14,DEN,STL,0
1997,1997-09-14,DET,CHI,0
1997,1997-09-14,GB,MIA,0
1997,1997-09-14,IND,SEA,0
1997,1997-09-14,KC,BUF,0
1997,1997-09-14,MIA,GB,0
1997,1997-09-14,MIN,TB,0
1997,1997-09-14,NE,NYJ,1
1997,1997-09-14,NO,SF,0
1997,1997-09-14,NYG,BAL,0
1997,1997-09-14,NYJ,NE,1
1997,1997-09-14,OAK,ATL,0
1997,1997-09-14,SD,CAR,0
1997,1997-09-14,SEA,IND,0
1997,1997-09-14,SF,NO,0
1997,1997-09-14,STL,DEN,0
1997,1997-09-14,TB,MIN,0
1997,1997-09-14,WAS,ARI,0
1997,1997-09-15,DAL,PHI,0
1997,1997-09-15,PHI,DAL,0
1997,1997-09-21,ATL,SF,0
1997,1997-09-21,BAL,TEN,0
1997,1997-09-21,BUF,IND,0
1997,1997-09-21,CAR,KC,0
1997,1997-09-21,CHI,NE,0
1997,1997-09-21,CIN,DEN,0
1997,1997-09-21,DEN,CIN,0
1997,1997-09-21,DET,NO,0
1997,1997-09-21,GB,MIN,0
1997,1997-09-21,IND,BUF,0
1997,1997-09-21,KC,CAR,0
1997,1997-09-21,MIA,TB,0
1997,1997-09-21,MIN,GB,0
1997,1997-09-21,NE,CHI,0
1997,1997-09-21,NO,DET,0
1997,1997-09-21,NYG,STL,0
1997,1997-09-21,NYJ,OAK,0
1997,1997-09-21,OAK,NYJ,0
1997,1997-09-21,SD,SEA,0
1997,1997-09-21,SEA,SD,0
1997,1997-09-21,SF,ATL,0
1997,1997-09-21,STL,NYG,0
1997,1997-09-21,TB,MIA,0
1997,1997-09-21,TEN,BAL,0
1997,1997-09-22,JAX,PIT,0
1997,1997-09-22,PIT,JAX,0
1997,1997-09-28,ARI,TB,0
1997,1997-09-28,ATL,DEN,0
1997,1997-09-28,BAL,SD,0
1997,1997-09-28,CHI,DAL,0
1997,1997-09-28,CIN,NYJ,0
1997,1997-09-28,DAL,CHI,0
1997,1997-09-28,DEN,ATL,0
1997,1997-09-28,DET,GB,0
1997,1997-09-28,GB,DET,0
1997,1997-09-28,JAX,WAS,0
1997,1997-09-28,KC,SEA,1
1997,1997-09-28,MIN,PHI,0
1997,1997-09-28,NO,NYG,0
1997,1997-09-28,NYG,NO,0
1997,1997-09-28,NYJ,CIN,0
1997,1997-09-28,OAK,STL,0
1997,1997-09-28,PHI,MIN,0
1997,1997-09-28,PIT,TEN,0
1997,1997-09-28,SD,BAL,0
1997,1997-09-28,SEA,KC,1
1997,1997-09-28,STL,OAK,0
1997,1997-09-28,TB,ARI,0
1997,1997-09-28,TEN,PIT,0
1997,1997-09-28,WAS,JAX,0
1997,1997-09-29,CAR,SF,0
1997,1997-09-29,SF,CAR,0
1997,1997-10-05,ARI,MIN,0
1997,1997-10-05,BAL,PIT,0
1997,1997-10-05,BUF,DET,0
1997,1997-10-05,CHI,NO,0
1997,1997-10-05,CIN,JAX,0
1997,1997-10-05,DAL,NYG,0
1997,1997-10-05,DET,BUF,0
1997,1997-10-05,GB,TB,0
1997,1997-10-05,IND,NYJ,0
1997,1997-10-05,JAX,CIN,0
1997,1997-10-05,KC,MIA,0
1997,1997-10-05,MIA,KC,0
1997,1997-10-05,MIN,ARI,0
1997,1997-10-05,NO,CHI,0
1997,1997-10-05,NYG,DAL,0
1997,1997-10-05,NYJ,IND,0
1997,1997-10-05,OAK,SD,0
1997,1997-10-05,PHI,WAS,0
1997,1997-10-05,PIT,BAL,0
1997,1997-10-05,SD,OAK,0
1997,1997-10-05,SEA,TEN,0
1997,1997-10-05,TB,GB,0
1997,1997-10-05,TEN,SEA,0
1997,1997-10-05,WAS,PHI,0
1997,1997-10-06,DEN,NE,0
1997,1997-10-06,NE,DEN,0
1997,1997-10-12,ARI,NYG,0
1997,1997-10-12,ATL,NO,0
1997,1997-10-12,BUF,NE,0
1997,1997-10-12,CAR,MIN,0
1997,1997-10-12,CHI,GB,0
1997,1997-10-12,CIN,TEN,0
1997,1997-10-12,DET,TB,0
1997,1997-10-12,GB,CHI,0
1997,1997-10-12,IND,PIT,0
1997,1997-10-12,JAX,PHI,0
1997,1997-10-12,MIA,NYJ,0
1997,1997-10-12,MIN,CAR,0
1997,1997-10-12,NE,BUF,0
1997,1997-10-12,NO,ATL,0
1997,1997-10-12,NYG,ARI,0
1997,1997-10-12,NYJ,MIA,0
1997,1997-10-12,PHI,JAX,0
1997,1997-10-12,PIT,IND,0
1997,1997-10-12,SF,STL,0
1997,1997-10-12,STL,SF,0
1997,1997-10-12,TB,DET,0
1997,1997-10-12,TEN,CIN,0
1997,1997-10-13,DAL,WAS,0
1997,1997-10-13,WAS,DAL,0
1997,1997-10-16,KC,SD,0
1997,1997-10-16,SD,KC,0
1997,1997-10-19,ARI,PHI,1
1997,1997-10-19,ATL,SF,0
1997,1997-10-19,BAL,MIA,0
1997,1997-10-19,CAR,NO,0
1997,1997-10-19,CIN,PIT,0
1997,1997-10-19,DAL,JAX,0
1997,1997-10-19,DEN,OAK,0
1997,1997-10-19,DET,NYG,1
1997,1997-10-19,JAX,DAL,0
1997,1997-10-19,MIA,BAL,0
1997,1997-10-19,NE,NYJ,0
1997,1997-10-19,NO,CAR,0
1997,1997-10-19,NYG,DET,1
1997,1997-10-19,NYJ,NE,0
1997,1997-10-19,OAK,DEN,0
1997,1997-10-19,PHI,ARI,1
1997,1997-10-19,PIT,CIN,0
1997,1997-10-19,SEA,STL,0
1997,1997-10-19,SF,ATL,0
1997,1997-10-19,STL,SEA,0
1997,1997-10-19,TEN,WAS,0
1997,1997-10-19,WAS,TEN,0
1997,1997-10-20,BUF,IND,0
1997,1997-10-20,IND,BUF,0
1997,1997-10-26,ARI,TEN,0
1997,1997-10-26,ATL,CAR,0
1997,1997-10-26,BAL,WAS,0
1997,1997-10-26,BUF,DEN,1
