week,type,round,team,opponent,home_away,pre_rating,opp_pre_rating,expected_win_pct,points_for,points_against,ot,mov,result,mov_mult,keff,rating_change,post_rating
1,R,RS,CAR,ATL,H,1500,1482.9100342341976,0.5784967523447427,29,6,0,23,1.0,1.8068305082139833,22.44,17.089965765802354,1517.0899657658024
1,R,RS,ATL,CAR,A,1500,1517.0899657658024,0.42150324765525726,6,29,0,-23,0.0,1.8068305082139833,22.44,-17.089965765802354,1482.9100342341976
1,R,RS,STL,CIN,H,1500,1491.251686469638,0.5784967523447427,26,16,0,10,1.0,1.0377516162719296,20,8.748313530362212,1508.748313530362
1,R,RS,CIN,STL,A,1500,1508.748313530362,0.42150324765525726,16,26,0,-10,0.0,1.0377516162719296,20,-8.748313530362212,1491.251686469638
1,R,RS,IND,ARI,H,1500,1492.9079848045244,0.5784967523447427,20,13,0,7,1.0,0.8412764593069244,20,7.092015195475691,1507.0920151954756
1,R,RS,ARI,IND,A,1500,1507.0920151954756,0.42150324765525726,13,20,0,-7,0.0,0.8412764593069244,20,-7.092015195475691,1492.9079848045244
1,R,RS,MIN,DET,H,1500,1494.0180752376923,0.5784967523447427,17,13,0,4,1.0,0.6324368525071156,22.44,5.981924762307792,1505.9819247623077
1,R,RS,DET,MIN,A,1500,1505.9819247623077,0.42150324765525726,13,17,0,-4,0.0,0.6324368525071156,22.44,-5.981924762307792,1494.0180752376923
1,R,RS,JAX,PIT,H,1500,1487.2655404438165,0.5784967523447427,24,9,0,15,1.0,1.3463461745354397,22.44,12.734459556183598,1512.7344595561835
1,R,RS,PIT,JAX,A,1500,1512.7344595561835,0.42150324765525726,9,24,0,-15,0.0,1.3463461745354397,22.44,-12.734459556183598,1487.2655404438165
1,R,RS,TEN,KC,H,1500,1504.7699938849355,0.5784967523447427,19,20,0,-1,0.0,0.40419108440277285,20.4,-4.769993884935559,1495.2300061150645
1,R,RS,KC,TEN,A,1500,1495.2300061150645,0.42150324765525726,20,19,0,1,1.0,0.40419108440277285,20.4,4.769993884935559,1504.7699938849355
1,R,RS,WAS,PHI,H,1500,1507.2574410133807,0.5784967523447427,14,17,0,-3,0.0,0.5590616950172634,22.44,-7.2574410133805936,1492.7425589866193
1,R,RS,PHI,WAS,A,1500,1492.7425589866193,0.42150324765525726,17,14,0,3,1.0,0.5590616950172634,22.44,7.2574410133805936,1507.2574410133807
1,R,RS,BAL,OAK,H,1500,1493.9487956576904,0.5784967523447427,19,14,0,5,1.0,0.7037375524122104,20.4,6.051204342309653,1506.0512043423096
1,R,RS,OAK,BAL,A,1500,1506.0512043423096,0.42150324765525726,14,19,0,-5,0.0,0.7037375524122104,20.4,-6.051204342309653,1493.9487956576904
1,R,RS,DEN,NYJ,H,1500,1483.5147227966388,0.5784967523447427,31,6,0,25,1.0,1.9171900292334567,20.4,16.485277203361264,1516.4852772033612
1,R,RS,NYJ,DEN,A,1500,1516.4852772033612,0.42150324765525726,6,31,0,-25,0.0,1.9171900292334567,20.4,-16.485277203361264,1483.5147227966388
1,R,RS,TB,GB,H,1500,1529.0700412487845,0.5784967523447427,3,34,0,-31,0.0,2.2393494490417982,22.44,-29.070041248784417,1470.9299587512155
1,R,RS,GB,TB,A,1500,1470.9299587512155,0.42150324765525726,34,3,0,31,1.0,2.2393494490417982,22.44,29.070041248784417,1529.0700412487845
1,R,RS,MIA,NE,H,1500,1487.834732822688,0.5784967523447427,24,10,0,14,1.0,1.2861685141889152,22.44,12.16526717731195,1512.165267177312
1,R,RS,NE,MIA,A,1500,1512.165267177312,0.42150324765525726,10,24,0,-14,0.0,1.2861685141889152,22.44,-12.16526717731195,1487.834732822688
1,R,RS,SF,NO,H,1500,1486.7026409629145,0.5784967523447427,27,11,0,16,1.0,1.4058585204984977,22.44,13.297359037085432,1513.2973590370855
1,R,RS,NO,SF,A,1500,1513.2973590370855,0.42150324765525726,11,27,0,-16,0.0,1.4058585204984977,22.44,-13.297359037085432,1486.7026409629145
1,R,RS,SD,SEA,H,1500,1483.437933605789,0.5784967523447427,29,7,0,22,1.0,1.7510185362691784,22.44,16.562066394210785,1516.562066394211
1,R,RS,SEA,SD,A,1500,1516.562066394211,0.42150324765525726,7,29,0,-22,0.0,1.7510185362691784,22.44,-16.562066394210785,1483.437933605789
1,R,RS,NYG,BUF,H,1500,1504.5278152489898,0.5784967523447427,20,23,1,-3,0.0,0.3913431865120844,20,-4.5278152489896755,1495.4721847510102
1,R,RS,BUF,NYG,A,1500,1495.4721847510102,0.42150324765525726,23,20,1,3,1.0,0.3913431865120844,20,4.5278152489896755,1504.5278152489898
1,R,RS,CHI,DAL,H,1500,1487.911491784468,0.5784967523447427,22,6,0,16,1.0,1.4058585204984977,20.4,12.088508215532208,1512.088508215532
