Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
2015-09-10,2015,R,RS,NE,PIT,H,28,21,0
2015-09-10,2015,R,RS,PIT,NE,A,21,28,0
2015-09-13,2015,R,RS,GB,CHI,A,31,23,0
2015-09-13,2015,R,RS,CHI,GB,H,23,31,0
2015-09-13,2015,R,RS,STL,SEA,H,34,31,1
2015-09-13,2015,R,RS,SEA,STL,A,31,34,1
2015-09-13,2015,R,RS,KC,HOU,A,27,20,0
2015-09-13,2015,R,RS,HOU,KC,H,20,27,0
2015-09-13,2015,R,RS,MIA,WAS,A,17,10,0
2015-09-13,2015,R,RS,WAS,MIA,H,10,17,0
2015-09-13,2015,R,RS,BUF,IND,H,27,14,0
2015-09-13,2015,R,RS,IND,BUF,A,14,27,0
2015-09-13,2015,R,RS,CAR,JAX,A,20,9,0
2015-09-13,2015,R,RS,JAX,CAR,H,9,20,0
2015-09-13,2015,R,RS,NYJ,CLE,H,31,10,0
2015-09-13,2015,R,RS,CLE,NYJ,A,10,31,0
2015-09-13,2015,R,RS,ARI,NO,H,31,19,0
2015-09-13,2015,R,RS,NO,ARI,A,19,31,0
2015-09-13,2015,R,RS,SD,DET,H,33,28,0
2015-09-13,2015,R,RS,DET,SD,A,28,33,0
2015-09-13,2015,R,RS,CIN,OAK,A,33,13,0
2015-09-13,2015,R,RS,OAK,CIN,H,13,33,0
2015-09-13,2015,R,RS,DEN,BAL,H,19,13,0
2015-09-13,2015,R,RS,BAL,DEN,A,13,19,0
2015-09-13,2015,R,RS,TEN,TB,A,42,14,0
2015-09-13,2015,R,RS,TB,TEN,H,14,42,0
2015-09-13,2015,R,RS,DAL,NYG,H,27,26,0
2015-09-13,2015,R,RS,NYG,DAL,A,26,27,0
2015-09-14,2015,R,RS,ATL,PHI,H,26,24,0
2015-09-14,2015,R,RS,PHI,ATL,A,24,26,0
2015-09-14,2015,R,RS,SF,MIN,H,20,3,0
2015-09-14,2015,R,RS,MIN,SF,A,3,20,0
2015-09-17,2015,R,RS,DEN,KC,A,31,24,0
2015-09-17,2015,R,RS,KC,DEN,H,24,31,0
2015-09-20,2015,R,RS,ARI,CHI,A,48,23,0
2015-09-20,2015,R,RS,CHI,ARI,H,23,48,0
2015-09-20,2015,R,RS,ATL,NYG,A,24,20,0
2015-09-20,2015,R,RS,NYG,ATL,H,20,24,0
2015-09-20,2015,R,RS,NE,BUF,A,40,32,0
2015-09-20,2015,R,RS,BUF,NE,H,32,40,0
2015-09-20,2015,R,RS,CAR,HOU,H,24,17,0
2015-09-20,2015,R,RS,HOU,CAR,A,17,24,0
2015-09-20,2015,R,RS,CLE,TEN,H,28,14,0
2015-09-20,2015,R,RS,TEN,CLE,A,14,28,0
2015-09-20,2015,R,RS,TB,NO,A,26,19,0
2015-09-20,2015,R,RS,NO,TB,H,19,26,0
2015-09-20,2015,R,RS,PIT,SF,H,43,18,0
2015-09-20,2015,R,RS,SF,PIT,A,18,43,0
2015-09-20,2015,R,RS,CIN,SD,H,24,19,0
2015-09-20,2015,R,RS,SD,CIN,A,19,24,0
2015-09-20,2015,R,RS,MIN,DET,H,26,16,0
2015-09-20,2015,R,RS,DET,MIN,A,16,26,0
2015-09-20,2015,R,RS,WAS,STL,H,24,10,0
2015-09-20,2015,R,RS,STL,WAS,A,10,24,0
2015-09-20,2015,R,RS,JAX,MIA,H,23,20,0
2015-09-20,2015,R,RS,MIA,JAX,A,20,23,0
2015-09-20,2015,R,RS,OAK,BAL,H,37,33,0
2015-09-20,2015,R,RS,BAL,OAK,A,33,37,0
2015-09-20,2015,R,RS,DAL,PHI,A,20,10,0
2015-09-20,2015,R,RS,PHI,DAL,H,10,20,0
2015-09-20,2015,R,RS,GB,SEA,H,27,17,0
2015-09-20,2015,R,RS,SEA,GB,A,17,27,0
2015-09-21,2015,R,RS,NYJ,IND,A,20,7,0
2015-09-21,2015,R,RS,IND,NYJ,H,7,20,0
2015-09-24,2015,R,RS,NYG,WAS,H,32,21,0
2015-09-24,2015,R,RS,WAS,NYG,A,21,32,0
2015-09-27,2015,R,RS,PIT,STL,A,12,6,0
2015-09-27,2015,R,RS,STL,PIT,H,6,12,0
2015-09-27,2015,R,RS,CIN,BAL,A,28,24,0
2015-09-27,2015,R,RS,BAL,CIN,H,24,28,0
2015-09-27,2015,R,RS,OAK,CLE,A,27,20,0
2015-09-27,2015,R,RS,CLE,OAK,H,20,27,0
2015-09-27,2015,R,RS,MIN,SD,H,31,14,0
2015-09-27,2015,R,RS,SD,MIN,A,14,31,0
2015-09-27,2015,R,RS,ATL,DAL,A,39,28,0
2015-09-27,2015,R,RS,DAL,ATL,H,28,39,0
2015-09-27,2015,R,RS,CAR,NO,H,27,22,0
2015-09-27,2015,R,RS,NO,CAR,A,22,27,0
2015-09-27,2015,R,RS,IND,TEN,A,35,33,0
2015-09-27,2015,R,RS,TEN,IND,H,33,35,0
2015-09-27,2015,R,RS,HOU,TB,H,19,9,0
2015-09-27,2015,R,RS,TB,HOU,A,9,19,0
2015-09-27,2015,R,RS,PHI,NYJ,A,24,17,0
2015-09-27,2015,R,RS,NYJ,PHI,H,17,24,0
2015-09-27,2015,R,RS,NE,JAX,H,51,17,0
2015-09-27,2015,R,RS,JAX,NE,A,17,51,0
2015-09-27,2015,R,RS,ARI,SF,H,47,7,0
2015-09-27,2015,R,RS,SF,ARI,A,7,47,0
2015-09-27,2015,R,RS,BUF,MIA,A,41,14,0
2015-09-27,2015,R,RS,MIA,BUF,H,14,41,0
2015-09-27,2015,R,RS,SEA,CHI,H,26,0,0
2015-09-27,2015,R,RS,CHI,SEA,A,0,26,0
2015-09-27,2015,R,RS,DEN,DET,A,24,12,0
2015-09-27,2015,R,RS,DET,DEN,H,12,24,0
2015-09-28,2015,R,RS,GB,KC,H,38,28,0
2015-09-28,2015,R,RS,KC,GB,A,28,38,0
2015-10-01,2015,R,RS,BAL,PIT,A,23,20,1
2015-10-01,2015,R,RS,PIT,BAL,H,20,23,1
2015-10-04,2015,R,RS,NYJ,MIA,A,27,14,0
2015-10-04,2015,R,RS,MIA,NYJ,H,14,27,0
2015-10-04,2015,R,RS,ATL,HOU,H,48,21,0
2015-10-04,2015,R,RS,HOU,ATL,A,21,48,0
2015-10-04,2015,R,RS,NYG,BUF,A,24,10,0
2015-10-04,2015,R,RS,BUF,NYG,H,10,24,0
2015-10-04,2015,R,RS,CHI,OAK,H,22,20,0
2015-10-04,2015,R,RS,OAK,CHI,A,20,22,0
2015-10-04,2015,R,RS,IND,JAX,H,16,13,1
2015-10-04,2015,R,RS,JAX,IND,A,13,16,1
2015-10-04,2015,R,RS,CAR,TB,A,37,23,0
2015-10-04,2015,R,RS,TB,CAR,H,23,37,0
2015-10-04,2015,R,RS,CIN,KC,H,36,21,0
2015-10-04,2015,R,RS,KC,CIN,A,21,36,0
2015-10-04,2015,R,RS,WAS,PHI,H,23,20,0
2015-10-04,2015,R,RS,PHI,WAS,A,20,23,0
2015-10-04,2015,R,RS,SD,CLE,H,30,27,0
2015-10-04,2015,R,RS,CLE,SD,A,27,30,0
2015-10-04,2015,R,RS,STL,ARI,A,24,22,0
2015-10-04,2015,R,RS,ARI,STL,H,22,24,0
2015-10-04,2015,R,RS,DEN,MIN,H,23,20,0
2015-10-04,2015,R,RS,MIN,DEN,A,20,23,0
2015-10-04,2015,R,RS,GB,SF,A,17,3,0
2015-10-04,2015,R,RS,SF,GB,H,3,17,0
2015-10-04,2015,R,RS,NO,DAL,H,26,20,1
2015-10-04,2015,R,RS,DAL,NO,A,20,26,1
2015-10-05,2015,R,RS,SEA,DET,H,13,10,0
2015-10-05,2015,R,RS,DET,SEA,A,10,13,0
2015-10-08,2015,R,RS,IND,HOU,A,27,20,0
2015-10-08,2015,R,RS,HOU,IND,H,20,27,0
