Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
1997-08-31,1997,R,RS,DET,ATL,H,28,17,0
1997-08-31,1997,R,RS,ATL,DET,A,17,28,0
1997-08-31,1997,R,RS,MIN,BUF,A,34,13,0
1997-08-31,1997,R,RS,BUF,MIN,H,13,34,0
1997-08-31,1997,R,RS,CIN,ARI,H,24,21,0
1997-08-31,1997,R,RS,ARI,CIN,A,21,24,0
1997-08-31,1997,R,RS,MIA,IND,H,16,10,0
1997-08-31,1997,R,RS,IND,MIA,A,10,16,0
1997-08-31,1997,R,RS,DAL,PIT,A,37,7,0
1997-08-31,1997,R,RS,PIT,DAL,H,7,37,0
1997-08-31,1997,R,RS,STL,NO,H,38,24,0
1997-08-31,1997,R,RS,NO,STL,A,24,38,0
1997-08-31,1997,R,RS,NE,SD,H,41,7,0
1997-08-31,1997,R,RS,SD,NE,A,7,41,0
1997-08-31,1997,R,RS,NYG,PHI,H,31,17,0
1997-08-31,1997,R,RS,PHI,NYG,A,17,31,0
1997-08-31,1997,R,RS,TEN,OAK,H,24,21,1
1997-08-31,1997,R,RS,OAK,TEN,A,21,24,1
1997-08-31,1997,R,RS,DEN,KC,H,19,3,0
1997-08-31,1997,R,RS,KC,DEN,A,3,19,0
1997-08-31,1997,R,RS,JAX,BAL,A,28,27,0
1997-08-31,1997,R,RS,BAL,JAX,H,27,28,0
1997-08-31,1997,R,RS,NYJ,SEA,A,41,3,0
1997-08-31,1997,R,RS,SEA,NYJ,H,3,41,0
1997-08-31,1997,R,RS,TB,SF,H,13,6,0
1997-08-31,1997,R,RS,SF,TB,A,6,13,0
1997-08-31,1997,R,RS,WAS,CAR,A,24,10,0
1997-08-31,1997,R,RS,CAR,WAS,H,10,24,0
1997-09-01,1997,R,RS,GB,CHI,H,38,24,0
1997-09-01,1997,R,RS,CHI,GB,A,24,38,0
1997-09-07,1997,R,RS,CAR,ATL,A,9,6,0
1997-09-07,1997,R,RS,ATL,CAR,H,6,9,0
1997-09-07,1997,R,RS,BUF,NYJ,A,28,22,0
1997-09-07,1997,R,RS,NYJ,BUF,H,22,28,0
1997-09-07,1997,R,RS,MIN,CHI,A,27,24,0
1997-09-07,1997,R,RS,CHI,MIN,H,24,27,0
1997-09-07,1997,R,RS,BAL,CIN,H,23,10,0
1997-09-07,1997,R,RS,CIN,BAL,A,10,23,0
1997-09-07,1997,R,RS,NE,IND,A,31,6,0
1997-09-07,1997,R,RS,IND,NE,H,6,31,0
1997-09-07,1997,R,RS,TB,DET,A,24,17,0
1997-09-07,1997,R,RS,DET,TB,H,17,24,0
1997-09-07,1997,R,RS,MIA,TEN,H,16,13,1
1997-09-07,1997,R,RS,TEN,MIA,A,13,16,1
1997-09-07,1997,R,RS,SD,NO,A,20,6,0
1997-09-07,1997,R,RS,NO,SD,H,6,20,0
1997-09-07,1997,R,RS,PIT,WAS,H,14,13,0
1997-09-07,1997,R,RS,WAS,PIT,A,13,14,0
