date,season,type,round,home_team,away_team,home_pts,away_pts,expected_win,result,accuracy,brier,log_loss
1997-08-02,1997,R,,CLE,SAC,72,51,0.7856,1.0,1,0.046,0.2414
1997-08-02,1997,R,,NYL,PHX,80,70,0.7201,1.0,1,0.0783,0.3283
1997-08-02,1997,R,,UTA,HOU,74,63,0.415,1.0,0,0.3422,0.8795
1997-08-03,1997,R,,LAS,CHA,70,77,0.5755,0.0,0,0.3312,0.8568
1997-08-04,1997,R,,PHX,SAC,83,60,0.7431,1.0,1,0.066,0.2969
1997-08-04,1997,R,,UTA,CHA,73,70,0.471,1.0,0,0.2798,0.7528
1997-08-05,1997,R,,CLE,HOU,66,76,0.5898,0.0,0,0.3479,0.8912
1997-08-05,1997,R,,NYL,LAS,50,67,0.7627,0.0,0,0.5817,1.4385
1997-08-06,1997,R,,PHX,UTA,78,46,0.7344,1.0,1,0.0706,0.3087
1997-08-06,1997,R,,SAC,CHA,77,64,0.436,1.0,0,0.3181,0.8301
1997-08-07,1997,R,,CLE,LAS,84,87,0.6582,0.0,0,0.4333,1.0736
1997-08-07,1997,R,,HOU,PHX,74,70,0.7083,1.0,1,0.0851,0.3449
1997-08-08,1997,R,,SAC,UTA,93,78,0.6174,1.0,1,0.1464,0.4822
1997-08-09,1997,R,,CHA,PHX,79,59,0.6317,1.0,1,0.1357,0.4594
1997-08-09,1997,R,,HOU,LAS,72,71,0.7122,1.0,1,0.0829,0.3395
1997-08-10,1997,R,,SAC,NYL,76,69,0.3749,1.0,0,0.3908,0.9812
1997-08-11,1997,R,,CHA,HOU,62,72,0.5316,0.0,0,0.2826,0.7585
1997-08-11,1997,R,,UTA,CLE,59,74,0.4258,0.0,1,0.1813,0.5547
1997-08-12,1997,R,,HOU,UTA,76,56,0.8429,1.0,1,0.0247,0.1709
1997-08-12,1997,R,,PHX,NYL,77,67,0.5812,1.0,1,0.1754,0.5427
1997-08-12,1997,R,,SAC,CLE,81,76,0.5013,1.0,1,0.2487,0.6905
1997-08-14,1997,R,,CHA,SAC,68,51,0.729,1.0,1,0.0735,0.3161
1997-08-14,1997,R,,PHX,CLE,61,55,0.61,1.0,1,0.1521,0.4943
1997-08-15,1997,R,,NYL,SAC,79,63,0.7839,1.0,1,0.0467,0.2434
1997-08-16,1997,R,,CHA,HOU,80,71,0.4567,1.0,0,0.2952,0.7838
1997-08-16,1997,R,,UTA,LAS,64,74,0.4038,0.0,1,0.163,0.5171
1997-08-17,1997,R,,CLE,CHA,81,49,0.6406,1.0,1,0.1292,0.4453
1997-08-17,1997,R,,NYL,HOU,55,70,0.5796,0.0,0,0.3359,0.8666
1997-08-17,1997,R,,PHX,UTA,71,63,0.8194,1.0,1,0.0326,0.1992
1997-08-18,1997,R,,LAS,PHX,75,66,0.6224,1.0,1,0.1426,0.4741
1997-08-19,1997,R,,HOU,CHA,77,69,0.7302,1.0,1,0.0728,0.3144
1997-08-19,1997,R,,UTA,NYL,81,75,0.3965,1.0,0,0.3643,0.9252
1997-08-20,1997,R,,LAS,NYL,78,76,0.6415,1.0,1,0.1285,0.444
1997-08-20,1997,R,,SAC,PHX,54,69,0.5354,0.0,0,0.2867,0.7666
1997-08-21,1997,R,,HOU,CLE,75,76,0.6836,0.0,0,0.4673,1.1507
1997-08-21,1997,R,,UTA,CHA,56,66,0.438,0.0,1,0.1918,0.5762
1997-08-22,1997,R,,LAS,SAC,88,77,0.757,1.0,1,0.0591,0.2784
1997-08-22,1997,R,,PHX,CHA,78,63,0.6553,1.0,1,0.1188,0.4227
1997-08-23,1997,R,,CLE,NYL,72,71,0.6267,1.0,1,0.1393,0.4672
1997-08-24,1997,R,,CHA,UTA,70,52,0.7641,1.0,1,0.0556,0.2691
1997-08-24,1997,R,,HOU,SAC,58,68,0.8447,0.0,0,0.7134,1.8621
1997-08-24,1997,R,,NYL,CLE,79,72,0.5747,1.0,1,0.1809,0.5539
1997-08-24,1997,R,,PHX,LAS,73,68,0.6308,1.0,1,0.1363,0.4608
1997-08-28,1997,P,1.0,HOU,CHA,70,54,0.7064,1.0,1,0.0862,0.3475
1997-08-28,1997,P,1.0,PHX,NYL,41,59,0.6572,0.0,0,0.4319,1.0706
1997-08-30,1997,P,2.0,HOU,NYL,65,51,0.6907,1.0,1,0.0956,0.37
1998-06-11,1998,R,,CHA,WAS,83,57,0.6234,1.0,1,0.1418,0.4725
1998-06-11,1998,R,,CLE,NYL,78,71,0.623,1.0,1,0.1422,0.4733
1998-06-11,1998,R,,SAC,PHX,70,73,0.5331,0.0,0,0.2842,0.7617
1998-06-11,1998,R,,UTA,LAS,83,89,0.4848,0.0,1,0.235,0.6632
1998-06-13,1998,R,,DET,CHA,69,78,0.6162,0.0,0,0.3796,0.9575
1998-06-13,1998,R,,HOU,NYL,73,62,0.7064,1.0,1,0.0862,0.3476
1998-06-13,1998,R,,UTA,WAS,78,77,0.5123,1.0,1,0.2378,0.6688
1998-06-14,1998,R,,PHX,LAS,70,60,0.6178,1.0,1,0.146,0.4815
1998-06-15,1998,R,,CHA,HOU,65,79,0.5692,0.0,0,0.324,0.8422
1998-06-15,1998,R,,DET,CLE,85,96,0.5151,0.0,0,0.2653,0.7238
1998-06-15,1998,R,,PHX,WAS,69,54,0.6669,1.0,1,0.1109,0.4051
1998-06-15,1998,R,,UTA,NYL,71,60,0.5,1.0,1,0.25,0.6931
1998-06-16,1998,R,,SAC,LAS,73,69,0.5669,1.0,1,0.1875,0.5675
1998-06-18,1998,R,,CHA,DET,71,67,0.6755,1.0,1,0.1053,0.3923
1998-06-18,1998,R,,HOU,CLE,87,69,0.6754,1.0,1,0.1054,0.3925
1998-06-18,1998,R,,SAC,NYL,48,64,0.5446,0.0,0,0.2965,0.7865
1998-06-19,1998,R,,LAS,NYL,78,75,0.6634,1.0,1,0.1133,0.4104
1998-06-19,1998,R,,WAS,UTA,85,76,0.6731,1.0,1,0.1069,0.3959
1998-06-20,1998,R,,CLE,DET,68,66,0.6992,1.0,1,0.0905,0.3578
1998-06-20,1998,R,,SAC,HOU,68,79,0.3968,0.0,1,0.1575,0.5055
1998-06-21,1998,R,,LAS,HOU,63,79,0.5147,0.0,0,0.265,0.7231
1998-06-21,1998,R,,NYL,UTA,68,64,0.7174,1.0,1,0.0799,0.3322
1998-06-21,1998,R,,PHX,CHA,71,72,0.6852,0.0,0,0.4695,1.1557
1998-06-21,1998,R,,WAS,DET,57,70,0.6589,0.0,0,0.4341,1.0755
1998-06-22,1998,R,,CLE,UTA,88,72,0.778,1.0,1,0.0493,0.251
1998-06-23,1998,R,,DET,SAC,61,57,0.6678,1.0,1,0.1104,0.4038
1998-06-23,1998,R,,NYL,CLE,59,57,0.5902,1.0,1,0.1679,0.5273
1998-06-24,1998,R,,LAS,CHA,73,77,0.572,0.0,0,0.3272,0.8487
1998-06-24,1998,R,,PHX,HOU,69,66,0.4995,1.0,0,0.2505,0.6941
1998-06-25,1998,R,,DET,WAS,79,71,0.6111,1.0,1,0.1513,0.4925
1998-06-25,1998,R,,UTA,CHA,83,91,0.4787,0.0,1,0.2291,0.6513
1998-06-26,1998,R,,NYL,SAC,62,48,0.7293,1.0,1,0.0733,0.3157
1998-06-26,1998,R,,PHX,UTA,96,63,0.7978,1.0,1,0.0409,0.2259
1998-06-27,1998,R,,CHA,SAC,58,50,0.7958,1.0,1,0.0417,0.2285
1998-06-27,1998,R,,CLE,DET,73,84,0.71,0.0,0,0.5041,1.238
1998-06-27,1998,R,,HOU,LAS,75,64,0.7642,1.0,1,0.0556,0.2689
1998-06-28,1998,R,,WAS,PHX,69,86,0.5061,0.0,0,0.2562,0.7055
1998-06-29,1998,R,,DET,CHA,60,49,0.5586,1.0,1,0.1948,0.5823
1998-06-29,1998,R,,HOU,WAS,73,48,0.8308,1.0,1,0.0286,0.1853
1998-06-29,1998,R,,NYL,PHX,71,68,0.6014,1.0,1,0.1588,0.5084
1998-06-30,1998,R,,SAC,LAS,58,56,0.5173,1.0,1,0.233,0.6592
1998-06-30,1998,R,,UTA,HOU,73,75,0.3473,0.0,1,0.1206,0.4266
1998-07-01,1998,R,,DET,NYL,82,65,0.6177,1.0,1,0.1461,0.4817
1998-07-01,1998,R,,WAS,CLE,80,92,0.4523,0.0,1,0.2045,0.6019
1998-07-02,1998,R,,CLE,PHX,61,76,0.536,0.0,0,0.2872,0.7678
1998-07-02,1998,R,,LAS,UTA,57,58,0.7272,0.0,0,0.5288,1.2989
1998-07-03,1998,R,,HOU,SAC,84,67,0.8411,1.0,1,0.0253,0.1731
1998-07-03,1998,R,,NYL,WAS,76,60,0.7322,1.0,1,0.0717,0.3117
1998-07-04,1998,R,,CHA,PHX,68,66,0.6273,1.0,1,0.1389,0.4664
1998-07-05,1998,R,,SAC,UTA,70,66,0.6168,1.0,1,0.1468,0.4832
1998-07-05,1998,R,,WAS,NYL,61,62,0.4694,0.0,1,0.2203,0.6337
1998-07-06,1998,R,,CLE,HOU,64,78,0.4799,0.0,1,0.2303,0.6536
1998-07-06,1998,R,,NYL,DET,59,56,0.5605,1.0,1,0.1932,0.579
1998-07-06,1998,R,,UTA,SAC,68,64,0.5799,1.0,1,0.1765,0.5449
1998-07-07,1998,R,,LAS,CHA,86,79,0.5465,1.0,1,0.2056,0.6042
1998-07-08,1998,R,,CLE,WAS,77,65,0.7161,1.0,1,0.0806,0.3339
1998-07-08,1998,R,,DET,PHX,76,78,0.5208,0.0,0,0.2713,0.7357
1998-07-08,1998,R,,LAS,SAC,71,76,0.6791,0.0,0,0.4612,1.1368
1998-07-08,1998,R,,NYL,HOU,54,79,0.4658,0.0,1,0.217,0.627
1998-07-08,1998,R,,UTA,CHA,69,77,0.4402,0.0,1,0.1938,0.5802
1998-07-09,1998,R,,HOU,DET,96,66,0.7794,1.0,1,0.0487,0.2492
1998-07-10,1998,R,,PHX,CLE,76,60,0.7013,1.0,1,0.0892,0.3549
1998-07-10,1998,R,,SAC,CHA,55,63,0.4417,0.0,1,0.1951,0.5829
1998-07-11,1998,R,,HOU,UTA,72,68,0.876,1.0,1,0.0154,0.1324
1998-07-11,1998,R,,WAS,DET,78,53,0.4857,1.0,0,0.2645,0.7222
1998-07-12,1998,R,,LAS,CLE,87,66,0.6125,1.0,1,0.1501,0.4901
1998-07-12,1998,R,,NYL,CHA,57,75,0.6045,0.0,0,0.3654,0.9275
1998-07-13,1998,R,,HOU,WAS,81,67,0.8696,1.0,1,0.017,0.1397
1998-07-13,1998,R,,PHX,LAS,72,62,0.7809,1.0,1,0.048,0.2474
1998-07-13,1998,R,,UTA,DET,67,74,0.4689,0.0,1,0.2199,0.6329
1998-07-14,1998,R,,SAC,CLE,58,61,0.5645,0.0,0,0.3187,0.8314
1998-07-15,1998,R,,CHA,NYL,72,65,0.7176,1.0,1,0.0798,0.3319
1998-07-15,1998,R,,LAS,SAC,81,76,0.719,1.0,1,0.079,0.33
1998-07-15,1998,R,,PHX,DET,73,60,0.7218,1.0,1,0.0774,0.3261
1998-07-16,1998,R,,CLE,NYL,60,51,0.6441,1.0,1,0.1267,0.4399
1998-07-17,1998,R,,CHA,WAS,86,56,0.7783,1.0,1,0.0491,0.2506
1998-07-17,1998,R,,DET,UTA,79,67,0.7252,1.0,1,0.0755,0.3213
1998-07-17,1998,R,,LAS,HOU,68,74,0.309,0.0,1,0.0955,0.3695
1998-07-18,1998,R,,DET,CLE,72,57,0.5954,1.0,1,0.1637,0.5184
1998-07-18,1998,R,,PHX,NYL,63,69,0.7672,0.0,0,0.5886,1.4576
1998-07-18,1998,R,,SAC,HOU,44,75,0.2929,0.0,1,0.0858,0.3466
1998-07-19,1998,R,,CLE,CHA,85,69,0.4587,1.0,0,0.293,0.7793
1998-07-19,1998,R,,WAS,UTA,88,99,0.6638,0.0,0,0.4406,1.0899
1998-07-20,1998,R,,PHX,SAC,88,67,0.8243,1.0,1,0.0309,0.1932
1998-07-21,1998,R,,LAS,NYL,77,92,0.6016,0.0,0,0.3619,0.9202
1998-07-21,1998,R,,PHX,HOU,62,65,0.4333,0.0,1,0.1877,0.5679
1998-07-21,1998,R,,WAS,CHA,67,84,0.3615,0.0,1,0.1307,0.4487
1998-07-22,1998,R,,CHA,UTA,58,61,0.8053,0.0,0,0.6486,1.6364
1998-07-22,1998,R,,DET,WAS,76,61,0.806,1.0,1,0.0376,0.2157
1998-07-23,1998,R,,LAS,PHX,70,68,0.4439,1.0,0,0.3092,0.812
1998-07-24,1998,R,,SAC,NYL,54,76,0.4625,0.0,1,0.214,0.6209
1998-07-25,1998,R,,CHA,HOU,58,67,0.4326,0.0,1,0.1871,0.5666
1998-07-25,1998,R,,CLE,UTA,69,59,0.7824,1.0,1,0.0473,0.2454
1998-07-25,1998,R,,DET,LAS,69,67,0.7129,1.0,1,0.0824,0.3384
1998-07-26,1998,R,,NYL,DET,78,62,0.6473,1.0,1,0.1244,0.4349
1998-07-26,1998,R,,WAS,SAC,65,79,0.6652,0.0,0,0.4424,1.0941
1998-07-27,1998,R,,CHA,SAC,70,76,0.8269,0.0,0,0.6838,1.7539
