--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Nov 1 1946,New York Knicks,68,Toronto Huskies,66,Box Score,,,,Maple Leaf Gardens,
Sat Nov 2 1946,New York Knicks,47,Chicago Stags,63,Box Score,,,,Chicago Stadium,
Sat Nov 2 1946,Pittsburgh Ironmen,51,St. Louis Bombers,56,Box Score,,,,St. Louis Arena,
Sat Nov 2 1946,Washington Capitols,50,Detroit Falcons,33,Box Score,,,,Detroit Olympia,
Sat Nov 2 1946,Boston Celtics,53,Providence Steamrollers,59,Box Score,,,,Rhode Island Auditorium,
Sun Nov 3 1946,Toronto Huskies,60,Cleveland Rebels,71,Box Score,,,,Cleveland Arena,
Mon Nov 4 1946,Washington Capitols,71,Pittsburgh Ironmen,56,Box Score,,,,Duquesne Gardens,
Tue Nov 5 1946,Chicago Stags,57,Boston Celtics,55,Box Score,,4329,,Boston Arena,
Tue Nov 5 1946,St. Louis Bombers,53,Detroit Falcons,49,Box Score,,,,Detroit Olympia,
Thu Nov 7 1946,Pittsburgh Ironmen,75,Philadelphia Warriors,81,Box Score,,,,Philadelphia Arena,
Thu Nov 7 1946,Chicago Stags,65,Providence Steamrollers,73,Box Score,,,,Rhode Island Auditorium,
Thu Nov 7 1946,New York Knicks,68,St. Louis Bombers,63,Box Score,,,,St. Louis Arena,
Fri Nov 8 1946,Detroit Falcons,71,Toronto Huskies,73,Box Score,,,,Maple Leaf Gardens,
Sat Nov 9 1946,Toronto Huskies,54,Chicago Stags,62,Box Score,,,,Chicago Stadium,
Sat Nov 9 1946,Boston Celtics,46,Detroit Falcons,69,Box Score,,3262,,Detroit Olympia,
Sat Nov 9 1946,Pittsburgh Ironmen,66,Providence Steamrollers,76,Box Score,,,,Rhode Island Auditorium,
Sat Nov 9 1946,Washington Capitols,69,St. Louis Bombers,70,Box Score,,,,St. Louis Arena,
Sun Nov 10 1946,Washington Capitols,68,Cleveland Rebels,92,Box Score,,,,Cleveland Arena,
Mon Nov 11 1946,Chicago Stags,78,New York Knicks,68,Box Score,OT,,,Madison Square Garden (III),
Mon Nov 11 1946,Providence Steamrollers,71,Pittsburgh Ironmen,84,Box Score,,,,Duquesne Gardens,
Wed Nov 13 1946,Boston Celtics,61,Chicago Stags,71,Box Score,,4876,,Chicago Stadium,
Wed Nov 13 1946,Providence Steamrollers,70,Detroit Falcons,68,Box Score,,,,Detroit Olympia,
Thu Nov 14 1946,Washington Capitols,65,Philadelphia Warriors,68,Box Score,,,,Philadelphia Arena,
Thu Nov 14 1946,Boston Celtics,62,St. Louis Bombers,64,Box Score,OT,,,St. Louis Arena,
Fri Nov 15 1946,Providence Steamrollers,68,Toronto Huskies,85,Box Score,,,,Maple Leaf Gardens,
Sat Nov 16 1946,Toronto Huskies,49,Boston Celtics,53,Box Score,,5176,,Boston Garden,
Sat Nov 16 1946,Washington Capitols,73,Chicago Stags,65,Box Score,,,,Chicago Stadium,
Sat Nov 16 1946,Pittsburgh Ironmen,62,New York Knicks,64,Box Score,OT,,,Madison Square Garden (III),
Sat Nov 16 1946,Detroit Falcons,70,Providence Steamrollers,59,Box Score,,,,Rhode Island Auditorium,
Sat Nov 16 1946,Cleveland Rebels,74,St. Louis Bombers,83,Box Score,OT,,,St. Louis Arena,
Sun Nov 17 1946,Chicago Stags,78,Cleveland Rebels,76,Box Score,,,,Cleveland Arena,
Mon Nov 18 1946,Toronto Huskies,48,Pittsburgh Ironmen,54,Box Score,,,,Duquesne Gardens,
Mon Nov 18 1946,Detroit Falcons,57,New York Knicks,61,Box Score,,,,Madison Square Garden (III),
Tue Nov 19 1946,St. Louis Bombers,66,Philadelphia Warriors,63,Box Score,,,,Philadelphia Arena,
Tue Nov 19 1946,Cleveland Rebels,74,Toronto Huskies,72,Box Score,,,,Maple Leaf Gardens,
Wed Nov 20 1946,Pittsburgh Ironmen,54,Detroit Falcons,53,Box Score,,,,Detroit Olympia,
Wed Nov 20 1946,Chicago Stags,69,New York Knicks,72,Box Score,,,,Madison Square Garden (III),
Wed Nov 20 1946,St. Louis Bombers,51,Washington Capitols,54,Box Score,,,,Uline Arena,
Thu Nov 21 1946,St. Louis Bombers,65,Boston Celtics,53,Box Score,,3636,,Boston Garden,
Thu Nov 21 1946,Chicago Stags,65,Philadelphia Warriors,63,Box Score,,,,Philadelphia Arena,
Thu Nov 21 1946,Washington Capitols,66,Providence Steamrollers,58,Box Score,,,,Rhode Island Auditorium,
Fri Nov 22 1946,Boston Celtics,82,Toronto Huskies,83,Box Score,OT,4500,,Maple Leaf Gardens,
Sat Nov 23 1946,Boston Celtics,46,Detroit Falcons,54,Box Score,,2297,,Detroit Olympia,
Sat Nov 23 1946,Cleveland Rebels,76,New York Knicks,82,Box Score,OT,,,Madison Square Garden (III),
Sat Nov 23 1946,St. Louis Bombers,65,Providence Steamrollers,59,Box Score,,,,Rhode Island Auditorium,
Sat Nov 23 1946,Toronto Huskies,50,Washington Capitols,74,Box Score,,,,Uline Arena,
Sun Nov 24 1946,Detroit Falcons,68,Chicago Stags,55,Box Score,,,,Chicago Stadium,
Sun Nov 24 1946,Pittsburgh Ironmen,60,Cleveland Rebels,62,Box Score,,,,Cleveland Arena,
Mon Nov 25 1946,Providence Steamrollers,71,Boston Celtics,59,Box Score,,2867,,Boston Garden,
Mon Nov 25 1946,New York Knicks,62,Pittsburgh Ironmen,46,Box Score,,,,Duquesne Gardens,
Tue Nov 26 1946,Cleveland Rebels,46,Detroit Falcons,66,Box Score,,,,Detroit Olympia,
Tue Nov 26 1946,Boston Celtics,54,Philadelphia Warriors,66,Box Score,,2066,,Philadelphia Arena,
Tue Nov 26 1946,Washington Capitols,78,Toronto Huskies,68,Box Score,,,,Maple Leaf Gardens,
Wed Nov 27 1946,St. Louis Bombers,60,New York Knicks,67,Box Score,,,,Madison Square Garden (III),
Wed Nov 27 1946,Cleveland Rebels,60,Pittsburgh Ironmen,62,Box Score,,,,Duquesne Gardens,
Wed Nov 27 1946,Chicago Stags,67,Washington Capitols,75,Box Score,,,,Uline Arena,
Thu Nov 28 1946,Pittsburgh Ironmen,55,Boston Celtics,59,Box Score,,3138,,Boston Garden,
Thu Nov 28 1946,St. Louis Bombers,75,Chicago Stags,72,Box Score,,,,Chicago Stadium,
Thu Nov 28 1946,Detroit Falcons,68,Philadelphia Warriors,55,Box Score,,,,Philadelphia Arena,
Thu Nov 28 1946,New York Knicks,60,Providence Steamrollers,58,Box Score,,,,Rhode Island Auditorium,
Fri Nov 29 1946,Cleveland Rebels,87,Toronto Huskies,72,Box Score,,,,Maple Leaf Gardens,
Sat Nov 30 1946,Philadelphia Warriors,60,New York Knicks,64,Box Score,OT,,,69th Regiment Armory,
Sat Nov 30 1946,Toronto Huskies,65,Providence Steamrollers,79,Box Score,,,,Rhode Island Auditorium,
Sat Nov 30 1946,Detroit Falcons,57,St. Louis Bombers,60,Box Score,OT,,,St. Louis Arena,
Sat Nov 30 1946,Pittsburgh Ironmen,40,Washington Capitols,49,Box Score,,,,Uline Arena,
Sun Dec 1 1946,Detroit Falcons,47,Cleveland Rebels,49,Box Score,,,,Cleveland Arena,
Sun Dec 1 1946,Boston Celtics,56,Chicago Stags,66,Box Score,,3000,,Chicago Stadium,
Mon Dec 2 1946,Boston Celtics,46,Pittsburgh Ironmen,44,Box Score,,300,,Duquesne Gardens,
Tue Dec 3 1946,Providence Steamrollers,68,Philadelphia Warriors,76,Box Score,,,,Philadelphia Arena,
Wed Dec 4 1946,Detroit Falcons,57,New York Knicks,70,Box Score,,,,Madison Square Garden (III),
Wed Dec 4 1946,Chicago Stags,57,Pittsburgh Ironmen,46,Box Score,,,,Duquesne Gardens,
Wed Dec 4 1946,Providence Steamrollers,62,Washington Capitols,80,Box Score,,,,Uline Arena,
Thu Dec 5 1946,Detroit Falcons,65,Boston Celtics,61,Box Score,,2509,,Boston Garden,
