--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Oct 29 1949,Denver Nuggets,85,Tri-Cities Blackhawks,93,Box Score,,,,Wharton Field House,
Tue Nov 1 1949,New York Knicks,89,Chicago Stags,87,Box Score,OT,,,Chicago Stadium,
Tue Nov 1 1949,Denver Nuggets,64,Indianapolis Olympians,71,Box Score,,,,Hinkle Fieldhouse,
Tue Nov 1 1949,Sheboygan Red Skins,75,Rochester Royals,108,Box Score,,,,Edgerton Park Arena,
Tue Nov 1 1949,Tri-Cities Blackhawks,51,St. Louis Bombers,72,Box Score,,,,Chicago Stadium,at Chicago IL
Wed Nov 2 1949,Minneapolis Lakers,81,Philadelphia Warriors,69,Box Score,,,,Philadelphia Arena,
Wed Nov 2 1949,New York Knicks,68,Waterloo Hawks,60,Box Score,,,,McElroy Auditorium,
Wed Nov 2 1949,Baltimore Bullets,61,Washington Capitols,66,Box Score,,,,Uline Arena,
Thu Nov 3 1949,Tri-Cities Blackhawks,87,Anderson Packers,110,Box Score,,,,Anderson High School Wigwam,
Thu Nov 3 1949,St. Louis Bombers,81,Baltimore Bullets,65,Box Score,,,,Baltimore Coliseum,
Thu Nov 3 1949,New York Knicks,72,Fort Wayne Pistons,87,Box Score,,,,North Side High School Gym,
Thu Nov 3 1949,Boston Celtics,83,Sheboygan Red Skins,98,Box Score,,2200,,Sheboygan Municipal Auditorium and Armory,
Thu Nov 3 1949,Denver Nuggets,58,Syracuse Nationals,78,Box Score,,,,State Fair Coliseum,
Fri Nov 4 1949,St. Louis Bombers,58,Philadelphia Warriors,79,Box Score,,,,Philadelphia Arena,
Sat Nov 5 1949,Minneapolis Lakers,92,Baltimore Bullets,77,Box Score,,,,Baltimore Coliseum,
Sat Nov 5 1949,Boston Celtics,70,Chicago Stags,86,Box Score,,7975,,Chicago Stadium,
Sat Nov 5 1949,Syracuse Nationals,84,Denver Nuggets,51,Box Score,,,,East High School Gymnasium,at Auburn NY
Sat Nov 5 1949,Philadelphia Warriors,53,Rochester Royals,83,Box Score,,,,Edgerton Park Arena,
Sat Nov 5 1949,New York Knicks,76,Tri-Cities Blackhawks,72,Box Score,,,,Wharton Field House,
Sat Nov 5 1949,St. Louis Bombers,69,Washington Capitols,81,Box Score,,,,Uline Arena,
Sun Nov 6 1949,Chicago Stags,70,Fort Wayne Pistons,87,Box Score,,,,North Side High School Gym,
Sun Nov 6 1949,New York Knicks,93,Sheboygan Red Skins,99,Box Score,,,,Sheboygan Municipal Auditorium and Armory,
Sun Nov 6 1949,Philadelphia Warriors,72,Syracuse Nationals,82,Box Score,,,,State Fair Coliseum,
Sun Nov 6 1949,Boston Celtics,66,Waterloo Hawks,80,Box Score,,3586,,McElroy Auditorium,
Tue Nov 8 1949,St. Louis Bombers,62,Anderson Packers,70,Box Score,,,,Civic Hall Gymnasium,at Richmond IN
Tue Nov 8 1949,New York Knicks,79,Indianapolis Olympians,64,Box Score,,,,Hinkle Fieldhouse,
Tue Nov 8 1949,Minneapolis Lakers,68,Washington Capitols,66,Box Score,,,,Uline Arena,
Wed Nov 9 1949,Tri-Cities Blackhawks,99,Anderson Packers,102,Box Score,3OT,,,Chicago Stadium,at Chicago IL
Wed Nov 9 1949,Rochester Royals,72,Chicago Stags,75,Box Score,OT,,,Chicago Stadium,
Wed Nov 9 1949,Washington Capitols,84,Philadelphia Warriors,69,Box Score,,,,Philadelphia Arena,
Wed Nov 9 1949,Indianapolis Olympians,73,Syracuse Nationals,103,Box Score,,,,State Fair Coliseum,
Wed Nov 9 1949,Denver Nuggets,65,Waterloo Hawks,80,Box Score,,,,McElroy Auditorium,
Thu Nov 10 1949,Washington Capitols,88,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Thu Nov 10 1949,Minneapolis Lakers,98,Boston Celtics,84,Box Score,,6024,,Boston Garden,
Thu Nov 10 1949,Denver Nuggets,53,Chicago Stags,64,Box Score,,,,St. Louis Arena,at St. Louis MO
Thu Nov 10 1949,Waterloo Hawks,59,Fort Wayne Pistons,89,Box Score,,,,North Side High School Gym,
