--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Nov 21 1953,Philadelphia Warriors,103,Baltimore Bullets,83,Box Score,,,,Reynolds Coliseum,at Raleigh NC
Sun Nov 22 1953,Rochester Royals,82,Fort Wayne Pistons,83,Box Score,,,,War Memorial Coliseum,
Sun Nov 22 1953,Minneapolis Lakers,57,Milwaukee Hawks,55,Box Score,,,,War Memorial Coliseum,at Fort Wayne IN
Sun Nov 22 1953,New York Knicks,84,Syracuse Nationals,80,Box Score,OT,,,Onondaga War Memorial,
Tue Nov 24 1953,New York Knicks,103,Boston Celtics,92,Box Score,,,,Philadelphia Arena,at Philadelphia PA
Tue Nov 24 1953,Baltimore Bullets,80,Philadelphia Warriors,83,Box Score,,,,Philadelphia Arena,
Tue Nov 24 1953,Syracuse Nationals,89,Rochester Royals,80,Box Score,,,,Edgerton Park Arena,
Wed Nov 25 1953,Syracuse Nationals,58,Baltimore Bullets,66,Box Score,,,,Boston Garden,at Boston MA
Wed Nov 25 1953,Fort Wayne Pistons,58,Milwaukee Hawks,64,Box Score,,,,Milwaukee Arena,
Wed Nov 25 1953,New York Knicks,84,Boston Celtics,96,Box Score,,7085,,Boston Garden,
Thu Nov 26 1953,Rochester Royals,80,Baltimore Bullets,75,Box Score,OT,,,Fifth Regiment Armory,
Thu Nov 26 1953,Milwaukee Hawks,64,Fort Wayne Pistons,78,Box Score,,,,War Memorial Coliseum,
Thu Nov 26 1953,Philadelphia Warriors,80,Minneapolis Lakers,88,Box Score,,,,Minneapolis Auditorium,
Thu Nov 26 1953,Boston Celtics,86,Syracuse Nationals,93,Box Score,,3726,,Onondaga War Memorial,
Fri Nov 27 1953,Philadelphia Warriors,51,Milwaukee Hawks,55,Box Score,,,,Chicago Stadium,at Chicago IL
Sat Nov 28 1953,Fort Wayne Pistons,92,Baltimore Bullets,81,Box Score,,,,Fifth Regiment Armory,
Sat Nov 28 1953,Syracuse Nationals,80,Boston Celtics,91,Box Score,,16000,,Madison Square Garden (III),at New York NY
Sat Nov 28 1953,Philadelphia Warriors,68,Milwaukee Hawks,71,Box Score,,,,University of Iowa Fieldhouse,at Iowa City IA
Sat Nov 28 1953,Rochester Royals,90,New York Knicks,95,Box Score,OT,,,Madison Square Garden (III),
Sun Nov 29 1953,Philadelphia Warriors,69,Fort Wayne Pistons,83,Box Score,,,,War Memorial Coliseum,
Sun Nov 29 1953,Boston Celtics,82,Minneapolis Lakers,95,Box Score,,,,Minneapolis Auditorium,
Sun Nov 29 1953,New York Knicks,69,Rochester Royals,64,Box Score,,,,Edgerton Park Arena,
Sun Nov 29 1953,Baltimore Bullets,82,Syracuse Nationals,101,Box Score,,,,Onondaga War Memorial,
Tue Dec 1 1953,Syracuse Nationals,76,Milwaukee Hawks,69,Box Score,OT,,,Milwaukee Auditorium,
Tue Dec 1 1953,Philadelphia Warriors,86,Boston Celtics,89,Box Score,OT,,,Milwaukee Auditorium,at Milwaukee WI
Tue Dec 1 1953,Fort Wayne Pistons,69,Rochester Royals,92,Box Score,,,,Edgerton Park Arena,
Thu Dec 3 1953,Boston Celtics,70,Fort Wayne Pistons,76,Box Score,,,,War Memorial Coliseum,
Thu Dec 3 1953,Syracuse Nationals,74,Minneapolis Lakers,87,Box Score,,,,Concordia Fieldhouse,at Moorhead MN
Thu Dec 3 1953,New York Knicks,74,Philadelphia Warriors,79,Box Score,,,,Philadelphia Arena,
Sat Dec 5 1953,Milwaukee Hawks,79,Boston Celtics,97,Box Score,,12018,,Boston Garden,
Sat Dec 5 1953,Syracuse Nationals,80,Minneapolis Lakers,90,Box Score,,,,Minneapolis Auditorium,
