--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Wed Nov 12 1947,Baltimore Bullets,55,Washington Capitols,63,Box Score,,,,Uline Arena,
Thu Nov 13 1947,Boston Celtics,74,Baltimore Bullets,85,Box Score,,,,Baltimore Coliseum,
Thu Nov 13 1947,St. Louis Bombers,70,Chicago Stags,80,Box Score,,,,Chicago Stadium,
Thu Nov 13 1947,Washington Capitols,65,New York Knicks,80,Box Score,,,,Madison Square Garden (III),
Thu Nov 13 1947,Providence Steamrollers,64,Philadelphia Warriors,79,Box Score,,,,Philadelphia Arena,
Fri Nov 14 1947,Philadelphia Warriors,79,Boston Celtics,74,Box Score,OT,4665,,Boston Garden,
Sat Nov 15 1947,Washington Capitols,69,Boston Celtics,73,Box Score,,1500,,Boston Garden,
Sat Nov 15 1947,Baltimore Bullets,67,Chicago Stags,63,Box Score,,,,Chicago Stadium,
Sat Nov 15 1947,St. Louis Bombers,67,New York Knicks,73,Box Score,,,,Madison Square Garden (III),
Sat Nov 15 1947,Philadelphia Warriors,80,Providence Steamrollers,78,Box Score,,,,Rhode Island Auditorium,
Tue Nov 18 1947,St. Louis Bombers,65,Boston Celtics,50,Box Score,,3530,,Boston Garden,
Tue Nov 18 1947,New York Knicks,87,Providence Steamrollers,69,Box Score,,,,Rhode Island Auditorium,
Wed Nov 19 1947,Chicago Stags,81,New York Knicks,63,Box Score,,,,Madison Square Garden (III),
Wed Nov 19 1947,Philadelphia Warriors,67,Washington Capitols,74,Box Score,,,,Uline Arena,
Thu Nov 20 1947,Boston Celtics,67,Philadelphia Warriors,57,Box Score,,4204,,Philadelphia Arena,
Thu Nov 20 1947,Providence Steamrollers,67,St. Louis Bombers,73,Box Score,,,,St. Louis Arena,
Thu Nov 20 1947,Washington Capitols,77,Chicago Stags,81,Box Score,OT,,,Chicago Stadium,
Thu Nov 20 1947,New York Knicks,56,Baltimore Bullets,68,Box Score,,,,Baltimore Coliseum,
Fri Nov 21 1947,Baltimore Bullets,89,Boston Celtics,73,Box Score,,4134,,Boston Garden,
Sat Nov 22 1947,Chicago Stags,72,Baltimore Bullets,75,Box Score,,,,Baltimore Coliseum,
Sat Nov 22 1947,Philadelphia Warriors,83,New York Knicks,78,Box Score,,,,Madison Square Garden (III),
Sat Nov 22 1947,Boston Celtics,65,Providence Steamrollers,62,Box Score,,3082,,Rhode Island Auditorium,
Sat Nov 22 1947,Washington Capitols,62,St. Louis Bombers,70,Box Score,,,,St. Louis Arena,
Tue Nov 25 1947,New York Knicks,91,Boston Celtics,75,Box Score,,2976,,Boston Garden,
Wed Nov 26 1947,Boston Celtics,65,New York Knicks,63,Box Score,,5034,,Madison Square Garden (III),
Wed Nov 26 1947,St. Louis Bombers,64,Washington Capitols,83,Box Score,,,,Uline Arena,
Thu Nov 27 1947,New York Knicks,81,Philadelphia Warriors,59,Box Score,,,,Philadelphia Arena,
Thu Nov 27 1947,Baltimore Bullets,76,Providence Steamrollers,61,Box Score,,,,Rhode Island Auditorium,
Fri Nov 28 1947,Washington Capitols,83,Boston Celtics,92,Box Score,,4006,,Boston Garden,
Fri Nov 28 1947,Philadelphia Warriors,71,Chicago Stags,75,Box Score,,,,Chicago Stadium,
Sat Nov 29 1947,Baltimore Bullets,71,St. Louis Bombers,67,Box Score,,,,St. Louis Arena,
Sat Nov 29 1947,Providence Steamrollers,85,Washington Capitols,78,Box Score,,,,Uline Arena,
Mon Dec 1 1947,Washington Capitols,70,New York Knicks,62,Box Score,,,,Madison Square Garden (III),
Tue Dec 2 1947,Baltimore Bullets,77,Boston Celtics,69,Box Score,OT,3006,,Boston Garden,
Tue Dec 2 1947,St. Louis Bombers,86,Providence Steamrollers,66,Box Score,,,,Rhode Island Auditorium,
Wed Dec 3 1947,Washington Capitols,73,Chicago Stags,81,Box Score,,,,Chicago Stadium,
Wed Dec 3 1947,Baltimore Bullets,73,Philadelphia Warriors,58,Box Score,,,,Philadelphia Arena,
Thu Dec 4 1947,St. Louis Bombers,65,Baltimore Bullets,51,Box Score,,,,Baltimore Coliseum,
Fri Dec 5 1947,Providence Steamrollers,69,Boston Celtics,73,Box Score,,,,Boston Garden,
Sat Dec 6 1947,Baltimore Bullets,65,Chicago Stags,73,Box Score,,,,Chicago Stadium,
Sat Dec 6 1947,New York Knicks,114,Providence Steamrollers,85,Box Score,,,,Rhode Island Auditorium,
Mon Dec 8 1947,St. Louis Bombers,56,New York Knicks,71,Box Score,,,,Madison Square Garden (III),
Tue Dec 9 1947,Providence Steamrollers,74,Philadelphia Warriors,78,Box Score,OT,,,Philadelphia Arena,
Wed Dec 10 1947,New York Knicks,79,Boston Celtics,75,Box Score,,,,Boston Garden,
Thu Dec 11 1947,Washington Capitols,71,Baltimore Bullets,69,Box Score,OT,,,Baltimore Coliseum,
Thu Dec 11 1947,St. Louis Bombers,74,Philadelphia Warriors,69,Box Score,,,,Philadelphia Arena,
Fri Dec 12 1947,Philadelphia Warriors,67,Boston Celtics,69,Box Score,,3877,,Boston Garden,
Fri Dec 12 1947,St. Louis Bombers,85,Chicago Stags,75,Box Score,,,,Chicago Stadium,
Sat Dec 13 1947,New York Knicks,80,Baltimore Bullets,66,Box Score,,,,Baltimore Coliseum,
Sat Dec 13 1947,Providence Steamrollers,72,Washington Capitols,88,Box Score,,,,Uline Arena,
Mon Dec 15 1947,Philadelphia Warriors,74,New York Knicks,71,Box Score,,,,Madison Square Garden (III),
Wed Dec 17 1947,Baltimore Bullets,64,Washington Capitols,66,Box Score,,,,Uline Arena,
Wed Dec 17 1947,Providence Steamrollers,66,Boston Celtics,67,Box Score,,3307,,Boston Garden,
Thu Dec 18 1947,St. Louis Bombers,67,Baltimore Bullets,74,Box Score,,,,Baltimore Coliseum,
Thu Dec 18 1947,Washington Capitols,70,Chicago Stags,64,Box Score,,,,Chicago Stadium,
Thu Dec 18 1947,New York Knicks,99,Philadelphia Warriors,71,Box Score,,,,Philadelphia Arena,
Fri Dec 19 1947,St. Louis Bombers,70,Boston Celtics,78,Box Score,,4293,,Boston Garden,
Sat Dec 20 1947,Boston Celtics,58,New York Knicks,70,Box Score,,14451,,Madison Square Garden (III),
Sat Dec 20 1947,Philadelphia Warriors,80,Providence Steamrollers,74,Box Score,,,,Rhode Island Auditorium,
Sat Dec 20 1947,St. Louis Bombers,55,Washington Capitols,52,Box Score,,,,Uline Arena,
Sun Dec 21 1947,Baltimore Bullets,83,Chicago Stags,93,Box Score,,,,Chicago Stadium,
Tue Dec 23 1947,New York Knicks,58,Providence Steamrollers,66,Box Score,,,,Rhode Island Auditorium,
Tue Dec 23 1947,Chicago Stags,83,Boston Celtics,75,Box Score,,3972,,Boston Garden,
Thu Dec 25 1947,Chicago Stags,70,Baltimore Bullets,87,Box Score,,,,Baltimore Coliseum,
Thu Dec 25 1947,Providence Steamrollers,75,New York Knicks,89,Box Score,,,,Madison Square Garden (III),
Thu Dec 25 1947,Washington Capitols,73,St. Louis Bombers,56,Box Score,,,,St. Louis Arena,
Fri Dec 26 1947,Providence Steamrollers,61,Philadelphia Warriors,89,Box Score,,,,Philadelphia Arena,
Sat Dec 27 1947,Chicago Stags,79,New York Knicks,70,Box Score,,,,Madison Square Garden (III),
Sat Dec 27 1947,Boston Celtics,74,Providence Steamrollers,63,Box Score,,2180,,Rhode Island Auditorium,
Sat Dec 27 1947,Philadelphia Warriors,70,Washington Capitols,72,Box Score,,,,Uline Arena,
Sun Dec 28 1947,Baltimore Bullets,63,St. Louis Bombers,67,Box Score,,,,St. Louis Arena,
Tue Dec 30 1947,Philadelphia Warriors,64,Boston Celtics,70,Box Score,,5167,,Boston Arena,
Tue Dec 30 1947,Chicago Stags,85,Providence Steamrollers,73,Box Score,,,,Rhode Island Auditorium,
Thu Jan 1 1948,Boston Celtics,48,St. Louis Bombers,58,Box Score,,2300,,St. Louis Arena,
Thu Jan 1 1948,Philadelphia Warriors,72,Baltimore Bullets,60,Box Score,,,,Baltimore Coliseum,
Fri Jan 2 1948,Washington Capitols,60,Philadelphia Warriors,69,Box Score,,,,Philadelphia Arena,
Sat Jan 3 1948,Baltimore Bullets,79,New York Knicks,70,Box Score,,,,Madison Square Garden (III),
Sat Jan 3 1948,Chicago Stags,79,Providence Steamrollers,76,Box Score,,,,Rhode Island Auditorium,
Sat Jan 3 1948,Boston Celtics,60,Washington Capitols,95,Box Score,,3839,,Uline Arena,
Sun Jan 4 1948,Philadelphia Warriors,66,St. Louis Bombers,80,Box Score,,,,St. Louis Arena,
Tue Jan 6 1948,Providence Steamrollers,64,Baltimore Bullets,82,Box Score,,,,Baltimore Coliseum,
Wed Jan 7 1948,Chicago Stags,79,New York Knicks,74,Box Score,,,,Madison Square Garden (III),
Thu Jan 8 1948,Chicago Stags,75,Baltimore Bullets,78,Box Score,,,,Baltimore Coliseum,
Thu Jan 8 1948,Washington Capitols,73,St. Louis Bombers,76,Box Score,,,,St. Louis Arena,
Fri Jan 9 1948,Chicago Stags,77,Philadelphia Warriors,60,Box Score,,,,Philadelphia Arena,
Sat Jan 10 1948,Philadelphia Warriors,99,Washington Capitols,106,Box Score,OT,,,Uline Arena,
Sat Jan 10 1948,Boston Celtics,57,Providence Steamrollers,70,Box Score,,2752,,Rhode Island Auditorium,
Sun Jan 11 1948,Washington Capitols,56,Boston Celtics,84,Box Score,,4294,,Boston Arena,
Sun Jan 11 1948,New York Knicks,86,Chicago Stags,99,Box Score,,,,Chicago Stadium,
Sun Jan 11 1948,Baltimore Bullets,54,St. Louis Bombers,69,Box Score,,,,St. Louis Arena,
Wed Jan 14 1948,Chicago Stags,67,Washington Capitols,75,Box Score,,,,Uline Arena,
Thu Jan 15 1948,Baltimore Bullets,98,Providence Steamrollers,78,Box Score,,,,Rhode Island Auditorium,
Thu Jan 15 1948,New York Knicks,59,St. Louis Bombers,55,Box Score,,,,St. Louis Arena,
Fri Jan 16 1948,Chicago Stags,61,Boston Celtics,75,Box Score,,4343,,Boston Garden,
Fri Jan 16 1948,Baltimore Bullets,63,Philadelphia Warriors,72,Box Score,,,,Philadelphia Arena,
Sat Jan 17 1948,Philadelphia Warriors,79,Baltimore Bullets,77,Box Score,,,,Baltimore Coliseum,
Sat Jan 17 1948,New York Knicks,62,Washington Capitols,78,Box Score,,,,Uline Arena,
Sun Jan 18 1948,Boston Celtics,48,Chicago Stags,72,Box Score,,,,Chicago Stadium,
Sun Jan 18 1948,Providence Steamrollers,61,St. Louis Bombers,70,Box Score,,,,St. Louis Arena,
Mon Jan 19 1948,Philadelphia Warriors,63,New York Knicks,57,Box Score,,,,Madison Square Garden (III),
Tue Jan 20 1948,St. Louis Bombers,59,Philadelphia Warriors,82,Box Score,,,,Philadelphia Arena,
Wed Jan 21 1948,St. Louis Bombers,74,Washington Capitols,81,Box Score,,,,Uline Arena,
Thu Jan 22 1948,St. Louis Bombers,71,Baltimore Bullets,68,Box Score,,,,Baltimore Coliseum,
Thu Jan 22 1948,Providence Steamrollers,56,Chicago Stags,50,Box Score,,,,Chicago Stadium,
Thu Jan 22 1948,Boston Celtics,61,Philadelphia Warriors,54,Box Score,,4243,,Philadelphia Arena,
Fri Jan 23 1948,New York Knicks,74,Boston Celtics,58,Box Score,,5561,,Boston Garden,
Sat Jan 24 1948,Baltimore Bullets,72,New York Knicks,58,Box Score,,,,Madison Square Garden (III),
Sat Jan 24 1948,Providence Steamrollers,60,Washington Capitols,69,Box Score,,,,Uline Arena,
Sun Jan 25 1948,Boston Celtics,54,St. Louis Bombers,72,Box Score,,4300,,St. Louis Arena,
Tue Jan 27 1948,Philadelphia Warriors,77,Boston Celtics,68,Box Score,,4411,,Boston Garden,
Tue Jan 27 1948,St. Louis Bombers,94,Providence Steamrollers,61,Box Score,,,,Rhode Island Auditorium,
Tue Jan 27 1948,Baltimore Bullets,74,Chicago Stags,78,Box Score,,,,Chicago Stadium,
Wed Jan 28 1948,Providence Steamrollers,73,New York Knicks,75,Box Score,,,,Madison Square Garden (III),
Thu Jan 29 1948,New York Knicks,66,Philadelphia Warriors,60,Box Score,,,,Philadelphia Arena,
Thu Jan 29 1948,Chicago Stags,60,St. Louis Bombers,62,Box Score,,,,St. Louis Arena,
Fri Jan 30 1948,Washington Capitols,71,Baltimore Bullets,95,Box Score,,,,Fifth Regiment Armory,at Baltimore MD (Fifth Regiment Armory)
Fri Jan 30 1948,Providence Steamrollers,79,Boston Celtics,69,Box Score,,4085,,Boston Garden,
Sat Jan 31 1948,Boston Celtics,64,New York Knicks,66,Box Score,,5381,,Madison Square Garden (III),
Sat Jan 31 1948,Baltimore Bullets,68,Providence Steamrollers,62,Box Score,,,,Rhode Island Auditorium,
Sat Jan 31 1948,Philadelphia Warriors,66,St. Louis Bombers,60,Box Score,,,,St. Louis Arena,
Sat Jan 31 1948,Chicago Stags,48,Washington Capitols,54,Box Score,,,,Uline Arena,
Sun Feb 1 1948,Philadelphia Warriors,85,Chicago Stags,78,Box Score,,,,Chicago Stadium,
Tue Feb 3 1948,New York Knicks,78,Providence Steamrollers,62,Box Score,,,,Rhode Island Auditorium,
Wed Feb 4 1948,Baltimore Bullets,72,Washington Capitols,77,Box Score,,,,Uline Arena,
Wed Feb 4 1948,Providence Steamrollers,69,New York Knicks,108,Box Score,,,,Madison Square Garden (III),
Thu Feb 5 1948,Providence Steamrollers,74,Baltimore Bullets,100,Box Score,,,,Baltimore Coliseum,
Thu Feb 5 1948,Washington Capitols,72,Philadelphia Warriors,60,Box Score,,,,Philadelphia Arena,
Thu Feb 5 1948,Chicago Stags,77,St. Louis Bombers,71,Box Score,,,,St. Louis Arena,
Fri Feb 6 1948,New York Knicks,68,Boston Celtics,57,Box Score,,4033,,Boston Garden,
Sat Feb 7 1948,Washington Capitols,86,Providence Steamrollers,64,Box Score,,,,Rhode Island Auditorium,
Sat Feb 7 1948,Philadelphia Warriors,54,St. Louis Bombers,67,Box Score,,,,St. Louis Arena,
Sun Feb 8 1948,Philadelphia Warriors,74,Chicago Stags,80,Box Score,2OT,,,Chicago Stadium,
Sun Feb 8 1948,Boston Celtics,68,New York Knicks,80,Box Score,,15134,,Madison Square Garden (III),
Tue Feb 10 1948,Providence Steamrollers,60,Washington Capitols,79,Box Score,,,,Uline Arena,
Wed Feb 11 1948,St. Louis Bombers,80,Chicago Stags,78,Box Score,,,,Chicago Stadium,
Wed Feb 11 1948,Providence Steamrollers,63,New York Knicks,86,Box Score,,,,Madison Square Garden (III),
Thu Feb 12 1948,New York Knicks,86,Baltimore Bullets,96,Box Score,,,,Baltimore Coliseum,
Thu Feb 12 1948,Boston Celtics,60,Philadelphia Warriors,69,Box Score,,3731,,Philadelphia Arena,
Thu Feb 12 1948,Chicago Stags,80,St. Louis Bombers,74,Box Score,,,,St. Louis Arena,
Fri Feb 13 1948,Providence Steamrollers,73,Boston Celtics,79,Box Score,,3769,,Boston Garden,
Sat Feb 14 1948,Philadelphia Warriors,47,New York Knicks,78,Box Score,,,,Madison Square Garden (III),
Sat Feb 14 1948,Boston Celtics,58,Washington Capitols,72,Box Score,,3604,,Uline Arena,
Sun Feb 15 1948,Providence Steamrollers,85,Chicago Stags,79,Box Score,,,,Chicago Stadium,
Sun Feb 15 1948,Baltimore Bullets,63,St. Louis Bombers,69,Box Score,,,,St. Louis Arena,
Wed Feb 18 1948,New York Knicks,79,Washington Capitols,75,Box Score,,,,Uline Arena,
Thu Feb 19 1948,Boston Celtics,76,Baltimore Bullets,79,Box Score,OT,,,Baltimore Coliseum,
Thu Feb 19 1948,New York Knicks,74,Chicago Stags,82,Box Score,,,,Chicago Stadium,
Thu Feb 19 1948,Washington Capitols,76,Philadelphia Warriors,84,Box Score,,,,Philadelphia Arena,
Thu Feb 19 1948,Providence Steamrollers,69,St. Louis Bombers,78,Box Score,,,,St. Louis Arena,
Sat Feb 21 1948,Chicago Stags,92,Providence Steamrollers,73,Box Score,,,,Rhode Island Auditorium,
Sat Feb 21 1948,Baltimore Bullets,72,Washington Capitols,85,Box Score,,,,Uline Arena,
Sun Feb 22 1948,Chicago Stags,97,Boston Celtics,77,Box Score,,3980,,Boston Arena,
