--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Nov 1 1951,Fort Wayne Pistons,75,Syracuse Nationals,90,Box Score,,,,Onondaga War Memorial,
Thu Nov 1 1951,Baltimore Bullets,97,Rochester Royals,101,Box Score,,,,Edgerton Park Arena,
Sat Nov 3 1951,New York Knicks,68,Milwaukee Hawks,66,Box Score,,,,Milwaukee Arena,
Sat Nov 3 1951,Fort Wayne Pistons,69,Philadelphia Warriors,70,Box Score,,,,Philadelphia Arena,
Sat Nov 3 1951,Minneapolis Lakers,93,Rochester Royals,74,Box Score,,,,Edgerton Park Arena,
Sat Nov 3 1951,Indianapolis Olympians,90,Baltimore Bullets,86,Box Score,,,,Baltimore Coliseum,
Sun Nov 4 1951,Indianapolis Olympians,65,Boston Celtics,97,Box Score,,3012,,Boston Arena,
Sun Nov 4 1951,New York Knicks,75,Fort Wayne Pistons,84,Box Score,,,,North Side High School Gym,
Sun Nov 4 1951,Minneapolis Lakers,67,Syracuse Nationals,98,Box Score,,,,Onondaga War Memorial,
Mon Nov 5 1951,Philadelphia Warriors,90,Baltimore Bullets,96,Box Score,,,,Baltimore Coliseum,
Tue Nov 6 1951,New York Knicks,83,Indianapolis Olympians,73,Box Score,,,,Hinkle Fieldhouse,
Tue Nov 6 1951,Fort Wayne Pistons,62,Milwaukee Hawks,65,Box Score,OT,,,Milwaukee Arena,
Fri Nov 9 1951,Fort Wayne Pistons,77,Indianapolis Olympians,92,Box Score,,,,Hinkle Fieldhouse,
Fri Nov 9 1951,Minneapolis Lakers,86,Philadelphia Warriors,98,Box Score,,,,Philadelphia Arena,
Sat Nov 10 1951,Indianapolis Olympians,89,Rochester Royals,100,Box Score,,,,Edgerton Park Arena,
Sat Nov 10 1951,Minneapolis Lakers,89,New York Knicks,73,Box Score,,,,Madison Square Garden (III),
Sat Nov 10 1951,Syracuse Nationals,82,Baltimore Bullets,91,Box Score,,,,Baltimore Coliseum,
Sat Nov 10 1951,Philadelphia Warriors,69,Boston Celtics,83,Box Score,,16127,,Madison Square Garden (III),at New York NY
Sun Nov 11 1951,Minneapolis Lakers,72,Boston Celtics,77,Box Score,,13909,,Boston Garden,
Sun Nov 11 1951,Milwaukee Hawks,59,Fort Wayne Pistons,74,Box Score,,,,North Side High School Gym,
Sun Nov 11 1951,New York Knicks,78,Rochester Royals,80,Box Score,,,,Edgerton Park Arena,
Sun Nov 11 1951,Indianapolis Olympians,79,Syracuse Nationals,93,Box Score,,,,Onondaga War Memorial,
Mon Nov 12 1951,Minneapolis Lakers,90,Baltimore Bullets,80,Box Score,,,,Baltimore Coliseum,
Tue Nov 13 1951,Rochester Royals,91,Milwaukee Hawks,75,Box Score,,,,Milwaukee Arena,
Tue Nov 13 1951,New York Knicks,85,Philadelphia Warriors,82,Box Score,,,,Philadelphia Arena,
Tue Nov 13 1951,Minneapolis Lakers,77,Indianapolis Olympians,71,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 14 1951,Fort Wayne Pistons,91,Boston Celtics,98,Box Score,OT,2123,,Boston Garden,
Thu Nov 15 1951,Boston Celtics,95,Syracuse Nationals,97,Box Score,,5070,,Onondaga War Memorial,
Fri Nov 16 1951,Milwaukee Hawks,78,Indianapolis Olympians,68,Box Score,,,,Hinkle Fieldhouse,
Fri Nov 16 1951,Syracuse Nationals,97,Philadelphia Warriors,90,Box Score,,,,Philadelphia Arena,
Sat Nov 17 1951,Philadelphia Warriors,72,Rochester Royals,86,Box Score,,,,Edgerton Park Arena,
Sat Nov 17 1951,Syracuse Nationals,79,New York Knicks,72,Box Score,,,,Madison Square Garden (III),
Sat Nov 17 1951,Fort Wayne Pistons,64,Minneapolis Lakers,68,Box Score,OT,,,Minneapolis Auditorium,
Sat Nov 17 1951,Boston Celtics,88,Baltimore Bullets,75,Box Score,,,,Baltimore Coliseum,
Sat Nov 17 1951,Milwaukee Hawks,58,Indianapolis Olympians,68,Box Score,,,,Wharton Field House,at Moline IL
Sun Nov 18 1951,New York Knicks,93,Boston Celtics,92,Box Score,,3106,,Boston Garden,
Sun Nov 18 1951,Rochester Royals,76,Fort Wayne Pistons,71,Box Score,OT,,,North Side High School Gym,
Sun Nov 18 1951,Baltimore Bullets,68,Syracuse Nationals,71,Box Score,,,,Onondaga War Memorial,
Mon Nov 19 1951,Milwaukee Hawks,70,Baltimore Bullets,71,Box Score,,,,Baltimore Coliseum,
Tue Nov 20 1951,New York Knicks,88,Baltimore Bullets,86,Box Score,,,,Philadelphia Arena,at Philadelphia PA
Tue Nov 20 1951,Rochester Royals,65,Indianapolis Olympians,69,Box Score,2OT,,,Hinkle Fieldhouse,
Tue Nov 20 1951,Milwaukee Hawks,64,Philadelphia Warriors,80,Box Score,,,,Philadelphia Arena,
Thu Nov 22 1951,Milwaukee Hawks,72,Boston Celtics,103,Box Score,,5502,,Boston Garden,
Thu Nov 22 1951,Syracuse Nationals,96,Fort Wayne Pistons,72,Box Score,,,,North Side High School Gym,
Thu Nov 22 1951,Rochester Royals,65,Minneapolis Lakers,70,Box Score,2OT,,,Minneapolis Auditorium,
Thu Nov 22 1951,Philadelphia Warriors,88,New York Knicks,102,Box Score,,,,Madison Square Garden (III),
Fri Nov 23 1951,Syracuse Nationals,68,Indianapolis Olympians,82,Box Score,,,,Hinkle Fieldhouse,
Fri Nov 23 1951,Boston Celtics,102,Philadelphia Warriors,100,Box Score,OT,3500,,Philadelphia Arena,
Sat Nov 24 1951,Fort Wayne Pistons,63,Rochester Royals,74,Box Score,,,,Edgerton Park Arena,
Sat Nov 24 1951,Minneapolis Lakers,72,Milwaukee Hawks,59,Box Score,,,,Milwaukee Arena,
Sat Nov 24 1951,Boston Celtics,70,New York Knicks,68,Box Score,,9639,,Madison Square Garden (III),
Sat Nov 24 1951,Philadelphia Warriors,74,Baltimore Bullets,81,Box Score,,,,Baltimore Coliseum,
Sun Nov 25 1951,Philadelphia Warriors,85,Boston Celtics,103,Box Score,,3081,,Boston Garden,
Sun Nov 25 1951,Baltimore Bullets,66,Fort Wayne Pistons,83,Box Score,,,,North Side High School Gym,
Sun Nov 25 1951,Rochester Royals,73,Milwaukee Hawks,75,Box Score,,,,Milwaukee Arena,
Sun Nov 25 1951,Indianapolis Olympians,73,Minneapolis Lakers,82,Box Score,,,,Minneapolis Auditorium,
Sun Nov 25 1951,New York Knicks,73,Syracuse Nationals,100,Box Score,,,,Onondaga War Memorial,
Tue Nov 27 1951,New York Knicks,81,Philadelphia Warriors,83,Box Score,,,,Philadelphia Arena,
Tue Nov 27 1951,Milwaukee Hawks,73,Rochester Royals,77,Box Score,,,,Edgerton Park Arena,
Wed Nov 28 1951,Boston Celtics,76,Minneapolis Lakers,90,Box Score,,5314,,Minneapolis Auditorium,
Thu Nov 29 1951,Milwaukee Hawks,64,Baltimore Bullets,77,Box Score,,,,Madison Square Garden (III),at New York NY
Thu Nov 29 1951,Rochester Royals,78,New York Knicks,74,Box Score,,,,Madison Square Garden (III),
Thu Nov 29 1951,Fort Wayne Pistons,78,Syracuse Nationals,82,Box Score,,,,Onondaga War Memorial,
Fri Nov 30 1951,Boston Celtics,87,Indianapolis Olympians,92,Box Score,,4199,,Hinkle Fieldhouse,
Fri Nov 30 1951,Syracuse Nationals,75,Philadelphia Warriors,82,Box Score,,,,Philadelphia Arena,
Sat Dec 1 1951,Fort Wayne Pistons,69,Minneapolis Lakers,89,Box Score,,,,Minneapolis Auditorium,
Sat Dec 1 1951,New York Knicks,82,Baltimore Bullets,84,Box Score,,,,Baltimore Coliseum,
Sat Dec 1 1951,Milwaukee Hawks,66,Rochester Royals,71,Box Score,,,,Edgerton Park Arena,
Sun Dec 2 1951,Baltimore Bullets,82,Boston Celtics,103,Box Score,,2520,,Boston Garden,
Sun Dec 2 1951,Minneapolis Lakers,61,Fort Wayne Pistons,63,Box Score,,,,North Side High School Gym,
Sun Dec 2 1951,Indianapolis Olympians,80,Milwaukee Hawks,71,Box Score,,,,Milwaukee Arena,
Sun Dec 2 1951,Philadelphia Warriors,72,New York Knicks,86,Box Score,,,,Madison Square Garden (III),
Sun Dec 2 1951,Rochester Royals,81,Syracuse Nationals,79,Box Score,,,,Onondaga War Memorial,
Mon Dec 3 1951,Rochester Royals,77,Baltimore Bullets,70,Box Score,,,,Baltimore Coliseum,
Tue Dec 4 1951,Syracuse Nationals,77,Indianapolis Olympians,83,Box Score,,,,Hinkle Fieldhouse,
Tue Dec 4 1951,Rochester Royals,80,Philadelphia Warriors,96,Box Score,,,,Philadelphia Arena,
Wed Dec 5 1951,Syracuse Nationals,83,Minneapolis Lakers,81,Box Score,OT,,,Minneapolis Auditorium,
Wed Dec 5 1951,Fort Wayne Pistons,91,Boston Celtics,88,Box Score,,2523,,Boston Garden,
Thu Dec 6 1951,Syracuse Nationals,70,Milwaukee Hawks,73,Box Score,,,,Wharton Field House,at Moline IL
Fri Dec 7 1951,Baltimore Bullets,80,Indianapolis Olympians,88,Box Score,,,,Hinkle Fieldhouse,
Fri Dec 7 1951,New York Knicks,91,Philadelphia Warriors,93,Box Score,,,,Philadelphia Arena,
Sat Dec 8 1951,Minneapolis Lakers,85,Baltimore Bullets,64,Box Score,,,,St. Paul Auditorium,at Saint Paul MN
Sat Dec 8 1951,Fort Wayne Pistons,71,Milwaukee Hawks,82,Box Score,,,,Milwaukee Arena,
Sat Dec 8 1951,Syracuse Nationals,95,Rochester Royals,75,Box Score,,,,Edgerton Park Arena,
Sun Dec 9 1951,Rochester Royals,84,Fort Wayne Pistons,86,Box Score,,,,North Side High School Gym,
Sun Dec 9 1951,Philadelphia Warriors,74,Syracuse Nationals,93,Box Score,,,,Onondaga War Memorial,
Sun Dec 9 1951,Indianapolis Olympians,85,Minneapolis Lakers,78,Box Score,,,,Minneapolis Auditorium,
Sun Dec 9 1951,Baltimore Bullets,73,Milwaukee Hawks,71,Box Score,,,,Milwaukee Arena,
Sun Dec 9 1951,New York Knicks,94,Boston Celtics,103,Box Score,,10288,,Boston Garden,
Tue Dec 11 1951,Syracuse Nationals,80,Fort Wayne Pistons,62,Box Score,,,,Madison Square Garden (III),at New York NY
Tue Dec 11 1951,Minneapolis Lakers,69,Indianapolis Olympians,85,Box Score,,,,Hinkle Fieldhouse,
Tue Dec 11 1951,Milwaukee Hawks,83,New York Knicks,88,Box Score,,,,Madison Square Garden (III),
Tue Dec 11 1951,Boston Celtics,78,Philadelphia Warriors,79,Box Score,,8112,,Philadelphia Arena,
Wed Dec 12 1951,Milwaukee Hawks,84,Boston Celtics,89,Box Score,,3500,,Boston Garden,
Wed Dec 12 1951,Baltimore Bullets,79,Minneapolis Lakers,99,Box Score,,,,Minneapolis Auditorium,
Thu Dec 13 1951,Milwaukee Hawks,82,Syracuse Nationals,89,Box Score,,,,Onondaga War Memorial,
Fri Dec 14 1951,New York Knicks,79,Indianapolis Olympians,83,Box Score,,,,Hinkle Fieldhouse,
Fri Dec 14 1951,Fort Wayne Pistons,62,Philadelphia Warriors,72,Box Score,,,,Philadelphia Arena,
Sat Dec 15 1951,Fort Wayne Pistons,80,Baltimore Bullets,90,Box Score,,,,Baltimore Coliseum,
Sat Dec 15 1951,Indianapolis Olympians,66,Rochester Royals,75,Box Score,,,,Edgerton Park Arena,
Sun Dec 16 1951,Indianapolis Olympians,96,Syracuse Nationals,92,Box Score,,,,Onondaga War Memorial,
