--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Nov 4 1994,Indiana Pacers,94,Atlanta Hawks,92,Box Score,,12568,2:35,Omni Coliseum,
Fri Nov 4 1994,New York Knicks,120,Boston Celtics,107,Box Score,,14890,2:17,Boston Garden,
Fri Nov 4 1994,Charlotte Hornets,83,Chicago Bulls,89,Box Score,,22313,,United Center,
Fri Nov 4 1994,Minnesota Timberwolves,108,Denver Nuggets,130,Box Score,,17171,,McNichols Sports Arena,
Fri Nov 4 1994,Los Angeles Lakers,115,Detroit Pistons,98,Box Score,,21454,,The Palace of Auburn Hills,
Fri Nov 4 1994,New Jersey Nets,86,Houston Rockets,90,Box Score,,16611,,The Summit,
Fri Nov 4 1994,Portland Trail Blazers,121,Los Angeles Clippers,100,Box Score,,14229,,Yokohama Arena,at Yokohama Japan
Fri Nov 4 1994,Milwaukee Bucks,91,Philadelphia 76ers,86,Box Score,,16114,,CoreStates Spectrum,
Fri Nov 4 1994,Phoenix Suns,89,Sacramento Kings,107,Box Score,,17317,,ARCO Arena (II),
Fri Nov 4 1994,Golden State Warriors,123,San Antonio Spurs,118,Box Score,,30542,,Alamodome,
Fri Nov 4 1994,Miami Heat,108,Utah Jazz,119,Box Score,,19911,,Delta Center,
Fri Nov 4 1994,Orlando Magic,108,Washington Bullets,110,Box Score,,18756,,USAir Arena,
Sat Nov 5 1994,Detroit Pistons,114,Atlanta Hawks,109,Box Score,OT,11587,2:32,Omni Coliseum,
Sat Nov 5 1994,Cleveland Cavaliers,115,Charlotte Hornets,107,Box Score,,23698,,Charlotte Coliseum,
Sat Nov 5 1994,Washington Bullets,100,Chicago Bulls,99,Box Score,OT,22186,,United Center,
Sat Nov 5 1994,New Jersey Nets,103,Dallas Mavericks,112,Box Score,,17502,,Reunion Arena,
Sat Nov 5 1994,Golden State Warriors,108,Denver Nuggets,104,Box Score,,17171,,McNichols Sports Arena,
Sat Nov 5 1994,Boston Celtics,103,Indiana Pacers,112,Box Score,,16532,2:21,Market Square Arena,
Sat Nov 5 1994,Los Angeles Lakers,96,Milwaukee Bucks,97,Box Score,,18633,,Bradley Center,
Sat Nov 5 1994,Houston Rockets,115,Minnesota Timberwolves,85,Box Score,,16578,,Target Center,
Sat Nov 5 1994,Philadelphia 76ers,107,Orlando Magic,122,Box Score,,16010,,Orlando Arena,
Sat Nov 5 1994,Los Angeles Clippers,95,Portland Trail Blazers,112,Box Score,,14239,,Yokohama Arena,at Yokohama Japan
Sat Nov 5 1994,Utah Jazz,103,Seattle SuperSonics,110,Box Score,,16324,,Tacoma Dome,
Sun Nov 6 1994,Miami Heat,107,Phoenix Suns,119,Box Score,,19023,,America West Arena,
Mon Nov 7 1994,Philadelphia 76ers,83,Chicago Bulls,98,Box Score,,22122,,United Center,
Mon Nov 7 1994,New Jersey Nets,96,San Antonio Spurs,105,Box Score,,13805,,Alamodome,
Mon Nov 7 1994,Atlanta Hawks,86,Utah Jazz,104,Box Score,,18661,1:51,Delta Center,
Tue Nov 8 1994,Houston Rockets,100,Cleveland Cavaliers,98,Box Score,,20562,,Gund Arena,
Tue Nov 8 1994,Denver Nuggets,115,Dallas Mavericks,107,Box Score,,12526,,Reunion Arena,
Tue Nov 8 1994,Minnesota Timberwolves,112,Detroit Pistons,126,Box Score,,13424,,The Palace of Auburn Hills,
Tue Nov 8 1994,Miami Heat,114,Golden State Warriors,121,Box Score,,15025,,Oakland-Alameda County Coliseum Arena,
Tue Nov 8 1994,Los Angeles Lakers,113,New York Knicks,117,Box Score,,19763,,Madison Square Garden (IV),
Wed Nov 9 1994,Orlando Magic,130,Charlotte Hornets,128,Box Score,OT,23698,,Charlotte Coliseum,
Wed Nov 9 1994,Houston Rockets,109,Indiana Pacers,104,Box Score,,15258,,Market Square Arena,
Wed Nov 9 1994,Los Angeles Lakers,122,Minnesota Timberwolves,99,Box Score,,15892,,Target Center,
Wed Nov 9 1994,Chicago Bulls,109,New Jersey Nets,110,Box Score,,20049,,Brendan Byrne Arena,
Wed Nov 9 1994,Washington Bullets,97,Philadelphia 76ers,98,Box Score,,6811,,CoreStates Spectrum,
Wed Nov 9 1994,Atlanta Hawks,102,Phoenix Suns,106,Box Score,,19023,2:08,America West Arena,
Wed Nov 9 1994,Utah Jazz,101,San Antonio Spurs,109,Box Score,,14354,,Alamodome,
Wed Nov 9 1994,Sacramento Kings,108,Seattle SuperSonics,100,Box Score,,16352,,Tacoma Dome,
Thu Nov 10 1994,Milwaukee Bucks,88,Cleveland Cavaliers,108,Box Score,,19203,,Gund Arena,
Thu Nov 10 1994,Indiana Pacers,110,Detroit Pistons,112,Box Score,,15355,,The Palace of Auburn Hills,
Thu Nov 10 1994,Atlanta Hawks,108,Los Angeles Clippers,91,Box Score,,8188,2:16,Los Angeles Memorial Sports Arena,
Thu Nov 10 1994,Orlando Magic,99,New York Knicks,101,Box Score,,19763,,Madison Square Garden (IV),
Thu Nov 10 1994,Portland Trail Blazers,104,Sacramento Kings,84,Box Score,,17317,,ARCO Arena (II),
Fri Nov 11 1994,Houston Rockets,102,Boston Celtics,82,Box Score,,14890,1:58,Boston Garden,
Fri Nov 11 1994,Denver Nuggets,124,Los Angeles Lakers,117,Box Score,OT,16950,,Great Western Forum,
Fri Nov 11 1994,Charlotte Hornets,123,Milwaukee Bucks,115,Box Score,,16236,,Bradley Center,
Fri Nov 11 1994,Chicago Bulls,112,Minnesota Timberwolves,100,Box Score,,15109,,Target Center,
Fri Nov 11 1994,Dallas Mavericks,107,Philadelphia 76ers,100,Box Score,,10121,,CoreStates Spectrum,
Fri Nov 11 1994,Phoenix Suns,123,Seattle SuperSonics,129,Box Score,,16352,,Tacoma Dome,
Fri Nov 11 1994,Golden State Warriors,112,Utah Jazz,104,Box Score,,19783,,Delta Center,
Fri Nov 11 1994,New Jersey Nets,91,Washington Bullets,104,Box Score,,10711,,USAir Arena,
Sat Nov 12 1994,Detroit Pistons,100,Charlotte Hornets,113,Box Score,,23698,,Charlotte Coliseum,
Sat Nov 12 1994,Dallas Mavericks,124,Chicago Bulls,120,Box Score,OT,22195,,United Center,
Sat Nov 12 1994,Indiana Pacers,93,Cleveland Cavaliers,86,Box Score,,20401,,Gund Arena,
Sat Nov 12 1994,Utah Jazz,110,Denver Nuggets,119,Box Score,,17171,,McNichols Sports Arena,
Sat Nov 12 1994,Los Angeles Lakers,99,Golden State Warriors,121,Box Score,,15025,,Oakland-Alameda County Coliseum Arena,
Sat Nov 12 1994,Phoenix Suns,108,Los Angeles Clippers,101,Box Score,,18018,,Arrowhead Pond,at Anaheim CA
Sat Nov 12 1994,Washington Bullets,109,Miami Heat,99,Box Score,,15100,,Miami Arena,
Sat Nov 12 1994,Boston Celtics,114,Minnesota Timberwolves,101,Box Score,,13278,2:06,Target Center,
Sat Nov 12 1994,Houston Rockets,100,New Jersey Nets,84,Box Score,,20049,,Brendan Byrne Arena,
Sat Nov 12 1994,Orlando Magic,116,Philadelphia 76ers,103,Box Score,,17247,,CoreStates Spectrum,
Sat Nov 12 1994,Atlanta Hawks,97,Sacramento Kings,105,Box Score,,17317,2:18,ARCO Arena (II),
Sat Nov 12 1994,New York Knicks,82,San Antonio Spurs,101,Box Score,,19710,,Alamodome,
Sun Nov 13 1994,Los Angeles Clippers,90,Seattle SuperSonics,115,Box Score,,16352,,Tacoma Dome,
Mon Nov 14 1994,New York Knicks,97,Utah Jazz,110,Box Score,,18955,,Delta Center,
Tue Nov 15 1994,Boston Celtics,94,Atlanta Hawks,110,Box Score,,10376,2:03,Omni Coliseum,
Tue Nov 15 1994,Charlotte Hornets,86,Cleveland Cavaliers,89,Box Score,OT,19959,,Gund Arena,
Tue Nov 15 1994,San Antonio Spurs,99,Denver Nuggets,112,Box Score,,17171,,McNichols Sports Arena,
Tue Nov 15 1994,Philadelphia 76ers,98,Detroit Pistons,99,Box Score,,14189,,The Palace of Auburn Hills,
Tue Nov 15 1994,Minnesota Timberwolves,114,Golden State Warriors,112,Box Score,,15025,,Oakland-Alameda County Coliseum Arena,
Tue Nov 15 1994,Sacramento Kings,99,Houston Rockets,105,Box Score,,14656,,The Summit,
Tue Nov 15 1994,Los Angeles Lakers,102,Los Angeles Clippers,92,Box Score,,8807,,Los Angeles Memorial Sports Arena,
Tue Nov 15 1994,Dallas Mavericks,102,Miami Heat,115,Box Score,,14324,,Miami Arena,
Tue Nov 15 1994,Indiana Pacers,81,Milwaukee Bucks,82,Box Score,,15264,,Bradley Center,
Tue Nov 15 1994,Seattle SuperSonics,106,New Jersey Nets,112,Box Score,,15310,,Brendan Byrne Arena,
Tue Nov 15 1994,Washington Bullets,102,Orlando Magic,122,Box Score,,16010,,Orlando Arena,
Tue Nov 15 1994,Phoenix Suns,96,Portland Trail Blazers,93,Box Score,,12888,,Memorial Coliseum,
Wed Nov 16 1994,Seattle SuperSonics,93,Boston Celtics,120,Box Score,,14890,2:08,Boston Garden,
Wed Nov 16 1994,New York Knicks,110,Los Angeles Lakers,89,Box Score,,13630,,Great Western Forum,
Wed Nov 16 1994,Miami Heat,96,Philadelphia 76ers,109,Box Score,,7312,,CoreStates Spectrum,
Wed Nov 16 1994,Minnesota Timberwolves,90,Phoenix Suns,105,Box Score,,19023,,America West Arena,
Wed Nov 16 1994,Chicago Bulls,94,San Antonio Spurs,92,Box Score,,16059,,Alamodome,
