--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Oct 30 1954,Fort Wayne Pistons,91,Milwaukee Hawks,72,Box Score,,,,Milwaukee Arena,
Sat Oct 30 1954,Minneapolis Lakers,83,New York Knicks,94,Box Score,,,,Madison Square Garden (III),
Sat Oct 30 1954,Boston Celtics,95,Rochester Royals,98,Box Score,,,,Edgerton Park Arena,
Sun Oct 31 1954,Boston Celtics,86,Fort Wayne Pistons,90,Box Score,,,,War Memorial Coliseum,
Sun Oct 31 1954,Minneapolis Lakers,97,Syracuse Nationals,94,Box Score,,,,Onondaga War Memorial,
Tue Nov 2 1954,New York Knicks,91,Milwaukee Hawks,84,Box Score,,,,Milwaukee Arena,
Sat Nov 6 1954,Syracuse Nationals,84,Boston Celtics,107,Box Score,,,,Boston Garden,
Sat Nov 6 1954,New York Knicks,83,Fort Wayne Pistons,90,Box Score,,,,War Memorial Coliseum,
Sat Nov 6 1954,Minneapolis Lakers,79,Milwaukee Hawks,67,Box Score,,,,Buffalo Memorial Auditorium,at Buffalo NY
Sun Nov 7 1954,Rochester Royals,84,Fort Wayne Pistons,109,Box Score,,,,War Memorial Coliseum,
Sun Nov 7 1954,New York Knicks,103,Minneapolis Lakers,93,Box Score,OT,,,Minneapolis Auditorium,
Sun Nov 7 1954,Milwaukee Hawks,80,Syracuse Nationals,97,Box Score,,,,Onondaga War Memorial,
Wed Nov 10 1954,Milwaukee Hawks,86,Rochester Royals,90,Box Score,,,,Edgerton Park Arena,
Thu Nov 11 1954,Milwaukee Hawks,95,Boston Celtics,85,Box Score,,,,Madison Square Garden (III),at New York NY
Thu Nov 11 1954,Syracuse Nationals,88,Fort Wayne Pistons,86,Box Score,,,,War Memorial Coliseum,
Thu Nov 11 1954,Rochester Royals,78,New York Knicks,79,Box Score,,,,Madison Square Garden (III),
Sat Nov 13 1954,Syracuse Nationals,72,Milwaukee Hawks,85,Box Score,,,,Milwaukee Arena,
Sat Nov 13 1954,Fort Wayne Pistons,103,Rochester Royals,98,Box Score,,,,Edgerton Park Arena,
Sat Nov 13 1954,New York Knicks,86,Philadelphia Warriors,87,Box Score,,,,Convention Hall,
Sun Nov 14 1954,Milwaukee Hawks,91,Fort Wayne Pistons,93,Box Score,,,,War Memorial Coliseum,
Sun Nov 14 1954,Syracuse Nationals,92,Minneapolis Lakers,99,Box Score,,,,Minneapolis Auditorium,
Tue Nov 16 1954,Rochester Royals,98,Boston Celtics,99,Box Score,,,,Boston Garden,
Tue Nov 16 1954,Syracuse Nationals,86,Philadelphia Warriors,85,Box Score,,,,Madison Square Garden (III),at New York NY
Thu Nov 18 1954,Philadelphia Warriors,94,New York Knicks,96,Box Score,,,,Onondaga War Memorial,at Syracuse NY
Thu Nov 18 1954,Fort Wayne Pistons,82,Syracuse Nationals,91,Box Score,,,,Onondaga War Memorial,
Sat Nov 20 1954,Boston Celtics,117,New York Knicks,98,Box Score,,,,Madison Square Garden (III),
Sat Nov 20 1954,Syracuse Nationals,80,Rochester Royals,79,Box Score,,,,Edgerton Park Arena,
Sat Nov 20 1954,Fort Wayne Pistons,82,Philadelphia Warriors,99,Box Score,,,,Convention Hall,
Sun Nov 21 1954,Rochester Royals,78,Fort Wayne Pistons,89,Box Score,,,,War Memorial Coliseum,
Sun Nov 21 1954,Boston Celtics,104,Syracuse Nationals,110,Box Score,,,,Onondaga War Memorial,
Wed Nov 24 1954,New York Knicks,103,Boston Celtics,108,Box Score,,,,Boston Garden,
Wed Nov 24 1954,Philadelphia Warriors,91,Fort Wayne Pistons,87,Box Score,,,,Hershey Sports Arena,at Hershey PA
Wed Nov 24 1954,Rochester Royals,90,Milwaukee Hawks,87,Box Score,OT,,,Milwaukee Arena,
Thu Nov 25 1954,Rochester Royals,84,Minneapolis Lakers,95,Box Score,,,,Minneapolis Auditorium,
Thu Nov 25 1954,Boston Celtics,98,Philadelphia Warriors,103,Box Score,,4477,,Convention Hall,
Thu Nov 25 1954,Milwaukee Hawks,85,Syracuse Nationals,91,Box Score,,,,Onondaga War Memorial,
Sat Nov 27 1954,Minneapolis Lakers,81,Fort Wayne Pistons,97,Box Score,,,,War Memorial Coliseum,
Sat Nov 27 1954,Boston Celtics,101,Rochester Royals,107,Box Score,,,,Edgerton Park Arena,
Sat Nov 27 1954,Syracuse Nationals,80,New York Knicks,74,Box Score,,,,Madison Square Garden (III),
Sun Nov 28 1954,Milwaukee Hawks,81,Fort Wayne Pistons,96,Box Score,,,,War Memorial Coliseum,
Sun Nov 28 1954,Boston Celtics,108,Minneapolis Lakers,115,Box Score,,,,Minneapolis Auditorium,
Sun Nov 28 1954,New York Knicks,77,Syracuse Nationals,79,Box Score,,,,Onondaga War Memorial,
Tue Nov 30 1954,Minneapolis Lakers,90,Fort Wayne Pistons,92,Box Score,,,,Madison Square Garden (III),at New York NY
Tue Nov 30 1954,Boston Celtics,118,Milwaukee Hawks,99,Box Score,,,,Milwaukee Arena,
Tue Nov 30 1954,Philadelphia Warriors,91,New York Knicks,95,Box Score,OT,,,Madison Square Garden (III),
