--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Feb 1 1951,,Fort Wayne Pistons,102,Tri-Cities Blackhawks,109,Box Score,,,,Wharton Field House,
Fri Feb 2 1951,,Syracuse Nationals,90,Boston Celtics,96,Box Score,OT,10056,,Boston Garden,
Sat Feb 3 1951,,New York Knicks,83,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Sat Feb 3 1951,,Minneapolis Lakers,89,Indianapolis Olympians,84,Box Score,,,,Hinkle Fieldhouse,
Sat Feb 3 1951,,Philadelphia Warriors,61,Rochester Royals,65,Box Score,,,,Edgerton Park Arena,
Sun Feb 4 1951,,Baltimore Bullets,108,Fort Wayne Pistons,95,Box Score,,,,North Side High School Gym,
Sun Feb 4 1951,,Boston Celtics,84,Minneapolis Lakers,98,Box Score,,6879,,Minneapolis Auditorium,
Sun Feb 4 1951,,Indianapolis Olympians,105,New York Knicks,83,Box Score,,,,Madison Square Garden (III),
Sun Feb 4 1951,,Philadelphia Warriors,75,Syracuse Nationals,78,Box Score,,,,State Fair Coliseum,
Sun Feb 4 1951,,Rochester Royals,81,Tri-Cities Blackhawks,84,Box Score,,,,Wharton Field House,
Mon Feb 5 1951,,Indianapolis Olympians,57,Boston Celtics,70,Box Score,,2900,,Boston Garden,at Cincinnati OH
Tue Feb 6 1951,,New York Knicks,91,Baltimore Bullets,82,Box Score,,,,Baltimore Coliseum,at Philadelphia PA
Tue Feb 6 1951,,Rochester Royals,76,Indianapolis Olympians,78,Box Score,,,,Hinkle Fieldhouse,
Tue Feb 6 1951,,Tri-Cities Blackhawks,77,Philadelphia Warriors,97,Box Score,,,,Philadelphia Arena,
Wed Feb 7 1951,,Baltimore Bullets,102,Syracuse Nationals,82,Box Score,,,,State Fair Coliseum,
Wed Feb 7 1951,,Minneapolis Lakers,86,Fort Wayne Pistons,96,Box Score,,,,North Side High School Gym,
Thu Feb 8 1951,,Tri-Cities Blackhawks,70,Boston Celtics,85,Box Score,,3237,,Boston Garden,
Thu Feb 8 1951,,Rochester Royals,58,Minneapolis Lakers,69,Box Score,,,,Minneapolis Auditorium,
Thu Feb 8 1951,,Baltimore Bullets,75,Philadelphia Warriors,86,Box Score,,,,Philadelphia Arena,
Thu Feb 8 1951,,New York Knicks,83,Syracuse Nationals,96,Box Score,,,,State Fair Coliseum,
Sat Feb 10 1951,,Boston Celtics,76,Baltimore Bullets,81,Box Score,,2243,,Baltimore Coliseum,
Sat Feb 10 1951,,Philadelphia Warriors,88,Indianapolis Olympians,78,Box Score,,,,Hinkle Fieldhouse,
Sat Feb 10 1951,,Fort Wayne Pistons,62,New York Knicks,73,Box Score,,,,Madison Square Garden (III),
Sat Feb 10 1951,,Tri-Cities Blackhawks,90,Rochester Royals,98,Box Score,,,,Edgerton Park Arena,
Sun Feb 11 1951,,Syracuse Nationals,80,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Sun Feb 11 1951,,Philadelphia Warriors,72,Tri-Cities Blackhawks,76,Box Score,,,,Wharton Field House,
Sun Feb 11 1951,,Indianapolis Olympians,78,Minneapolis Lakers,91,Box Score,,,,Minneapolis Auditorium,
Sun Feb 11 1951,,New York Knicks,96,Fort Wayne Pistons,120,Box Score,,,,North Side High School Gym,
Sun Feb 11 1951,,Rochester Royals,77,Boston Celtics,93,Box Score,,6000,,Boston Garden,
Tue Feb 13 1951,,Fort Wayne Pistons,78,Indianapolis Olympians,80,Box Score,,,,Hinkle Fieldhouse,
Tue Feb 13 1951,,Boston Celtics,98,Philadelphia Warriors,104,Box Score,,3500,,Philadelphia Arena,
Wed Feb 14 1951,,Indianapolis Olympians,91,Tri-Cities Blackhawks,98,Box Score,,,,Wharton Field House,
Wed Feb 14 1951,,Rochester Royals,65,New York Knicks,81,Box Score,,,,Madison Square Garden (III),
Wed Feb 14 1951,,Syracuse Nationals,75,Fort Wayne Pistons,77,Box Score,,,,North Side High School Gym,
Wed Feb 14 1951,,Baltimore Bullets,71,Minneapolis Lakers,99,Box Score,,,,Minneapolis Auditorium,
Thu Feb 15 1951,,Indianapolis Olympians,69,Baltimore Bullets,60,Box Score,,,,Baltimore Coliseum,at Cincinnati OH
Thu Feb 15 1951,,New York Knicks,98,Philadelphia Warriors,93,Box Score,,,,Philadelphia Arena,
Thu Feb 15 1951,,Boston Celtics,80,Syracuse Nationals,94,Box Score,,3704,,State Fair Coliseum,
Fri Feb 16 1951,,Philadelphia Warriors,76,Boston Celtics,81,Box Score,,2515,,Boston Arena,
Fri Feb 16 1951,,Minneapolis Lakers,76,Indianapolis Olympians,71,Box Score,,,,Hinkle Fieldhouse,
Sat Feb 17 1951,,Fort Wayne Pistons,91,Baltimore Bullets,112,Box Score,,,,Baltimore Coliseum,
Sat Feb 17 1951,,Syracuse Nationals,75,New York Knicks,88,Box Score,,,,Madison Square Garden (III),
Sat Feb 17 1951,,Minneapolis Lakers,82,Rochester Royals,87,Box Score,,,,Edgerton Park Arena,
Sun Feb 18 1951,,Indianapolis Olympians,75,Boston Celtics,78,Box Score,,5563,,Boston Arena,
Sun Feb 18 1951,,Philadelphia Warriors,70,Fort Wayne Pistons,75,Box Score,,,,North Side High School Gym,
Sun Feb 18 1951,,Minneapolis Lakers,80,Syracuse Nationals,91,Box Score,,,,State Fair Coliseum,
Sun Feb 18 1951,,Rochester Royals,83,Tri-Cities Blackhawks,89,Box Score,,,,Wharton Field House,
Tue Feb 20 1951,,Syracuse Nationals,81,Indianapolis Olympians,79,Box Score,,,,Hinkle Fieldhouse,
Tue Feb 20 1951,,Tri-Cities Blackhawks,69,Philadelphia Warriors,99,Box Score,,,,Philadelphia Arena,
Tue Feb 20 1951,,Baltimore Bullets,89,Rochester Royals,105,Box Score,,,,Edgerton Park Arena,
Wed Feb 21 1951,,Syracuse Nationals,76,Minneapolis Lakers,82,Box Score,,,,Minneapolis Auditorium,
Wed Feb 21 1951,,Philadelphia Warriors,83,Baltimore Bullets,81,Box Score,,,,Baltimore Coliseum,
Wed Feb 21 1951,,New York Knicks,85,Boston Celtics,87,Box Score,OT,4529,,Boston Arena,
Thu Feb 22 1951,,Boston Celtics,72,Baltimore Bullets,69,Box Score,,13235,,Baltimore Coliseum,at New York NY
Thu Feb 22 1951,,Tri-Cities Blackhawks,90,New York Knicks,94,Box Score,,,,Madison Square Garden (III),
Thu Feb 22 1951,,Rochester Royals,90,Philadelphia Warriors,98,Box Score,,,,Philadelphia Arena,
Sat Feb 24 1951,,Boston Celtics,75,Baltimore Bullets,84,Box Score,,1775,,Baltimore Coliseum,
Sat Feb 24 1951,,Fort Wayne Pistons,78,Minneapolis Lakers,95,Box Score,,,,Minneapolis Auditorium,
Sat Feb 24 1951,,Philadelphia Warriors,70,New York Knicks,64,Box Score,,,,Madison Square Garden (III),
Sat Feb 24 1951,,Tri-Cities Blackhawks,89,Rochester Royals,99,Box Score,,,,Edgerton Park Arena,
Sun Feb 25 1951,,Baltimore Bullets,92,Fort Wayne Pistons,102,Box Score,,,,North Side High School Gym,
Sun Feb 25 1951,,Rochester Royals,82,Tri-Cities Blackhawks,78,Box Score,,,,Wharton Field House,
Sun Feb 25 1951,,New York Knicks,93,Syracuse Nationals,98,Box Score,,,,State Fair Coliseum,
Sun Feb 25 1951,,Indianapolis Olympians,75,Minneapolis Lakers,73,Box Score,,,,Minneapolis Auditorium,
Sun Feb 25 1951,,Philadelphia Warriors,83,Boston Celtics,93,Box Score,,4214,,Boston Garden,
Tue Feb 27 1951,,Baltimore Bullets,74,Indianapolis Olympians,96,Box Score,,,,Hinkle Fieldhouse,
Tue Feb 27 1951,,Tri-Cities Blackhawks,77,Minneapolis Lakers,83,Box Score,,,,Milwaukee Arena,at Milwaukee WI
Tue Feb 27 1951,,Syracuse Nationals,72,Philadelphia Warriors,86,Box Score,,,,Philadelphia Arena,
Tue Feb 27 1951,,New York Knicks,90,Rochester Royals,100,Box Score,,,,Edgerton Park Arena,
Wed Feb 28 1951,,Minneapolis Lakers,73,Fort Wayne Pistons,77,Box Score,,,,North Side High School Gym,
Wed Feb 28 1951,,Baltimore Bullets,85,Tri-Cities Blackhawks,100,Box Score,,,,Wharton Field House,
Thu Mar 1 1951,,Minneapolis Lakers,77,Philadelphia Warriors,97,Box Score,,,,Philadelphia Arena,
Thu Mar 1 1951,,Fort Wayne Pistons,86,Syracuse Nationals,108,Box Score,,,,State Fair Coliseum,
Thu Mar 1 1951,,New York Knicks,84,Boston Celtics,78,Box Score,,13909,,Boston Garden,
Sat Mar 3 1951,,Boston Celtics,95,Baltimore Bullets,87,Box Score,,,,Baltimore Coliseum,
Sat Mar 3 1951,,Syracuse Nationals,78,New York Knicks,97,Box Score,,,,Madison Square Garden (III),
Sat Mar 3 1951,,Fort Wayne Pistons,79,Rochester Royals,89,Box Score,,,,Edgerton Park Arena,
Sun Mar 4 1951,,Minneapolis Lakers,86,Boston Celtics,92,Box Score,,8274,,Boston Garden,
Sun Mar 4 1951,,New York Knicks,98,Fort Wayne Pistons,105,Box Score,,,,North Side High School Gym,
Sun Mar 4 1951,,Philadelphia Warriors,79,Syracuse Nationals,85,Box Score,,,,State Fair Coliseum,
Sun Mar 4 1951,,Indianapolis Olympians,72,Tri-Cities Blackhawks,87,Box Score,,,,Wharton Field House,
Tue Mar 6 1951,,Boston Celtics,73,Indianapolis Olympians,75,Box Score,,3337,,Hinkle Fieldhouse,
Tue Mar 6 1951,,New York Knicks,76,Philadelphia Warriors,96,Box Score,,,,Philadelphia Arena,
Tue Mar 6 1951,,Minneapolis Lakers,79,Rochester Royals,90,Box Score,,,,Edgerton Park Arena,
Tue Mar 6 1951,,Fort Wayne Pistons,86,Tri-Cities Blackhawks,88,Box Score,,,,Wharton Field House,
Wed Mar 7 1951,,Boston Celtics,99,Fort Wayne Pistons,95,Box Score,,,,North Side High School Gym,
Wed Mar 7 1951,,Philadelphia Warriors,95,Baltimore Bullets,84,Box Score,,,,Baltimore Coliseum,
Thu Mar 8 1951,,Minneapolis Lakers,94,New York Knicks,97,Box Score,OT,,,Madison Square Garden (III),
Thu Mar 8 1951,,Baltimore Bullets,90,Philadelphia Warriors,94,Box Score,2OT,,,Philadelphia Arena,
Thu Mar 8 1951,,Indianapolis Olympians,97,Syracuse Nationals,121,Box Score,,,,State Fair Coliseum,
Fri Mar 9 1951,,Rochester Royals,91,Indianapolis Olympians,84,Box Score,,,,Hinkle Fieldhouse,
Sat Mar 10 1951,,Syracuse Nationals,86,Rochester Royals,107,Box Score,,,,Edgerton Park Arena,
Sat Mar 10 1951,,Minneapolis Lakers,99,Tri-Cities Blackhawks,88,Box Score,,,,Wharton Field House,
Sun Mar 11 1951,,New York Knicks,89,Baltimore Bullets,112,Box Score,,,,Baltimore Coliseum,
Sun Mar 11 1951,,Tri-Cities Blackhawks,87,Fort Wayne Pistons,102,Box Score,,,,North Side High School Gym,
Sun Mar 11 1951,,Boston Celtics,96,Minneapolis Lakers,98,Box Score,2OT,6211,,Minneapolis Auditorium,
Sun Mar 11 1951,,Indianapolis Olympians,95,Rochester Royals,88,Box Score,,,,Edgerton Park Arena,
Sun Mar 11 1951,,Philadelphia Warriors,95,Syracuse Nationals,91,Box Score,,,,State Fair Coliseum,
Tue Mar 13 1951,,Rochester Royals,111,Boston Celtics,107,Box Score,2OT,4351,,Boston Garden,
Tue Mar 13 1951,,Syracuse Nationals,93,Indianapolis Olympians,98,Box Score,,,,Hinkle Fieldhouse,
Wed Mar 14 1951,,Indianapolis Olympians,109,Fort Wayne Pistons,115,Box Score,,,,North Side High School Gym,
Wed Mar 14 1951,,New York Knicks,92,Tri-Cities Blackhawks,91,Box Score,,,,Wharton Field House,
Wed Mar 14 1951,,Syracuse Nationals,76,Minneapolis Lakers,100,Box Score,,,,Minneapolis Auditorium,
Thu Mar 15 1951,,Rochester Royals,87,Baltimore Bullets,93,Box Score,,,,Baltimore Coliseum,
Thu Mar 15 1951,,New York Knicks,70,Indianapolis Olympians,74,Box Score,,,,Hinkle Fieldhouse,
Thu Mar 15 1951,,Fort Wayne Pistons,78,Philadelphia Warriors,88,Box Score,,,,Philadelphia Arena,
Fri Mar 16 1951,,Fort Wayne Pistons,88,Boston Celtics,90,Box Score,,2353,,Boston Arena,
Sat Mar 17 1951,,Indianapolis Olympians,92,Baltimore Bullets,91,Box Score,,,,Baltimore Coliseum,
Sat Mar 17 1951,,Syracuse Nationals,86,Philadelphia Warriors,100,Box Score,,,,Philadelphia Arena,
Sat Mar 17 1951,,Boston Celtics,89,Rochester Royals,114,Box Score,,2566,,Edgerton Park Arena,
Sat Mar 17 1951,,Minneapolis Lakers,92,Tri-Cities Blackhawks,91,Box Score,OT,,,Wharton Field House,
Sun Mar 18 1951,,Tri-Cities Blackhawks,82,Fort Wayne Pistons,95,Box Score,,,,North Side High School Gym,
Sun Mar 18 1951,,New York Knicks,68,Minneapolis Lakers,86,Box Score,,,,Minneapolis Auditorium,
Sun Mar 18 1951,,Indianapolis Olympians,79,Rochester Royals,91,Box Score,,,,Edgerton Park Arena,
Sun Mar 18 1951,,Boston Celtics,89,Syracuse Nationals,97,Box Score,,5236,,State Fair Coliseum,
Tue Mar 20 1951,,Syracuse Nationals,91,Philadelphia Warriors,89,Box Score,OT,,,Philadelphia Arena,
Tue Mar 20 1951,,Fort Wayne Pistons,81,Rochester Royals,110,Box Score,,,,Edgerton Park Arena,
Tue Mar 20 1951,,New York Knicks,83,Boston Celtics,69,Box Score,,5428,,Boston Garden,
Wed Mar 21 1951,,Indianapolis Olympians,81,Minneapolis Lakers,95,Box Score,,,,Minneapolis Auditorium,
Thu Mar 22 1951,,Rochester Royals,78,Fort Wayne Pistons,83,Box Score,,,,North Side High School Gym,
Thu Mar 22 1951,,Philadelphia Warriors,78,Syracuse Nationals,90,Box Score,,,,State Fair Coliseum,
Fri Mar 23 1951,,Minneapolis Lakers,88,Indianapolis Olympians,108,Box Score,,,,Hinkle Fieldhouse,
Sat Mar 24 1951,,Boston Celtics,78,New York Knicks,92,Box Score,,5014,,Madison Square Garden (III),
Sat Mar 24 1951,,Fort Wayne Pistons,78,Rochester Royals,97,Box Score,,,,Edgerton Park Arena,
Sun Mar 25 1951,,Indianapolis Olympians,80,Minneapolis Lakers,85,Box Score,,,,Minneapolis Armory,
Wed Mar 28 1951,,Syracuse Nationals,92,New York Knicks,103,Box Score,,,,Madison Square Garden (III),
Thu Mar 29 1951,,Rochester Royals,73,Minneapolis Lakers,76,Box Score,,,,Minneapolis Armory,
Thu Mar 29 1951,,New York Knicks,80,Syracuse Nationals,102,Box Score,,,,State Fair Coliseum,
Sat Mar 31 1951,,Rochester Royals,70,Minneapolis Lakers,66,Box Score,,,,Minneapolis Armory,
Sat Mar 31 1951,,Syracuse Nationals,75,New York Knicks,77,Box Score,OT,,,Madison Square Garden (III),
Sun Apr 1 1951,,Minneapolis Lakers,70,Rochester Royals,83,Box Score,,,,Edgerton Park Arena,
Sun Apr 1 1951,,New York Knicks,83,Syracuse Nationals,90,Box Score,,,,State Fair Coliseum,
Tue Apr 3 1951,,Minneapolis Lakers,75,Rochester Royals,80,Box Score,,,,Edgerton Park Arena,
Wed Apr 4 1951,,Syracuse Nationals,81,New York Knicks,83,Box Score,,,,Madison Square Garden (III),
Sat Apr 7 1951,,New York Knicks,65,Rochester Royals,92,Box Score,,4200,,Edgerton Park Arena,
Sun Apr 8 1951,,New York Knicks,84,Rochester Royals,99,Box Score,,4200,,Edgerton Park Arena,
Wed Apr 11 1951,,Rochester Royals,78,New York Knicks,71,Box Score,,5000,,Madison Square Garden (III),at 69th Regiment Armory
Fri Apr 13 1951,,Rochester Royals,73,New York Knicks,79,Box Score,,4000,,Madison Square Garden (III),at 69th Regiment Armory
Sun Apr 15 1951,,New York Knicks,92,Rochester Royals,89,Box Score,,4200,,Edgerton Park Arena,
Wed Apr 18 1951,,Rochester Royals,73,New York Knicks,80,Box Score,,4500,,Madison Square Garden (III),at 69th Regiment Armory
Sat Apr 21 1951,,New York Knicks,75,Rochester Royals,79,Box Score,,4200,,Edgerton Park Arena,
