--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Tue Nov 21 1950,,Boston Celtics,89,New York Knicks,83,Box Score,,9500,,Madison Square Garden (III),
Tue Nov 21 1950,,Rochester Royals,79,Indianapolis Olympians,91,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 22 1950,,New York Knicks,87,Baltimore Bullets,73,Box Score,,,,Baltimore Coliseum,
Wed Nov 22 1950,,Fort Wayne Pistons,19,Minneapolis Lakers,18,Box Score,,,,Minneapolis Auditorium,
Wed Nov 22 1950,,Tri-Cities Blackhawks,60,Washington Capitols,65,Box Score,,,,Uline Arena,
Thu Nov 23 1950,,Indianapolis Olympians,92,Syracuse Nationals,85,Box Score,,,,State Fair Coliseum,
Thu Nov 23 1950,,Rochester Royals,71,Philadelphia Warriors,89,Box Score,,,,Philadelphia Arena,
Thu Nov 23 1950,,Washington Capitols,78,New York Knicks,109,Box Score,,,,Madison Square Garden (III),
Thu Nov 23 1950,,Tri-Cities Blackhawks,78,Boston Celtics,94,Box Score,,9600,,Boston Garden,
Thu Nov 23 1950,,Minneapolis Lakers,63,Fort Wayne Pistons,73,Box Score,,,,North Side High School Gym,
Sat Nov 25 1950,,Baltimore Bullets,81,Indianapolis Olympians,92,Box Score,,,,Hinkle Fieldhouse,
Sat Nov 25 1950,,Boston Celtics,82,Rochester Royals,90,Box Score,,2790,,Edgerton Park Arena,
Sat Nov 25 1950,,Fort Wayne Pistons,71,Tri-Cities Blackhawks,85,Box Score,,,,Wharton Field House,
Sat Nov 25 1950,,Syracuse Nationals,77,Washington Capitols,67,Box Score,,,,Uline Arena,
Sun Nov 26 1950,,New York Knicks,90,Boston Celtics,93,Box Score,2OT,8332,,Boston Garden,
Sun Nov 26 1950,,Indianapolis Olympians,70,Fort Wayne Pistons,79,Box Score,,,,North Side High School Gym,
Sun Nov 26 1950,,Baltimore Bullets,71,Minneapolis Lakers,85,Box Score,,,,Minneapolis Auditorium,
Sun Nov 26 1950,,Washington Capitols,76,Syracuse Nationals,90,Box Score,,,,State Fair Coliseum,
Tue Nov 28 1950,,Philadelphia Warriors,76,Boston Celtics,74,Box Score,,12500,,Madison Square Garden (III),at New York NY
Tue Nov 28 1950,,Baltimore Bullets,73,Tri-Cities Blackhawks,65,Box Score,,,,Wharton Field House,
Tue Nov 28 1950,,Washington Capitols,71,Rochester Royals,87,Box Score,,,,Edgerton Park Arena,
Tue Nov 28 1950,,Syracuse Nationals,84,New York Knicks,108,Box Score,,,,Madison Square Garden (III),
Tue Nov 28 1950,,Fort Wayne Pistons,66,Indianapolis Olympians,90,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 29 1950,,Tri-Cities Blackhawks,66,Minneapolis Lakers,85,Box Score,,,,Minneapolis Auditorium,
Wed Nov 29 1950,,Rochester Royals,72,Washington Capitols,71,Box Score,,,,Uline Arena,
Thu Nov 30 1950,,Washington Capitols,85,Boston Celtics,81,Box Score,,4819,,Boston Garden,
Thu Nov 30 1950,,Rochester Royals,74,New York Knicks,79,Box Score,,,,Madison Square Garden (III),
Thu Nov 30 1950,,Syracuse Nationals,78,Philadelphia Warriors,81,Box Score,,,,Philadelphia Arena,
Fri Dec 1 1950,,Minneapolis Lakers,65,Indianapolis Olympians,66,Box Score,,,,Hinkle Fieldhouse,
Sat Dec 2 1950,,Syracuse Nationals,99,Baltimore Bullets,96,Box Score,OT,,,Baltimore Coliseum,
Sat Dec 2 1950,,Boston Celtics,83,Washington Capitols,75,Box Score,,1325,,Uline Arena,
Sat Dec 2 1950,,Indianapolis Olympians,72,Rochester Royals,94,Box Score,,,,Edgerton Park Arena,
Sun Dec 3 1950,,Baltimore Bullets,85,Boston Celtics,97,Box Score,,4542,,Boston Garden,
Sun Dec 3 1950,,Rochester Royals,79,Fort Wayne Pistons,80,Box Score,,,,North Side High School Gym,
Sun Dec 3 1950,,Philadelphia Warriors,83,Minneapolis Lakers,95,Box Score,,,,Minneapolis Auditorium,
Sun Dec 3 1950,,Indianapolis Olympians,81,Syracuse Nationals,84,Box Score,,,,State Fair Coliseum,
Sun Dec 3 1950,,New York Knicks,100,Tri-Cities Blackhawks,92,Box Score,,,,Wharton Field House,
Tue Dec 5 1950,,New York Knicks,89,Indianapolis Olympians,95,Box Score,,,,Hinkle Fieldhouse,
Wed Dec 6 1950,,Indianapolis Olympians,101,Washington Capitols,79,Box Score,,,,Uline Arena,
Wed Dec 6 1950,,New York Knicks,62,Minneapolis Lakers,84,Box Score,,,,Minneapolis Auditorium,
Wed Dec 6 1950,,Philadelphia Warriors,73,Fort Wayne Pistons,92,Box Score,,,,North Side High School Gym,
Wed Dec 6 1950,,Rochester Royals,74,Baltimore Bullets,70,Box Score,,,,Baltimore Coliseum,
Thu Dec 7 1950,,Indianapolis Olympians,73,Philadelphia Warriors,102,Box Score,,,,Philadelphia Arena,
Thu Dec 7 1950,,Rochester Royals,76,Syracuse Nationals,69,Box Score,,,,State Fair Coliseum,
Thu Dec 7 1950,,Fort Wayne Pistons,77,Tri-Cities Blackhawks,76,Box Score,,,,Wharton Field House,
Sat Dec 9 1950,,Philadelphia Warriors,75,Baltimore Bullets,76,Box Score,,,,Baltimore Coliseum,
Sat Dec 9 1950,,Syracuse Nationals,86,Boston Celtics,85,Box Score,,5073,,Boston Garden,
Sat Dec 9 1950,,Minneapolis Lakers,88,Tri-Cities Blackhawks,79,Box Score,,,,Wharton Field House,
Sat Dec 9 1950,,New York Knicks,84,Washington Capitols,91,Box Score,,,,Uline Arena,
Sun Dec 10 1950,,Washington Capitols,81,Fort Wayne Pistons,97,Box Score,,,,North Side High School Gym,
Sun Dec 10 1950,,Baltimore Bullets,86,Syracuse Nationals,76,Box Score,,,,State Fair Coliseum,
Sun Dec 10 1950,,Philadelphia Warriors,84,Rochester Royals,99,Box Score,,,,Edgerton Park Arena,
Sun Dec 10 1950,,Indianapolis Olympians,84,New York Knicks,106,Box Score,,,,Madison Square Garden (III),
Sun Dec 10 1950,,Tri-Cities Blackhawks,101,Minneapolis Lakers,114,Box Score,,,,Minneapolis Auditorium,
Tue Dec 12 1950,,Fort Wayne Pistons,81,Boston Celtics,87,Box Score,,13909,,Boston Garden,
Tue Dec 12 1950,,Tri-Cities Blackhawks,74,Indianapolis Olympians,75,Box Score,,,,Hinkle Fieldhouse,
Tue Dec 12 1950,,New York Knicks,91,Philadelphia Warriors,101,Box Score,,,,Philadelphia Arena,
Tue Dec 12 1950,,Baltimore Bullets,87,Rochester Royals,102,Box Score,,,,Edgerton Park Arena,
Wed Dec 13 1950,,Tri-Cities Blackhawks,55,Baltimore Bullets,83,Box Score,,,,Baltimore Coliseum,
Wed Dec 13 1950,,Rochester Royals,82,Minneapolis Lakers,72,Box Score,,,,Minneapolis Auditorium,
Wed Dec 13 1950,,Boston Celtics,79,Washington Capitols,110,Box Score,,1245,,Uline Arena,
Thu Dec 14 1950,,Fort Wayne Pistons,82,Philadelphia Warriors,94,Box Score,,,,Philadelphia Arena,
Thu Dec 14 1950,,Tri-Cities Blackhawks,78,Syracuse Nationals,69,Box Score,,,,State Fair Coliseum,
Fri Dec 15 1950,,Minneapolis Lakers,82,Indianapolis Olympians,71,Box Score,,,,Hinkle Fieldhouse,
Sat Dec 16 1950,,Philadelphia Warriors,96,Washington Capitols,88,Box Score,,,,Uline Arena,
Sat Dec 16 1950,,Minneapolis Lakers,86,Tri-Cities Blackhawks,71,Box Score,,,,Wharton Field House,
Sat Dec 16 1950,,Syracuse Nationals,79,Rochester Royals,75,Box Score,OT,,,Edgerton Park Arena,
Sat Dec 16 1950,,Boston Celtics,88,Baltimore Bullets,119,Box Score,,1910,,Baltimore Coliseum,
Sat Dec 16 1950,,Fort Wayne Pistons,77,New York Knicks,86,Box Score,,,,Madison Square Garden (III),
Sun Dec 17 1950,,Rochester Royals,75,Boston Celtics,88,Box Score,,5542,,Boston Garden,
Sun Dec 17 1950,,Tri-Cities Blackhawks,103,Fort Wayne Pistons,99,Box Score,,,,North Side High School Gym,
Sun Dec 17 1950,,Indianapolis Olympians,60,Minneapolis Lakers,79,Box Score,,,,Minneapolis Auditorium,
Sun Dec 17 1950,,New York Knicks,86,Syracuse Nationals,95,Box Score,,,,State Fair Coliseum,
Tue Dec 19 1950,,New York Knicks,86,Boston Celtics,80,Box Score,,6396,,Rhode Island Auditorium,at Providence RI
Tue Dec 19 1950,,Fort Wayne Pistons,93,Indianapolis Olympians,92,Box Score,,,,Hinkle Fieldhouse,
Tue Dec 19 1950,,Minneapolis Lakers,67,Philadelphia Warriors,71,Box Score,,,,Philadelphia Arena,
Wed Dec 20 1950,,Syracuse Nationals,83,Tri-Cities Blackhawks,86,Box Score,,,,Wharton Field House,
