--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Mon Nov 1 1948,St. Louis Bombers,80,Indianapolis Jets,84,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 3 1948,New York Knicks,80,Fort Wayne Pistons,76,Box Score,,,,North Side High School Gym,
Wed Nov 3 1948,Philadelphia Warriors,70,Washington Capitols,77,Box Score,,,,Uline Arena,
Thu Nov 4 1948,Minneapolis Lakers,84,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Thu Nov 4 1948,Boston Celtics,73,Philadelphia Warriors,94,Box Score,,4088,,Philadelphia Arena,
Thu Nov 4 1948,Washington Capitols,99,Providence Steamrollers,95,Box Score,3OT,,,Rhode Island Auditorium,
Fri Nov 5 1948,New York Knicks,87,Indianapolis Jets,71,Box Score,,,,Hinkle Fieldhouse,
Sat Nov 6 1948,Fort Wayne Pistons,55,St. Louis Bombers,65,Box Score,,,,St. Louis Arena,
Sat Nov 6 1948,Minneapolis Lakers,62,Washington Capitols,67,Box Score,,,,Uline Arena,
Sat Nov 6 1948,Indianapolis Jets,58,Rochester Royals,69,Box Score,,,,Edgerton Park Arena,
Sat Nov 6 1948,Philadelphia Warriors,69,Providence Steamrollers,56,Box Score,,,,Rhode Island Auditorium,
Sat Nov 6 1948,Baltimore Bullets,69,Chicago Stags,82,Box Score,,,,Chicago Stadium,
Sun Nov 7 1948,Philadelphia Warriors,77,Boston Celtics,85,Box Score,,4028,,Boston Arena,
Sun Nov 7 1948,Baltimore Bullets,78,Fort Wayne Pistons,77,Box Score,,,,North Side High School Gym,
Tue Nov 9 1948,Minneapolis Lakers,55,Boston Celtics,77,Box Score,,4111,,Boston Garden,
Tue Nov 9 1948,Baltimore Bullets,65,Indianapolis Jets,64,Box Score,,,,Hinkle Fieldhouse,
Tue Nov 9 1948,Providence Steamrollers,84,Philadelphia Warriors,92,Box Score,,,,Philadelphia Arena,
Tue Nov 9 1948,New York Knicks,56,St. Louis Bombers,60,Box Score,,,,St. Louis Arena,
Wed Nov 10 1948,Rochester Royals,66,Washington Capitols,73,Box Score,,,,Uline Arena,
Thu Nov 11 1948,Minneapolis Lakers,77,New York Knicks,68,Box Score,,,,Madison Square Garden (III),
Thu Nov 11 1948,Rochester Royals,83,Philadelphia Warriors,75,Box Score,,,,Philadelphia Arena,
Thu Nov 11 1948,Fort Wayne Pistons,87,Providence Steamrollers,90,Box Score,,,,Rhode Island Auditorium,
