--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Oct 31 1952,Boston Celtics,83,Indianapolis Olympians,68,Box Score,,5200,,Hinkle Fieldhouse,
Sat Nov 1 1952,Boston Celtics,91,Minneapolis Lakers,94,Box Score,,5359,,Minneapolis Auditorium,
Sat Nov 1 1952,Indianapolis Olympians,71,Milwaukee Hawks,73,Box Score,,,,Milwaukee Arena,
Sat Nov 1 1952,Fort Wayne Pistons,82,Rochester Royals,94,Box Score,,,,Edgerton Park Arena,
Sat Nov 1 1952,Baltimore Bullets,53,New York Knicks,69,Box Score,,,,Madison Square Garden (III),
Sat Nov 1 1952,Syracuse Nationals,84,Philadelphia Warriors,86,Box Score,OT,,,Convention Hall,
Sun Nov 2 1952,Minneapolis Lakers,81,Fort Wayne Pistons,69,Box Score,,,,War Memorial Coliseum,
Sun Nov 2 1952,Philadelphia Warriors,91,Syracuse Nationals,117,Box Score,,,,Onondaga War Memorial,
Wed Nov 5 1952,Minneapolis Lakers,97,Baltimore Bullets,75,Box Score,,,,Baltimore Coliseum,
Thu Nov 6 1952,Rochester Royals,84,Fort Wayne Pistons,64,Box Score,,,,War Memorial Coliseum,
Fri Nov 7 1952,Rochester Royals,65,Indianapolis Olympians,63,Box Score,,,,Hinkle Fieldhouse,
Sat Nov 8 1952,New York Knicks,92,Baltimore Bullets,62,Box Score,,,,Baltimore Coliseum,
Sat Nov 8 1952,Syracuse Nationals,83,Boston Celtics,106,Box Score,,5874,,Boston Garden,
Sat Nov 8 1952,Minneapolis Lakers,93,Philadelphia Warriors,71,Box Score,,,,Convention Hall,
Sat Nov 8 1952,Indianapolis Olympians,96,Rochester Royals,99,Box Score,4OT,,,Edgerton Park Arena,
Sun Nov 9 1952,Indianapolis Olympians,71,Fort Wayne Pistons,74,Box Score,,,,War Memorial Coliseum,
Sun Nov 9 1952,Rochester Royals,75,Milwaukee Hawks,78,Box Score,,,,Milwaukee Arena,
Sun Nov 9 1952,Minneapolis Lakers,89,Syracuse Nationals,96,Box Score,,,,Onondaga War Memorial,
Tue Nov 11 1952,New York Knicks,94,Rochester Royals,104,Box Score,,,,Edgerton Park Arena,
Tue Nov 11 1952,Minneapolis Lakers,101,Boston Celtics,92,Box Score,,13909,,Boston Garden,
Tue Nov 11 1952,Fort Wayne Pistons,63,Indianapolis Olympians,78,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 12 1952,Milwaukee Hawks,90,Baltimore Bullets,107,Box Score,,,,Baltimore Coliseum,
Thu Nov 13 1952,Rochester Royals,97,Milwaukee Hawks,79,Box Score,,,,Madison Square Garden (III),at New York NY
Thu Nov 13 1952,Minneapolis Lakers,91,New York Knicks,100,Box Score,,,,Madison Square Garden (III),
Thu Nov 13 1952,Boston Celtics,81,Syracuse Nationals,96,Box Score,,3493,,Onondaga War Memorial,
Fri Nov 14 1952,Indianapolis Olympians,77,Philadelphia Warriors,71,Box Score,,,,Philadelphia Arena,
Sat Nov 15 1952,Fort Wayne Pistons,68,Milwaukee Hawks,71,Box Score,,,,Milwaukee Arena,
Sat Nov 15 1952,Minneapolis Lakers,89,Rochester Royals,97,Box Score,,,,Edgerton Park Arena,
Sat Nov 15 1952,Boston Celtics,68,New York Knicks,79,Box Score,,12138,,Madison Square Garden (III),
Sat Nov 15 1952,Philadelphia Warriors,76,Indianapolis Olympians,79,Box Score,,,,Madison Square Garden (III),at New York NY
Sat Nov 15 1952,Syracuse Nationals,91,Baltimore Bullets,97,Box Score,OT,,,Baltimore Coliseum,
Sun Nov 16 1952,Philadelphia Warriors,81,Baltimore Bullets,79,Box Score,,,,Boston Garden,at Boston MA
Sun Nov 16 1952,Rochester Royals,87,Boston Celtics,96,Box Score,,2723,,Boston Garden,
Sun Nov 16 1952,New York Knicks,83,Fort Wayne Pistons,112,Box Score,,,,War Memorial Coliseum,
Sun Nov 16 1952,Milwaukee Hawks,51,Minneapolis Lakers,87,Box Score,,,,Minneapolis Auditorium,
Sun Nov 16 1952,Indianapolis Olympians,78,Syracuse Nationals,84,Box Score,,,,Onondaga War Memorial,
Tue Nov 18 1952,Philadelphia Warriors,83,Milwaukee Hawks,82,Box Score,,,,Hershey Sports Arena,at Hershey PA
Tue Nov 18 1952,New York Knicks,90,Indianapolis Olympians,100,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 19 1952,Philadelphia Warriors,89,Baltimore Bullets,106,Box Score,,,,Baltimore Coliseum,
Wed Nov 19 1952,Milwaukee Hawks,77,Boston Celtics,91,Box Score,,1815,,Baltimore Coliseum,at Baltimore MD
Thu Nov 20 1952,Minneapolis Lakers,89,Fort Wayne Pistons,81,Box Score,,,,War Memorial Coliseum,
Thu Nov 20 1952,New York Knicks,72,Indianapolis Olympians,67,Box Score,,,,Philadelphia Arena,at Philadelphia PA
Thu Nov 20 1952,Baltimore Bullets,99,Philadelphia Warriors,106,Box Score,,,,Philadelphia Arena,
Thu Nov 20 1952,Milwaukee Hawks,73,Syracuse Nationals,92,Box Score,,,,Onondaga War Memorial,
Sat Nov 22 1952,Philadelphia Warriors,95,Baltimore Bullets,96,Box Score,,,,Reynolds Coliseum,at Raleigh NC
Sat Nov 22 1952,Indianapolis Olympians,91,Boston Celtics,96,Box Score,OT,3133,,Boston Garden,
Sat Nov 22 1952,Fort Wayne Pistons,89,Minneapolis Lakers,96,Box Score,,,,Minneapolis Auditorium,
Sat Nov 22 1952,Syracuse Nationals,68,New York Knicks,98,Box Score,,,,Madison Square Garden (III),
Sat Nov 22 1952,Milwaukee Hawks,65,Rochester Royals,69,Box Score,,,,Edgerton Park Arena,
Sun Nov 23 1952,Indianapolis Olympians,100,Baltimore Bullets,90,Box Score,,,,Baltimore Coliseum,
Sun Nov 23 1952,Philadelphia Warriors,80,Fort Wayne Pistons,92,Box Score,,,,War Memorial Coliseum,
