date,season,week,season_type,away_team,away_conference,home_team,home_conference,away_points,home_points,neutral,conference_game,venue,notes
2003-08-23,2003,1,regular,Grambling,SWAC,San José State,Western Athletic,0,29,FALSE,FALSE,CEFCU Stadium,
2003-08-23,2003,1,regular,California,Pac-10,Kansas State,Big 12,7,10,FALSE,FALSE,,BCA CLASSIC AT KANSAS CITY MO
2003-08-28,2003,2,regular,Eastern Kentucky,OVC,Bowling Green,Mid-American,13,63,FALSE,FALSE,Doyt L. Perry Stadium,
2003-08-28,2003,2,regular,Southeast Missouri State,OVC,Ohio,Mid-American,3,17,FALSE,FALSE,Peden Stadium,
2003-08-28,2003,2,regular,Hampton,MEAC,Villanova,Atlantic 10,6,41,FALSE,FALSE,Villanova Stadium,
2003-08-28,2003,2,regular,East Tennessee State,Southern,Eastern Michigan,Mid-American,21,28,FALSE,FALSE,Rynearson Stadium,
2003-08-28,2003,2,regular,Bethel University Tennessee,,Nicholls,Southland,0,70,FALSE,FALSE,Manning Field at John L. Guidry Stadium,
2003-08-28,2003,2,regular,Wayne State (NE),,Western Illinois,MVFC,3,35,FALSE,FALSE,Hanson Field,
2003-08-28,2003,2,regular,Kent State,Mid-American,Akron,Mid-American,41,38,FALSE,TRUE,,
2003-08-28,2003,2,regular,Miami,Big East,Louisiana Tech,Western Athletic,48,9,FALSE,FALSE,Joe Aillet Stadium,
2003-08-28,2003,2,regular,Edinboro University,,Youngstown State,MVFC,11,35,FALSE,FALSE,Stambaugh Stadium,
2003-08-28,2003,2,regular,Maryland,ACC,Northern Illinois,Mid-American,13,20,FALSE,FALSE,Huskie Stadium,
2003-08-29,2003,2,regular,Quincy,,Southern Illinois,MVFC,14,64,TRUE,FALSE,,
2003-08-29,2003,2,regular,Union College,,Western Kentucky,MVFC,3,51,FALSE,FALSE,Houchens Industries-L.T. Smith Stadium,
2003-08-29,2003,2,regular,Samford,OVC,Chattanooga,Southern,31,23,FALSE,FALSE,Finley Stadium,
2003-08-29,2003,2,regular,Indiana State,MVFC,Ball State,Mid-American,7,31,FALSE,FALSE,Scheumann Stadium,
2003-08-29,2003,2,regular,Drake,Pioneer,Illinois State,MVFC,13,27,FALSE,FALSE,Hancock Stadium,
2003-08-29,2003,2,regular,Florida Atlantic,FCS Independents,Middle Tennessee,Sun Belt,20,19,FALSE,FALSE,"Johnny ""Red"" Floyd Stadium",
2003-08-29,2003,2,regular,East Central (OK),,Missouri State,MVFC,0,48,FALSE,FALSE,Plaster Sports Complex,
2003-08-29,2003,2,regular,Austin Peay,Pioneer,UT Martin,OVC,20,21,FALSE,FALSE,Graham Stadium,
2003-08-29,2003,2,regular,Utah State,Sun Belt,Utah,Mountain West,20,40,FALSE,FALSE,Rice-Eccles Stadium,
2003-08-29,2003,2,regular,Georgia Tech,ACC,BYU,Mountain West,13,24,FALSE,TRUE,LaVell Edwards Stadium,
2003-08-29,2003,2,regular,Sacramento State,Big Sky,Oregon State,Pac-10,7,40,FALSE,FALSE,Reser Stadium,
2003-08-30,2003,2,regular,Toledo,Mid-American,UNLV,Mountain West,18,28,FALSE,FALSE,Sam Boyd Stadium,
2003-08-30,2003,2,regular,Indiana,Big Ten,UConn,FBS Independents,10,34,FALSE,FALSE,Pratt & Whitney Stadium,
2003-08-30,2003,2,regular,Illinois,Big Ten,Missouri,Big 12,15,22,FALSE,FALSE,,
2003-08-30,2003,2,regular,Georgia,SEC,Clemson,ACC,30,0,FALSE,FALSE,"Memorial Stadium (Clemson, SC)",
2003-08-30,2003,2,regular,Wisconsin,Big Ten,West Virginia,Big East,24,17,FALSE,FALSE,Milan Puskar Stadium,
2003-08-30,2003,2,regular,Miami (OH),Mid-American,Iowa,Big Ten,3,21,FALSE,FALSE,Kinnick Stadium,
2003-08-30,2003,2,regular,Central Michigan,Mid-American,Michigan,Big Ten,7,45,FALSE,FALSE,Michigan Stadium,
2003-08-30,2003,2,regular,Stonehill,,Northeastern,Atlantic 10,6,78,TRUE,FALSE,,
2003-08-30,2003,2,regular,Ole Miss,SEC,Vanderbilt,SEC,24,21,FALSE,TRUE,FirstBank Stadium,
2003-08-30,2003,2,regular,Alabama State,SWAC,Florida A&M,,38,22,TRUE,FALSE,,
2003-08-30,2003,2,regular,Wake Forest,ACC,Boston College,Big East,32,28,FALSE,FALSE,"Alumni Stadium (Chestnut Hill, MA)",
2003-08-30,2003,2,regular,LIU Post,,Fordham,Patriot,7,42,TRUE,FALSE,,
2003-08-30,2003,2,regular,VMI,Big South,Navy,FBS Independents,10,37,FALSE,FALSE,Navy-Marine Corps Memorial Stadium,
2003-08-30,2003,2,regular,Wofford,Southern,Air Force,Mountain West,0,49,FALSE,FALSE,Falcon Stadium,
2003-08-30,2003,2,regular,New Mexico Highlands,,Northern Colorado,FCS Independents,13,72,FALSE,FALSE,Nottingham Field,
2003-08-30,2003,2,regular,Central Connecticut,NEC,New Hampshire,Atlantic 10,20,70,FALSE,FALSE,Wildcat Stadium,
2003-08-30,2003,2,regular,Fresno State,Western Athletic,Tennessee,SEC,6,24,FALSE,FALSE,Neyland Stadium,
2003-08-30,2003,2,regular,Oklahoma State,Big 12,Nebraska,Big 12,7,17,FALSE,TRUE,"Memorial Stadium (Lincoln, NE)",
2003-08-30,2003,2,regular,Temple,Big East,Penn State,Big Ten,10,23,FALSE,FALSE,Beaver Stadium,
2003-08-30,2003,2,regular,Charleston Southern,Big South,The Citadel,Southern,10,64,TRUE,FALSE,,
2003-08-30,2003,2,regular,Western Michigan,Mid-American,Michigan State,Big Ten,21,26,FALSE,FALSE,Spartan Stadium,
2003-08-30,2003,2,regular,Southern Miss,Conference USA,California,Pac-10,2,34,FALSE,TRUE,California Memorial Stadium,
2003-08-30,2003,2,regular,Montana State,Big Sky,Wyoming,Mountain West,10,21,FALSE,FALSE,War Memorial Stadium,
2003-08-30,2003,2,regular,Hofstra,Atlantic 10,Marshall,Mid-American,21,45,FALSE,FALSE,Joan C. Edwards Stadium,
2003-08-30,2003,2,regular,USC,Pac-10,Auburn,SEC,23,0,FALSE,FALSE,Jordan-Hare Stadium,
2003-08-30,2003,2,regular,San José State,Western Athletic,Florida,SEC,3,65,FALSE,FALSE,,
2003-08-30,2003,2,regular,Western Carolina,Southern,NC State,ACC,20,59,FALSE,FALSE,Carter-Finley Stadium,
