date,season,week,season_type,away_team,away_conference,home_team,home_conference,away_points,home_points,neutral,conference_game,venue,notes
2004-08-28,2004,1,regular,Glenville State,,Murray State,OVC,3,56,FALSE,FALSE,Roy Stewart Stadium,
2004-08-28,2004,1,regular,Indiana State,MVFC,Miami (OH),Mid-American,0,49,FALSE,FALSE,Yager Stadium,
2004-08-28,2004,1,regular,West Alabama,,Samford,OVC,20,34,TRUE,FALSE,,
2004-08-28,2004,1,regular,USC,Pac-10,Virginia Tech,ACC,24,13,FALSE,TRUE,,BCA CLASSIC AT LANDOVER MD
2004-09-02,2004,2,regular,New Hampshire,Atlantic 10,Delaware,Atlantic 10,24,21,TRUE,TRUE,,
2004-09-02,2004,2,regular,Bucknell,Patriot,Villanova,Atlantic 10,14,20,TRUE,FALSE,,
2004-09-02,2004,2,regular,Buffalo,Mid-American,Eastern Michigan,Mid-American,34,37,FALSE,TRUE,Rynearson Stadium,
2004-09-02,2004,2,regular,UAlbany,NEC,Hofstra,Atlantic 10,0,45,TRUE,FALSE,,
2004-09-02,2004,2,regular,Drake,Pioneer,Missouri State,MVFC,26,31,TRUE,FALSE,,
2004-09-02,2004,2,regular,West Virginia State,,Western Carolina,Southern,7,77,FALSE,FALSE,E. J. Whitmire Stadium,
2004-09-02,2004,2,regular,Texas A&M,Big 12,Utah,Mountain West,21,41,FALSE,FALSE,Rice-Eccles Stadium,
2004-09-02,2004,2,regular,Eastern Washington,Big Sky,Nicholls,Southland,14,37,FALSE,FALSE,Manning Field at John L. Guidry Stadium,
2004-09-02,2004,2,regular,Slippery Rock,,Youngstown State,MVFC,13,35,FALSE,FALSE,Stambaugh Stadium,
2004-09-03,2004,2,regular,Southeast Missouri State,OVC,Southern Illinois,MVFC,3,42,TRUE,FALSE,,
2004-09-03,2004,2,regular,Boston College,Big East,Ball State,Mid-American,19,11,FALSE,FALSE,Scheumann Stadium,
2004-09-03,2004,2,regular,St. Xavier IL,,Illinois State,MVFC,14,44,FALSE,FALSE,Hancock Stadium,
