date,season,week,season_type,away_team,away_conference,home_team,home_conference,away_points,home_points,neutral,conference_game,venue,notes
2006-08-26,2006,1,regular,Winston-Salem,FCS Independents,Catawba,,7,21,TRUE,FALSE,,
2006-08-31,2006,1,regular,Boston College,ACC,Central Michigan,Mid-American,31,24,FALSE,FALSE,Kelly/Shorts Stadium,
2006-08-31,2006,1,regular,Stephen F. Austin,Southland,Tulsa,Conference USA,7,45,TRUE,FALSE,,
2006-08-31,2006,1,regular,Temple,FBS Independents,Buffalo,Mid-American,3,9,FALSE,FALSE,UB Stadium,
2006-08-31,2006,1,regular,Wagner,NEC,La Salle,Metro Atlantic Athletic,38,15,TRUE,FALSE,,
2006-08-31,2006,1,regular,St. Paul's College,,Liberty,Big South,0,27,FALSE,FALSE,Williams Stadium (VA),
2006-08-31,2006,1,regular,Florida International,Sun Belt,Middle Tennessee,Sun Belt,6,7,FALSE,TRUE,"Johnny ""Red"" Floyd Stadium",
2006-08-31,2006,1,regular,Southern Arkansas,,Nicholls,Southland,0,35,FALSE,FALSE,Manning Field at John L. Guidry Stadium,
2006-08-31,2006,1,regular,Hofstra,Atlantic 10,Stony Brook,NEC,17,8,FALSE,FALSE,Kenneth P. LaValle Stadium,
2006-08-31,2006,1,regular,Chowan,,Western Carolina,Southern,0,42,FALSE,FALSE,E. J. Whitmire Stadium,
2006-08-31,2006,1,regular,Morehead State,Pioneer,Western Illinois,MVFC,6,31,FALSE,FALSE,Hanson Field,
2006-08-31,2006,1,regular,Rhode Island,Atlantic 10,UConn,Big East,7,52,FALSE,FALSE,Pratt & Whitney Stadium,
2006-08-31,2006,1,regular,Northwestern,Big Ten,Miami (OH),Mid-American,21,3,FALSE,FALSE,Yager Stadium,
2006-08-31,2006,1,regular,Eastern Michigan,Mid-American,Ball State,Mid-American,20,38,FALSE,TRUE,Scheumann Stadium,
2006-08-31,2006,1,regular,Minnesota,Big Ten,Kent State,Mid-American,44,0,FALSE,FALSE,Dix Stadium,
2006-08-31,2006,1,regular,Slippery Rock,,Youngstown State,MVFC,21,51,FALSE,FALSE,Stambaugh Stadium,
2006-09-01,2006,1,regular,Toledo,Mid-American,Iowa State,Big 12,43,45,FALSE,FALSE,Jack Trice Stadium,
2006-09-01,2006,1,regular,Lock Haven University,,Southern Illinois,MVFC,0,49,TRUE,FALSE,,
2006-09-01,2006,1,regular,South Carolina,SEC,Mississippi State,SEC,15,0,FALSE,TRUE,Davis Wade Stadium,
2006-09-01,2006,1,regular,Henderson State,,Central Arkansas,FCS Independents,6,39,TRUE,FALSE,,AT LITTLE ROCK AR
2006-09-01,2006,1,regular,Northern Iowa,MVFC,Drake,Pioneer,48,7,FALSE,FALSE,Drake Stadium,
2006-09-01,2006,1,regular,Alcorn State,SWAC,UL Monroe,Sun Belt,6,24,FALSE,FALSE,Malone Stadium,
2006-09-01,2006,1,regular,Miles College,,Samford,OVC,7,37,FALSE,FALSE,Seibert Stadium,
2006-09-01,2006,1,regular,Chattanooga,Southern,Tennessee Tech,OVC,31,7,FALSE,FALSE,Tucker Stadium,
2006-09-01,2006,1,regular,Sacramento State,Big Sky,Boise State,Western Athletic,0,45,FALSE,FALSE,Albertsons Stadium,
2006-09-01,2006,1,regular,SE Louisiana,Southland,New Mexico State,Western Athletic,15,30,FALSE,FALSE,Aggie Memorial Stadium,
2006-09-01,2006,1,regular,Northern Arizona,Big Sky,Arizona State,Pac-10,14,35,FALSE,FALSE,Mountain America Stadium,
2006-09-01,2006,1,regular,Eastern Washington,Big Sky,Oregon State,Pac-10,17,56,FALSE,FALSE,Reser Stadium,
2006-09-01,2006,1,regular,UTEP,Conference USA,San Diego State,Mountain West,34,27,FALSE,FALSE,Qualcomm Stadium,
2006-09-02,2006,1,regular,Nevada,Western Athletic,Fresno State,Western Athletic,19,28,FALSE,TRUE,Valley Children's Stadium,
2006-09-02,2006,1,regular,Azusa Pacific,,San Diego,Pioneer,0,27,FALSE,FALSE,Torero Stadium,
2006-09-02,2006,1,regular,Idaho,Western Athletic,Michigan State,Big Ten,17,27,FALSE,FALSE,Spartan Stadium,
2006-09-02,2006,1,regular,Vanderbilt,SEC,Michigan,Big Ten,7,27,FALSE,FALSE,Michigan Stadium,
2006-09-02,2006,1,regular,North Texas,Sun Belt,Texas,Big 12,7,56,FALSE,FALSE,DKR-Texas Memorial Stadium,
2006-09-02,2006,1,regular,Hampton,MEAC,Grambling,SWAC,27,26,TRUE,FALSE,Legion Field,
2006-09-02,2006,1,regular,Montana,Big Sky,Iowa,Big Ten,7,41,FALSE,FALSE,Kinnick Stadium,
2006-09-02,2006,1,regular,Western Kentucky,MVFC,Georgia,SEC,12,48,FALSE,FALSE,Sanford Stadium,
2006-09-02,2006,1,regular,Gardner-Webb,Big South,Jacksonville,Pioneer,49,14,TRUE,FALSE,D. B. Milne Field,
2006-09-02,2006,1,regular,Holy Cross,Patriot,Georgetown,Patriot,26,13,FALSE,TRUE,Cooper Field,
2006-09-02,2006,1,regular,Colgate,Patriot,Massachusetts,Atlantic 10,7,28,TRUE,FALSE,,
2006-09-02,2006,1,regular,Montclair State,,Iona,Metro Atlantic Athletic,21,7,TRUE,FALSE,,
2006-09-02,2006,1,regular,Robert Morris,NEC,Dayton,Pioneer,14,21,FALSE,FALSE,Welcome Stadium,
2006-09-02,2006,1,regular,Florida A&M,MEAC,Delaware State,MEAC,14,34,TRUE,TRUE,,
2006-09-02,2006,1,regular,UAlbany,NEC,Lehigh,Patriot,17,16,FALSE,FALSE,Goodman Stadium,
2006-09-02,2006,1,regular,Indiana State,MVFC,Purdue,Big Ten,35,60,FALSE,FALSE,Ross-Ade Stadium,
2006-09-02,2006,1,regular,St. Peter's,Metro Atlantic Athletic,St. Francis (PA),NEC,3,38,TRUE,FALSE,,
2006-09-02,2006,1,regular,Davidson,Pioneer,VMI,Big South,19,20,FALSE,FALSE,Alumni Memorial Field,
2006-09-02,2006,1,regular,Butler,Pioneer,Albion,,10,31,TRUE,FALSE,,
2006-09-02,2006,1,regular,Jacksonville State,OVC,Furman,Southern,13,17,FALSE,FALSE,Paladin Stadium,
2006-09-02,2006,1,regular,Northeastern,Atlantic 10,Virginia Tech,ACC,0,38,FALSE,FALSE,Lane Stadium,
2006-09-02,2006,1,regular,Charleston Southern,Big South,Presbyterian,FCS Independents,21,13,TRUE,FALSE,,
2006-09-02,2006,1,regular,Lafayette,Patriot,Sacred Heart,NEC,25,14,FALSE,FALSE,Campus Field,
2006-09-02,2006,1,regular,Valparaiso,Pioneer,Wisconsin-Lutheran,,54,0,TRUE,FALSE,,
2006-09-02,2006,1,regular,Montana State,Big Sky,Colorado,Big 12,19,10,FALSE,FALSE,Folsom Field,
2006-09-02,2006,1,regular,Rutgers,Big East,North Carolina,ACC,21,16,FALSE,FALSE,Kenan Stadium,
2006-09-02,2006,1,regular,Louisiana Tech,Western Athletic,Nebraska,Big 12,10,49,FALSE,FALSE,"Memorial Stadium (Lincoln, NE)",
2006-09-02,2006,1,regular,Northern Illinois,Mid-American,Ohio State,Big Ten,12,35,FALSE,FALSE,Ohio Stadium,
2006-09-02,2006,1,regular,Akron,Mid-American,Penn State,Big Ten,16,34,FALSE,FALSE,Beaver Stadium,
2006-09-02,2006,1,regular,Florida Atlantic,Sun Belt,Clemson,ACC,6,54,FALSE,FALSE,"Memorial Stadium (Clemson, SC)",
2006-09-02,2006,1,regular,San José State,Western Athletic,Washington,Pac-10,29,35,FALSE,FALSE,Husky Stadium,
2006-09-02,2006,1,regular,Marshall,Conference USA,West Virginia,Big East,10,42,FALSE,FALSE,Milan Puskar Stadium,
2006-09-02,2006,1,regular,Stanford,Pac-10,Oregon,Pac-10,10,48,FALSE,TRUE,Autzen Stadium,
2006-09-02,2006,1,regular,UC Davis,Great West,Northern Colorado,Big Sky,38,7,FALSE,FALSE,Nottingham Field,
2006-09-02,2006,1,regular,Utah State,Western Athletic,Wyoming,Mountain West,7,38,FALSE,FALSE,,
2006-09-02,2006,1,regular,Weber State,Big Sky,Colorado State,Mountain West,6,30,TRUE,FALSE,Sonny Lubick Field at Hughes Stadium,
2006-09-02,2006,1,regular,Savannah St,FCS Independents,Benedict College,,7,21,TRUE,FALSE,,
2006-09-02,2006,1,regular,Marist,Metro Atlantic Athletic,Central Connecticut,NEC,6,34,FALSE,FALSE,Arute Field,
