--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Saturday May 18,boxscore,FLA,@,CHC,W,3,2,,21-23,4,7.5,Burkett,Trachsel,Nen,2:37,D,38003,.70,+,
45,Sunday May 19,boxscore,FLA,@,CHC,W,8,7,11,22-23,4,7.0,Mantei,Wendell,Nen,3:43,D,30420,.73,++,
46,Monday May 20,boxscore,FLA,@,CIN,W,5,3,,23-23,3,7.0,Rapp,Burba,Nen,2:56,N,18023,.81,+++,
47,Tuesday May 21,boxscore,FLA,@,CIN,W,3,2,,24-23,3,6.0,Weathers,Salkeld,Mathews,2:34,N,19534,.87,++++,
48,Wednesday May 22,boxscore,FLA,@,CIN,L,1,4,,24-24,3,7.0,Smiley,Leiter,Brantley,2:32,D,22055,.96,-,
49,Friday May 24,boxscore,FLA,,STL,L,2,4,,24-25,4,8.0,Morgan,Burkett,Mathews,2:25,N,19583,.87,--,1996-05-24 (Site change)
50,Saturday May 25,boxscore,FLA,,STL,L,0,5,,24-26,4,8.0,Benes,Rapp,,2:44,N,26312,.79,---,1996-05-25 (Site change)
51,Sunday May 26,boxscore,FLA,,STL,W,8,2,7,25-26,4,8.0,Weathers,Osborne,,2:05,D,20573,.75,+,1996-05-26 (Site change)
52,Monday May 27,boxscore,FLA,,CIN,W,6,2,,26-26,3,8.0,Leiter,Smiley,,2:24,N,15919,.79,++,
53,Tuesday May 28,boxscore,FLA,,CIN,W,6,2,,27-26,3,7.5,Brown,Burba,Mathews,2:28,N,14052,.86,+++,
54,Friday May 31,boxscore,FLA,,CHC,L,1,2,,27-27,3,9.0,Navarro,Rapp,,2:22,N,19552,.90,-,
55,Saturday Jun 1,boxscore,FLA,,CHC,L,4,5,10,27-28,3,9.0,Wendell,Mathews,,3:16,N,30133,.84,--,
56,Sunday Jun 2,boxscore,FLA,,CHC,W,3,2,,28-28,3,9.0,Brown,Telemaco,Nen,2:31,D,22174,.73,+,
57,Tuesday Jun 4,boxscore,FLA,,MON,W,5,0,,29-28,3,8.5,Burkett,Rueter,,2:16,N,14821,1.01,++,
58,Wednesday Jun 5,boxscore,FLA,,MON,L,1,2,,29-29,3,9.5,Cormier,Rapp,Veres,2:43,N,21342,1.18,-,
59,Friday Jun 7,boxscore,FLA,@,NYM,W,12,2,,30-29,3,8.5,Leiter,Harnisch,,3:01,N,13009,.86,+,
60,Saturday Jun 8,boxscore,FLA,@,NYM,L,6,7,,30-30,3,8.5,Clark,Weathers,Franco,2:45,N,22550,.95,-,
61,Sunday Jun 9,boxscore,FLA,@,NYM,L,0,3,,30-31,3,9.5,Isringhausen,Burkett,,2:15,D,40707,.93,--,
62,Monday Jun 10,boxscore,FLA,@,MON,W,5,2,,31-31,3,8.5,Nen,Dyer,,3:07,N,34867,1.01,+,
63,Tuesday Jun 11,boxscore,FLA,@,MON,L,2,3,,31-32,3,9.5,Scott,Brown,Veres,2:34,N,10758,1.14,-,
64,Wednesday Jun 12,boxscore,FLA,@,MON,L,0,8,,31-33,3,9.5,Fassero,Leiter,,2:39,N,12341,1.09,--,
65,Thursday Jun 13,boxscore,FLA,@,PIT,W,4,3,,32-33,3,8.5,Pérez,Córdova,Nen,2:39,N,15083,.81,+,
66,Friday Jun 14,boxscore,FLA,@,PIT,L-wo,4,5,,32-34,3,9.5,Plesac,Nen,,2:37,N,26494,.90,-,
67,Saturday Jun 15,boxscore,FLA,@,PIT,L,8,12,,32-35,3,9.5,Darwin,Rapp,,3:07,N,15596,.83,--,
68,Sunday Jun 16,boxscore,FLA,@,PIT,W,4,2,,33-35,3,8.5,Brown,Neagle,Nen,2:36,D,28120,.72,+,
69,Monday Jun 17,boxscore,FLA,@,SFG,L,0,1,,33-36,3,9.5,Fernández,Leiter,Beck,2:30,D,9524,.86,-,
70,Tuesday Jun 18,boxscore,FLA,@,SFG,L-wo,8,9,15,33-37,3,10.5,Juden,Rapp,,4:36,D,15439,.74,--,
71,Wednesday Jun 19,boxscore,FLA,@,SFG,L-wo,4,7,15,33-38,3,11.5,Bautista,Mathews,,4:02,N,13274,.68,---,
72,Friday Jun 21,boxscore,FLA,,PIT,W,4,0,,34-38,3,11.5,Brown,Darwin,,2:21,N,20442,.55,+,
73,Saturday Jun 22,boxscore,FLA,,PIT,L,1,4,10,34-39,3,12.5,Plesac,Pérez,,2:50,N,26666,.58,-,
74,Sunday Jun 23,boxscore,FLA,,PIT,L,3,5,,34-40,3,13.5,Lieber,Rapp,Córdova,2:57,D,20769,.53,--,
75,Monday Jun 24,boxscore,FLA,,SFG,W,2,1,,35-40,3,12.5,Burkett,Leiter,Nen,2:50,N,16860,.43,+,
76,Tuesday Jun 25,boxscore,FLA,,SFG,W-wo,5,4,10,36-40,3,12.5,Powell,Beck,,3:25,N,16577,.47,++,
77,Wednesday Jun 26,boxscore,FLA,,SFG,W,3,2,,37-40,3,11.5,Brown,Watson,,2:15,D,21188,.53,+++,
78,Friday Jun 28,boxscore,FLA,,ATL,W,2,0,,38-40,3,11.0,Leiter,Glavine,Nen,2:53,N,30661,.69,++++,
79,Saturday Jun 29,boxscore,FLA,,ATL,W,5,3,,39-40,3,10.0,Rapp,Smoltz,,2:49,N,40952,.83,+++++,
80,Sunday Jun 30,boxscore,FLA,,ATL,L,4,5,,39-41,3,11.0,Clontz,Burkett,Wohlers,2:54,D,34023,.90,-,
81,Monday Jul 1,boxscore,FLA,@,HOU,L,2,6,,39-42,3,12.0,Hampton,Brown,,2:03,N,18513,.64,--,
82,Tuesday Jul 2,boxscore,FLA,@,HOU,L-wo,3,4,12,39-43,3,12.0,Johnstone,Mathews,,3:54,N,18897,.59,---,
83,Wednesday Jul 3,boxscore,FLA,@,HOU,L,3,4,,39-44,3,13.0,Drabek,Leiter,Jones,2:56,D,24537,.48,----,
84,Thursday Jul 4,boxscore,FLA,@,PHI,L,5,8,,39-45,3,13.0,Blazier,Rapp,Bottalico,3:09,D,17460,.43,-----,
85,Friday Jul 5,boxscore,FLA,@,PHI,L,4,7,,39-46,4,13.0,Borland,Miller,Bottalico,3:07,N,46872,.38,------,
86,Saturday Jul 6,boxscore,FLA,@,PHI,L,1,2,,39-47,4,14.0,Williams,Brown,Bottalico,2:19,N,22278,.34,-------,
87,Sunday Jul 7,boxscore,FLA,@,PHI,W,7,4,10,40-47,4,14.0,Mathews,Jordan,Nen,3:23,D,28183,.29,+,
88,Thursday Jul 11,boxscore,FLA,@,ATL,W,9,8,,41-47,4,13.0,Burkett,Avery,Nen,3:13,N,33208,.38,++,
89,Friday Jul 12,boxscore,FLA,@,ATL,L,3,6,,41-48,4,14.0,Glavine,Leiter,Wohlers,2:49,N,32517,.50,-,
90,Saturday Jul 13,boxscore,FLA,@,ATL,L,0,3,,41-49,4,15.0,Smoltz,Brown,,2:11,D,36953,.43,--,
91,Sunday Jul 14,boxscore,FLA,@,ATL,L,10,15,,41-50,4,16.0,McMichael,Pérez,,3:16,D,31134,.34,---,
92,Monday Jul 15,boxscore,FLA,,HOU,W,15,5,,42-50,4,16.0,Pall,Wall,,3:04,N,15807,.26,+,
93,Tuesday Jul 16,boxscore,FLA,,HOU,W-wo,3,2,,43-50,4,16.0,Pérez,Jones,,2:47,N,15610,.32,++,
94,Wednesday Jul 17,boxscore,FLA,,HOU,W,11,2,,44-50,4,15.5,Leiter,Reynolds,,2:58,N,16345,.38,+++,
95,Thursday Jul 18,boxscore,FLA,,PHI,W,7,0,,45-50,4,15.5,Brown,Mimbs,,2:06,N,16521,.40,++++,
96,Friday Jul 19,boxscore,FLA,,PHI,W,11,2,,46-50,3,14.5,Hammond,Williams,,2:48,N,19123,.45,+++++,
97,Saturday Jul 20,boxscore,FLA,,PHI,W,7,4,,47-50,3,13.5,Rapp,Springer,Nen,2:57,N,24336,.51,++++++,
98,Sunday Jul 21,boxscore,FLA,,PHI,L,3,12,,47-51,3,13.5,Schilling,Burkett,Bottalico,2:53,D,20873,.62,-,
99,Tuesday Jul 23,boxscore,FLA,,LAD,L,1,7,,47-52,3,15.0,Valdez,Leiter,,2:52,N,17889,.50,--,
100,Wednesday Jul 24,boxscore,FLA,,LAD,W,3,0,,48-52,3,15.0,Brown,Nomo,Nen,2:11,N,20486,.45,+,
101,Thursday Jul 25,boxscore,FLA,,LAD,L,3,6,,48-53,3,15.0,Astacio,Hammond,Worrell,2:47,N,18151,.55,-,
102,Friday Jul 26,boxscore,FLA,,SDP,L,0,3,11,48-54,3,16.0,Hoffman,Pall,,3:42,N,19677,.42,--,
103,Saturday Jul 27,boxscore,FLA,,SDP,L,12,20,,48-55,3,16.0,Villone,Mathews,,4:10,N,26182,.30,---,
104,Sunday Jul 28,boxscore,FLA,,SDP,W,8,2,,49-55,3,15.0,Leiter,Hamilton,,2:54,D,22683,.24,+,
105,Monday Jul 29,boxscore,FLA,,SDP,L,3,5,,49-56,3,15.5,Sanders,Brown,Hoffman,2:39,D,18281,.34,-,
106,Tuesday Jul 30,boxscore,FLA,@,LAD,L-wo,4,5,10,49-57,4,15.5,Osuna,Weathers,,3:34,N,34973,.24,--,
107,Wednesday Jul 31,boxscore,FLA,@,LAD,L,0,3,,49-58,4,16.5,Martínez,Rapp,Worrell,2:36,N,29565,.19,---,
108,Thursday Aug 1,boxscore,FLA,@,LAD,W,7,6,14,50-58,4,16.5,Hammond,Dreifort,Mathews,4:41,N,41197,.12,+,
109,Friday Aug 2,boxscore,FLA,@,SDP,L,1,2,,50-59,4,16.5,Hoffman,Pérez,,2:38,N,18239,.18,-,
