--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,Tuesday May 21,boxscore,CLE,,MIL,W-wo,6,5,,29-13,1,up 4.5,Tavárez,Boze,,3:23,N,39974,1.29,++,
43,Wednesday May 22,boxscore,CLE,,MIL,L,8,10,,29-14,1,up 3.5,Karl,McDowell,Fetters,3:23,N,41027,1.20,-,
44,Thursday May 23,boxscore,CLE,,MIL,W,5,1,,30-14,1,up 4.0,Hershiser,Miranda,,2:41,N,42395,1.34,+,
45,Friday May 24,boxscore,CLE,@,DET,W,6,3,,31-14,1,up 4.0,Plunk,Veres,Mesa,2:58,N,26967,1.09,++,
46,Saturday May 25,boxscore,CLE,@,DET,W,7,6,,32-14,1,up 4.0,Nagy,Lewis,Mesa,3:24,D,41527,1.04,+++,
47,Sunday May 26,boxscore,CLE,@,DET,W,5,0,,33-14,1,up 4.0,Martínez,Williams,,2:41,D,39056,.95,++++,
48,Monday May 27,boxscore,CLE,@,TEX,L-wo,2,3,,33-15,1,up 4.0,Pavlik,McDowell,,2:40,N,46521,.96,-,
49,Tuesday May 28,boxscore,CLE,@,TEX,L,3,11,,33-16,1,up 3.0,Oliver,Hershiser,,2:43,N,35727,1.03,--,
50,Wednesday May 29,boxscore,CLE,@,TEX,L,4,5,,33-17,1,up 3.0,Cook,Tavárez,Henneman,3:07,N,35893,1.08,---,
51,Thursday May 30,boxscore,CLE,@,MIL,W,2,0,,34-17,1,up 3.0,Nagy,Bones,Mesa,3:11,N,11543,1.23,+,
52,Friday May 31,boxscore,CLE,@,MIL,W,10,4,,35-17,1,up 3.0,Martínez,McDonald,,3:48,N,24050,1.11,++,
53,Saturday Jun 1,boxscore,CLE,@,MIL,L,1,2,,35-18,1,up 2.5,García,McDowell,Fetters,3:06,D,22004,1.07,-,
