--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Tuesday May 21,boxscore,NYM,@,LAD,L,4,6,,18-26,5,10.5,Valdez,Harnisch,Worrell,2:30,N,27158,.46,-,
45,Wednesday May 22,boxscore,NYM,@,LAD,W,3,2,,19-26,5,10.5,Clark,Nomo,Franco,2:32,N,33716,.42,+,
46,Friday May 24,boxscore,NYM,,SDP,L,1,13,,19-27,5,11.5,Valenzuela,Isringhausen,,2:50,N,24751,.47,-,
47,Saturday May 25,boxscore,NYM,,SDP,L,2,7,,19-28,5,11.5,Ashby,Wilson,,3:16,D,21057,.43,--,
48,Sunday May 26,boxscore,NYM,,SDP,W,1,0,,20-28,5,11.5,Jones,Bergman,Franco,2:22,D,20405,.38,+,
49,Tuesday May 28,boxscore,NYM,,SFG,W,4,0,,21-28,5,11.5,Clark,Leiter,Henry,2:25,N,15733,.41,++,
50,Wednesday May 29,boxscore,NYM,,SFG,L,2,4,,21-29,5,12.5,VanLandingham,Isringhausen,Beck,2:17,N,15578,.46,-,
51,Thursday May 30,boxscore,NYM,,SFG,W,1,0,,22-29,5,12.0,Wilson,Watson,Franco,2:09,D,15781,.38,+,
52,Friday May 31,boxscore,NYM,,LAD,L,3,10,,22-30,5,13.0,Martínez,Jones,,2:45,N,19793,.44,-,
53,Saturday Jun 1,boxscore,NYM,,LAD,W,4,3,,23-30,5,12.0,Harnisch,Candiotti,Franco,2:31,D,26445,.37,+,
54,Sunday Jun 2,boxscore,NYM,,LAD,L,0,1,,23-31,5,13.0,Valdez,Clark,Worrell,2:14,D,39328,.44,-,
55,Monday Jun 3,boxscore,NYM,@,ATL,L,4,5,,23-32,5,14.0,Clontz,MacDonald,Wohlers,2:33,N,30162,.39,--,
56,Tuesday Jun 4,boxscore,NYM,@,ATL,W,12,6,,24-32,5,13.0,Wilson,Schmidt,,2:53,N,32199,.35,+,
57,Wednesday Jun 5,boxscore,NYM,@,ATL,L,6,8,,24-33,5,14.0,McMichael,Mlicki,Wohlers,2:38,N,31998,.43,-,
58,Friday Jun 7,boxscore,NYM,,FLA,L,2,12,,24-34,5,14.0,Leiter,Harnisch,,3:01,N,13009,.33,--,
59,Saturday Jun 8,boxscore,NYM,,FLA,W,7,6,,25-34,5,13.0,Clark,Weathers,Franco,2:45,N,22550,.29,+,
60,Sunday Jun 9,boxscore,NYM,,FLA,W,3,0,,26-34,5,13.0,Isringhausen,Burkett,,2:15,D,40707,.35,++,
61,Monday Jun 10,boxscore,NYM,,ATL,W,8,3,,27-34,5,12.0,Jones,Avery,,2:43,N,17439,.41,+++,
62,Tuesday Jun 11,boxscore,NYM,,ATL,L,3,4,13,27-35,5,13.0,Borbón,Byrd,Wade,3:42,N,19256,.53,-,
63,Wednesday Jun 12,boxscore,NYM,,ATL,W,3,2,,28-35,5,12.0,Clark,Maddux,Franco,2:17,N,18896,.43,+,
64,Thursday Jun 13,boxscore,NYM,@,STL,W,2,1,,29-35,4,11.0,Person,Benes,Henry,2:34,N,30697,.45,++,
65,Friday Jun 14,boxscore,NYM,@,STL,L,4,13,,29-36,4,12.0,Stottlemyre,Isringhausen,,2:47,N,38556,.50,-,
66,Saturday Jun 15,boxscore,NYM,@,STL,L,2,4,,29-37,4,12.0,Benes,Jones,Eckersley,2:26,N,50635,.43,--,
67,Sunday Jun 16,boxscore,NYM,@,STL,L,4,5,,29-38,4,12.0,Petkovsek,Henry,Eckersley,2:39,D,31375,.39,---,
68,Monday Jun 17,boxscore,NYM,@,PIT,W,7,6,10,30-38,4,12.0,Mlicki,Córdova,Franco,3:12,D,11002,.34,+,
69,Wednesday Jun 19 (1),boxscore,NYM,@,PIT,L,5,6,,30-39,4,13.0,Plesac,Isringhausen,,2:13,N,,.35,-,1996-06-18 (Rain)
70,Wednesday Jun 19 (2),boxscore,NYM,@,PIT,W,5,3,,31-39,4,13.0,Mlicki,Córdova,Franco,3:06,N,20108,.30,+,
71,Thursday Jun 20,boxscore,NYM,,CIN,L,3,5,,31-40,4,13.5,Burba,Jones,Shaw,2:49,N,16994,.35,-,
72,Friday Jun 21,boxscore,NYM,,CIN,W,9,4,,32-40,4,13.5,Dipoto,Salkeld,Mlicki,2:53,N,19432,.30,+,
73,Saturday Jun 22,boxscore,NYM,,CIN,W,5,2,,33-40,4,13.5,Clark,Schourek,Franco,2:27,N,24589,.31,++,
74,Sunday Jun 23,boxscore,NYM,,CIN,L,1,2,,33-41,4,14.5,Smiley,Person,Brantley,2:14,N,18593,.37,-,
75,Monday Jun 24,boxscore,NYM,,COL,W,2,1,,34-41,4,13.5,Isringhausen,Holmes,Franco,2:29,N,16988,.30,+,
76,Tuesday Jun 25,boxscore,NYM,,COL,W,3,2,,35-41,4,13.5,Jones,Thompson,Franco,2:34,N,18251,.36,++,
77,Wednesday Jun 26,boxscore,NYM,,COL,W,9,5,,36-41,4,12.5,Mlicki,Reed,,3:15,D,20675,.38,+++,
78,Friday Jun 28,boxscore,NYM,@,HOU,W,7,2,,37-41,4,12.0,Clark,Drabek,Henry,2:49,N,24569,.48,++++,
79,Saturday Jun 29,boxscore,NYM,@,HOU,L,1,9,,37-42,4,12.0,Reynolds,Person,,2:49,N,35454,.59,-,
80,Sunday Jun 30,boxscore,NYM,@,HOU,L,3,9,,37-43,4,13.0,Kile,Isringhausen,,2:39,D,35981,.48,--,
81,Monday Jul 1,boxscore,NYM,@,PHI,L,4,6,,37-44,4,14.0,Williams,Jones,Ryan,2:48,N,20779,.37,---,
82,Tuesday Jul 2,boxscore,NYM,@,PHI,L,2,3,,37-45,4,14.0,Springer,Harnisch,Bottalico,2:23,N,20890,.34,----,
83,Wednesday Jul 3,boxscore,NYM,@,PHI,W,10,6,,38-45,4,14.0,Byrd,Ryan,Henry,3:05,N,43158,.26,+,
84,Thursday Jul 4,boxscore,NYM,@,MON,W,4,0,,39-45,3,13.0,Person,Fassero,,2:30,N,11861,.45,++,
85,Friday Jul 5,boxscore,NYM,@,MON,W,9,6,,40-45,3,12.0,Dipoto,Scott,Franco,3:29,N,13550,.55,+++,
86,Saturday Jul 6,boxscore,NYM,@,MON,W,11,3,,41-45,3,12.0,Jones,Rueter,,3:15,D,15546,.63,++++,
87,Sunday Jul 7,boxscore,NYM,@,MON,L,3,4,,41-46,3,13.0,Cormier,Harnisch,Rojas,2:38,D,16076,.78,-,
88,Thursday Jul 11,boxscore,NYM,,HOU,W,8,2,,42-46,3,12.0,Clark,Drabek,,2:51,N,18557,.52,+,
89,Friday Jul 12,boxscore,NYM,,HOU,L,1,3,,42-47,3,13.0,Reynolds,Jones,Wagner,2:37,N,17405,.60,-,
90,Sunday Jul 14 (1),boxscore,NYM,,HOU,L,5,7,11,42-48,3,14.0,Hernandez,Mlicki,Jones,4:06,D,,.57,--,1996-07-13 (Rain)
91,Sunday Jul 14 (2),boxscore,NYM,,HOU,W,10,3,,43-48,3,14.0,Harnisch,Hampton,,2:44,N,33505,.48,+,
92,Monday Jul 15,boxscore,NYM,,PHI,W,7,5,,44-48,3,14.0,Dipoto,Springer,Henry,3:26,N,15549,.48,++,
93,Tuesday Jul 16,boxscore,NYM,,PHI,W,6,3,,45-48,3,14.0,Clark,Schilling,Franco,2:16,N,18478,.56,+++,
94,Wednesday Jul 17,boxscore,NYM,,PHI,W-wo,3,2,,46-48,3,13.5,Mlicki,Frey,,2:52,D,29459,.67,++++,
95,Thursday Jul 18,boxscore,NYM,,MON,L,3,7,,46-49,3,14.5,Martínez,Harnisch,,2:17,N,19467,.97,-,
96,Friday Jul 19,boxscore,NYM,,MON,L,4,5,,46-50,3,14.5,Dyer,Isringhausen,Rojas,2:32,N,19005,.80,--,
97,Saturday Jul 20,boxscore,NYM,,MON,W,4,1,,47-50,3,13.5,Wilson,Urbina,Franco,2:12,N,27407,.67,+,
98,Sunday Jul 21,boxscore,NYM,,MON,L,3,4,,47-51,3,13.5,Fassero,Clark,Rojas,3:06,D,32173,.76,-,
99,Tuesday Jul 23 (1),boxscore,NYM,@,COL,L,7,10,,47-52,4,15.5,Ruffin,Henry,,3:27,D,48016,.48,--,1996-04-13 (Snow)
100,Tuesday Jul 23 (2),boxscore,NYM,@,COL,L-wo,10,11,,47-53,4,15.5,Reed,Henry,,3:38,N,48058,.39,---,
101,Wednesday Jul 24,boxscore,NYM,@,COL,L-wo,6,7,10,47-54,4,16.5,Leskanic,Byrd,,3:13,N,48061,.34,----,
102,Friday Jul 26,boxscore,NYM,@,CIN,L,4,7,,47-55,4,17.0,Smiley,Wilson,,2:42,N,30011,.26,-----,
103,Saturday Jul 27,boxscore,NYM,@,CIN,L,5,7,,47-56,4,17.0,Service,Clark,Brantley,2:55,D,26880,.18,------,
104,Sunday Jul 28,boxscore,NYM,@,CIN,W,7,1,,48-56,4,16.0,Jones,Jarvis,,2:31,D,25094,.16,+,
105,Monday Jul 29,boxscore,NYM,,PIT,W,5,0,,49-56,3,15.5,Harnisch,Peters,,1:59,N,15680,.20,++,
106,Tuesday Jul 30 (1),boxscore,NYM,,PIT,W,5,4,,50-56,3,14.0,Isringhausen,Córdova,Franco,2:52,N,,.21,+++,1996-04-07 (Rain)
107,Tuesday Jul 30 (2),boxscore,NYM,,PIT,W-wo,4,3,12,51-56,3,14.0,Franco,Lieber,,3:43,N,18378,.28,++++,
108,Wednesday Jul 31,boxscore,NYM,,PIT,W-wo,3,2,10,52-56,3,14.0,Dipoto,Plesac,,2:43,N,15787,.33,+++++,
109,Thursday Aug 1,boxscore,NYM,,PIT,L,9,13,,52-57,3,15.0,Morel,Mlicki,Ericks,3:31,D,20327,.36,-,
110,Friday Aug 2,boxscore,NYM,,STL,L,3,4,,52-58,3,15.0,Stottlemyre,Jones,Honeycutt,2:45,N,34091,.35,--,
111,Saturday Aug 3,boxscore,NYM,,STL,W,5,4,,53-58,3,15.0,Harnisch,Benes,Franco,2:59,N,28594,.22,+,
112,Sunday Aug 4,boxscore,NYM,,STL,L,2,4,,53-59,3,16.0,Morgan,Isringhausen,Eckersley,2:21,D,24595,.26,-,
113,Monday Aug 5,boxscore,NYM,@,CHC,L,3,7,,53-60,3,16.5,Trachsel,Wilson,,2:46,N,36766,.15,--,
114,Tuesday Aug 6,boxscore,NYM,@,CHC,L,0,3,,53-61,3,17.5,Navarro,Clark,Patterson,2:20,D,24558,.11,---,
115,Wednesday Aug 7,boxscore,NYM,@,CHC,W,11,7,,54-61,3,17.5,Dipoto,Adams,,3:10,D,27086,.06,+,
116,Thursday Aug 8,boxscore,NYM,@,FLA,W,3,0,,55-61,3,16.5,Harnisch,Brown,Franco,2:28,N,21627,.08,++,
117,Friday Aug 9,boxscore,NYM,@,FLA,L-wo,1,2,10,55-62,3,16.5,Nen,Henry,,2:49,N,21506,.13,-,
118,Saturday Aug 10,boxscore,NYM,@,FLA,L,6,9,,55-63,3,16.5,Rapp,Wilson,Nen,3:11,N,22115,.11,--,
119,Sunday Aug 11,boxscore,NYM,@,FLA,W,5,3,,56-63,3,16.5,Clark,Valdes,Franco,2:27,D,21092,.07,+,
120,Monday Aug 12,boxscore,NYM,,CHC,L,1,11,,56-64,3,17.0,Navarro,Isringhausen,,2:43,N,17636,.08,-,
121,Tuesday Aug 13,boxscore,NYM,,CHC,L,2,3,,56-65,3,18.5,Telemaco,Harnisch,Wendell,2:49,N,17819,.05,--,
122,Wednesday Aug 14,boxscore,NYM,,CHC,W,8,5,,57-65,3,17.5,Jones,Bullinger,Franco,3:12,N,20110,.03,+,
123,Friday Aug 16,boxscore,NYM,@,SDP,L,10,15,,57-66,4,19.0,Valenzuela,Person,,3:14,N,23699,.05,-,
124,Saturday Aug 17,boxscore,NYM,@,SDP,W,7,3,,58-66,3,19.0,Clark,Worrell,Henry,3:00,N,20873,.03,+,
125,Sunday Aug 18,boxscore,NYM,@,SDP,L,0,8,,58-67,3,20.0,Hamilton,Wilson,,2:20,D,22810,.05,-,
126,Monday Aug 19,boxscore,NYM,@,SFG,L,4,5,,58-68,4,20.5,Scott,Harnisch,Beck,2:52,N,11565,.02,--,
127,Tuesday Aug 20,boxscore,NYM,@,SFG,W,7,3,,59-68,3,20.5,Jones,Fernández,Franco,2:51,D,10885,.02,+,
128,Wednesday Aug 21,boxscore,NYM,@,SFG,L,11,12,,59-69,3,21.5,Dewey,Person,Beck,2:58,D,11473,.02,-,
129,Friday Aug 23,boxscore,NYM,@,LAD,L,5,7,,59-70,3,22.0,Martínez,Clark,Worrell,2:54,N,36909,.02,--,
130,Saturday Aug 24,boxscore,NYM,@,LAD,L,5,7,,59-71,4,23.0,Candiotti,Wilson,Worrell,3:06,D,33201,.01,---,
131,Sunday Aug 25,boxscore,NYM,@,LAD,L,5,6,,59-72,4,23.0,Radinsky,Franco,Worrell,2:37,D,39056,.01,----,
132,Tuesday Aug 27,boxscore,NYM,,SDP,L,3,4,,59-73,4,23.0,Blair,Mlicki,Hoffman,2:35,N,17925,.00,-----,
133,Wednesday Aug 28,boxscore,NYM,,SDP,L,2,3,12,59-74,4,24.0,Bergman,Wallace,Hoffman,3:53,N,17442,.00,------,
134,Thursday Aug 29,boxscore,NYM,,SDP,L,2,3,,59-75,4,25.0,Hamilton,Wilson,Hoffman,2:36,D,17016,.00,-------,
135,Friday Aug 30,boxscore,NYM,,SFG,L,4,6,,59-76,4,25.5,Estes,Harnisch,Beck,2:34,N,17581,.00,--------,
136,Saturday Aug 31,boxscore,NYM,,SFG,W,7,2,,60-76,4,24.5,Person,Scott,Henry,2:59,D,23636,.00,+,
137,Sunday Sep 1,boxscore,NYM,,SFG,W-wo,6,5,10,61-76,4,23.5,Franco,Beck,,3:37,D,40643,.00,++,
138,Monday Sep 2,boxscore,NYM,,LAD,L,5,8,,61-77,4,23.5,Astacio,Clark,Worrell,2:40,D,19658,.00,-,
139,Tuesday Sep 3,boxscore,NYM,,LAD,L,6,7,,61-78,4,23.5,Radinsky,Henry,,3:19,N,15646,.00,--,
140,Wednesday Sep 4,boxscore,NYM,,LAD,W-wo,3,2,12,62-78,4,22.5,Wallace,Dreifort,,3:32,N,15662,.00,+,
141,Friday Sep 6,boxscore,NYM,@,ATL,L-wo,7,8,,62-79,4,23.5,Wohlers,Henry,,3:18,N,37660,.00,-,
142,Saturday Sep 7,boxscore,NYM,@,ATL,L,1,6,,62-80,4,24.5,Smoltz,Jones,,2:21,N,47130,.00,--,
143,Sunday Sep 8,boxscore,NYM,@,ATL,W,6,2,,63-80,4,23.5,Clark,Maddux,,2:26,D,39045,.00,+,
144,Monday Sep 9,boxscore,NYM,,FLA,W,6,1,,64-80,4,23.0,Mlicki,Brown,,3:18,N,14100,.00,++,
145,Tuesday Sep 10,boxscore,NYM,,FLA,L,3,9,12,64-81,4,23.0,Powell,Henry,,3:54,N,14746,.00,-,
146,Wednesday Sep 11,boxscore,NYM,,FLA,W,3,1,,65-81,4,22.0,Isringhausen,Rapp,Wallace,2:24,D,12448,.00,+,
147,Friday Sep 13,boxscore,NYM,,ATL,W,6,4,,66-81,4,20.5,Dipoto,Borowski,Wallace,3:00,N,17331,.00,++,
148,Saturday Sep 14,boxscore,NYM,,ATL,W-wo,6,5,12,67-81,4,19.5,Wallace,Borowski,,4:00,D,22857,.00,+++,
149,Sunday Sep 15,boxscore,NYM,,ATL,L,2,3,,67-82,4,20.5,Glavine,Wilson,Wohlers,2:40,D,23718,.00,-,
150,Monday Sep 16,boxscore,NYM,,ATL,L,2,5,,67-83,4,21.5,Neagle,Harnisch,,2:29,N,14980,.00,--,
151,Tuesday Sep 17,boxscore,NYM,@,MON,L,1,7,,67-84,4,22.5,Fassero,Isringhausen,,2:32,N,17282,.00,---,
152,Wednesday Sep 18,boxscore,NYM,@,MON,L,3,4,,67-85,4,23.5,Urbina,Mlicki,Rojas,2:44,N,14930,.00,----,
153,Thursday Sep 19,boxscore,NYM,@,PHI,W,7,2,,68-85,4,22.5,Clark,Hunter,,2:23,N,16689,.00,+,
154,Friday Sep 20,boxscore,NYM,@,PHI,W,5,2,,69-85,4,22.5,Wilson,Mimbs,Franco,2:10,N,22001,.00,++,
155,Saturday Sep 21,boxscore,NYM,@,PHI,L,1,2,,69-86,4,23.5,Schilling,Harnisch,,2:17,N,23283,.00,-,
156,Sunday Sep 22,boxscore,NYM,@,PHI,L-wo,3,4,,69-87,4,24.5,Bottalico,Wallace,,2:58,N,27672,.00,--,
157,Tuesday Sep 24,boxscore,NYM,@,HOU,W,4,0,,70-87,4,24.0,Jones,Wall,,2:12,N,39511,.00,+,
158,Wednesday Sep 25,boxscore,NYM,@,HOU,L-wo,4,5,10,70-88,4,24.0,Hudek,Wallace,,3:15,N,15760,.00,-,
159,Thursday Sep 26,boxscore,NYM,@,HOU,L,2,6,,70-89,4,24.0,Drabek,Trlicek,,3:00,D,13751,.00,--,
160,Friday Sep 27,boxscore,NYM,,PHI,L,5,6,,70-90,4,25.0,Jordan,Dipoto,Bottalico,3:08,N,15889,.00,---,
161,Saturday Sep 28,boxscore,NYM,,PHI,W,4,2,,71-90,4,25.0,Person,Maduro,Wallace,2:02,N,16801,.00,+,
162,Sunday Sep 29,boxscore,NYM,,PHI,L,5,9,,71-91,4,25.0,Blazier,Fyhrie,,2:36,D,21975,.00,-,
