--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Monday May 20,boxscore,SFG,,MON,W,9,6,,23-20,2,3.5,Dewey,Dyer,Beck,3:19,N,10062,1.25,+++,
44,Tuesday May 21,boxscore,SFG,,MON,W,8,5,,24-20,2,2.5,Dewey,Aucoin,Beck,3:22,D,8911,1.30,++++,
45,Wednesday May 22,boxscore,SFG,,MON,L,3,4,,24-21,2,3.5,Martínez,VanLandingham,Rojas,3:02,D,11663,1.31,-,
46,Friday May 24,boxscore,SFG,,PHI,L,1,5,,24-22,2,5.0,Schilling,Watson,,2:20,N,11917,1.22,--,
47,Saturday May 25,boxscore,SFG,,PHI,W,3,2,,25-22,2,5.0,Gardner,Williams,Beck,2:35,D,16874,1.18,+,
48,Sunday May 26,boxscore,SFG,,PHI,L,1,10,,25-23,3,5.0,Mulholland,Fernández,Bottalico,2:34,D,26234,1.24,-,
49,Tuesday May 28,boxscore,SFG,@,NYM,L,0,4,,25-24,4,6.5,Clark,Leiter,Henry,2:25,N,15733,1.10,--,
50,Wednesday May 29,boxscore,SFG,@,NYM,W,4,2,,26-24,3,5.5,VanLandingham,Isringhausen,Beck,2:17,N,15578,1.03,+,
51,Thursday May 30,boxscore,SFG,@,NYM,L,0,1,,26-25,3,6.0,Wilson,Watson,Franco,2:09,D,15781,1.12,-,
52,Friday May 31,boxscore,SFG,@,MON,L,4,7,,26-26,3,7.0,Daal,DeLucia,Veres,3:20,N,25712,1.15,--,
53,Saturday Jun 1,boxscore,SFG,@,MON,L,1,5,,26-27,4,8.0,Fassero,Fernández,Dyer,2:44,N,36858,1.11,---,
54,Sunday Jun 2,boxscore,SFG,@,MON,W,8,1,,27-27,3,7.0,Leiter,Martínez,,2:52,D,25006,1.01,+,
55,Monday Jun 3,boxscore,SFG,@,CIN,W,6,3,,28-27,3,6.0,VanLandingham,Burba,,2:43,D,20028,.98,++,
56,Tuesday Jun 4,boxscore,SFG,@,CIN,L,1,4,,28-28,3,6.0,Salkeld,Watson,Brantley,2:27,N,28549,1.08,-,
57,Wednesday Jun 5,boxscore,SFG,@,CIN,W,15,4,,29-28,2,6.0,Gardner,Jarvis,,3:00,N,21881,1.08,+,
58,Friday Jun 7,boxscore,SFG,,STL,L,4,9,,29-29,3,6.0,Benes,Fernández,,3:17,N,13009,1.10,-,
59,Saturday Jun 8,boxscore,SFG,,STL,W,4,1,,30-29,3,5.0,DeLucia,Stottlemyre,Beck,2:24,D,20401,1.05,+,
60,Sunday Jun 9,boxscore,SFG,,STL,W,9,0,,31-29,3,4.0,Watson,Benes,,2:53,D,24176,1.16,++,
61,Monday Jun 10,boxscore,SFG,,PIT,L,4,5,,31-30,3,4.0,Morel,DeLucia,Córdova,3:03,N,10026,1.26,-,
