--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,Monday May 20,boxscore,BAL,,CAL,W,13,1,,24-18,2,1.0,Wells,Grimsley,,3:12,N,43492,1.27,++,
43,Tuesday May 21,boxscore,BAL,,CAL,L,2,5,,24-19,2,2.0,Boskie,Krivda,Percival,2:54,N,39974,1.32,-,
44,Wednesday May 22,boxscore,BAL,,CAL,W,10,5,,25-19,2,1.0,Haynes,Abbott,McDowell,3:17,N,45817,1.24,+,
45,Friday May 24,boxscore,BAL,,OAK,W-wo,5,4,10,26-19,2,0.5,McDowell,Reyes,,3:33,N,45024,1.31,++,
46,Saturday May 25,boxscore,BAL,,OAK,L,3,6,,26-20,2,1.5,Johns,Wells,Groom,3:19,D,47353,1.32,-,
47,Sunday May 26,boxscore,BAL,,OAK,W,6,1,,27-20,2,0.5,Mercker,Chouinard,McDowell,2:28,D,47401,1.29,+,
48,Tuesday May 28,boxscore,BAL,@,SEA,W,12,8,,28-20,1,Tied,Rhodes,Guetterman,Haynes,3:19,N,23235,1.33,++,
49,Wednesday May 29,boxscore,BAL,@,SEA,L-wo,8,9,,28-21,1,Tied,Charlton,Myers,,3:34,N,20253,1.33,-,
50,Friday May 31,boxscore,BAL,@,CAL,L,3,10,,28-22,2,1.0,Langston,Wells,,3:08,N,21603,1.30,--,
51,Saturday Jun 1,boxscore,BAL,@,CAL,L,3,8,,28-23,2,2.0,Boskie,Haynes,,2:31,N,35350,1.28,---,
52,Sunday Jun 2,boxscore,BAL,@,CAL,W,14,1,,29-23,2,2.0,Erickson,Abbott,,2:38,D,33704,1.31,+,
53,Tuesday Jun 4,boxscore,BAL,,DET,W,10,7,,30-23,2,2.0,Mussina,Gohr,Myers,3:25,N,43727,1.27,++,
54,Wednesday Jun 5,boxscore,BAL,,DET,W,6,4,,31-23,2,1.0,Rhodes,Myers,Myers,2:53,N,43087,1.28,+++,
55,Thursday Jun 6,boxscore,BAL,,DET,W,13,6,,32-23,2,1.0,Krivda,Lira,,3:41,N,46269,1.28,++++,
56,Friday Jun 7,boxscore,BAL,,CHW,L,2,8,,32-24,2,1.0,Fernandez,Erickson,,2:39,N,47209,1.42,-,
57,Saturday Jun 8,boxscore,BAL,,CHW,L,1,2,,32-25,2,1.0,Baldwin,Mercker,Hernández,3:09,D,47634,1.41,--,
58,Sunday Jun 9,boxscore,BAL,,CHW,L,9,12,,32-26,2,2.0,Karchner,Mussina,Hernández,3:36,D,47352,1.40,---,
59,Monday Jun 10,boxscore,BAL,@,DET,L,3,8,,32-27,2,3.0,Olivares,Wells,,2:57,N,10655,1.21,----,
60,Tuesday Jun 11,boxscore,BAL,@,DET,W,12,9,,33-27,2,3.0,Coppinger,Lira,,3:41,N,10874,1.17,+,
61,Wednesday Jun 12,boxscore,BAL,@,DET,W,10,7,,34-27,2,2.0,Rhodes,Lewis,Myers,2:55,D,12043,1.22,++,
