--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Monday May 20,boxscore,TOR,@,KCR,L,4,5,,20-23,3,5.5,Haney,Hentgen,Montgomery,2:05,N,14303,.92,-,
44,Tuesday May 21,boxscore,TOR,@,CHW,L,1,2,,20-24,3,6.5,Tapani,Ware,Hernández,2:29,N,17483,.89,--,
45,Wednesday May 22,boxscore,TOR,@,CHW,L-wo,1,2,11,20-25,3,6.5,McCaskill,Timlin,,3:26,D,17882,.83,---,
46,Thursday May 23,boxscore,TOR,,MIN,W-wo,5,4,10,21-25,3,6.5,Janzen,Milchin,,3:11,N,31163,.73,+,
47,Friday May 24,boxscore,TOR,,MIN,L,0,4,,21-26,3,6.5,Robertson,Hanson,,2:26,N,33141,.79,-,
48,Saturday May 25,boxscore,TOR,,MIN,L,4,6,10,21-27,3,7.5,Guardado,Castillo,Stevens,3:18,D,34118,.69,--,
49,Sunday May 26,boxscore,TOR,,MIN,L,3,9,,21-28,3,7.5,Naulty,Bohanon,,2:53,D,30170,.64,---,
50,Monday May 27,boxscore,TOR,,CHW,W,5,4,,22-28,3,7.5,Janzen,Fernandez,Timlin,2:40,N,30013,.60,+,
51,Tuesday May 28,boxscore,TOR,,CHW,L,5,8,,22-29,3,7.5,Baldwin,Viola,Hernández,3:06,N,30104,.62,-,
52,Wednesday May 29,boxscore,TOR,,CHW,W,6,5,,23-29,3,6.5,Hanson,Magrane,Timlin,2:31,N,31074,.58,+,
53,Friday May 31,boxscore,TOR,,KCR,W,4,2,,24-29,3,6.5,Hentgen,Gubicza,Timlin,2:28,N,33194,.62,++,
54,Saturday Jun 1,boxscore,TOR,,KCR,W-wo,5,3,10,25-29,3,6.5,Crabtree,Montgomery,,2:42,D,31107,.65,+++,
55,Sunday Jun 2,boxscore,TOR,,KCR,L,5,7,,25-30,3,7.5,Belcher,Janzen,Montgomery,2:43,D,32253,.73,-,
56,Tuesday Jun 4,boxscore,TOR,@,NYY,L,4,5,,25-31,3,8.5,Gooden,Hanson,Wetteland,2:53,N,17368,.83,--,
57,Wednesday Jun 5,boxscore,TOR,@,NYY,W,12,7,,26-31,3,7.5,Hentgen,Key,,3:04,N,17142,.71,+,
58,Thursday Jun 6,boxscore,TOR,@,NYY,L,1,8,,26-32,3,8.5,Pettitte,Quantrill,,2:48,N,18475,.77,-,
59,Friday Jun 7,boxscore,TOR,@,TEX,L,7,10,,26-33,3,8.5,Pavlik,Janzen,Henneman,3:02,N,40046,.48,--,
60,Saturday Jun 8,boxscore,TOR,@,TEX,L,0,2,,26-34,3,8.5,Oliver,Guzmán,,2:30,N,43439,.46,---,
61,Sunday Jun 9,boxscore,TOR,@,TEX,L,6,8,,26-35,3,9.5,Witt,Hanson,Henneman,3:08,D,41605,.45,----,
62,Monday Jun 10,boxscore,TOR,,NYY,L,3,5,,26-36,3,10.5,Key,Hentgen,Wetteland,2:40,N,37332,.51,-----,
63,Tuesday Jun 11,boxscore,TOR,,NYY,L,4,6,,26-37,3,11.5,Pettitte,Quantrill,Wetteland,2:37,N,32114,.45,------,
64,Wednesday Jun 12,boxscore,TOR,,NYY,W,7,4,,27-37,3,10.5,Janzen,Mendoza,,2:41,D,44238,.33,+,
65,Thursday Jun 13,boxscore,TOR,@,CAL,L,4,6,,27-38,4,10.5,Finley,Guzmán,James,2:47,N,20528,.28,-,
66,Friday Jun 14,boxscore,TOR,@,CAL,L,4,7,,27-39,4,11.5,Grimsley,Hanson,Percival,2:33,D,18503,.26,--,
67,Saturday Jun 15,boxscore,TOR,@,CAL,L,5,7,,27-40,4,11.5,Langston,Crabtree,Percival,2:09,N,40352,.20,---,
68,Sunday Jun 16,boxscore,TOR,@,CAL,W,6,4,,28-40,4,11.5,Quantrill,Abbott,Timlin,3:00,D,22979,.20,+,
69,Tuesday Jun 18,boxscore,TOR,@,SEA,W,11,3,,29-40,4,11.0,Guzmán,Wolcott,,3:08,D,25912,.22,++,
70,Wednesday Jun 19,boxscore,TOR,@,SEA,W,9,2,,30-40,3,10.5,Hanson,Harikkala,,3:01,N,26265,.26,+++,
71,Thursday Jun 20,boxscore,TOR,@,OAK,W,1,0,,31-40,3,10.0,Hentgen,Wengert,Timlin,2:36,N,8027,.30,++++,
72,Friday Jun 21,boxscore,TOR,@,OAK,W,7,5,,32-40,3,10.5,Quantrill,Johns,Timlin,2:43,N,10278,.36,+++++,
73,Saturday Jun 22,boxscore,TOR,@,OAK,L,4,8,,32-41,3,11.5,Chouinard,Ware,,2:49,D,20124,.37,-,
74,Sunday Jun 23,boxscore,TOR,@,OAK,W,5,4,,33-41,3,11.5,Guzmán,Wojciechowski,Timlin,2:30,D,14407,.28,+,
75,Tuesday Jun 25,boxscore,TOR,,SEA,W-wo,8,7,,34-41,3,10.5,Crabtree,Charlton,,2:50,N,31420,.35,++,
76,Wednesday Jun 26,boxscore,TOR,,SEA,W,6,5,,35-41,3,10.5,Ware,Ayala,Crabtree,2:35,N,30158,.39,+++,
77,Thursday Jun 27,boxscore,TOR,,SEA,L,1,9,,35-42,3,11.5,Wells,Quantrill,,3:10,D,31108,.49,-,
78,Friday Jun 28,boxscore,TOR,,MIL,L,1,5,,35-43,3,11.5,D'Amico,Guzmán,Fetters,2:58,N,31333,.38,--,
79,Saturday Jun 29,boxscore,TOR,,MIL,L,4,7,,35-44,3,12.5,Karl,Janzen,,2:36,D,31170,.31,---,
80,Sunday Jun 30,boxscore,TOR,,MIL,W,15,2,,36-44,3,11.5,Hanson,Bones,,3:05,D,30104,.25,+,
81,Monday Jul 1,boxscore,TOR,,BAL,L,4,7,,36-45,3,12.5,Coppinger,Hentgen,Myers,2:51,D,43377,.35,-,
82,Tuesday Jul 2,boxscore,TOR,,BAL,L,2,8,,36-46,3,13.5,Erickson,Quantrill,,2:54,N,32150,.28,--,
83,Wednesday Jul 3,boxscore,TOR,,BAL,W,5,2,,37-46,3,13.0,Guzmán,Krivda,Timlin,2:38,N,32365,.18,+,
84,Thursday Jul 4,boxscore,TOR,@,DET,L,1,6,,37-47,3,14.0,Nitkowski,Janzen,Myers,2:38,N,10557,.19,-,
85,Friday Jul 5,boxscore,TOR,@,DET,L,3,4,,37-48,3,15.0,Sager,Hanson,Olson,2:59,N,20808,.14,--,
86,Saturday Jul 6,boxscore,TOR,@,DET,W,15,0,,38-48,3,15.0,Hentgen,Olivares,,2:37,D,16228,.12,+,
87,Sunday Jul 7,boxscore,TOR,@,DET,L,0,9,,38-49,3,15.0,Lira,Ware,,2:26,D,15784,.13,-,
88,Thursday Jul 11,boxscore,TOR,@,MIL,W,6,3,,39-49,3,15.0,Guzmán,D'Amico,Castillo,2:58,N,16019,.12,+,
89,Friday Jul 12,boxscore,TOR,@,MIL,L,5,12,,39-50,3,15.5,McDonald,Hanson,,2:58,N,15691,.15,-,
90,Saturday Jul 13,boxscore,TOR,@,MIL,W,15,7,,40-50,3,16.0,Hentgen,Karl,,3:00,N,29383,.10,+,
91,Sunday Jul 14,boxscore,TOR,@,MIL,W,7,5,10,41-50,3,16.0,Crabtree,García,Timlin,3:04,D,20798,.13,++,
92,Monday Jul 15,boxscore,TOR,@,BAL,L-wo,6,8,,41-51,4,16.0,Haynes,Timlin,,2:33,N,43192,.16,-,
93,Tuesday Jul 16,boxscore,TOR,@,BAL,W,6,0,,42-51,3,16.0,Guzmán,Mussina,,2:43,N,45851,.14,+,
94,Wednesday Jul 17,boxscore,TOR,@,BAL,L-wo,10,11,,42-52,4,16.0,Coppinger,Timlin,,3:35,N,45955,.16,-,
95,Thursday Jul 18,boxscore,TOR,,DET,W,8,4,,43-52,3,15.0,Hentgen,Nitkowski,,2:37,N,31202,.11,+,
96,Friday Jul 19,boxscore,TOR,,DET,L,6,8,,43-53,4,15.0,Urbani,Janzen,Olson,3:44,N,30123,.14,-,
97,Saturday Jul 20,boxscore,TOR,,DET,L,4,5,10,43-54,4,16.0,Olson,Quantrill,Lima,2:55,D,36220,.13,--,
98,Sunday Jul 21,boxscore,TOR,,DET,W-wo,5,4,12,44-54,4,15.0,Spoljaric,Lima,,3:54,D,33238,.10,+,
99,Monday Jul 22,boxscore,TOR,,CLE,L,2,4,,44-55,4,15.0,Hershiser,Hanson,Mesa,2:34,N,35517,.12,-,
100,Tuesday Jul 23,boxscore,TOR,,CLE,W,3,1,,45-55,3,15.0,Hentgen,Ogea,Timlin,2:21,N,35194,.09,+,
101,Wednesday Jul 24,boxscore,TOR,,CLE,L,0,10,,45-56,4,16.0,Martínez,Janzen,,2:52,N,35218,.11,-,
102,Thursday Jul 25,boxscore,TOR,,OAK,W-wo,4,3,,46-56,3,15.0,Crabtree,Witasick,,2:52,N,30174,.09,+,
103,Friday Jul 26,boxscore,TOR,,OAK,L,3,5,,46-57,3,16.0,Groom,Castillo,Taylor,2:47,N,32241,.14,-,
104,Saturday Jul 27,boxscore,TOR,,OAK,W,6,4,,47-57,3,16.0,Hanson,Wasdin,Timlin,2:35,D,32162,.09,+,
105,Sunday Jul 28,boxscore,TOR,,OAK,W,1,0,,48-57,3,16.0,Hentgen,Prieto,,2:07,D,31150,.10,++,
106,Tuesday Jul 30,boxscore,TOR,@,CLE,W,3,1,,49-57,3,15.0,Flener,Martínez,Timlin,2:55,N,42355,.12,+++,
107,Wednesday Jul 31,boxscore,TOR,@,CLE,L-wo,2,4,,49-58,3,15.0,Assenmacher,Timlin,,3:18,N,42301,.16,-,
108,Thursday Aug 1,boxscore,TOR,@,CLE,W,5,3,,50-58,3,15.0,Hanson,Lopez,Timlin,2:46,N,42249,.13,+,
109,Friday Aug 2,boxscore,TOR,,CAL,W,9,2,,51-58,3,14.0,Hentgen,Finley,,2:50,N,30261,.15,++,
110,Saturday Aug 3,boxscore,TOR,,CAL,L,6,11,,51-59,3,14.0,Langston,Castillo,,3:10,D,32139,.16,-,
111,Sunday Aug 4,boxscore,TOR,,CAL,W,7,1,,52-59,3,14.0,Flener,Abbott,,2:48,D,30253,.13,+,
112,Monday Aug 5,boxscore,TOR,@,BOS,L,1,3,,52-60,3,15.0,Wakefield,Guzmán,,2:22,N,23884,.17,-,
113,Tuesday Aug 6,boxscore,TOR,@,BOS,L,2,3,,52-61,4,16.0,Maddux,Hanson,Slocumb,2:26,N,25264,.12,--,
114,Wednesday Aug 7,boxscore,TOR,@,BOS,L,0,8,,52-62,4,16.0,Gordon,Hentgen,,2:00,N,30443,.08,---,
115,Thursday Aug 8,boxscore,TOR,@,BOS,W,9,6,,53-62,4,16.0,Williams,Sele,Timlin,3:03,D,32696,.06,+,
116,Friday Aug 9,boxscore,TOR,,TEX,L,4,5,,53-63,4,16.0,Witt,Quantrill,Henneman,3:01,N,33535,.08,-,
117,Saturday Aug 10,boxscore,TOR,,TEX,L,1,12,,53-64,4,16.0,Oliver,Guzmán,,2:51,D,34109,.06,--,
118,Sunday Aug 11,boxscore,TOR,,TEX,L,0,6,,53-65,4,17.0,Burkett,Hanson,,2:26,D,32162,.04,---,
119,Monday Aug 12,boxscore,TOR,,BOS,W,5,1,,54-65,4,16.0,Hentgen,Gordon,,2:26,N,33250,.03,+,
120,Tuesday Aug 13,boxscore,TOR,,BOS,L,5,7,,54-66,4,16.0,Brandenburg,Williams,Slocumb,3:06,N,30502,.04,-,
121,Wednesday Aug 14,boxscore,TOR,,BOS,L,6,8,,54-67,4,17.0,Belinda,Crabtree,Slocumb,2:56,N,32354,.02,--,
122,Friday Aug 16,boxscore,TOR,@,MIN,L-wo,4,5,10,54-68,4,17.0,Parra,Quantrill,,3:25,N,19838,.01,---,
123,Saturday Aug 17,boxscore,TOR,@,MIN,L,1,11,,54-69,4,17.0,Robertson,Hanson,,2:57,N,20354,.01,----,
124,Sunday Aug 18,boxscore,TOR,@,MIN,W,6,2,,55-69,4,16.0,Hentgen,Aguilera,,2:31,D,18010,.00,+,
125,Monday Aug 19,boxscore,TOR,@,KCR,W,2,1,,56-69,4,16.0,Spoljaric,Rosado,Timlin,2:24,N,16862,.01,++,
126,Tuesday Aug 20,boxscore,TOR,@,KCR,W,6,5,14,57-69,4,16.0,Timlin,Huisman,,4:08,N,14568,.01,+++,
127,Wednesday Aug 21,boxscore,TOR,@,KCR,W,6,2,,58-69,4,15.0,Guzmán,Haney,,2:33,N,12238,.01,++++,
128,Thursday Aug 22,boxscore,TOR,@,CHW,W,1,0,6,59-69,4,14.0,Hanson,Fernandez,,1:26,N,22394,.02,+++++,
129,Friday Aug 23,boxscore,TOR,@,CHW,W,4,2,,60-69,4,14.0,Hentgen,Ruffcorn,,2:34,N,19132,.04,++++++,
130,Saturday Aug 24,boxscore,TOR,@,CHW,W,9,2,,61-69,4,14.0,Williams,Baldwin,,2:56,N,29413,.06,+++++++,
131,Sunday Aug 25,boxscore,TOR,@,CHW,L-wo,9,10,10,61-70,4,14.0,Hernández,Timlin,,3:45,D,19647,.08,-,
132,Monday Aug 26,boxscore,TOR,,MIN,W,5,3,,62-70,4,13.0,Guzmán,Radke,Timlin,2:30,N,31134,.04,+,
133,Tuesday Aug 27,boxscore,TOR,,MIN,L,4,6,11,62-71,4,13.0,Trombley,Quantrill,,3:20,N,30033,.06,-,
134,Wednesday Aug 28,boxscore,TOR,,MIN,W,6,1,,63-71,4,12.0,Hentgen,Aguilera,,2:30,N,30106,.02,+,
135,Friday Aug 30,boxscore,TOR,,CHW,L,2,11,,63-72,4,12.5,Tapani,Williams,,2:35,N,30072,.05,-,
136,Saturday Aug 31,boxscore,TOR,,CHW,L,1,5,,63-73,4,13.5,Álvarez,Flener,,2:42,D,32141,.03,--,
137,Sunday Sep 1,boxscore,TOR,,CHW,L,2,4,11,63-74,4,13.5,Hernández,Spoljaric,,3:16,D,30156,.01,---,
138,Monday Sep 2,boxscore,TOR,,KCR,L,0,2,,63-75,4,14.5,Belcher,Hanson,,1:53,D,28177,.00,----,
139,Tuesday Sep 3,boxscore,TOR,,KCR,L,2,5,,63-76,4,14.5,Appier,Hentgen,,2:30,N,25729,.00,-----,
140,Wednesday Sep 4,boxscore,TOR,,KCR,W,6,0,,64-76,4,14.5,Williams,Rosado,,2:22,N,25827,.00,+,
141,Friday Sep 6,boxscore,TOR,@,NYY,L,3,4,,64-77,4,15.5,Rivera,Risley,,3:11,N,21528,.00,-,
142,Saturday Sep 7,boxscore,TOR,@,NYY,W,3,2,,65-77,4,14.5,Quantrill,Cone,Timlin,2:32,N,27069,.00,+,
143,Sunday Sep 8,boxscore,TOR,@,NYY,W,4,2,,66-77,4,13.5,Hanson,Pettitte,Timlin,2:49,D,28575,.00,++,
