--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Monday May 20,boxscore,PIT,@,COL,L,7,10,,18-26,4,3.0,Reynoso,Neagle,,2:59,N,48042,.80,--,
45,Tuesday May 21,boxscore,PIT,@,COL,L,10,12,,18-27,5,3.0,Holmes,Christiansen,Ruffin,3:08,N,48037,.78,---,
46,Wednesday May 22,boxscore,PIT,@,COL,L,3,6,,18-28,5,3.0,Ritz,Smith,Ruffin,2:35,D,48044,.72,----,
47,Friday May 24,boxscore,PIT,,ATL,L,3,5,,18-29,5,4.0,Smoltz,Darwin,Wohlers,3:04,N,20238,.68,-----,
48,Saturday May 25,boxscore,PIT,,ATL,W,6,2,,19-29,5,4.0,Neagle,Avery,,2:20,N,29273,.59,+,
49,Sunday May 26,boxscore,PIT,,ATL,L,3,6,13,19-30,5,5.0,Wade,Miceli,Bielecki,4:27,D,33085,.63,-,
50,Monday May 27,boxscore,PIT,,HOU,L,3,5,,19-31,5,6.0,Kile,Smith,,2:20,D,8906,.72,--,
51,Tuesday May 28,boxscore,PIT,,HOU,W,6,5,,20-31,5,5.0,Miceli,Swindell,Córdova,2:39,N,7182,.70,+,
52,Wednesday May 29,boxscore,PIT,,HOU,L,4,7,,20-32,5,6.0,Morman,Darwin,Jones,2:56,N,11679,.81,-,
53,Friday May 31,boxscore,PIT,,COL,W,8,4,,21-32,5,5.0,Neagle,Reynoso,Córdova,2:33,N,26640,.51,+,
54,Saturday Jun 1,boxscore,PIT,,COL,L,0,2,,21-33,5,5.0,Ritz,Wagner,Ruffin,3:01,N,15633,.59,-,
55,Sunday Jun 2,boxscore,PIT,,COL,W,5,2,,22-33,5,4.0,Smith,Holmes,Córdova,2:38,D,26745,.52,+,
56,Monday Jun 3,boxscore,PIT,,COL,W,7,2,,23-33,4,4.0,Ruebel,Farmer,,2:41,D,8120,.59,++,
57,Tuesday Jun 4,boxscore,PIT,@,LAD,W,3,0,,24-33,3,4.0,Darwin,Nomo,Córdova,2:39,N,29576,.62,+++,
58,Wednesday Jun 5,boxscore,PIT,@,LAD,W,7,3,,25-33,3,3.5,Wilkins,Astacio,Córdova,2:42,N,32161,.68,++++,
59,Thursday Jun 6,boxscore,PIT,@,LAD,L,3,8,,25-34,4,3.5,Candiotti,Miceli,,2:50,N,26664,.75,-,
60,Friday Jun 7,boxscore,PIT,@,SDP,W,10,0,,26-34,3,3.5,Smith,Bergman,,2:34,N,20312,.68,+,
61,Saturday Jun 8,boxscore,PIT,@,SDP,W,9,8,14,27-34,3,3.5,Córdova,Blair,,5:03,N,41378,.73,++,
62,Sunday Jun 9,boxscore,PIT,@,SDP,W,6,0,,28-34,3,3.5,Darwin,Tewksbury,,2:49,D,30932,.81,+++,
63,Monday Jun 10,boxscore,PIT,@,SFG,W,5,4,,29-34,3,3.5,Morel,DeLucia,Córdova,3:03,N,10026,.90,++++,
64,Tuesday Jun 11,boxscore,PIT,@,SFG,W,7,2,,30-34,3,2.5,Neagle,Fernández,,3:05,D,11530,.94,+++++,
65,Thursday Jun 13,boxscore,PIT,,FLA,L,3,4,,30-35,3,2.0,Pérez,Córdova,Nen,2:39,N,15083,1.02,-,
66,Friday Jun 14,boxscore,PIT,,FLA,W-wo,5,4,,31-35,3,2.0,Plesac,Nen,,2:37,N,26494,.99,+,
67,Saturday Jun 15,boxscore,PIT,,FLA,W,12,8,,32-35,3,2.0,Darwin,Rapp,,3:07,N,15596,1.01,++,
68,Sunday Jun 16,boxscore,PIT,,FLA,L,2,4,,32-36,3,2.0,Brown,Neagle,Nen,2:36,D,28120,1.07,-,
69,Monday Jun 17,boxscore,PIT,,NYM,L,6,7,10,32-37,4,3.0,Mlicki,Córdova,Franco,3:12,D,11002,.96,--,
