--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Monday May 20,boxscore,STL,@,HOU,W,5,3,,18-26,4,3.0,Osborne,Drabek,,3:03,N,14547,.88,+,
45,Tuesday May 21,boxscore,STL,@,HOU,W,8,2,,19-26,3,2.0,Stottlemyre,Reynolds,,3:05,N,17935,1.02,++,
46,Wednesday May 22,boxscore,STL,@,HOU,W,5,2,,20-26,3,1.0,Benes,Kile,Mathews,2:31,N,15353,1.13,+++,
47,Friday May 24,boxscore,STL,@,FLA,W,4,2,,21-26,2,1.0,Morgan,Burkett,Mathews,2:25,N,19583,.94,++++,1996-05-24 (Site change)
48,Saturday May 25,boxscore,STL,@,FLA,W,5,0,,22-26,2,1.0,Benes,Rapp,,2:44,N,26312,.99,+++++,1996-05-25 (Site change)
49,Sunday May 26,boxscore,STL,@,FLA,L,2,8,7,22-27,2,2.0,Weathers,Osborne,,2:05,D,20573,1.05,-,1996-05-26 (Site change)
50,Monday May 27,boxscore,STL,,COL,L,2,5,,22-28,2,3.0,Ritz,Stottlemyre,Ruffin,2:44,D,38804,1.05,--,
51,Tuesday May 28,boxscore,STL,,COL,L,5,6,,22-29,2,3.0,Painter,Mathews,Holmes,3:15,N,26913,.97,---,
52,Wednesday May 29,boxscore,STL,,COL,W,6,5,,23-29,2,3.0,Petkovsek,Leskanic,Benes,2:59,N,27856,.90,+,
53,Friday May 31,boxscore,STL,,HOU,W,6,4,,24-29,2,2.0,Osborne,Swindell,Fossas,2:33,N,37625,1.35,++,
54,Saturday Jun 1,boxscore,STL,,HOU,W-wo,5,4,10,25-29,2,1.0,Bailey,Hernandez,,3:29,N,34958,1.49,+++,
55,Sunday Jun 2,boxscore,STL,,HOU,W,2,0,,26-29,1,Tied,Stottlemyre,Kile,,2:43,D,32703,1.52,++++,
56,Monday Jun 3,boxscore,STL,@,SDP,W,3,0,,27-29,1,up 0.5,Benes,Tewksbury,,2:09,N,13625,1.19,+++++,
57,Tuesday Jun 4,boxscore,STL,@,SDP,W,11,5,,28-29,1,up 0.5,Petkovsek,Worrell,,3:30,N,13427,1.25,++++++,
58,Wednesday Jun 5,boxscore,STL,@,SDP,L-wo,4,6,,28-30,2,0.5,Hoffman,Fossas,,3:06,N,12216,1.27,-,
59,Friday Jun 7,boxscore,STL,@,SFG,W,9,4,,29-30,1,Tied,Benes,Fernández,,3:17,N,13009,1.22,+,
60,Saturday Jun 8,boxscore,STL,@,SFG,L,1,4,,29-31,2,1.0,DeLucia,Stottlemyre,Beck,2:24,D,20401,1.28,-,
61,Sunday Jun 9,boxscore,STL,@,SFG,L,0,9,,29-32,2,2.0,Watson,Benes,,2:53,D,24176,1.17,--,
62,Monday Jun 10,boxscore,STL,@,LAD,L,1,2,,29-33,2,3.0,Park,Morgan,Osuna,2:55,N,54043,1.17,---,
63,Tuesday Jun 11,boxscore,STL,@,LAD,W,6,3,,30-33,2,2.0,Osborne,Martínez,Honeycutt,3:06,N,29096,1.09,+,
64,Thursday Jun 13,boxscore,STL,,NYM,L,1,2,,30-34,2,1.5,Person,Benes,Henry,2:34,N,30697,1.13,-,
65,Friday Jun 14,boxscore,STL,,NYM,W,13,4,,31-34,2,1.5,Stottlemyre,Isringhausen,,2:47,N,38556,1.09,+,
66,Saturday Jun 15,boxscore,STL,,NYM,W,4,2,,32-34,2,1.5,Benes,Jones,Eckersley,2:26,N,50635,1.15,++,
67,Sunday Jun 16,boxscore,STL,,NYM,W,5,4,,33-34,2,0.5,Petkovsek,Henry,Eckersley,2:39,D,31375,1.19,+++,
68,Tuesday Jun 18,boxscore,STL,,PHI,W,3,2,,34-34,1,Tied,Osborne,Fernandez,Eckersley,2:35,N,31311,1.27,++++,
69,Wednesday Jun 19,boxscore,STL,,PHI,W-wo,3,2,,35-34,1,up 1.0,Benes,Bottalico,,2:45,D,34612,1.33,+++++,
70,Thursday Jun 20,boxscore,STL,@,MON,L,3,8,,35-35,1,Tied,Rueter,Stottlemyre,,2:17,N,15095,1.43,-,
71,Friday Jun 21,boxscore,STL,@,MON,L-wo,3,4,12,35-36,2,1.0,Rojas,Eckersley,,4:04,N,16136,1.37,--,
72,Saturday Jun 22,boxscore,STL,@,MON,W,9,4,,36-36,1,Tied,Morgan,Urbina,,2:22,N,16895,1.32,+,
73,Sunday Jun 23,boxscore,STL,@,MON,L,2,3,,36-37,1,Tied,Fassero,Osborne,Rojas,2:13,D,22168,1.41,-,
74,Monday Jun 24,boxscore,STL,@,ATL,W,9,2,,37-37,1,up 0.5,Benes,Smoltz,,2:39,N,31971,1.33,+,
75,Tuesday Jun 25,boxscore,STL,@,ATL,L,3,4,,37-38,2,0.5,Schmidt,Stottlemyre,Wohlers,2:48,N,30942,1.38,-,
76,Wednesday Jun 26,boxscore,STL,@,ATL,W,11,7,,38-38,2,0.5,Benes,Avery,,2:48,N,31191,1.30,+,
77,Thursday Jun 27,boxscore,STL,@,ATL,L,0,3,,38-39,2,1.0,Maddux,Morgan,Wohlers,2:01,N,32243,1.34,-,
78,Friday Jun 28,boxscore,STL,,PIT,W,6,1,,39-39,1,Tied,Osborne,Neagle,,2:23,N,34490,1.44,+,
79,Saturday Jun 29,boxscore,STL,,PIT,W-wo,6,5,,40-39,1,Tied,Honeycutt,Miceli,,3:16,D,34426,1.52,++,
80,Sunday Jun 30,boxscore,STL,,PIT,W,10,3,,41-39,1,Tied,Stottlemyre,Smith,,2:39,D,38901,1.55,+++,
81,Monday Jul 1,boxscore,STL,,CIN,L,5,8,,41-40,2,1.0,Carrasco,Benes,Brantley,2:54,N,27221,1.72,-,
82,Tuesday Jul 2,boxscore,STL,,CIN,W,4,3,,42-40,2,1.0,Honeycutt,Smith,Eckersley,2:57,N,29074,1.64,+,
83,Wednesday Jul 3,boxscore,STL,,CIN,W,4,0,,43-40,2,1.0,Osborne,Smiley,,2:22,D,32658,1.66,++,
84,Thursday Jul 4,boxscore,STL,@,PIT,W,7,1,,44-40,2,1.0,Benes,Dessens,,2:46,D,23321,1.64,+++,
85,Friday Jul 5,boxscore,STL,@,PIT,W,7,4,,45-40,2,1.0,Stottlemyre,Smith,Fossas,2:42,N,18759,1.62,++++,
86,Saturday Jul 6,boxscore,STL,@,PIT,W,9,5,,46-40,1,Tied,Benes,Darwin,,3:03,N,19144,1.67,+++++,
87,Sunday Jul 7,boxscore,STL,@,PIT,L,2,8,,46-41,1,Tied,Lieber,Morgan,,2:06,D,16255,1.63,-,
88,Thursday Jul 11,boxscore,STL,@,CHC,L,0,6,,46-42,1,Tied,Navarro,Osborne,,2:15,N,38802,1.74,--,
89,Friday Jul 12,boxscore,STL,@,CHC,W,13,3,,47-42,1,Tied,Benes,Trachsel,,2:34,D,38918,1.77,+,
90,Saturday Jul 13,boxscore,STL,@,CHC,W,10,5,,48-42,1,up 0.5,Stottlemyre,Bullinger,Eckersley,3:09,D,39254,1.81,++,
91,Sunday Jul 14,boxscore,STL,@,CHC,W,7,6,,49-42,1,up 1.0,Benes,Adams,Eckersley,3:20,D,38638,1.78,+++,
92,Monday Jul 15,boxscore,STL,@,CIN,W,8,3,,50-42,1,up 2.0,Morgan,Salkeld,,2:33,N,38450,1.86,++++,
93,Tuesday Jul 16,boxscore,STL,@,CIN,W,5,4,,51-42,1,up 3.0,Osborne,Shaw,Eckersley,3:02,N,23370,1.78,+++++,
94,Wednesday Jul 17,boxscore,STL,@,CIN,W,6,4,,52-42,1,up 4.0,Benes,Portugal,Eckersley,2:26,D,28879,1.64,++++++,
95,Thursday Jul 18,boxscore,STL,,CHC,L,5,6,,52-43,1,up 4.0,Bottenfield,Petkovsek,Wendell,3:11,N,38983,1.46,-,
96,Friday Jul 19,boxscore,STL,,CHC,W,9,1,,53-43,1,up 4.0,Benes,Castillo,,2:33,N,45336,1.59,+,
97,Saturday Jul 20,boxscore,STL,,CHC,L,0,3,,53-44,1,up 3.0,Trachsel,Morgan,Wendell,3:01,D,50418,1.49,-,
98,Sunday Jul 21,boxscore,STL,,CHC,W-wo,6,5,10,54-44,1,up 3.0,Petkovsek,Wendell,,3:25,D,42257,1.64,+,
99,Monday Jul 22,boxscore,STL,,ATL,L,6,8,,54-45,1,up 2.0,McMichael,Mathews,Wohlers,3:11,N,36215,1.46,-,
100,Tuesday Jul 23,boxscore,STL,,ATL,L,2,3,,54-46,1,up 2.0,Smoltz,Stottlemyre,Wohlers,2:22,N,35520,1.60,--,
101,Wednesday Jul 24,boxscore,STL,,ATL,L,1,4,,54-47,1,up 1.0,Wade,Benes,McMichael,2:22,N,35411,1.63,---,
102,Thursday Jul 25,boxscore,STL,,MON,L,2,4,,54-48,1,up 0.5,Urbina,Petkovsek,Rojas,3:02,N,34271,1.97,----,
103,Friday Jul 26,boxscore,STL,,MON,L,1,5,,54-49,2,0.5,Fassero,Osborne,,2:49,N,30048,2.03,-----,
104,Saturday Jul 27,boxscore,STL,,MON,W,6,3,,55-49,1,up 0.5,Benes,Dyer,Eckersley,2:58,N,44269,2.05,+,
105,Sunday Jul 28,boxscore,STL,,MON,W,6,4,,56-49,1,up 0.5,Petkovsek,Martínez,Mathews,3:08,D,31226,1.99,++,
106,Tuesday Jul 30,boxscore,STL,@,PHI,L-wo,7,8,,56-50,1,Tied,Ryan,Mathews,,3:37,N,20166,1.84,-,
107,Thursday Aug 1 (1),boxscore,STL,@,PHI,L,1,2,,56-51,1,up 0.5,Springer,Osborne,Ryan,2:38,N,,1.87,--,1996-07-31 (Rain)
