--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 23,boxscore,MIL,@,CLE,L,1,5,,22-22,3,8.0,Hershiser,Miranda,,2:41,N,42395,1.12,-,
45,Friday May 24,boxscore,MIL,@,CHW,L,3,4,,22-23,3,9.0,Thomas,Sparks,Hernández,2:32,N,18346,1.10,--,
46,Saturday May 25,boxscore,MIL,@,CHW,L,7,9,,22-24,3,10.0,Álvarez,Bones,Hernández,3:06,N,20585,.96,---,
47,Sunday May 26,boxscore,MIL,@,CHW,L,1,12,,22-25,3,11.0,Tapani,McDonald,,3:03,D,21151,.90,----,
48,Tuesday May 28,boxscore,MIL,,MIN,W,7,3,,23-25,3,9.5,Karl,Mahomes,García,2:59,N,10117,.68,+,
49,Wednesday May 29,boxscore,MIL,,MIN,L,7,8,12,23-26,3,9.5,Hansell,Lloyd,,4:35,D,14324,.71,-,
50,Thursday May 30,boxscore,MIL,,CLE,L,0,2,,23-27,3,10.5,Nagy,Bones,Mesa,3:11,N,11543,.77,--,
51,Friday May 31,boxscore,MIL,,CLE,L,4,10,,23-28,3,11.5,Martínez,McDonald,,3:48,N,24050,.65,---,
52,Saturday Jun 1,boxscore,MIL,,CLE,W,2,1,,24-28,3,10.5,García,McDowell,Fetters,3:06,D,22004,.54,+,
53,Sunday Jun 2,boxscore,MIL,,CLE,L,6,11,,24-29,4,11.5,Poole,Karl,,3:13,D,21150,.66,-,
54,Monday Jun 3,boxscore,MIL,,TEX,L,6,9,,24-30,4,12.0,Witt,Sparks,Henneman,3:25,N,9748,.42,--,
55,Tuesday Jun 4,boxscore,MIL,,TEX,W,6,2,,25-30,4,11.0,Bones,Gross,,2:36,N,10685,.36,+,
56,Wednesday Jun 5,boxscore,MIL,,TEX,W,6,4,,26-30,4,11.0,McDonald,Hill,Fetters,3:10,D,11276,.42,++,
57,Friday Jun 7,boxscore,MIL,@,BOS,L,7,10,,26-31,4,11.5,Garcés,García,Slocumb,3:09,N,26861,.42,-,
58,Saturday Jun 8,boxscore,MIL,@,BOS,W,3,2,10,27-31,4,11.5,Lloyd,Hudson,Fetters,3:42,N,30399,.38,+,
59,Sunday Jun 9,boxscore,MIL,@,BOS,W,11,8,10,28-31,4,10.5,Burrows,Slocumb,Fetters,3:55,D,28120,.38,++,
60,Monday Jun 10,boxscore,MIL,@,TEX,L,3,8,,28-32,4,11.5,Gross,Givens,,3:05,N,43275,.48,-,
61,Tuesday Jun 11,boxscore,MIL,@,TEX,W,14,4,,29-32,4,11.5,McDonald,Hill,García,3:35,N,33519,.37,+,
62,Wednesday Jun 12,boxscore,MIL,@,TEX,L,6,13,,29-33,4,11.5,Pavlik,Miranda,,3:09,D,34842,.44,-,
63,Thursday Jun 13,boxscore,MIL,,OAK,W,16,3,,30-33,4,11.5,Karl,Wojciechowski,,3:20,N,12439,.38,+,
64,Friday Jun 14,boxscore,MIL,,OAK,W,6,2,,31-33,3,10.5,Bones,Wasdin,,2:37,N,14404,.43,++,
65,Saturday Jun 15,boxscore,MIL,,OAK,W,12,9,,32-33,3,10.5,Givens,Wengert,García,3:32,N,21064,.49,+++,
66,Sunday Jun 16,boxscore,MIL,,OAK,L,9,10,,32-34,3,10.5,Taylor,Fetters,Mohler,3:36,D,26744,.52,-,
67,Monday Jun 17,boxscore,MIL,,KCR,W,9,4,,33-34,3,10.0,Burrows,Appier,,2:58,N,9315,.49,+,
68,Tuesday Jun 18,boxscore,MIL,,KCR,W,9,1,,34-34,3,10.0,Karl,Linton,Potts,2:20,N,9116,.60,++,
69,Wednesday Jun 19,boxscore,MIL,,KCR,L,4,8,10,34-35,3,11.0,Pichardo,Mercedes,,3:06,D,13431,.67,-,
70,Thursday Jun 20,boxscore,MIL,,CAL,L,3,10,,34-36,4,12.0,Langston,Givens,,3:14,N,16034,.62,--,
71,Friday Jun 21,boxscore,MIL,,CAL,W,10,5,,35-36,3,10.5,McDonald,Abbott,,3:40,N,16274,.54,+,
72,Saturday Jun 22,boxscore,MIL,,CAL,L,4,6,,35-37,3,10.5,Boskie,Miranda,Percival,3:01,N,35464,.63,-,
73,Sunday Jun 23,boxscore,MIL,,CAL,W,8,4,,36-37,3,9.5,García,Finley,,3:08,D,17051,.57,+,
74,Tuesday Jun 25,boxscore,MIL,@,KCR,W,5,3,,37-37,3,9.5,Bones,Gubicza,Fetters,2:38,N,14448,.65,++,
75,Wednesday Jun 26,boxscore,MIL,@,KCR,L,3,7,,37-38,3,9.5,Haney,Givens,,2:21,N,14560,.69,-,
76,Thursday Jun 27,boxscore,MIL,@,KCR,W,6,2,,38-38,3,8.5,McDonald,Belcher,,2:45,N,17670,.62,+,
77,Friday Jun 28,boxscore,MIL,@,TOR,W,5,1,,39-38,3,7.5,D'Amico,Guzmán,Fetters,2:58,N,31333,.72,++,
78,Saturday Jun 29,boxscore,MIL,@,TOR,W,7,4,,40-38,3,7.5,Karl,Janzen,,2:36,D,31170,.79,+++,
79,Sunday Jun 30,boxscore,MIL,@,TOR,L,2,15,,40-39,3,8.5,Hanson,Bones,,3:05,D,30104,.91,-,
80,Monday Jul 1,boxscore,MIL,@,DET,W,2,0,,41-39,3,7.5,Sparks,Olivares,Fetters,2:22,N,10727,.81,+,
81,Tuesday Jul 2,boxscore,MIL,@,DET,W,2,1,11,42-39,3,7.5,García,Sager,Fetters,3:32,N,9455,.96,++,
82,Wednesday Jul 3,boxscore,MIL,@,DET,L,5,8,,42-40,3,8.5,Williams,D'Amico,,3:23,N,11047,1.00,-,
83,Thursday Jul 4,boxscore,MIL,@,NYY,L,1,4,,42-41,3,8.5,Pettitte,Karl,Wetteland,2:32,D,24243,.99,--,
84,Friday Jul 5,boxscore,MIL,@,NYY,L,3,12,,42-42,3,8.5,Gooden,Bones,,3:03,N,26699,.83,---,
85,Saturday Jul 6,boxscore,MIL,@,NYY,L,0,2,,42-43,3,8.5,Key,Sparks,Wetteland,2:43,N,24033,.76,----,
86,Sunday Jul 7,boxscore,MIL,@,NYY,W,4,1,,43-43,3,8.5,McDonald,Rogers,Fetters,3:01,D,35242,.65,+,
87,Thursday Jul 11,boxscore,MIL,,TOR,L,3,6,,43-44,3,9.5,Guzmán,D'Amico,Castillo,2:58,N,16019,.74,-,
88,Friday Jul 12,boxscore,MIL,,TOR,W,12,5,,44-44,3,9.5,McDonald,Hanson,,2:58,N,15691,.66,+,
89,Saturday Jul 13,boxscore,MIL,,TOR,L,7,15,,44-45,3,10.5,Hentgen,Karl,,3:00,N,29383,.67,-,
90,Sunday Jul 14,boxscore,MIL,,TOR,L,5,7,10,44-46,3,10.5,Crabtree,García,Timlin,3:04,D,20798,.54,--,
91,Monday Jul 15,boxscore,MIL,,DET,L,9,10,,44-47,3,10.5,Sager,Bones,Olson,3:40,N,15819,.43,---,
92,Tuesday Jul 16,boxscore,MIL,,DET,W,20,7,,45-47,3,10.5,D'Amico,Williams,,3:24,N,12476,.41,+,
93,Wednesday Jul 17,boxscore,MIL,,DET,W-wo,3,2,10,46-47,3,9.5,Fetters,Urbani,,2:54,D,21121,.42,++,
94,Thursday Jul 18,boxscore,MIL,,NYY,W,16,4,,47-47,3,9.5,Karl,Gooden,,3:19,N,19079,.53,+++,
95,Friday Jul 19,boxscore,MIL,,NYY,W,7,5,,48-47,3,8.5,Eldred,Pettitte,Fetters,2:54,N,19300,.62,++++,
96,Saturday Jul 20,boxscore,MIL,,NYY,L,2,4,,48-48,3,9.5,Rivera,Van Egmond,Wetteland,3:23,D,25473,.76,-,
97,Sunday Jul 21,boxscore,MIL,,NYY,W,3,2,,49-48,3,9.5,D'Amico,Key,Fetters,2:49,D,25662,.71,+,
98,Monday Jul 22,boxscore,MIL,@,SEA,L,3,8,,49-49,3,10.5,Wagner,Mercedes,,2:39,N,40555,.83,-,
99,Tuesday Jul 23,boxscore,MIL,@,SEA,W,7,3,,50-49,3,9.5,Karl,Carmona,,3:16,N,22378,.70,+,
100,Wednesday Jul 24,boxscore,MIL,@,SEA,L-wo,7,8,,50-50,3,10.5,Ayala,Fetters,,3:00,N,19899,.95,-,
101,Thursday Jul 25,boxscore,MIL,@,CAL,L-wo,4,5,,50-51,3,11.5,Holtz,Lloyd,,3:13,N,16841,.76,--,
102,Friday Jul 26,boxscore,MIL,@,CAL,L,5,6,,50-52,3,12.5,Springer,D'Amico,Percival,2:39,N,18189,.68,---,
103,Saturday Jul 27,boxscore,MIL,@,CAL,L,0,7,,50-53,3,12.5,Finley,McDonald,,2:28,D,17497,.56,----,
104,Sunday Jul 28,boxscore,MIL,@,CAL,W,4,3,13,51-53,3,12.5,Miranda,Holtz,García,4:29,D,25539,.49,+,
105,Tuesday Jul 30 (1),boxscore,MIL,,SEA,L,5,6,,51-54,3,12.0,Wells,Eldred,Ayala,3:29,N,,.62,-,1996-04-29 (Rain)
106,Tuesday Jul 30 (2),boxscore,MIL,,SEA,W,4,3,,52-54,3,12.0,Van Egmond,Wolcott,Fetters,2:50,N,18591,.51,+,
