--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 21,boxscore,CHW,,TOR,W,2,1,,25-18,2,4.5,Tapani,Ware,Hernández,2:29,N,17483,1.37,++++,
44,Wednesday May 22,boxscore,CHW,,TOR,W-wo,2,1,11,26-18,2,3.5,McCaskill,Timlin,,3:26,D,17882,1.34,+++++,
45,Friday May 24,boxscore,CHW,,MIL,W,4,3,,27-18,2,4.0,Thomas,Sparks,Hernández,2:32,N,18346,1.58,++++++,
46,Saturday May 25,boxscore,CHW,,MIL,W,9,7,,28-18,2,4.0,Álvarez,Bones,Hernández,3:06,N,20585,1.56,+++++++,
47,Sunday May 26,boxscore,CHW,,MIL,W,12,1,,29-18,2,4.0,Tapani,McDonald,,3:03,D,21151,1.51,++++++++,
48,Monday May 27,boxscore,CHW,@,TOR,L,4,5,,29-19,2,4.0,Janzen,Fernandez,Timlin,2:40,N,30013,1.37,-,
49,Tuesday May 28,boxscore,CHW,@,TOR,W,8,5,,30-19,2,3.0,Baldwin,Viola,Hernández,3:06,N,30104,1.39,+,
50,Wednesday May 29,boxscore,CHW,@,TOR,L,5,6,,30-20,2,3.0,Hanson,Magrane,Timlin,2:31,N,31074,1.36,-,
51,Thursday May 30,boxscore,CHW,,DET,W,8,2,,31-20,2,3.0,Álvarez,Olivares,,2:50,N,17339,1.32,+,
52,Friday May 31,boxscore,CHW,,DET,W,9,0,,32-20,2,3.0,Tapani,Lira,,2:28,N,16983,1.36,++,
53,Sunday Jun 2 (1),boxscore,CHW,,DET,W,4,2,,33-20,2,2.0,Baldwin,Thompson,Hernández,2:20,D,,1.38,+++,1996-06-01 (Rain)
54,Sunday Jun 2 (2),boxscore,CHW,,DET,W,13,5,,34-20,2,2.0,McCaskill,Keagle,,3:16,D,26125,1.32,++++,
55,Tuesday Jun 4,boxscore,CHW,@,BOS,W,6,4,,35-20,2,1.0,Álvarez,Gunderson,Hernández,3:45,N,23715,1.31,+++++,
56,Wednesday Jun 5,boxscore,CHW,@,BOS,W,8,6,12,36-20,2,1.0,Keyser,Slocumb,,4:24,N,24246,1.25,++++++,
57,Thursday Jun 6,boxscore,CHW,@,BOS,L,4,7,,36-21,2,1.0,Eshelman,Magrane,Stanton,3:09,N,24382,1.22,-,
58,Friday Jun 7,boxscore,CHW,@,BAL,W,8,2,,37-21,2,1.0,Fernandez,Erickson,,2:39,N,47209,1.40,+,
59,Saturday Jun 8,boxscore,CHW,@,BAL,W,2,1,,38-21,2,1.0,Baldwin,Mercker,Hernández,3:09,D,47634,1.30,++,
60,Sunday Jun 9,boxscore,CHW,@,BAL,W,12,9,,39-21,1,Tied,Karchner,Mussina,Hernández,3:36,D,47352,1.20,+++,
61,Monday Jun 10,boxscore,CHW,,BOS,W,8,2,,40-21,1,Tied,Tapani,Wakefield,,2:29,N,21799,1.09,++++,
62,Tuesday Jun 11,boxscore,CHW,,BOS,L,2,9,,40-22,2,1.0,Eshelman,Magrane,,2:31,N,20792,1.00,-,
63,Wednesday Jun 12,boxscore,CHW,,BOS,L,2,3,12,40-23,2,1.0,Hudson,Karchner,,4:00,D,21139,1.09,--,
64,Friday Jun 14,boxscore,CHW,@,SEA,W,4,1,,41-23,2,0.5,Álvarez,Hitchcock,Hernández,2:48,N,30163,1.37,+,
65,Saturday Jun 15,boxscore,CHW,@,SEA,L-wo,6,8,12,41-24,2,1.5,Carmona,McCaskill,,4:06,N,47042,1.24,-,
66,Sunday Jun 16,boxscore,CHW,@,SEA,L,6,7,,41-25,2,1.5,Wells,Magrane,Jackson,3:11,D,34588,1.34,--,
67,Monday Jun 17,boxscore,CHW,@,CAL,L-wo,8,9,13,41-26,2,2.0,Hancock,McCaskill,,4:26,N,17836,1.34,---,
68,Tuesday Jun 18,boxscore,CHW,@,CAL,L,4,5,,41-27,2,3.0,Finley,Simas,Percival,2:50,N,19213,1.43,----,
69,Wednesday Jun 19,boxscore,CHW,@,CAL,L,2,14,,41-28,2,4.0,McElroy,Álvarez,,3:13,D,22960,1.54,-----,
70,Thursday Jun 20,boxscore,CHW,,SEA,L,5,8,,41-29,2,5.0,Hitchcock,Tapani,Charlton,3:03,N,23017,1.61,------,
71,Friday Jun 21,boxscore,CHW,,SEA,L,2,12,,41-30,2,4.5,Wagner,Magrane,,2:31,N,23253,1.71,-------,
72,Saturday Jun 22,boxscore,CHW,,SEA,L,2,4,,41-31,2,4.5,Wells,Fernandez,Charlton,3:37,D,27036,1.69,--------,
73,Sunday Jun 23,boxscore,CHW,,SEA,W-wo,7,6,10,42-31,2,3.5,McCaskill,Guetterman,,3:34,D,26768,1.73,+,
74,Monday Jun 24 (1),boxscore,CHW,,CAL,W,4,2,,43-31,2,3.5,Álvarez,James,Hernández,2:45,D,,1.71,++,1996-04-26 (Rain)
75,Monday Jun 24 (2),boxscore,CHW,,CAL,L,4,6,,43-32,2,3.5,Hancock,Sirotka,Percival,3:17,N,24469,1.72,-,
76,Tuesday Jun 25,boxscore,CHW,,CAL,W,3,2,,44-32,2,3.5,Tapani,Langston,Hernández,2:19,N,23270,1.67,+,
77,Thursday Jun 27,boxscore,CHW,,CLE,W,15,10,,45-32,2,2.0,Fernandez,Swindell,,3:21,N,27782,1.82,++,
78,Friday Jun 28,boxscore,CHW,,CLE,W,4,2,,46-32,2,1.0,Baldwin,Tavárez,Hernández,3:24,N,33136,1.81,+++,
79,Saturday Jun 29,boxscore,CHW,,CLE,L,2,3,10,46-33,2,2.0,Shuey,Karchner,,3:30,N,43601,1.78,-,
80,Sunday Jun 30,boxscore,CHW,,CLE,L,2,4,,46-34,2,3.0,Hershiser,Tapani,Mesa,2:40,N,30351,1.80,--,
81,Monday Jul 1,boxscore,CHW,,MIN,L,7,10,,46-35,2,3.0,Aguilera,Sirotka,,3:04,N,19211,1.66,---,
82,Tuesday Jul 2,boxscore,CHW,,MIN,W,7,4,,47-35,2,3.0,Fernandez,Aldred,Hernández,2:56,N,18357,1.74,+,
83,Wednesday Jul 3,boxscore,CHW,,MIN,L,5,6,,47-36,2,4.0,Radke,Andújar,Stevens,3:16,N,26113,1.68,-,
84,Thursday Jul 4,boxscore,CHW,@,CLE,W,6,5,10,48-36,2,3.0,Karchner,Mesa,Hernández,3:32,D,42355,1.88,+,
85,Friday Jul 5,boxscore,CHW,@,CLE,W,7,0,,49-36,2,2.0,Álvarez,Hershiser,,3:05,N,42536,1.93,++,
86,Saturday Jul 6,boxscore,CHW,@,CLE,W,3,2,,50-36,2,1.0,Karchner,Shuey,Hernández,2:35,D,42454,1.92,+++,
87,Sunday Jul 7,boxscore,CHW,@,CLE,L,1,6,,50-37,2,2.0,Ogea,Fernandez,Assenmacher,2:40,D,42343,1.92,-,
88,Thursday Jul 11,boxscore,CHW,@,KCR,L,2,3,,50-38,2,3.0,Haney,Álvarez,,2:18,N,22928,1.59,--,
89,Friday Jul 12,boxscore,CHW,@,KCR,W,7,6,,51-38,2,3.0,Tapani,Belcher,Hernández,3:11,N,18458,1.66,+,
90,Saturday Jul 13,boxscore,CHW,@,KCR,W,3,1,,52-38,2,3.0,Fernandez,Rosado,,2:23,N,25363,1.60,++,
91,Sunday Jul 14,boxscore,CHW,@,KCR,W,3,2,,53-38,2,2.0,Baldwin,Linton,Hernández,2:13,D,17024,1.55,+++,
92,Monday Jul 15,boxscore,CHW,@,MIN,L,5,16,,53-39,2,2.0,Aldred,McCaskill,,2:43,N,13636,1.48,-,
93,Tuesday Jul 16,boxscore,CHW,@,MIN,W,11,2,,54-39,2,2.0,Álvarez,Radke,,2:53,N,18502,1.60,+,
94,Wednesday Jul 17,boxscore,CHW,@,MIN,L-wo,3,4,,54-40,2,2.0,Trombley,Simas,,2:51,D,20755,1.50,-,
95,Thursday Jul 18,boxscore,CHW,,KCR,L,1,7,,54-41,2,3.0,Appier,Fernandez,Pichardo,2:43,N,17657,1.57,--,
96,Friday Jul 19,boxscore,CHW,,KCR,L,4,7,10,54-42,2,3.0,Montgomery,Hernández,,3:34,N,19604,1.66,---,
97,Saturday Jul 20,boxscore,CHW,,KCR,L,5,7,,54-43,2,4.0,Linton,Keyser,Montgomery,3:05,N,32282,1.70,----,
98,Sunday Jul 21,boxscore,CHW,,KCR,W,6,3,,55-43,2,4.0,Álvarez,Haney,Hernández,2:30,D,21253,1.77,+,
99,Monday Jul 22,boxscore,CHW,,OAK,L,5,6,,55-44,2,5.0,Taylor,Karchner,,2:57,N,23572,1.87,-,
100,Tuesday Jul 23,boxscore,CHW,,OAK,L,4,8,,55-45,2,5.0,Wengert,Fernandez,Corsi,2:58,N,18527,1.98,--,
101,Wednesday Jul 24,boxscore,CHW,,OAK,L,5,6,,55-46,2,6.0,Corsi,Simas,Taylor,2:59,D,23350,2.04,---,
102,Thursday Jul 25,boxscore,CHW,,TEX,L,3,4,12,55-47,2,7.0,Russell,Keyser,Henneman,4:08,N,19524,2.11,----,
103,Friday Jul 26,boxscore,CHW,,TEX,W,6,2,,56-47,2,7.0,Álvarez,Oliver,,2:33,N,21398,2.06,+,
104,Saturday Jul 27,boxscore,CHW,,TEX,L,4,6,10,56-48,2,7.0,Heredia,Simas,Vosberg,3:21,D,22629,2.16,-,
105,Sunday Jul 28,boxscore,CHW,,TEX,W,5,1,,57-48,2,7.0,Fernandez,Pavlik,,2:30,D,20902,2.18,+,
106,Tuesday Jul 30,boxscore,CHW,@,OAK,W,2,1,,58-48,2,6.0,Baldwin,Telgheder,Hernández,2:17,N,14210,2.11,++,
107,Wednesday Jul 31,boxscore,CHW,@,OAK,L,4,5,,58-49,2,7.0,Witasick,Karchner,Taylor,2:46,D,13127,2.11,-,
108,Thursday Aug 1,boxscore,CHW,@,OAK,W,8,3,,59-49,2,6.0,Tapani,Wasdin,Hernández,2:54,D,10514,2.16,+,
109,Friday Aug 2,boxscore,CHW,@,TEX,W,9,0,,60-49,2,6.0,Fernandez,Pavlik,,2:46,N,36299,2.33,++,
110,Saturday Aug 3,boxscore,CHW,@,TEX,W,11,9,,61-49,2,5.0,Hernández,Russell,,3:37,N,46481,2.31,+++,
111,Sunday Aug 4,boxscore,CHW,@,TEX,L,5,9,,61-50,2,6.0,Witt,Baldwin,,2:32,N,32854,2.21,-,
112,Monday Aug 5,boxscore,CHW,@,TEX,W,15,5,,62-50,2,5.0,Álvarez,Oliver,,3:31,N,29973,2.39,+,
113,Tuesday Aug 6,boxscore,CHW,@,NYY,L,2,9,,62-51,2,6.0,Rogers,Tapani,,2:29,N,33025,1.86,-,
114,Wednesday Aug 7,boxscore,CHW,@,NYY,W,8,4,10,63-51,2,6.0,Hernández,Nelson,,3:28,N,31098,1.96,+,
115,Thursday Aug 8,boxscore,CHW,@,NYY,L,4,8,,63-52,2,7.0,Wickman,Andújar,Rivera,3:01,D,35898,1.88,-,
116,Friday Aug 9,boxscore,CHW,,BAL,W-wo,4,3,10,64-52,2,7.0,Simas,Myers,,3:18,N,23995,2.63,+,
117,Saturday Aug 10,boxscore,CHW,,BAL,L,4,13,,64-53,2,7.0,Mussina,Álvarez,McDowell,2:59,N,26772,2.43,-,
118,Sunday Aug 11,boxscore,CHW,,BAL,W,8,5,,65-53,2,6.0,Tapani,Mills,Hernández,3:23,D,27088,2.65,+,
119,Monday Aug 12,boxscore,CHW,,NYY,W-wo,3,2,10,66-53,2,6.0,Hernández,Wetteland,,3:02,N,32492,1.95,++,
120,Tuesday Aug 13,boxscore,CHW,,NYY,W,8,4,,67-53,2,5.0,Bertotti,Weathers,,2:49,N,26455,1.82,+++,
121,Wednesday Aug 14,boxscore,CHW,,NYY,L,1,3,,67-54,2,5.0,Pettitte,Baldwin,Rivera,2:39,D,23350,1.75,-,
122,Friday Aug 16 (1),boxscore,CHW,@,MIL,L,7,9,,67-55,2,6.5,Miranda,Levine,Villone,3:16,N,,1.92,--,1996-05-14 (Rain)
123,Friday Aug 16 (2),boxscore,CHW,@,MIL,L,2,3,,67-56,2,6.5,Van Egmond,Tapani,Fetters,2:39,N,25529,2.00,---,
124,Saturday Aug 17,boxscore,CHW,@,MIL,W,6,2,,68-56,2,6.5,Fernandez,McDonald,Hernández,2:59,N,31551,2.15,+,
125,Sunday Aug 18,boxscore,CHW,@,MIL,L,7,8,,68-57,2,7.5,Miranda,Darwin,Fetters,3:29,D,33094,2.07,-,
126,Monday Aug 19,boxscore,CHW,@,DET,W,12,7,,69-57,2,6.5,Simas,Lima,,3:07,N,14690,2.22,+,
127,Tuesday Aug 20,boxscore,CHW,@,DET,L,11,16,,69-58,2,7.5,Lewis,Tapani,,3:09,N,12119,2.07,-,
128,Wednesday Aug 21,boxscore,CHW,@,DET,L,4,7,,69-59,2,7.5,Lima,Simas,Olson,2:51,D,13424,2.18,--,
129,Thursday Aug 22,boxscore,CHW,,TOR,L,0,1,6,69-60,2,8.0,Hanson,Fernandez,,1:26,N,22394,2.23,---,
130,Friday Aug 23,boxscore,CHW,,TOR,L,2,4,,69-61,2,8.0,Hentgen,Ruffcorn,,2:34,N,19132,2.32,----,
131,Saturday Aug 24,boxscore,CHW,,TOR,L,2,9,,69-62,2,8.0,Williams,Baldwin,,2:56,N,29413,2.34,-----,
132,Sunday Aug 25,boxscore,CHW,,TOR,W-wo,10,9,10,70-62,2,8.0,Hernández,Timlin,,3:45,D,19647,2.27,+,
133,Monday Aug 26,boxscore,CHW,,MIL,L,2,3,,70-63,2,9.0,Eldred,Álvarez,Jones,3:19,N,19637,2.38,-,
134,Tuesday Aug 27,boxscore,CHW,,MIL,L,2,4,,70-64,2,10.0,Van Egmond,Fernandez,Fetters,2:52,N,15443,2.31,--,
135,Wednesday Aug 28,boxscore,CHW,,MIL,W,2,0,,71-64,2,10.0,Baldwin,McDonald,Hernández,2:26,D,17269,2.09,+,
136,Friday Aug 30,boxscore,CHW,@,TOR,W,11,2,,72-64,2,9.0,Tapani,Williams,,2:35,N,30072,2.35,++,
137,Saturday Aug 31,boxscore,CHW,@,TOR,W,5,1,,73-64,2,8.0,Álvarez,Flener,,2:42,D,32141,2.55,+++,
138,Sunday Sep 1,boxscore,CHW,@,TOR,W,4,2,11,74-64,2,8.0,Hernández,Spoljaric,,3:16,D,30156,2.55,++++,
139,Monday Sep 2,boxscore,CHW,,DET,L,6,8,,74-65,2,8.0,Myers,Hernández,Lima,3:24,D,19599,2.66,-,
140,Tuesday Sep 3,boxscore,CHW,,DET,W,6,4,,75-65,2,7.0,Bertotti,Olivares,Hernández,3:09,N,13857,2.64,+,
141,Wednesday Sep 4,boxscore,CHW,,DET,W,11,6,,76-65,2,7.0,Castillo,Miller,,2:39,N,15120,2.74,++,
142,Friday Sep 6,boxscore,CHW,,BOS,L,3,10,,76-66,2,7.5,Wakefield,Álvarez,,2:49,N,18417,3.13,-,
143,Saturday Sep 7,boxscore,CHW,,BOS,W,4,3,,77-66,2,7.0,Fernandez,Clemens,Hernández,2:34,N,28219,3.48,+,
144,Sunday Sep 8,boxscore,CHW,,BOS,W,7,4,,78-66,2,6.5,Baldwin,Sele,Hernández,2:37,D,19983,3.34,++,
145,Tuesday Sep 10,boxscore,CHW,@,BAL,L,1,5,,78-67,2,8.0,Wells,Tapani,,3:00,N,43320,4.54,-,
146,Wednesday Sep 11,boxscore,CHW,@,BAL,L-wo,6,7,10,78-68,2,9.0,Mills,Hernández,,3:50,N,43320,5.07,--,
147,Thursday Sep 12,boxscore,CHW,@,BAL,W,11,3,,79-68,2,9.0,Fernandez,Mussina,,2:56,N,47342,5.09,+,
148,Friday Sep 13,boxscore,CHW,@,BOS,L,5,9,,79-69,2,9.5,Clemens,Baldwin,Slocumb,3:30,N,28907,3.36,-,
149,Saturday Sep 14,boxscore,CHW,@,BOS,W,13,5,,80-69,2,10.0,Castillo,Gordon,Simas,3:28,D,31841,3.17,+,
150,Sunday Sep 15,boxscore,CHW,@,BOS,L-wo,8,9,,80-70,2,10.0,Slocumb,Hernández,,2:59,D,32452,3.10,-,
151,Monday Sep 16,boxscore,CHW,,CLE,L,3,4,,80-71,2,11.0,McDowell,Álvarez,,3:17,N,25392,2.50,--,
152,Tuesday Sep 17,boxscore,CHW,,CLE,L,4,9,,80-72,2,12.0,Anderson,Fernandez,Plunk,2:38,N,18763,1.86,---,
153,Wednesday Sep 18,boxscore,CHW,,CLE,L,3,4,,80-73,2,13.0,Lopez,Baldwin,Mesa,2:44,N,20289,1.30,----,
154,Thursday Sep 19,boxscore,CHW,,MIN,W,8,3,,81-73,2,13.0,Sirotka,Rodriguez,Castillo,2:30,N,14253,1.00,+,
155,Friday Sep 20,boxscore,CHW,,MIN,W,7,3,,82-73,2,12.0,Tapani,Robertson,,2:19,N,15673,1.16,++,
156,Saturday Sep 21,boxscore,CHW,,MIN,L,3,4,,82-74,2,13.0,Radke,Álvarez,Trombley,3:06,D,18866,1.97,-,
157,Sunday Sep 22,boxscore,CHW,,MIN,W,5,1,,83-74,2,13.0,Fernandez,Aldred,,2:10,D,20111,.70,+,
158,Tuesday Sep 24,boxscore,CHW,,KCR,W-wo,3,2,,84-74,2,13.5,Castillo,Belcher,,2:13,N,14348,1.48,++,
159,Wednesday Sep 25,boxscore,CHW,,KCR,L,2,8,,84-75,2,14.5,Appier,Tapani,,2:48,N,15911,3.22,-,
160,Friday Sep 27,boxscore,CHW,@,MIN,W,4,2,,85-75,2,13.5,Fernandez,Radke,Hernández,3:03,N,13058,.31,+,
161,Saturday Sep 28,boxscore,CHW,@,MIN,L-wo,6,7,,85-76,2,14.5,Trombley,Castillo,,3:26,N,34008,1.39,-,
162,Sunday Sep 29,boxscore,CHW,@,MIN,L-wo,4,5,10,85-77,2,14.5,Guardado,Hernández,,2:46,D,13306,.00,--,
