--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 23,boxscore,BOS,,SEA,W,11,4,,18-26,4,8.5,Clemens,Milacki,,3:10,N,31551,.42,+,
45,Friday May 24,boxscore,BOS,@,CAL,L,1,3,,18-27,4,8.5,Finley,Sele,Percival,3:00,N,19550,.47,-,
46,Saturday May 25,boxscore,BOS,@,CAL,W,10,3,,19-27,4,8.5,Gordon,Williams,,2:55,N,23972,.45,+,
47,Sunday May 26,boxscore,BOS,@,CAL,L,2,12,,19-28,4,8.5,Boskie,Eshelman,,2:42,D,23828,.50,-,
48,Monday May 27,boxscore,BOS,@,OAK,W,10,3,,20-28,4,8.5,Wakefield,Wojciechowski,,2:30,D,21688,.42,+,
49,Tuesday May 28,boxscore,BOS,@,OAK,L,2,6,,20-29,4,8.5,Wasdin,Clemens,,2:35,N,9338,.46,-,
50,Wednesday May 29,boxscore,BOS,@,OAK,L-wo,6,7,10,20-30,4,8.5,Mohler,Slocumb,,3:10,N,8282,.41,--,
51,Thursday May 30,boxscore,BOS,@,SEA,W,10,1,,21-30,4,8.0,Gordon,Torres,,2:29,N,17395,.38,+,
52,Friday May 31,boxscore,BOS,@,SEA,L,6,9,,21-31,4,9.0,Wells,Garcés,,2:55,N,29119,.44,-,
53,Saturday Jun 1,boxscore,BOS,@,SEA,W,6,5,,22-31,4,9.0,Wakefield,Milacki,Slocumb,2:54,D,34822,.39,+,
54,Sunday Jun 2,boxscore,BOS,@,SEA,L,1,3,,22-32,4,10.0,Wolcott,Clemens,Jackson,2:48,D,47540,.44,-,
55,Tuesday Jun 4,boxscore,BOS,,CHW,L,4,6,,22-33,4,11.0,Álvarez,Gunderson,Hernández,3:45,N,23715,.36,--,
56,Wednesday Jun 5,boxscore,BOS,,CHW,L,6,8,12,22-34,4,11.0,Keyser,Slocumb,,4:24,N,24246,.28,---,
57,Thursday Jun 6,boxscore,BOS,,CHW,W,7,4,,23-34,4,11.0,Eshelman,Magrane,Stanton,3:09,N,24382,.24,+,
58,Friday Jun 7,boxscore,BOS,,MIL,W,10,7,,24-34,4,10.0,Garcés,García,Slocumb,3:09,N,26861,.24,++,
59,Saturday Jun 8,boxscore,BOS,,MIL,L,2,3,10,24-35,4,10.0,Lloyd,Hudson,Fetters,3:42,N,30399,.29,-,
60,Sunday Jun 9,boxscore,BOS,,MIL,L,8,11,10,24-36,4,11.0,Burrows,Slocumb,Fetters,3:55,D,28120,.28,--,
61,Monday Jun 10,boxscore,BOS,@,CHW,L,2,8,,24-37,4,12.0,Tapani,Wakefield,,2:29,N,21799,.25,---,
62,Tuesday Jun 11,boxscore,BOS,@,CHW,W,9,2,,25-37,4,12.0,Eshelman,Magrane,,2:31,N,20792,.19,+,
63,Wednesday Jun 12,boxscore,BOS,@,CHW,W,3,2,12,26-37,4,11.0,Hudson,Karchner,,4:00,D,21139,.22,++,
64,Thursday Jun 13,boxscore,BOS,,TEX,W-wo,8,7,10,27-37,3,10.0,Slocumb,Henneman,,4:26,N,32645,.24,+++,
65,Friday Jun 14,boxscore,BOS,,TEX,W,4,3,,28-37,3,10.0,Stanton,Witt,,2:56,N,29689,.29,++++,
66,Saturday Jun 15,boxscore,BOS,,TEX,L,3,13,,28-38,3,10.0,Gross,Wakefield,,3:22,N,33186,.31,-,
67,Sunday Jun 16,boxscore,BOS,,TEX,W-wo,10,9,,29-38,3,10.0,Hudson,Henneman,,3:11,D,30461,.30,+,
68,Tuesday Jun 18,boxscore,BOS,@,CLE,L,7,9,,29-39,3,10.5,Swindell,Sele,Mesa,3:38,N,42209,.33,-,
69,Wednesday Jun 19,boxscore,BOS,@,CLE,L,4,11,,29-40,4,11.0,Hershiser,Gordon,,2:46,N,42276,.29,--,
70,Thursday Jun 20,boxscore,BOS,@,CLE,L-wo,4,5,,29-41,4,11.5,Shuey,Stanton,,2:46,N,42306,.26,---,
71,Friday Jun 21,boxscore,BOS,@,TEX,L,4,14,,29-42,4,13.0,Hill,Minchey,,2:58,N,40726,.21,----,
72,Saturday Jun 22,boxscore,BOS,@,TEX,L,2,8,,29-43,4,14.0,Pavlik,Wakefield,,2:42,N,46444,.14,-----,
73,Sunday Jun 23,boxscore,BOS,@,TEX,W,6,4,,30-43,4,14.0,Stanton,Cook,Slocumb,3:25,N,39399,.11,+,
74,Tuesday Jun 25,boxscore,BOS,,CLE,L,0,4,,30-44,4,14.0,Hershiser,Gordon,,2:55,N,33576,.13,-,
75,Wednesday Jun 26,boxscore,BOS,,CLE,W-wo,6,4,15,31-44,4,14.0,Garcés,Embree,,5:14,N,33727,.11,+,
76,Thursday Jun 27,boxscore,BOS,,DET,L,6,9,,31-45,4,15.0,Lira,Minchey,,3:09,N,29582,.11,-,
77,Friday Jun 28,boxscore,BOS,,DET,W,8,5,,32-45,4,14.0,Wakefield,Williams,,3:15,N,27578,.09,+,
78,Saturday Jun 29,boxscore,BOS,,DET,W,13,6,,33-45,4,14.0,Eshelman,Keagle,,3:08,N,33509,.11,++,
79,Sunday Jun 30,boxscore,BOS,,DET,W,9,4,,34-45,4,13.0,Gordon,Sodowsky,,2:44,D,31217,.14,+++,
80,Monday Jul 1,boxscore,BOS,@,NYY,L,0,2,,34-46,4,14.0,Key,Clemens,Wetteland,2:51,N,27734,.22,-,
81,Tuesday Jul 2,boxscore,BOS,@,NYY,L,5,7,,34-47,4,15.0,Nelson,Hudson,Wetteland,3:27,N,28310,.17,--,
82,Thursday Jul 4,boxscore,BOS,@,BAL,L,6,8,,34-48,4,16.0,Mussina,Wakefield,Myers,3:04,D,47075,.11,---,
83,Friday Jul 5,boxscore,BOS,@,BAL,W,7,3,,35-48,4,16.0,Sele,Wells,,2:47,N,47237,.07,+,
84,Saturday Jul 6,boxscore,BOS,@,BAL,L,3,4,,35-49,4,17.0,Coppinger,Clemens,Myers,3:00,D,47500,.08,-,
85,Sunday Jul 7,boxscore,BOS,@,BAL,W,7,5,,36-49,4,16.0,Hudson,Myers,Slocumb,2:53,N,47532,.07,+,
86,Thursday Jul 11,boxscore,BOS,@,DET,W,11,4,,37-49,4,16.0,Clemens,Williams,,3:00,N,15826,.07,++,
87,Friday Jul 12,boxscore,BOS,@,DET,W,11,3,,38-49,3,15.5,Gordon,Olivares,,3:10,N,19535,.09,+++,
88,Saturday Jul 13,boxscore,BOS,@,DET,W,10,5,,39-49,3,16.0,Sele,Nitkowski,,3:14,N,16671,.10,++++,
89,Sunday Jul 14,boxscore,BOS,@,DET,W,6,4,,40-49,3,16.0,Moyer,Lira,Slocumb,3:07,D,19670,.13,+++++,
90,Monday Jul 15,boxscore,BOS,,NYY,W,8,6,,41-49,3,15.0,Wakefield,Hutton,Slocumb,3:06,N,33263,.17,++++++,
91,Tuesday Jul 16,boxscore,BOS,,NYY,L,5,9,,41-50,3,16.0,Key,Clemens,,3:31,N,34676,.23,-,
92,Wednesday Jul 17,boxscore,BOS,,NYY,W-wo,12,11,,42-50,3,15.0,Eshelman,Wetteland,,3:58,N,34082,.14,+,
93,Thursday Jul 18,boxscore,BOS,,BAL,L,3,6,,42-51,3,15.0,Wells,Sele,Myers,3:26,N,33014,.19,-,
94,Friday Jul 19,boxscore,BOS,,BAL,W,13,2,,43-51,3,14.0,Moyer,Erickson,,2:53,N,32262,.14,+,
95,Saturday Jul 20,boxscore,BOS,,BAL,W,2,0,,44-51,3,14.0,Wakefield,Coppinger,Slocumb,2:39,D,33590,.21,++,
96,Sunday Jul 21,boxscore,BOS,,BAL,L,6,10,10,44-52,3,14.0,Myers,Stanton,,4:09,D,34423,.26,-,
97,Monday Jul 22,boxscore,BOS,,KCR,L,2,5,,44-53,3,14.0,Belcher,Gordon,,2:22,N,28109,.15,--,
98,Tuesday Jul 23,boxscore,BOS,,KCR,L,5,7,,44-54,3,15.0,Appier,Sele,,3:13,N,23711,.14,---,
99,Wednesday Jul 24,boxscore,BOS,,KCR,W,12,2,,45-54,3,15.0,Moyer,Linton,,3:09,N,33381,.10,+,
100,Thursday Jul 25,boxscore,BOS,@,MIN,L,6,16,,45-55,3,15.0,Parra,Wakefield,,2:58,N,13924,.14,-,
101,Friday Jul 26,boxscore,BOS,@,MIN,L,1,5,,45-56,3,16.0,Radke,Clemens,,2:43,N,17768,.13,--,
102,Saturday Jul 27,boxscore,BOS,@,MIN,W,9,5,,46-56,3,16.0,Gordon,Naulty,,3:14,N,22128,.09,+,
103,Sunday Jul 28,boxscore,BOS,@,MIN,L,8,9,,46-57,4,17.0,Aguilera,Sele,Naulty,3:02,D,17448,.11,-,
104,Tuesday Jul 30,boxscore,BOS,@,KCR,L,0,7,,46-58,4,17.0,Rosado,Eshelman,,2:23,N,17166,.07,--,
105,Wednesday Jul 31,boxscore,BOS,@,KCR,W,5,3,,47-58,4,16.0,Wakefield,Haney,Slocumb,2:25,N,17527,.05,+,
106,Thursday Aug 1,boxscore,BOS,@,KCR,L,4,9,,47-59,4,17.0,Belcher,Clemens,,2:28,N,18934,.06,-,
107,Friday Aug 2,boxscore,BOS,,MIN,W-wo,11,10,,48-59,4,16.0,Brandenburg,Naulty,,3:20,N,28041,.05,+,
108,Saturday Aug 3 (1),boxscore,BOS,,MIN,W,6,3,,49-59,4,15.5,Sele,Rodriguez,Hudson,2:30,D,19860,.06,++,1996-04-10 (Snow)
109,Saturday Aug 3 (2),boxscore,BOS,,MIN,L,0,6,,49-60,4,15.5,Aldred,Suppan,,2:32,N,29135,.08,-,
110,Sunday Aug 4,boxscore,BOS,,MIN,W,13,6,,50-60,4,15.5,Eshelman,Klingenbeck,,2:49,D,29939,.05,+,
111,Monday Aug 5,boxscore,BOS,,TOR,W,3,1,,51-60,4,15.5,Wakefield,Guzmán,,2:22,N,23884,.07,++,
112,Tuesday Aug 6,boxscore,BOS,,TOR,W,3,2,,52-60,3,15.5,Maddux,Hanson,Slocumb,2:26,N,25264,.08,+++,
113,Wednesday Aug 7,boxscore,BOS,,TOR,W,8,0,,53-60,3,14.5,Gordon,Hentgen,,2:00,N,30443,.11,++++,
114,Thursday Aug 8,boxscore,BOS,,TOR,L,6,9,,53-61,3,15.5,Williams,Sele,Timlin,3:03,D,32696,.13,-,
115,Friday Aug 9 (1),boxscore,BOS,@,MIL,W,9,7,,54-61,3,14.0,Suppan,Van Egmond,Slocumb,3:16,N,,.09,+,1996-05-08 (Rain)
116,Friday Aug 9 (2),boxscore,BOS,@,MIL,W,4,1,,55-61,3,14.0,Eshelman,Bones,Belinda,2:28,N,19541,.12,++,
117,Saturday Aug 10,boxscore,BOS,@,MIL,W,3,2,,56-61,3,13.0,Wakefield,Eldred,,2:14,N,20297,.16,+++,
118,Sunday Aug 11,boxscore,BOS,@,MIL,W,2,0,,57-61,3,13.0,Clemens,McDonald,Belinda,2:53,D,19178,.21,++++,
119,Monday Aug 12,boxscore,BOS,@,TOR,L,1,5,,57-62,3,13.0,Hentgen,Gordon,,2:26,N,33250,.27,-,
120,Tuesday Aug 13,boxscore,BOS,@,TOR,W,7,5,,58-62,3,12.0,Brandenburg,Williams,Slocumb,3:06,N,30502,.21,+,
121,Wednesday Aug 14,boxscore,BOS,@,TOR,W,8,6,,59-62,3,12.0,Belinda,Crabtree,Slocumb,2:56,N,32354,.22,++,
122,Friday Aug 16,boxscore,BOS,,CAL,L,3,6,,59-63,3,12.0,Springer,Wakefield,Percival,2:31,N,30693,.27,-,
