--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Saturday May 18,boxscore,KCR,,TOR,L,2,6,,18-25,5,10.5,Viola,Appier,,2:42,N,18116,.56,-,
44,Sunday May 19,boxscore,KCR,,TOR,L,2,3,,18-26,5,11.5,Hanson,Gubicza,Timlin,2:28,D,15039,.49,--,
45,Monday May 20,boxscore,KCR,,TOR,W,5,4,,19-26,5,11.0,Haney,Hentgen,Montgomery,2:05,N,14303,.42,+,
46,Tuesday May 21,boxscore,KCR,@,DET,W,7,1,,20-26,5,11.0,Linton,Williams,Valera,2:25,N,24372,.47,++,
47,Wednesday May 22,boxscore,KCR,@,DET,W,6,4,,21-26,4,10.0,Belcher,Farrell,Montgomery,2:52,D,12890,.49,+++,
48,Thursday May 23,boxscore,KCR,,TEX,W,4,2,,22-26,4,10.0,Appier,Oliver,Montgomery,2:32,N,15612,.59,++++,
49,Friday May 24,boxscore,KCR,,TEX,W,8,0,,23-26,4,10.0,Gubicza,Witt,,2:29,N,13696,.62,+++++,
50,Saturday May 25,boxscore,KCR,,TEX,L,1,2,,23-27,4,11.0,Helling,Haney,Henneman,2:16,N,23668,.67,-,
51,Sunday May 26,boxscore,KCR,,TEX,L,4,6,,23-28,5,12.0,Hill,Linton,Henneman,2:52,D,22665,.58,--,
52,Monday May 27,boxscore,KCR,,DET,W-wo,5,4,13,24-28,4,11.0,Montgomery,Veres,,4:06,N,19776,.47,+,
53,Wednesday May 29,boxscore,KCR,,DET,L,4,5,,24-29,5,10.5,Gohr,Appier,Walker,2:41,N,13712,.52,-,
54,Friday May 31,boxscore,KCR,@,TOR,L,2,4,,24-30,5,12.0,Hentgen,Gubicza,Timlin,2:28,N,33194,.47,--,
55,Saturday Jun 1,boxscore,KCR,@,TOR,L-wo,3,5,10,24-31,5,12.0,Crabtree,Montgomery,,2:42,D,31107,.42,---,
56,Sunday Jun 2,boxscore,KCR,@,TOR,W,7,5,,25-31,5,12.0,Belcher,Janzen,Montgomery,2:43,D,32253,.38,+,
57,Monday Jun 3,boxscore,KCR,@,OAK,L,1,2,,25-32,5,12.5,Wasdin,Appier,Taylor,2:29,N,6465,.38,-,
58,Tuesday Jun 4,boxscore,KCR,@,OAK,L,3,8,,25-33,5,12.5,Wengert,Gubicza,,2:42,D,11524,.31,--,
