--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Thursday May 23,boxscore,COL,,CIN,L,5,7,,22-22,3,5.5,Carrasco,Ruffin,Brantley,2:45,N,48040,1.03,-,
45,Friday May 24,boxscore,COL,,CIN,L,9,11,,22-23,4,6.5,Ruffin,Thompson,,3:40,N,48019,.98,--,
46,Saturday May 25,boxscore,COL,,CIN,W,7,5,,23-23,4,6.5,Leskanic,Moore,,3:07,N,48012,.88,+,
47,Monday May 27,boxscore,COL,@,STL,W,5,2,,24-23,4,6.0,Ritz,Stottlemyre,Ruffin,2:44,D,38804,.97,++,
48,Tuesday May 28,boxscore,COL,@,STL,W,6,5,,25-23,2,6.0,Painter,Mathews,Holmes,3:15,N,26913,1.00,+++,
49,Wednesday May 29,boxscore,COL,@,STL,L,5,6,,25-24,4,6.0,Petkovsek,Leskanic,Benes,2:59,N,27856,1.06,-,
50,Friday May 31,boxscore,COL,@,PIT,L,4,8,,25-25,3,7.0,Neagle,Reynoso,Córdova,2:33,N,26640,1.02,--,
51,Saturday Jun 1,boxscore,COL,@,PIT,W,2,0,,26-25,3,7.0,Ritz,Wagner,Ruffin,3:01,N,15633,.92,+,
52,Sunday Jun 2,boxscore,COL,@,PIT,L,2,5,,26-26,3,7.0,Smith,Holmes,Córdova,2:38,D,26745,1.04,-,
53,Monday Jun 3,boxscore,COL,@,PIT,L,2,7,,26-27,4,7.0,Ruebel,Farmer,,2:41,D,8120,.94,--,
54,Tuesday Jun 4,boxscore,COL,@,HOU,L,8,16,,26-28,4,7.0,Hampton,Thompson,,3:31,N,18418,.91,---,
55,Wednesday Jun 5,boxscore,COL,@,HOU,L,1,4,,26-29,4,8.0,Wall,Reynoso,,2:13,N,14954,.85,----,
56,Thursday Jun 6,boxscore,COL,@,HOU,W,14,7,,27-29,4,7.5,Ritz,Drabek,,3:17,N,22112,.78,+,
57,Friday Jun 7,boxscore,COL,,ATL,W,19,8,,28-29,4,6.5,Painter,Bielecki,,3:14,N,48027,.87,++,
58,Saturday Jun 8,boxscore,COL,,ATL,W,13,12,,29-29,4,5.5,Holmes,McMichael,Ruffin,3:17,D,48015,1.00,+++,
59,Sunday Jun 9,boxscore,COL,,ATL,L,3,8,,29-30,4,5.5,Smoltz,Thompson,,2:46,D,48036,1.10,-,
60,Monday Jun 10,boxscore,COL,,HOU,L,9,10,,29-31,4,5.5,Wall,Reynoso,,3:06,N,48007,.97,--,
61,Tuesday Jun 11,boxscore,COL,,HOU,W,7,5,,30-31,4,4.5,Alston,Young,Ruffin,3:18,N,48014,.93,+,
62,Wednesday Jun 12,boxscore,COL,,HOU,W,8,0,,31-31,3,3.5,Freeman,Reynolds,,2:31,D,48024,1.04,++,
63,Thursday Jun 13,boxscore,COL,,PHI,W,4,1,,32-31,3,2.5,Rekar,Schilling,Ruffin,2:23,N,48018,1.15,+++,
64,Friday Jun 14,boxscore,COL,,PHI,W,10,6,,33-31,3,1.5,Painter,Springer,,2:42,N,48006,1.18,++++,
