--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 21,boxscore,PHI,@,SDP,W,5,4,,22-21,3,6.0,Mulholland,Bergman,Bottalico,2:37,N,11954,.98,++,
44,Wednesday May 22,boxscore,PHI,@,SDP,L,2,5,,22-22,3,7.0,Hamilton,Grace,Hoffman,2:30,N,13118,1.05,-,
45,Thursday May 23,boxscore,PHI,@,SDP,L,5,7,,22-23,4,7.5,Sanders,Springer,Hoffman,2:54,D,16632,.95,--,
46,Friday May 24,boxscore,PHI,@,SFG,W,5,1,,23-23,3,7.5,Schilling,Watson,,2:20,N,11917,.89,+,
47,Saturday May 25,boxscore,PHI,@,SFG,L,2,3,,23-24,3,7.5,Gardner,Williams,Beck,2:35,D,16874,1.00,-,
48,Sunday May 26,boxscore,PHI,@,SFG,W,10,1,,24-24,3,7.5,Mulholland,Fernández,Bottalico,2:34,D,26234,.94,+,
49,Tuesday May 28,boxscore,PHI,,LAD,W,9,3,,25-24,3,7.5,Grace,Valdez,,2:29,N,17186,1.00,++,
50,Wednesday May 29,boxscore,PHI,,LAD,L,2,3,11,25-25,4,8.5,Guthrie,Bottalico,Worrell,3:20,N,24120,1.09,-,
51,Thursday May 30,boxscore,PHI,,LAD,W-wo,3,2,,26-25,3,8.0,Borland,Worrell,,2:55,N,29287,.99,+,
52,Friday May 31,boxscore,PHI,,SDP,L,2,4,,26-26,3,9.0,Ashby,Mulholland,Hoffman,2:44,N,22110,1.03,-,
53,Saturday Jun 1,boxscore,PHI,,SDP,L,3,8,,26-27,3,9.0,Bergman,Mimbs,,2:37,N,27623,.98,--,
54,Sunday Jun 2,boxscore,PHI,,SDP,W-wo,9,8,12,27-27,3,9.0,Borland,Hoffman,,4:18,D,32035,.86,+,
55,Monday Jun 3,boxscore,PHI,@,CHC,L-wo,3,4,,27-28,4,10.0,Patterson,Ryan,,2:46,N,26320,.89,-,
56,Tuesday Jun 4,boxscore,PHI,@,CHC,W,12,3,,28-28,4,9.0,Williams,Bullinger,,2:47,D,15431,.84,+,
57,Wednesday Jun 5,boxscore,PHI,@,CHC,L,6,9,,28-29,4,10.0,Adams,Borland,Wendell,2:17,D,18189,.95,-,
58,Friday Jun 7,boxscore,PHI,@,HOU,L,5,11,,28-30,4,10.0,Reynolds,Crawford,,2:35,N,22585,.89,--,
59,Saturday Jun 8,boxscore,PHI,@,HOU,L,3,7,,28-31,4,10.0,Wagner,Springer,,2:57,D,23739,.78,---,
60,Sunday Jun 9,boxscore,PHI,@,HOU,L,1,2,,28-32,4,11.0,Young,Williams,Jones,2:42,D,30180,.77,----,
61,Monday Jun 10,boxscore,PHI,,CHC,L,1,2,,28-33,4,11.0,Navarro,Mulholland,,2:05,N,19588,.68,-----,
62,Tuesday Jun 11,boxscore,PHI,,CHC,L,2,9,,28-34,4,12.0,Campbell,Muñoz,,2:39,N,23220,.63,------,
63,Wednesday Jun 12,boxscore,PHI,,CHC,W,4,3,,29-34,4,11.0,Fernandez,Castillo,Bottalico,3:07,D,27287,.56,+,
64,Thursday Jun 13,boxscore,PHI,@,COL,L,1,4,,29-35,4,11.0,Rekar,Schilling,Ruffin,2:23,N,48018,.66,-,
65,Friday Jun 14,boxscore,PHI,@,COL,L,6,10,,29-36,4,12.0,Painter,Springer,,2:42,N,48006,.59,--,
66,Saturday Jun 15,boxscore,PHI,@,COL,L,2,4,,29-37,4,12.0,Reynoso,Mulholland,Ruffin,2:32,N,48023,.50,---,
67,Sunday Jun 16,boxscore,PHI,@,COL,L,3,11,,29-38,4,12.0,Ritz,Muñoz,,2:26,D,48041,.43,----,
