--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,Tuesday May 21,boxscore,SEA,@,BOS,W,13,7,,23-20,2,3.5,Wells,Eshelman,,3:15,N,24528,1.16,+,
44,Wednesday May 22,boxscore,SEA,@,BOS,W,6,1,,24-20,2,3.5,Wolcott,Wakefield,,2:37,N,26753,1.17,++,
45,Thursday May 23,boxscore,SEA,@,BOS,L,4,11,,24-21,2,3.5,Clemens,Milacki,,3:10,N,31551,1.20,-,
46,Friday May 24,boxscore,SEA,,NYY,W,10,4,,25-21,2,2.5,Hitchcock,Kamieniecki,,2:58,N,44236,1.24,+,
47,Saturday May 25,boxscore,SEA,,NYY,L,4,5,,25-22,2,3.5,Mendoza,Hurtado,Wetteland,2:51,N,57173,1.25,-,
48,Sunday May 26,boxscore,SEA,,NYY,W,4,3,,26-22,2,3.5,Menhart,Gooden,Charlton,2:43,N,42410,1.22,+,
49,Tuesday May 28,boxscore,SEA,,BAL,L,8,12,,26-23,2,5.0,Rhodes,Guetterman,Haynes,3:19,N,23235,1.28,-,
50,Wednesday May 29,boxscore,SEA,,BAL,W-wo,9,8,,27-23,2,5.0,Charlton,Myers,,3:34,N,20253,1.20,+,
51,Thursday May 30,boxscore,SEA,,BOS,L,1,10,,27-24,2,5.5,Gordon,Torres,,2:29,N,17395,1.18,-,
52,Friday May 31,boxscore,SEA,,BOS,W,9,6,,28-24,2,5.5,Wells,Garcés,,2:55,N,29119,1.13,+,
53,Saturday Jun 1,boxscore,SEA,,BOS,L,5,6,,28-25,2,5.5,Wakefield,Milacki,Slocumb,2:54,D,34822,1.15,-,
54,Sunday Jun 2,boxscore,SEA,,BOS,W,3,1,,29-25,2,4.5,Wolcott,Clemens,Jackson,2:48,D,47540,1.12,+,
55,Tuesday Jun 4,boxscore,SEA,@,CLE,W,10,7,,30-25,2,4.0,Carmona,Mesa,Charlton,3:23,N,42179,1.26,++,
56,Wednesday Jun 5,boxscore,SEA,@,CLE,L,5,13,,30-26,2,4.0,Plunk,Milacki,,3:24,N,42274,1.33,-,
57,Thursday Jun 6,boxscore,SEA,@,CLE,W,5,2,,31-26,2,3.5,Wells,Martínez,Charlton,3:02,N,42236,1.27,+,
58,Friday Jun 7,boxscore,SEA,@,KCR,L,5,9,,31-27,2,4.5,Valera,Wolcott,,2:59,N,20891,1.26,-,
59,Saturday Jun 8,boxscore,SEA,@,KCR,L,8,12,,31-28,2,5.5,Appier,Milacki,Montgomery,3:03,N,30022,1.20,--,
60,Sunday Jun 9,boxscore,SEA,@,KCR,W,3,2,,32-28,2,5.5,Hitchcock,Gubicza,Charlton,2:25,D,20489,1.12,+,
61,Monday Jun 10,boxscore,SEA,@,MIN,L,6,13,,32-29,2,6.5,Aldred,Wagner,Trombley,2:51,N,17134,1.21,-,
62,Tuesday Jun 11,boxscore,SEA,@,MIN,W,18,8,,33-29,2,5.5,Wells,Aguilera,Hurtado,3:17,N,14395,1.12,+,
63,Wednesday Jun 12,boxscore,SEA,@,MIN,W,5,3,,34-29,2,5.5,Wolcott,Radke,Charlton,2:59,N,15830,1.22,++,
64,Friday Jun 14,boxscore,SEA,,CHW,L,1,4,,34-30,2,5.0,Álvarez,Hitchcock,Hernández,2:48,N,30163,1.36,-,
65,Saturday Jun 15,boxscore,SEA,,CHW,W-wo,8,6,12,35-30,2,5.0,Carmona,McCaskill,,4:06,N,47042,1.27,+,
66,Sunday Jun 16,boxscore,SEA,,CHW,W,7,6,,36-30,2,4.0,Wells,Magrane,Jackson,3:11,D,34588,1.36,++,
67,Tuesday Jun 18,boxscore,SEA,,TOR,L,3,11,,36-31,2,5.0,Guzmán,Wolcott,,3:08,D,25912,1.27,-,
68,Wednesday Jun 19,boxscore,SEA,,TOR,L,2,9,,36-32,2,6.0,Hanson,Harikkala,,3:01,N,26265,1.20,--,
69,Thursday Jun 20,boxscore,SEA,@,CHW,W,8,5,,37-32,2,5.0,Hitchcock,Tapani,Charlton,3:03,N,23017,1.29,+,
70,Friday Jun 21,boxscore,SEA,@,CHW,W,12,2,,38-32,2,5.0,Wagner,Magrane,,2:31,N,23253,1.46,++,
71,Saturday Jun 22,boxscore,SEA,@,CHW,W,4,2,,39-32,2,5.0,Wells,Fernandez,Charlton,3:37,D,27036,1.47,+++,
72,Sunday Jun 23,boxscore,SEA,@,CHW,L-wo,6,7,10,39-33,2,5.0,McCaskill,Guetterman,,3:34,D,26768,1.54,-,
73,Tuesday Jun 25,boxscore,SEA,@,TOR,L-wo,7,8,,39-34,2,5.5,Crabtree,Charlton,,2:50,N,31420,1.35,--,
74,Wednesday Jun 26,boxscore,SEA,@,TOR,L,5,6,,39-35,2,6.5,Ware,Ayala,Crabtree,2:35,N,30158,1.25,---,
75,Thursday Jun 27,boxscore,SEA,@,TOR,W,9,1,,40-35,2,6.0,Wells,Quantrill,,3:10,D,31108,1.22,+,
76,Friday Jun 28,boxscore,SEA,,TEX,W,19,8,,41-35,2,5.0,Carmona,Pavlik,,3:31,N,34413,1.60,++,
77,Saturday Jun 29,boxscore,SEA,,TEX,L,5,9,,41-36,2,6.0,Oliver,Meacham,,2:59,D,37556,1.76,-,
78,Sunday Jun 30,boxscore,SEA,,TEX,W,4,3,,42-36,2,5.0,Hitchcock,Witt,Charlton,3:07,D,33392,1.59,+,
79,Monday Jul 1,boxscore,SEA,,OAK,L,4,6,,42-37,2,6.0,Wengert,Wagner,Taylor,3:22,N,18166,1.45,-,
80,Tuesday Jul 2,boxscore,SEA,,OAK,L,6,11,,42-38,2,6.0,Mohler,Charlton,,3:13,N,19632,1.36,--,
81,Wednesday Jul 3,boxscore,SEA,,OAK,W-wo,4,3,,43-38,2,6.0,Ayala,Reyes,,2:29,D,36619,1.23,+,
82,Thursday Jul 4,boxscore,SEA,@,TEX,W,9,5,,44-38,2,5.0,Carmona,Henneman,,3:31,N,46668,1.63,++,
83,Friday Jul 5,boxscore,SEA,@,TEX,W,6,3,,45-38,2,4.0,Hitchcock,Witt,,2:53,N,46397,1.82,+++,
84,Saturday Jul 6,boxscore,SEA,@,TEX,W,9,5,,46-38,2,3.0,Wagner,Gross,,2:39,N,46458,1.99,++++,
85,Sunday Jul 7,boxscore,SEA,@,TEX,L,3,8,,46-39,2,4.0,Hill,Wells,,2:40,N,36933,2.05,-,
86,Thursday Jul 11,boxscore,SEA,,CAL,W-wo,5,4,12,47-39,2,3.0,Carmona,Monteleone,,4:36,N,25949,1.62,+,
87,Friday Jul 12,boxscore,SEA,,CAL,W-wo,7,6,10,48-39,2,3.0,Ayala,McElroy,,3:39,N,29618,1.74,++,
88,Saturday Jul 13,boxscore,SEA,,CAL,L,4,6,,48-40,2,4.0,Boskie,Ayala,Percival,3:20,D,37792,1.68,-,
89,Sunday Jul 14,boxscore,SEA,,CAL,W,8,0,,49-40,2,3.0,Wells,Grimsley,,2:44,D,33243,1.63,+,
90,Monday Jul 15,boxscore,SEA,@,OAK,W,5,1,,50-40,2,2.0,Wolcott,Telgheder,,2:13,N,11183,1.71,++,
91,Tuesday Jul 16,boxscore,SEA,@,OAK,L,5,12,,50-41,2,3.0,Chouinard,Hitchcock,,2:53,D,15206,1.82,-,
92,Wednesday Jul 17,boxscore,SEA,@,OAK,L,6,7,,50-42,2,4.0,Corsi,Minor,Taylor,2:46,N,14387,1.72,--,
93,Thursday Jul 18,boxscore,SEA,@,CAL,W,15,3,,51-42,2,3.0,Meacham,Boskie,,3:23,N,22780,1.69,+,
94,Friday Jul 19,boxscore,SEA,@,CAL,L,4,9,,51-43,2,3.0,Grimsley,Wells,,2:51,N,23332,1.74,-,
95,Saturday Jul 20,boxscore,SEA,@,CAL,L,4,5,,51-44,2,4.0,Schmidt,Charlton,Percival,2:56,N,31759,1.82,--,
96,Sunday Jul 21,boxscore,SEA,@,CAL,W,6,2,,52-44,2,3.0,Hitchcock,Abbott,,3:13,D,22088,1.79,+,
97,Monday Jul 22,boxscore,SEA,,MIL,W,8,3,,53-44,2,3.0,Wagner,Mercedes,,2:39,N,40555,1.79,++,
98,Tuesday Jul 23,boxscore,SEA,,MIL,L,3,7,,53-45,2,3.0,Karl,Carmona,,3:16,N,22378,1.79,-,
99,Wednesday Jul 24,boxscore,SEA,,MIL,W-wo,8,7,,54-45,2,2.0,Ayala,Fetters,,3:00,N,19899,1.87,+,
100,Thursday Jul 25,boxscore,SEA,,DET,L,4,7,10,54-46,2,3.0,Lima,Ayala,,3:14,N,19949,1.81,-,
101,Friday Jul 26,boxscore,SEA,,DET,W,6,4,,55-46,2,2.0,Hitchcock,Sager,Jackson,2:57,N,25175,1.81,+,
102,Saturday Jul 27,boxscore,SEA,,DET,W,13,7,,56-46,2,2.0,Davis,Williams,,3:07,N,43209,1.79,++,
103,Sunday Jul 28,boxscore,SEA,,DET,L,6,14,,56-47,2,2.0,Olivares,Bosio,,2:34,D,38204,1.85,-,
104,Tuesday Jul 30 (1),boxscore,SEA,@,MIL,W,6,5,,57-47,2,2.5,Wells,Eldred,Ayala,3:29,N,,1.95,+,1996-04-29 (Rain)
105,Tuesday Jul 30 (2),boxscore,SEA,@,MIL,L,3,4,,57-48,2,2.5,Van Egmond,Wolcott,Fetters,2:50,N,18591,1.93,-,
106,Wednesday Jul 31,boxscore,SEA,@,MIL,W,9,3,,58-48,2,2.5,Hitchcock,D'Amico,,2:55,N,30772,1.95,+,
107,Thursday Aug 1,boxscore,SEA,@,MIL,W,9,2,,59-48,2,1.5,Moyer,McDonald,,3:03,D,18425,1.90,++,
108,Friday Aug 2,boxscore,SEA,@,DET,L,2,8,,59-49,2,1.5,Olivares,Wagner,,2:35,N,23405,1.87,-,
109,Saturday Aug 3,boxscore,SEA,@,DET,L-wo,3,6,,59-50,2,1.5,Olson,Charlton,,2:42,N,25928,1.88,--,
