--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,Friday May 17,boxscore,SDP,,MON,W-wo,2,1,12,26-16,1,up 4.5,Hoffman,Rojas,,3:14,N,26469,1.34,+,
43,Saturday May 18,boxscore,SDP,,MON,L,2,3,,26-17,1,up 3.5,Urbina,Valenzuela,Rojas,3:18,N,31749,1.35,-,
44,Sunday May 19,boxscore,SDP,,MON,W,4,3,,27-17,1,up 4.0,Worrell,Veres,Hoffman,2:57,D,28769,1.42,+,
45,Tuesday May 21,boxscore,SDP,,PHI,L,4,5,,27-18,1,up 2.5,Mulholland,Bergman,Bottalico,2:37,N,11954,1.32,-,
46,Wednesday May 22,boxscore,SDP,,PHI,W,5,2,,28-18,1,up 3.5,Hamilton,Grace,Hoffman,2:30,N,13118,1.35,+,
47,Thursday May 23,boxscore,SDP,,PHI,W,7,5,,29-18,1,up 4.0,Sanders,Springer,Hoffman,2:54,D,16632,1.37,++,
48,Friday May 24,boxscore,SDP,@,NYM,W,13,1,,30-18,1,up 5.0,Valenzuela,Isringhausen,,2:50,N,24751,1.34,+++,
49,Saturday May 25,boxscore,SDP,@,NYM,W,7,2,,31-18,1,up 5.0,Ashby,Wilson,,3:16,D,21057,1.26,++++,
50,Sunday May 26,boxscore,SDP,@,NYM,L,0,1,,31-19,1,up 4.5,Jones,Bergman,Franco,2:22,D,20405,1.25,-,
51,Monday May 27,boxscore,SDP,@,MON,W,4,3,,32-19,1,up 5.0,Hamilton,Fassero,Hoffman,2:33,N,44636,1.39,+,
52,Tuesday May 28,boxscore,SDP,@,MON,W,3,2,10,33-19,1,up 6.0,Hoffman,Scott,Bochtler,2:28,N,16537,1.39,++,
53,Wednesday May 29,boxscore,SDP,@,MON,L,4,9,,33-20,1,up 5.0,Urbina,Valenzuela,,2:39,N,14386,1.32,-,
