--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC,11,1,.917,8,0,1.000,37.2,14.5,21.54,5.79,3,1,3,
2,North Carolina,ACC,10,2,.833,6,2,.750,29.8,10.3,17.55,2.97,,6,10,
3,Clemson,ACC,7,5,.583,6,2,.750,20.4,20.1,2.90,1.24,25,22,,
4,Virginia,ACC,7,5,.583,5,3,.625,28.4,16.9,11.03,3.03,23,12,,
5,Georgia Tech,ACC,5,6,.455,4,4,.500,20.0,21.5,1.78,2.06,,22,,
6,Maryland,ACC,5,6,.455,3,5,.375,17.0,21.7,-3.71,0.02,,,,
7,North Carolina State,ACC,3,8,.273,3,5,.375,24.4,36.5,-4.25,4.38,,,,
8,Wake Forest,ACC,3,8,.273,1,7,.125,13.1,34.0,-10.72,2.47,,,,
9,Duke,ACC,0,11,.000,0,8,.000,14.7,34.5,-12.77,5.23,,,,
10,Nebraska,Big 12 (North),11,2,.846,8,0,1.000,42.5,13.4,22.22,6.53,1,1,6,
11,Colorado,Big 12 (North),10,2,.833,7,1,.875,29.3,18.3,17.16,6.41,5,5,8,
12,Kansas State,Big 12 (North),9,3,.750,6,2,.750,28.3,15.9,13.13,3.71,21,9,17,
13,Missouri,Big 12 (North),5,6,.455,3,5,.375,25.3,34.2,-1.12,4.79,,,,
14,Kansas,Big 12 (North),4,7,.364,2,6,.250,27.3,32.5,0.87,4.50,24,20,,
15,Iowa State,Big 12 (North),2,9,.182,1,7,.125,28.5,36.5,-3.36,4.73,,,,
16,Texas,Big 12 (South),8,5,.615,6,2,.750,34.4,23.5,10.65,5.03,8,6,23,
17,Texas Tech,Big 12 (South),7,5,.583,5,3,.625,26.9,19.3,9.50,4.17,,,,
18,Texas A&M,Big 12 (South),6,6,.500,4,4,.500,29.3,21.4,5.65,2.15,13,13,,
19,Oklahoma,Big 12 (South),3,8,.273,3,5,.375,23.2,35.6,-5.10,3.81,,,,
20,Oklahoma State,Big 12 (South),5,6,.455,2,6,.250,22.1,29.7,-3.50,-0.13,,,,
21,Baylor,Big 12 (South),4,7,.364,1,7,.125,24.2,29.1,-2.10,1.54,,,,
22,Virginia Tech,Big East,10,2,.833,6,1,.857,30.8,17.4,13.84,2.43,16,10,13,
