--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Duke,ACC,9,5,.643,6,2,.750,34.6,29.4,7.70,3.05,,,,
2,Virginia,ACC,11,3,.786,7,1,.875,30.8,19.6,11.01,1.44,,12,16,
3,Miami (FL),ACC,13,3,.813,6,2,.750,30.9,14.8,20.48,8.17,10,2,2,
4,Georgia Tech,ACC,9,4,.692,6,2,.750,32.2,25.0,8.47,2.24,,7,,
5,SMU,ACC,9,4,.692,6,2,.750,32.2,20.5,11.07,1.84,16,16,,
6,Pitt,ACC,8,5,.615,6,2,.750,33.7,24.8,8.98,3.05,,23,,
7,Louisville,ACC,9,4,.692,4,4,.500,29.9,21.2,9.23,2.54,,14,,
8,Wake Forest,ACC,9,4,.692,4,4,.500,28.1,22.1,6.04,0.51,,,,
9,North Carolina State,ACC,8,5,.615,4,4,.500,30.2,27.2,8.13,5.74,,,,
10,California,ACC,7,6,.538,4,4,.500,25.3,27.2,-0.90,-0.13,,,,
11,Clemson,ACC,7,6,.538,4,4,.500,27.2,20.5,6.42,1.73,4,4,,
12,Stanford,ACC,4,8,.333,3,5,.375,18.8,29.2,-2.84,5.82,,,,
13,Florida State,ACC,5,7,.417,2,6,.250,33.0,22.0,6.26,3.42,,7,,
14,North Carolina,ACC,4,8,.333,2,6,.250,19.3,24.5,-5.59,0.00,,,,
15,Virginia Tech,ACC,3,9,.250,2,6,.250,21.4,30.2,-2.78,6.22,,,,
16,Syracuse,ACC,3,9,.250,1,7,.125,20.2,34.9,-6.56,5.11,,,,
17,Boston College,ACC,2,10,.167,1,7,.125,25.4,32.8,-5.64,2.78,,,,
18,Tulane,American,11,3,.786,7,1,.875,27.7,23.9,6.72,1.43,,17,18,
19,North Texas,American,12,2,.857,7,1,.875,45.1,26.5,10.05,-2.81,,20,24,
20,Navy,American,11,2,.846,7,1,.875,31.5,25.0,6.09,-1.45,,22,23,
21,East Carolina,American,9,4,.692,6,2,.750,32.7,20.1,6.98,-1.56,,,,
22,South Florida,American,9,4,.692,6,2,.750,40.5,23.4,10.67,-0.64,,18,,
23,Memphis,American,8,5,.615,4,4,.500,32.5,23.2,4.79,-2.67,,22,,
24,Army,American,7,6,.538,4,4,.500,23.8,21.6,-0.36,-2.67,,,,
25,UTSA,American,7,6,.538,4,4,.500,35.5,28.8,2.94,-1.60,,,,
26,Temple,American,5,7,.417,3,5,.375,27.8,29.7,-5.39,-1.64,,,,
27,Florida Atlantic,American,4,8,.333,3,5,.375,29.5,36.3,-7.39,-2.05,,,,
28,Rice,American,5,8,.385,2,6,.250,19.1,32.9,-9.99,-1.84,,,,
29,UAB,American,4,8,.333,2,6,.250,26.4,38.3,-11.62,-1.70,,,,
30,Tulsa,American,4,8,.333,1,7,.125,23.2,28.9,-9.22,-4.30,,,,
31,Charlotte,American,1,11,.083,0,8,.000,14.3,36.3,-18.45,0.39,,,,
32,Utah,Big 12,11,2,.846,7,2,.778,41.3,18.9,17.48,2.10,,13,14,
33,Houston,Big 12,10,3,.769,6,3,.667,29.1,22.8,7.29,0.52,,22,22,
34,Arizona,Big 12,9,4,.692,6,3,.667,31.5,19.3,11.27,2.65,,21,,
35,Arizona State,Big 12,8,5,.615,6,3,.667,25.8,24.5,7.69,5.00,11,11,,
36,Cincinnati,Big 12,7,6,.538,5,4,.556,30.3,25.6,3.65,2.65,,17,,
37,UCF,Big 12,5,7,.417,2,7,.222,24.3,23.6,-0.12,1.47,,,,
38,Colorado,Big 12,3,9,.250,1,8,.111,20.9,30.5,-1.15,5.93,,,,
39,Texas Tech,Big 12,12,2,.857,8,1,.889,39.4,11.8,21.06,2.84,23,4,7,
40,BYU,Big 12,12,2,.857,8,1,.889,31.4,19.1,15.57,5.93,,8,11,
41,Texas Christian,Big 12,9,4,.692,5,4,.556,30.7,25.3,9.04,3.74,,24,25,
42,Iowa State,Big 12,8,4,.667,5,4,.556,27.4,20.2,8.86,2.86,22,12,,
43,Kansas State,Big 12,6,6,.500,5,4,.556,29.4,26.7,5.06,3.56,17,17,,
44,Baylor,Big 12,5,7,.417,3,6,.333,31.1,32.6,2.23,4.23,,,,
45,Kansas,Big 12,5,7,.417,3,6,.333,28.1,26.8,2.88,3.80,,,,
46,West Virginia,Big 12,4,8,.333,2,7,.222,21.8,30.8,-1.29,5.62,,,,
47,Oklahoma State,Big 12,1,11,.083,0,9,.000,14.2,33.3,-9.00,4.50,,,,
48,Indiana,Big Ten,16,0,1.000,9,0,1.000,41.6,11.7,25.48,7.29,20,1,1,
