--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
62,Louisiana Tech,CUSA,3,9,.250,2,6,.250,25.9,33.4,-11.28,-4.20,,,,
63,Sam Houston,CUSA,3,9,.250,2,6,.250,20.0,26.2,-10.17,-4.50,,,,
64,UTEP,CUSA,3,9,.250,2,6,.250,19.9,28.5,-11.10,-2.85,,,,
65,Florida International,CUSA,4,8,.333,1,7,.125,20.1,31.8,-15.30,-5.46,,,,
66,Notre Dame,Ind,10,3,.769,,,,39.2,15.9,16.79,2.02,13,9,14,
67,Army,Ind,6,6,.500,,,,20.5,21.1,-3.94,-3.60,,,,
68,Connecticut,Ind,3,9,.250,,,,19.1,29.8,-9.92,-2.67,,,,
69,Massachusetts,Ind,3,9,.250,,,,23.2,37.8,-12.57,-2.15,,,,
70,Miami (OH),MAC (East),11,3,.786,7,1,.875,25.6,15.9,1.75,-7.18,,,,
71,Ohio,MAC (East),10,3,.769,6,2,.750,24.3,15.8,-0.66,-9.12,,,,
72,Bowling Green,MAC (East),7,6,.538,5,3,.625,26.2,24.0,-2.04,-4.12,,,,
73,Buffalo,MAC (East),3,9,.250,3,5,.375,20.9,27.4,-12.32,-6.15,,,,
74,Akron,MAC (East),2,10,.167,1,7,.125,16.3,28.0,-18.64,-8.39,,,,
75,Kent State,MAC (East),1,11,.083,0,8,.000,14.7,34.6,-22.33,-6.75,,,,
76,Toledo,MAC (West),11,3,.786,8,0,1.000,32.3,20.3,2.20,-6.95,,23,,
77,Northern Illinois,MAC (West),7,6,.538,5,3,.625,24.9,21.0,-6.97,-9.21,,,,
78,Eastern Michigan,MAC (West),6,7,.462,4,4,.500,19.5,26.7,-14.16,-9.46,,,,
79,Central Michigan,MAC (West),5,7,.417,3,5,.375,23.2,31.1,-13.18,-6.26,,,,
80,Ball State,MAC (West),4,8,.333,3,5,.375,18.3,24.4,-10.74,-5.49,,,,
81,Western Michigan,MAC (West),4,8,.333,3,5,.375,23.7,31.8,-11.46,-5.04,,,,
82,Boise State,MWC,8,6,.571,6,2,.750,32.1,25.6,4.80,-0.77,,,,
83,Nevada-Las Vegas,MWC,9,5,.643,6,2,.750,34.4,28.6,2.39,-2.82,,,,
84,San Jose State,MWC,7,6,.538,6,2,.750,31.8,25.6,1.18,-1.74,,,,
85,Air Force,MWC,9,4,.692,5,3,.625,27.8,18.2,3.25,-4.14,,17,,
86,Wyoming,MWC,9,4,.692,5,3,.625,25.3,22.3,1.18,-1.59,,,,
87,Fresno State,MWC,9,4,.692,4,4,.500,30.5,23.5,-0.54,-6.00,,24,,
88,Utah State,MWC,6,7,.462,4,4,.500,33.2,34.7,-5.97,-3.90,,,,
89,Colorado State,MWC,5,7,.417,3,5,.375,26.1,29.6,-7.35,-4.10,,,,
90,Hawaii,MWC,5,8,.385,3,5,.375,21.4,32.2,-10.79,-3.71,,,,
91,New Mexico,MWC,4,8,.333,2,6,.250,27.3,35.1,-9.97,-3.97,,,,
92,San Diego State,MWC,4,8,.333,2,6,.250,20.5,26.8,-8.61,-2.95,,,,
93,Nevada,MWC,2,10,.167,2,6,.250,17.3,33.4,-15.80,-3.38,,,,
94,Washington,Pac-12,14,1,.933,9,0,1.000,36.0,24.8,17.89,7.83,10,2,2,
95,Oregon,Pac-12,12,2,.857,8,1,.889,44.2,16.5,19.94,3.30,15,5,6,
96,Arizona,Pac-12,10,3,.769,7,2,.778,34.6,21.1,13.80,2.42,,11,11,
97,Oregon State,Pac-12,8,5,.615,5,4,.556,31.8,22.9,9.42,4.42,18,10,,
98,USC,Pac-12,8,5,.615,5,4,.556,41.8,34.4,9.59,5.51,6,5,,
99,Utah,Pac-12,8,5,.615,5,4,.556,23.2,19.3,6.97,4.43,14,10,,
100,UCLA,Pac-12,8,5,.615,4,5,.444,26.5,18.4,6.37,1.22,,18,,
101,California,Pac-12,6,7,.462,4,5,.444,30.2,32.8,1.86,3.86,,,,
102,Washington State,Pac-12,5,7,.417,2,7,.222,31.7,28.1,4.23,3.40,,13,,
103,Arizona State,Pac-12,3,9,.250,2,7,.222,17.8,31.8,-3.98,5.69,,,,
104,Stanford,Pac-12,3,9,.250,2,7,.222,20.6,37.7,-4.76,5.90,,,,
105,Colorado,Pac-12,4,8,.333,1,8,.111,28.2,34.8,0.98,5.23,,18,,
106,Georgia,SEC (East),13,1,.929,8,0,1.000,40.1,15.6,20.00,3.21,1,1,4,
107,Missouri,SEC (East),11,2,.846,6,2,.750,32.5,20.8,16.36,4.97,,8,8,
108,Tennessee,SEC (East),9,4,.692,4,4,.500,31.8,20.3,10.69,3.23,12,9,17,
109,Kentucky,SEC (East),7,6,.538,3,5,.375,29.1,25.8,5.35,2.50,,20,,
110,Florida,SEC (East),5,7,.417,3,5,.375,28.4,27.6,3.31,4.31,,22,,
111,South Carolina,SEC (East),5,7,.417,3,5,.375,26.0,26.3,2.33,4.33,,,,
112,Vanderbilt,SEC (East),2,10,.167,0,8,.000,22.8,36.2,-9.20,3.71,,,,
113,Alabama,SEC (West),12,2,.857,8,0,1.000,34.0,19.0,18.16,6.58,4,3,5,
114,Ole Miss,SEC (West),11,2,.846,6,2,.750,35.1,22.5,13.49,3.80,22,9,9,
115,LSU,SEC (West),10,3,.769,6,2,.750,45.5,28.0,14.66,4.59,5,5,12,
116,Texas A&M,SEC (West),7,6,.538,4,4,.500,33.3,22.1,8.98,2.67,23,23,,
117,Auburn,SEC (West),6,7,.462,3,5,.375,26.2,22.6,4.01,3.39,,,,
118,Mississippi State,SEC (West),5,7,.417,1,7,.125,21.8,26.6,-0.78,3.48,,,,
119,Arkansas,SEC (West),4,8,.333,1,7,.125,26.6,27.9,0.20,1.70,,,,
120,James Madison,Sun Belt (East),11,2,.846,7,1,.875,34.1,19.5,8.53,-3.01,,18,,
121,Appalachian State,Sun Belt (East),9,5,.643,6,2,.750,33.2,27.0,3.14,-2.93,,,,
122,Coastal Carolina,Sun Belt (East),8,5,.615,5,3,.625,27.7,23.8,0.80,-1.97,,,,
123,Old Dominion,Sun Belt (East),6,7,.462,5,3,.625,23.8,27.2,-4.37,-1.60,,,,
124,Georgia State,Sun Belt (East),7,6,.538,3,5,.375,27.2,30.1,-3.24,-2.24,,,,
125,Georgia Southern,Sun Belt (East),6,7,.462,3,5,.375,30.2,30.5,-5.71,-3.79,,,,
126,Marshall,Sun Belt (East),6,7,.462,3,5,.375,22.8,28.7,-5.91,-1.06,,,,
127,Troy,Sun Belt (West),11,3,.786,7,1,.875,29.6,17.1,10.29,-1.14,,,,
128,Texas State,Sun Belt (West),8,5,.615,4,4,.500,36.7,32.8,-0.35,-4.66,,,,
129,South Alabama,Sun Belt (West),7,6,.538,4,4,.500,33.1,21.0,1.57,-3.90,,,,
130,Arkansas State,Sun Belt (West),6,7,.462,4,4,.500,27.1,30.4,-2.74,-2.66,,,,
131,Louisiana,Sun Belt (West),6,7,.462,3,5,.375,32.2,28.6,-2.49,-4.72,,,,
132,Southern Mississippi,Sun Belt (West),3,9,.250,2,6,.250,23.2,35.8,-8.56,-0.65,,,,
133,Louisiana-Monroe,Sun Belt (West),2,10,.167,0,8,.000,17.3,34.9,-13.30,-0.46,,,,
