--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC,13,1,.929,8,0,1.000,34.6,19.3,16.51,2.94,8,3,6,
2,Louisville,ACC,10,4,.714,7,1,.875,30.7,21.3,10.42,3.64,,9,19,
3,North Carolina State,ACC,9,4,.692,6,2,.750,26.2,20.8,7.41,3.03,,19,21,
4,Georgia Tech,ACC,7,6,.538,5,3,.625,31.1,29.5,3.71,2.78,,,,
5,Virginia Tech,ACC,7,6,.538,5,3,.625,29.5,23.9,5.90,1.29,,,,
6,Clemson,ACC,9,4,.692,4,4,.500,29.8,21.1,9.82,3.28,9,9,20,
7,Duke,ACC,8,5,.615,4,4,.500,26.9,19.0,9.02,3.10,,16,,
8,North Carolina,ACC,8,5,.615,4,4,.500,34.5,27.3,6.01,1.63,21,10,,
9,Boston College,ACC,7,6,.538,3,5,.375,24.8,28.3,-2.55,0.14,,,,
10,Miami (FL),ACC,7,6,.538,3,5,.375,31.5,22.8,7.97,2.27,,17,,
11,Syracuse,ACC,6,7,.462,2,6,.250,23.5,25.4,-2.93,-0.55,,,,
12,Pitt,ACC,3,9,.250,2,6,.250,20.2,27.3,-3.28,3.14,,,,
13,Virginia,ACC,3,9,.250,2,6,.250,23.3,33.8,-3.78,4.80,,,,
14,Wake Forest,ACC,4,8,.333,1,7,.125,20.3,27.2,-3.32,2.51,,,,
15,SMU,American,11,3,.786,8,0,1.000,38.7,17.8,7.41,-4.45,,17,22,
16,Tulane,American,11,3,.786,8,0,1.000,26.4,20.5,3.99,-2.51,24,17,,
17,UTSA,American,9,4,.692,7,1,.875,31.9,24.1,3.42,-4.19,,,,
18,Memphis,American,10,3,.769,6,2,.750,39.4,28.8,6.29,-2.86,,,,
19,South Florida,American,7,6,.538,4,4,.500,31.9,32.2,-4.92,-4.46,,,,
20,Rice,American,6,7,.462,4,4,.500,29.5,28.1,-3.94,-3.02,,,,
21,Navy,American,5,7,.417,4,4,.500,17.7,22.4,-5.82,-3.99,,,,
22,North Texas,American,5,7,.417,3,5,.375,34.5,37.1,-7.17,-5.09,,,,
23,Florida Atlantic,American,4,8,.333,3,5,.375,23.8,25.5,-7.01,-4.34,,,,
24,UAB,American,4,8,.333,3,5,.375,29.9,36.9,-9.75,-2.75,,,,
25,Tulsa,American,4,8,.333,2,6,.250,23.4,33.8,-8.23,-2.98,,,,
26,Charlotte,American,3,9,.250,2,6,.250,17.5,28.6,-12.91,-2.91,,,,
27,Temple,American,3,9,.250,1,7,.125,21.1,35.7,-14.40,-3.65,,,,
28,East Carolina,American,2,10,.167,1,7,.125,17.3,22.4,-9.26,-1.67,,,,
29,UCF,Big 12,6,7,.462,3,6,.333,31.3,25.8,2.34,1.11,,,,
30,Houston,Big 12,4,8,.333,2,7,.222,23.7,31.5,-2.54,3.63,,,,
31,Cincinnati,Big 12,3,9,.250,1,8,.111,24.1,30.0,-6.01,1.57,,,,
32,Texas,Big 12,12,2,.857,8,1,.889,35.8,18.9,20.32,6.61,11,3,3,
33,Oklahoma,Big 12,10,3,.769,7,2,.778,41.7,23.5,15.86,4.78,20,5,15,
34,Oklahoma State,Big 12,10,4,.714,7,2,.778,29.6,28.6,6.45,3.95,,15,16,
35,Kansas State,Big 12,9,4,.692,6,3,.667,37.1,21.0,15.63,5.09,16,15,18,
36,West Virginia,Big 12,9,4,.692,6,3,.667,31.5,26.2,7.03,1.95,,,,
37,Iowa State,Big 12,7,6,.538,6,3,.667,26.2,22.8,7.20,4.20,,,,
38,Kansas,Big 12,9,4,.692,5,4,.556,34.8,26.5,9.06,2.67,,19,23,
39,Texas Tech,Big 12,7,6,.538,5,4,.556,27.4,26.0,6.94,4.32,,,,
40,Texas Christian,Big 12,5,7,.417,3,6,.333,31.3,27.8,6.40,4.48,17,17,,
41,BYU,Big 12,5,7,.417,2,7,.222,23.1,29.8,-0.92,3.67,,,,
42,Baylor,Big 12,3,9,.250,2,7,.222,23.1,33.3,-4.86,3.72,,,,
43,Michigan,Big Ten (East),15,0,1.000,9,0,1.000,35.9,10.4,25.01,5.61,2,1,1,
44,Ohio State,Big Ten (East),11,2,.846,8,1,.889,30.5,11.2,20.26,5.64,3,2,10,
45,Penn State,Big Ten (East),10,3,.769,7,2,.778,36.2,13.5,18.23,4.08,7,6,13,
46,Maryland,Big Ten (East),8,5,.615,4,5,.444,29.7,22.5,9.74,2.82,,,,
47,Rutgers,Big Ten (East),7,6,.538,3,6,.333,23.2,21.2,4.93,4.93,,,,
48,Michigan State,Big Ten (East),4,8,.333,2,7,.222,15.9,28.3,-1.54,5.79,,,,record adjusted to 0-8-0 by NCAA
49,Indiana,Big Ten (East),3,9,.250,1,8,.111,22.2,29.9,-2.49,4.52,,,,
50,Iowa,Big Ten (West),10,4,.714,7,2,.778,15.4,14.8,6.26,4.05,25,18,24,record adjusted to 6-4-0 by NCAA
51,Northwestern,Big Ten (West),8,5,.615,5,4,.556,22.1,22.5,2.53,2.45,,,,
52,Wisconsin,Big Ten (West),7,6,.538,5,4,.556,23.5,20.2,5.82,2.59,19,19,,
53,Minnesota,Big Ten (West),6,7,.462,3,6,.333,20.9,26.7,-0.01,3.61,,,,
54,Illinois,Big Ten (West),5,7,.417,3,6,.333,24.5,29.4,-0.42,3.84,,,,
55,Nebraska,Big Ten (West),5,7,.417,3,6,.333,18.0,18.3,2.06,2.48,,,,
56,Purdue,Big Ten (West),4,8,.333,3,6,.333,23.9,30.4,-0.38,5.12,,,,
57,Liberty,CUSA,13,1,.929,8,0,1.000,38.3,24.3,9.18,-4.75,,18,25,
58,New Mexico State,CUSA,10,5,.667,7,1,.875,27.5,22.8,-1.23,-5.56,,,,
59,Jacksonville State,CUSA,9,4,.692,6,2,.750,30.2,21.2,0.68,-6.01,,,,
60,Western Kentucky,CUSA,8,5,.615,5,3,.625,30.5,28.7,0.09,-3.29,,,,
61,Middle Tennessee State,CUSA,4,8,.333,3,5,.375,24.3,28.1,-5.60,-2.60,,,,
