--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC,11,1,.917,8,0,1.000,39.0,15.1,23.38,6.88,3,2,3,
2,North Carolina,ACC,11,1,.917,7,1,.875,29.0,12.2,16.46,2.04,7,4,6,
3,Virginia,ACC,7,4,.636,5,3,.625,25.2,22.0,6.79,4.33,,,,
4,Georgia Tech,ACC,7,5,.583,5,3,.625,26.2,24.7,8.07,5.65,,21,25,
5,Clemson,ACC,7,5,.583,4,4,.500,24.3,18.3,8.41,3.33,20,16,,
6,North Carolina State,ACC,6,5,.545,3,5,.375,29.5,24.4,7.03,3.22,,,,
7,Wake Forest,ACC,5,6,.455,3,5,.375,22.3,26.2,1.25,3.15,,,,
8,Maryland,ACC,2,9,.182,1,7,.125,14.6,32.3,-8.19,5.17,,,,
9,Duke,ACC,2,9,.182,0,8,.000,20.3,31.0,-4.68,5.05,,,,
10,Nebraska,Big 12 (North),13,0,1.000,8,0,1.000,46.7,16.5,22.30,2.53,6,1,2,
11,Kansas State,Big 12 (North),11,1,.917,7,1,.875,34.8,14.8,15.43,-0.07,23,8,8,
12,Missouri,Big 12 (North),7,5,.583,5,3,.625,32.7,30.6,4.97,1.88,,19,23,
13,Colorado,Big 12 (North),5,6,.455,3,5,.375,27.3,26.8,5.34,5.97,8,8,,
14,Kansas,Big 12 (North),5,6,.455,3,5,.375,16.1,25.4,-5.55,0.26,,,,record adjusted to 6-5-0 by NCAA
15,Iowa State,Big 12 (North),1,10,.091,1,7,.125,19.5,44.8,-12.28,4.53,,,,record adjusted to 2-9-0 by NCAA
16,Texas A&M,Big 12 (South),9,4,.692,6,2,.750,34.2,18.2,7.22,-1.40,,14,20,
17,Oklahoma State,Big 12 (South),8,4,.667,5,3,.625,29.3,19.4,4.86,-2.81,,12,24,
18,Texas Tech,Big 12 (South),6,5,.545,5,3,.625,22.3,19.7,3.05,0.96,,,,
19,Texas,Big 12 (South),4,7,.364,2,6,.250,25.7,33.3,-4.72,0.10,12,11,,
20,Oklahoma,Big 12 (South),4,8,.333,2,6,.250,19.3,31.6,-5.08,2.34,,,,
21,Baylor,Big 12 (South),2,9,.182,1,7,.125,18.2,34.1,-9.73,3.45,,,,
22,Syracuse,Big East,9,4,.692,6,1,.857,33.9,17.4,6.34,-2.13,17,13,21,
23,Virginia Tech,Big East,7,5,.583,5,2,.714,27.0,18.9,1.04,-3.79,,14,,
24,West Virginia,Big East,7,5,.583,4,3,.571,30.0,23.8,1.62,-2.63,,17,,
25,Pitt,Big East,6,6,.500,4,3,.571,27.8,29.5,-5.48,-3.57,,,,
