--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Curr,AP Pre,AP High,Notes
1,Boston College,ACC,0,0,,,,,,,,,,,,
2,California,ACC,0,0,,,,,,,,,,,,
3,Clemson,ACC,0,0,,,,,,,,,,,,
4,Duke,ACC,0,0,,,,,,,,,,,,
5,Florida State,ACC,0,0,,,,,,,,,,,,
6,Georgia Tech,ACC,0,0,,,,,,,,,,,,
7,Louisville,ACC,0,0,,,,,,,,,24,24,24,
8,Miami (FL),ACC,0,0,,,,,,,,,7,7,7,
9,North Carolina,ACC,0,0,,,,,,,,,,,,
10,North Carolina State,ACC,0,0,,,,,,,,,,,,
11,Pitt,ACC,0,0,,,,,,,,,,,,
12,SMU,ACC,0,0,,,,,,,,,19,19,19,
13,Stanford,ACC,0,0,,,,,,,,,,,,
14,Syracuse,ACC,0,0,,,,,,,,,,,,
15,Virginia,ACC,0,0,,,,,,,,,,,,
16,Virginia Tech,ACC,0,0,,,,,,,,,,,,
17,Wake Forest,ACC,0,0,,,,,,,,,,,,
18,Army,American,0,0,,,,,,,,,,,,
19,Charlotte,American,0,0,,,,,,,,,,,,
20,East Carolina,American,0,0,,,,,,,,,,,,
21,Florida Atlantic,American,0,0,,,,,,,,,,,,
22,Memphis,American,0,0,,,,,,,,,,,,
23,Navy,American,0,0,,,,,,,,,,,,
24,North Texas,American,0,0,,,,,,,,,,,,
25,Rice,American,0,0,,,,,,,,,,,,
26,South Florida,American,0,0,,,,,,,,,,,,
27,Temple,American,0,0,,,,,,,,,,,,
28,Tulane,American,0,0,,,,,,,,,,,,
29,Tulsa,American,0,0,,,,,,,,,,,,
30,UAB,American,0,0,,,,,,,,,,,,
31,UTSA,American,0,0,,,,,,,,,,,,
32,Arizona,Big 12,0,0,,,,,,,,,,,,
33,Arizona State,Big 12,0,0,,,,,,,,,,,,
34,Cincinnati,Big 12,0,0,,,,,,,,,,,,
35,Colorado,Big 12,0,0,,,,,,,,,,,,
36,Houston,Big 12,0,0,,,,,,,,,23,23,23,
37,UCF,Big 12,0,0,,,,,,,,,,,,
38,Utah,Big 12,0,0,,,,,,,,,21,21,21,
39,Baylor,Big 12,0,0,,,,,,,,,,,,
40,BYU,Big 12,0,0,,,,,,,,,14,14,14,
41,Iowa State,Big 12,0,0,,,,,,,,,,,,
42,Kansas,Big 12,0,0,,,,,,,,,,,,
43,Kansas State,Big 12,0,0,,,,,,,,,,,,
44,Oklahoma State,Big 12,0,0,,,,,,,,,,,,
45,Texas Christian,Big 12,0,0,,,,,,,,,,,,
46,Texas Tech,Big 12,0,0,,,,,,,,,12,12,12,
47,West Virginia,Big 12,0,0,,,,,,,,,,,,
48,Illinois,Big Ten,0,0,,,,,,,,,,,,
49,Indiana,Big Ten,0,0,,,,,,,,,6,6,6,
50,Iowa,Big Ten,0,0,,,,,,,,,22,22,22,
51,Maryland,Big Ten,0,0,,,,,,,,,,,,
52,Michigan,Big Ten,0,0,,,,,,,,,16,16,16,
53,Michigan State,Big Ten,0,0,,,,,,,,,,,,
54,Minnesota,Big Ten,0,0,,,,,,,,,,,,
55,Nebraska,Big Ten,0,0,,,,,,,,,,,,
56,Northwestern,Big Ten,0,0,,,,,,,,,,,,
57,Ohio State,Big Ten,0,0,,,,,,,,,1,1,1,
58,Oregon,Big Ten,0,0,,,,,,,,,2,2,2,
59,Penn State,Big Ten,0,0,,,,,,,,,18,18,18,
60,Purdue,Big Ten,0,0,,,,,,,,,,,,
61,Rutgers,Big Ten,0,0,,,,,,,,,,,,
62,UCLA,Big Ten,0,0,,,,,,,,,,,,
63,USC,Big Ten,0,0,,,,,,,,,14,14,14,
64,Washington,Big Ten,0,0,,,,,,,,,17,17,17,
65,Wisconsin,Big Ten,0,0,,,,,,,,,,,,
66,Delaware,CUSA,0,0,,,,,,,,,,,,
67,Florida International,CUSA,0,0,,,,,,,,,,,,
68,Jacksonville State,CUSA,0,0,,,,,,,,,,,,
69,Kennesaw State,CUSA,0,0,,,,,,,,,,,,
70,Liberty,CUSA,0,0,,,,,,,,,,,,
71,Middle Tennessee State,CUSA,0,0,,,,,,,,,,,,
72,Missouri State,CUSA,0,0,,,,,,,,,,,,
73,New Mexico State,CUSA,0,0,,,,,,,,,,,,
74,Sam Houston,CUSA,0,0,,,,,,,,,,,,
75,Western Kentucky,CUSA,0,0,,,,,,,,,,,,
76,Connecticut,Ind,0,0,,,,,,,,,,,,
77,Notre Dame,Ind,0,0,,,,,,,,,4,4,4,
78,Akron,MAC,0,0,,,,,,,,,,,,
79,Ball State,MAC,0,0,,,,,,,,,,,,
80,Bowling Green,MAC,0,0,,,,,,,,,,,,
81,Buffalo,MAC,0,0,,,,,,,,,,,,
82,Central Michigan,MAC,0,0,,,,,,,,,,,,
83,Eastern Michigan,MAC,0,0,,,,,,,,,,,,
84,Kent State,MAC,0,0,,,,,,,,,,,,
85,Massachusetts,MAC,0,0,,,,,,,,,,,,
86,Miami (OH),MAC,0,0,,,,,,,,,,,,
87,Ohio,MAC,0,0,,,,,,,,,,,,
88,Sacramento State,MAC,0,0,,,,,,,,,,,,
89,Toledo,MAC,0,0,,,,,,,,,,,,
90,Western Michigan,MAC,0,0,,,,,,,,,,,,
91,Air Force,MWC,0,0,,,,,,,,,,,,
92,Hawaii,MWC,0,0,,,,,,,,,,,,
93,Nevada,MWC,0,0,,,,,,,,,,,,
94,Nevada-Las Vegas,MWC,0,0,,,,,,,,,,,,
95,New Mexico,MWC,0,0,,,,,,,,,,,,
96,North Dakota State,MWC,0,0,,,,,,,,,,,,
97,Northern Illinois,MWC,0,0,,,,,,,,,,,,
98,San Jose State,MWC,0,0,,,,,,,,,,,,
99,UTEP,MWC,0,0,,,,,,,,,,,,
100,Wyoming,MWC,0,0,,,,,,,,,,,,
101,Boise State,Pac-12,0,0,,,,,,,,,,,,
102,Colorado State,Pac-12,0,0,,,,,,,,,,,,
103,Fresno State,Pac-12,0,0,,,,,,,,,,,,
104,Oregon State,Pac-12,0,0,,,,,,,,,,,,
105,San Diego State,Pac-12,0,0,,,,,,,,,,,,
106,Texas State,Pac-12,0,0,,,,,,,,,,,,
107,Utah State,Pac-12,0,0,,,,,,,,,,,,
108,Washington State,Pac-12,0,0,,,,,,,,,,,,
109,Alabama,SEC,0,0,,,,,,,,,13,13,13,
110,Arkansas,SEC,0,0,,,,,,,,,,,,
111,Auburn,SEC,0,0,,,,,,,,,,,,
112,Florida,SEC,0,0,,,,,,,,,,,,
113,Georgia,SEC,0,0,,,,,,,,,3,3,3,
114,Kentucky,SEC,0,0,,,,,,,,,,,,
115,LSU,SEC,0,0,,,,,,,,,11,11,11,
116,Mississippi State,SEC,0,0,,,,,,,,,,,,
117,Missouri,SEC,0,0,,,,,,,,,25,25,25,
118,Oklahoma,SEC,0,0,,,,,,,,,10,10,10,
119,Ole Miss,SEC,0,0,,,,,,,,,9,9,9,
120,South Carolina,SEC,0,0,,,,,,,,,,,,
121,Tennessee,SEC,0,0,,,,,,,,,20,20,20,
122,Texas,SEC,0,0,,,,,,,,,5,5,5,
123,Texas A&M,SEC,0,0,,,,,,,,,8,8,8,
124,Vanderbilt,SEC,0,0,,,,,,,,,,,,
125,Appalachian State,Sun Belt (East),0,0,,,,,,,,,,,,
126,Coastal Carolina,Sun Belt (East),0,0,,,,,,,,,,,,
127,Georgia Southern,Sun Belt (East),0,0,,,,,,,,,,,,
128,Georgia State,Sun Belt (East),0,0,,,,,,,,,,,,
129,James Madison,Sun Belt (East),0,0,,,,,,,,,,,,
130,Marshall,Sun Belt (East),0,0,,,,,,,,,,,,
131,Old Dominion,Sun Belt (East),0,0,,,,,,,,,,,,
132,Arkansas State,Sun Belt (West),0,0,,,,,,,,,,,,
133,Louisiana,Sun Belt (West),0,0,,,,,,,,,,,,
134,Louisiana Tech,Sun Belt (West),0,0,,,,,,,,,,,,
135,Louisiana-Monroe,Sun Belt (West),0,0,,,,,,,,,,,,
136,South Alabama,Sun Belt (West),0,0,,,,,,,,,,,,
137,Southern Mississippi,Sun Belt (West),0,0,,,,,,,,,,,,
138,Troy,Sun Belt (West),0,0,,,,,,,,,,,,
