--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC,12,0,1.000,8,0,1.000,38.2,16.9,23.50,5.58,1,1,1,
2,Georgia Tech,ACC,8,4,.667,5,3,.625,38.4,30.1,10.30,3.47,11,7,20,
3,Virginia,ACC,7,5,.583,5,3,.625,28.8,30.4,3.57,3.66,24,22,,
4,Clemson,ACC,6,6,.500,5,3,.625,26.8,21.1,7.55,5.30,,,,
5,Wake Forest,ACC,7,5,.583,3,5,.375,22.2,17.4,4.37,0.96,,,,
6,North Carolina State,ACC,6,6,.500,3,5,.375,20.3,25.2,-1.69,2.39,,20,,
7,Duke,ACC,3,8,.273,3,5,.375,19.7,33.0,-4.91,4.28,,,,
8,Maryland,ACC,5,6,.455,2,6,.250,26.5,23.6,1.40,0.94,,,,
9,North Carolina,ACC,3,8,.273,2,6,.250,16.9,24.7,-4.89,2.20,,,,
10,Nebraska,Big 12 (North),12,1,.923,7,1,.875,34.0,13.2,21.15,5.15,6,3,3,
11,Kansas State,Big 12 (North),11,1,.917,7,1,.875,38.1,13.7,15.11,-0.06,20,5,6,
12,Colorado,Big 12 (North),7,5,.583,5,3,.625,33.8,25.9,6.88,2.05,15,14,,
13,Kansas,Big 12 (North),5,7,.417,3,5,.375,24.5,29.5,-2.98,1.19,,,,
14,Iowa State,Big 12 (North),4,7,.364,1,7,.125,22.5,24.7,-0.60,1.49,,,,
15,Missouri,Big 12 (North),4,7,.364,1,7,.125,20.4,33.7,-1.89,5.02,,,,
16,Texas,Big 12 (South),9,5,.643,6,2,.750,32.1,21.1,8.72,4.15,17,6,21,
17,Texas A&M,Big 12 (South),8,4,.667,5,3,.625,26.5,19.3,9.05,3.05,7,5,23,
18,Oklahoma,Big 12 (South),7,5,.583,5,3,.625,35.8,19.1,10.14,0.64,,23,,
19,Texas Tech,Big 12 (South),6,5,.545,5,3,.625,23.0,25.6,-1.65,-1.83,,,,
20,Oklahoma State,Big 12 (South),5,6,.455,3,5,.375,24.3,24.9,0.78,2.14,,,,
21,Baylor,Big 12 (South),1,10,.091,0,8,.000,12.5,37.6,-15.97,1.21,,,,
22,Virginia Tech,Big East,11,1,.917,7,0,1.000,40.3,13.5,18.66,0.99,13,2,2,
23,Miami (FL),Big East,9,4,.692,6,1,.857,33.2,16.9,12.55,3.86,12,8,15,
24,Boston College,Big East,8,4,.667,4,3,.571,24.8,25.7,0.80,-0.70,,22,,
25,Syracuse,Big East,7,5,.583,3,4,.429,25.0,21.3,4.82,0.15,,16,,
26,West Virginia,Big East,4,7,.364,3,4,.429,26.5,26.3,-0.35,1.65,,,,
27,Pitt,Big East,5,6,.455,2,5,.286,25.5,25.3,1.27,1.09,,,,
28,Temple,Big East,2,9,.182,2,5,.286,13.9,33.3,-7.69,3.86,,,,
29,Rutgers,Big East,1,10,.091,1,6,.143,14.1,38.8,-13.99,3.65,,,,
30,Wisconsin,Big Ten,10,2,.833,7,1,.875,34.1,12.8,14.88,0.88,10,4,4,
31,Michigan,Big Ten,10,2,.833,6,2,.750,30.1,20.6,16.77,7.86,8,3,5,
32,Michigan State,Big Ten,10,2,.833,6,2,.750,31.5,20.4,14.95,7.03,,5,7,
33,Penn State,Big Ten,10,3,.769,5,3,.625,32.1,18.0,17.79,6.25,3,2,11,
34,Minnesota,Big Ten,8,4,.667,5,3,.625,30.7,16.3,11.81,1.39,,12,18,
35,Illinois,Big Ten,8,4,.667,4,4,.500,32.3,22.9,11.40,4.73,,24,24,
36,Purdue,Big Ten,7,5,.583,4,4,.500,32.0,25.4,9.76,5.68,23,11,25,
37,Ohio State,Big Ten,6,6,.500,3,5,.375,23.8,23.9,7.64,7.39,9,9,,
38,Indiana,Big Ten,4,7,.364,3,5,.375,26.5,35.1,-1.38,4.16,,,,
39,Northwestern,Big Ten,3,8,.273,1,7,.125,12.8,27.4,-5.76,6.06,,,,
40,Iowa,Big Ten,1,10,.091,0,8,.000,14.7,31.5,-5.49,7.24,,,,
41,Boise State,Big West,10,3,.769,5,1,.833,33.1,21.3,1.25,-7.14,,,,
42,Idaho,Big West,7,4,.636,4,2,.667,27.6,25.7,-5.44,-8.17,,,,
43,New Mexico State,Big West,6,5,.545,3,2,.600,28.3,24.9,-6.28,-7.10,,,,
44,Utah State,Big West,4,7,.364,3,3,.500,21.3,27.4,-7.57,-2.84,,,,
45,Arkansas State,Big West,4,7,.364,2,3,.400,22.4,30.2,-8.81,-4.63,,,,
46,Nevada,Big West,3,8,.273,2,4,.333,25.7,38.0,-12.12,-3.75,,,,
47,North Texas,Big West,2,9,.182,1,5,.167,10.7,26.5,-19.41,-6.22,,,,
48,Southern Mississippi,CUSA,9,3,.750,6,0,1.000,27.8,15.8,9.75,1.00,,14,14,
49,East Carolina,CUSA,9,3,.750,4,2,.667,27.8,18.8,6.84,-0.66,,16,,
