--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC,11,2,.846,7,1,.875,30.8,12.4,20.34,6.57,2,2,3,
2,Georgia Tech,ACC,10,2,.833,7,1,.875,35.5,24.6,12.37,1.70,,9,9,
3,Virginia,ACC,9,3,.750,6,2,.750,29.8,20.6,11.22,2.63,16,7,18,
4,North Carolina,ACC,7,5,.583,5,3,.625,24.0,23.6,1.61,1.36,12,12,,
5,North Carolina State,ACC,7,5,.583,5,3,.625,30.5,29.3,4.20,3.04,,20,,
6,Duke,ACC,4,7,.364,2,6,.250,20.8,29.0,-6.93,-0.30,,,,
7,Wake Forest,ACC,3,8,.273,2,6,.250,21.4,30.5,-6.45,1.37,,,,
8,Clemson,ACC,3,8,.273,1,7,.125,19.8,24.7,-1.95,1.42,,,,
9,Maryland,ACC,3,8,.273,1,7,.125,18.4,26.4,-6.90,1.10,,,,
10,Kansas State,Big 12 (North),11,2,.846,8,0,1.000,46.9,15.2,18.39,2.85,6,2,10,
11,Nebraska,Big 12 (North),9,4,.692,5,3,.625,31.0,15.8,16.60,6.52,4,2,19,
12,Missouri,Big 12 (North),8,4,.667,5,3,.625,27.8,19.7,13.64,6.23,,13,21,
13,Colorado,Big 12 (North),8,4,.667,4,4,.500,25.2,21.1,8.81,4.65,,14,,
14,Kansas,Big 12 (North),4,7,.364,1,7,.125,25.5,31.0,-0.74,2.99,,,,
15,Iowa State,Big 12 (North),3,8,.273,1,7,.125,20.1,29.8,-2.61,5.03,,,,
16,Texas A&M,Big 12 (South),11,3,.786,7,1,.875,23.9,15.3,16.65,7.86,14,6,11,
17,Texas,Big 12 (South),9,3,.750,6,2,.750,36.4,28.1,14.32,6.07,,15,15,
18,Texas Tech,Big 12 (South),7,5,.583,4,4,.500,26.3,21.3,6.09,2.92,,22,,
19,Oklahoma,Big 12 (South),5,6,.455,3,5,.375,16.7,20.8,1.62,4.71,,,,
20,Oklahoma State,Big 12 (South),5,6,.455,3,5,.375,27.5,26.9,6.05,5.05,,,,
21,Baylor,Big 12 (South),2,9,.182,1,7,.125,17.7,29.4,-2.45,8.01,,,,
22,Syracuse,Big East,8,4,.667,6,1,.857,39.8,25.0,11.20,3.62,17,11,25,
23,Miami (FL),Big East,9,3,.750,5,2,.714,37.3,24.8,11.94,0.94,,19,20,
24,Virginia Tech,Big East,9,3,.750,5,2,.714,31.8,12.4,13.27,0.19,,14,23,
25,West Virginia,Big East,8,4,.667,5,2,.714,34.2,22.3,11.04,1.54,11,11,,
26,Boston College,Big East,4,7,.364,3,4,.429,24.8,28.3,-1.73,2.64,,,,
27,Rutgers,Big East,5,6,.455,2,5,.286,18.7,34.2,-8.44,-0.25,,,,
28,Temple,Big East,2,9,.182,2,5,.286,18.0,32.7,-13.18,-1.45,,,,
29,Pitt,Big East,2,9,.182,0,7,.000,21.3,30.4,-8.74,0.54,,,,
30,Ohio State,Big Ten,11,1,.917,7,1,.875,35.8,12.0,23.02,4.77,1,1,2,
31,Wisconsin,Big Ten,11,1,.917,7,1,.875,31.8,11.9,16.45,1.78,20,6,6,
32,Michigan,Big Ten,10,3,.769,7,1,.875,27.6,18.1,12.01,3.86,5,5,12,
33,Purdue,Big Ten,9,4,.692,6,2,.750,34.2,21.2,14.70,5.40,,24,24,
34,Penn State,Big Ten,9,3,.750,5,3,.625,26.4,15.3,13.79,5.29,13,7,17,
35,Michigan State,Big Ten,6,6,.500,4,4,.500,28.0,24.5,8.13,5.80,23,23,,
36,Minnesota,Big Ten,5,6,.455,2,6,.250,20.8,22.6,3.12,5.12,,,,
37,Indiana,Big Ten,4,7,.364,2,6,.250,22.3,27.7,0.78,4.60,,,,
38,Illinois,Big Ten,3,8,.273,2,6,.250,13.5,29.6,-7.93,3.70,,,,
39,Iowa,Big Ten,3,8,.273,2,6,.250,15.6,26.1,-3.65,5.08,,,,
40,Northwestern,Big Ten,3,9,.250,0,8,.000,17.8,28.1,-6.28,2.72,,,,
41,Idaho,Big West,9,3,.750,4,1,.800,32.7,26.4,-3.37,-8.96,,,,
42,Nevada,Big West,6,5,.545,3,2,.600,33.7,28.7,-4.45,-6.54,,,,
43,North Texas,Big West,3,8,.273,3,2,.600,15.7,27.0,-12.45,-1.63,,,,
44,Boise State,Big West,6,5,.545,2,3,.400,29.9,31.8,-10.39,-9.94,,,,
45,Utah State,Big West,3,8,.273,2,3,.400,21.5,28.1,-11.00,-5.55,,,,
46,New Mexico State,Big West,3,8,.273,1,4,.200,30.1,38.5,-11.63,-4.36,,,,
47,Tulane,CUSA,12,0,1.000,6,0,1.000,45.0,24.6,11.51,-5.24,,7,7,
48,Southern Mississippi,CUSA,7,5,.583,5,1,.833,32.0,19.8,6.34,-0.16,21,21,,
49,Louisville,CUSA,7,5,.583,4,2,.667,39.4,36.3,-0.28,-3.28,,,,
50,East Carolina,CUSA,6,5,.545,3,3,.500,24.9,27.0,-4.98,-4.16,,,,
51,Army,CUSA,3,8,.273,2,4,.333,23.4,29.5,-6.61,0.03,,,,
52,Houston,CUSA,3,8,.273,2,4,.333,23.1,28.8,-3.72,1.19,,,,
53,Cincinnati,CUSA,2,9,.182,1,5,.167,23.5,41.5,-13.91,-0.36,,,,
54,Memphis,CUSA,2,9,.182,1,5,.167,20.5,30.9,-8.97,0.21,,,,
55,UCF,Ind,9,2,.818,,,,35.7,19.0,2.95,-9.33,,,,
56,Notre Dame,Ind,9,3,.750,,,,27.3,20.7,11.16,3.66,22,9,22,
57,Louisiana Tech,Ind,6,6,.500,,,,41.1,33.5,-0.70,-2.70,,,,
58,Louisiana-Monroe,Ind,5,6,.455,,,,20.6,29.3,-9.97,-5.61,,,,
59,UAB,Ind,4,7,.364,,,,21.5,28.0,-9.54,-3.99,,,,
60,Arkansas State,Ind,4,8,.333,,,,18.0,32.1,-16.28,-8.11,,,,
61,Navy,Ind,3,8,.273,,,,23.2,34.2,-11.34,-2.43,,,,
62,Louisiana,Ind,2,9,.182,,,,18.1,41.2,-16.84,-3.38,,,,
63,Marshall,MAC (East),12,1,.923,7,1,.875,31.2,18.2,-0.04,-11.89,,,,
64,Miami (OH),MAC (East),10,1,.909,7,1,.875,28.8,12.9,1.39,-10.43,,,,
65,Bowling Green,MAC (East),5,6,.455,5,3,.625,26.5,28.4,-4.00,-4.18,,,,
66,Ohio,MAC (East),5,6,.455,5,3,.625,24.5,27.5,-7.58,-6.49,,,,
67,Akron,MAC (East),4,7,.364,3,6,.333,24.1,27.2,-13.41,-10.50,,,,
68,Kent State,MAC (East),0,11,.000,0,8,.000,13.5,41.3,-27.09,-7.81,,,,
69,Toledo,MAC (West),7,5,.583,6,2,.750,19.1,18.0,-4.02,-6.77,,,,
70,Western Michigan,MAC (West),7,4,.636,5,3,.625,32.7,28.4,-7.92,-12.10,,,,
71,Central Michigan,MAC (West),6,5,.545,5,3,.625,20.8,23.0,-12.10,-11.46,,,,
72,Eastern Michigan,MAC (West),3,8,.273,3,6,.333,19.6,28.1,-18.27,-10.90,,,,
73,Northern Illinois,MAC (West),2,9,.182,2,6,.250,14.5,29.9,-17.75,-6.66,,,,
74,Ball State,MAC (West),1,10,.091,1,7,.125,13.6,31.2,-21.88,-7.16,,,,
75,UCLA,Pac-10,10,2,.833,8,0,1.000,39.7,28.3,17.40,6.40,7,2,8,
76,Arizona,Pac-10,12,1,.923,7,1,.875,33.8,18.2,14.70,0.93,24,4,4,
77,Oregon,Pac-10,8,4,.667,5,3,.625,39.4,27.3,11.56,3.81,,11,,
78,USC,Pac-10,8,5,.615,5,3,.625,26.6,18.5,12.73,6.12,,18,,
79,Washington,Pac-10,6,6,.500,4,4,.500,25.3,28.6,4.10,6.60,18,9,,
80,Arizona State,Pac-10,5,6,.455,4,4,.500,30.3,30.7,2.98,3.71,8,8,,
81,California,Pac-10,5,6,.455,3,5,.375,16.6,22.8,1.68,5.41,,,,
82,Oregon State,Pac-10,5,6,.455,2,6,.250,26.0,26.5,1.51,4.05,,,,
83,Stanford,Pac-10,3,8,.273,2,6,.250,23.7,33.2,-2.70,5.66,,,,
84,Washington State,Pac-10,3,8,.273,0,8,.000,20.3,31.7,-5.75,3.71,,,,
85,Tennessee,SEC (East),13,0,1.000,8,0,1.000,33.2,14.5,19.96,4.42,10,1,1,
86,Florida,SEC (East),10,2,.833,7,1,.875,31.7,13.8,17.02,2.52,3,2,5,
87,Georgia,SEC (East),9,3,.750,6,2,.750,24.3,18.5,7.51,2.68,19,7,14,
88,Kentucky,SEC (East),7,5,.583,4,4,.500,35.9,31.3,6.60,3.77,,,,
89,Vanderbilt,SEC (East),2,9,.182,1,7,.125,12.9,33.5,-11.23,4.04,,,,
90,South Carolina,SEC (East),1,10,.091,0,8,.000,18.8,30.0,-6.96,3.32,,,,
91,Arkansas,SEC (West),9,3,.750,6,2,.750,32.5,18.9,12.82,1.98,,9,16,
