Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
2013-09-05,2013,R,RS,DEN,BAL,H,49,27,0
2013-09-05,2013,R,RS,BAL,DEN,A,27,49,0
2013-09-08,2013,R,RS,NE,BUF,A,23,21,0
2013-09-08,2013,R,RS,BUF,NE,H,21,23,0
2013-09-08,2013,R,RS,CHI,CIN,H,24,21,0
2013-09-08,2013,R,RS,CIN,CHI,A,21,24,0
2013-09-08,2013,R,RS,MIA,CLE,A,23,10,0
2013-09-08,2013,R,RS,CLE,MIA,H,10,23,0
2013-09-08,2013,R,RS,IND,OAK,H,21,17,0
2013-09-08,2013,R,RS,OAK,IND,A,17,21,0
2013-09-08,2013,R,RS,DET,MIN,H,34,24,0
2013-09-08,2013,R,RS,MIN,DET,A,24,34,0
2013-09-08,2013,R,RS,TEN,PIT,A,16,9,0
2013-09-08,2013,R,RS,PIT,TEN,H,9,16,0
2013-09-08,2013,R,RS,NO,ATL,H,23,17,0
2013-09-08,2013,R,RS,ATL,NO,A,17,23,0
2013-09-08,2013,R,RS,KC,JAX,A,28,2,0
2013-09-08,2013,R,RS,JAX,KC,H,2,28,0
2013-09-08,2013,R,RS,NYJ,TB,H,18,17,0
2013-09-08,2013,R,RS,TB,NYJ,A,17,18,0
2013-09-08,2013,R,RS,SEA,CAR,A,12,7,0
2013-09-08,2013,R,RS,CAR,SEA,H,7,12,0
2013-09-08,2013,R,RS,STL,ARI,H,27,24,0
2013-09-08,2013,R,RS,ARI,STL,A,24,27,0
2013-09-08,2013,R,RS,SF,GB,H,34,28,0
2013-09-08,2013,R,RS,GB,SF,A,28,34,0
2013-09-08,2013,R,RS,DAL,NYG,H,36,31,0
2013-09-08,2013,R,RS,NYG,DAL,A,31,36,0
2013-09-09,2013,R,RS,PHI,WAS,A,33,27,0
2013-09-09,2013,R,RS,WAS,PHI,H,27,33,0
2013-09-09,2013,R,RS,HOU,SD,A,31,28,0
2013-09-09,2013,R,RS,SD,HOU,H,28,31,0
2013-09-12,2013,R,RS,NE,NYJ,H,13,10,0
2013-09-12,2013,R,RS,NYJ,NE,A,10,13,0
2013-09-15,2013,R,RS,BUF,CAR,H,24,23,0
2013-09-15,2013,R,RS,CAR,BUF,A,23,24,0
2013-09-15,2013,R,RS,BAL,CLE,H,14,6,0
2013-09-15,2013,R,RS,CLE,BAL,A,6,14,0
2013-09-15,2013,R,RS,MIA,IND,A,24,20,0
2013-09-15,2013,R,RS,IND,MIA,H,20,24,0
2013-09-15,2013,R,RS,KC,DAL,H,17,16,0
2013-09-15,2013,R,RS,DAL,KC,A,16,17,0
2013-09-15,2013,R,RS,GB,WAS,H,38,20,0
2013-09-15,2013,R,RS,WAS,GB,A,20,38,0
2013-09-15,2013,R,RS,SD,PHI,A,33,30,0
2013-09-15,2013,R,RS,PHI,SD,H,30,33,0
2013-09-15,2013,R,RS,ATL,STL,H,31,24,0
2013-09-15,2013,R,RS,STL,ATL,A,24,31,0
2013-09-15,2013,R,RS,CHI,MIN,H,31,30,0
2013-09-15,2013,R,RS,MIN,CHI,A,30,31,0
2013-09-15,2013,R,RS,HOU,TEN,H,30,24,1
2013-09-15,2013,R,RS,TEN,HOU,A,24,30,1
2013-09-15,2013,R,RS,ARI,DET,H,25,21,0
2013-09-15,2013,R,RS,DET,ARI,A,21,25,0
2013-09-15,2013,R,RS,NO,TB,A,16,14,0
2013-09-15,2013,R,RS,TB,NO,H,14,16,0
2013-09-15,2013,R,RS,DEN,NYG,A,41,23,0
2013-09-15,2013,R,RS,NYG,DEN,H,23,41,0
2013-09-15,2013,R,RS,OAK,JAX,H,19,9,0
2013-09-15,2013,R,RS,JAX,OAK,A,9,19,0
2013-09-15,2013,R,RS,SEA,SF,H,29,3,0
2013-09-15,2013,R,RS,SF,SEA,A,3,29,0
2013-09-16,2013,R,RS,CIN,PIT,H,20,10,0
2013-09-16,2013,R,RS,PIT,CIN,A,10,20,0
2013-09-19,2013,R,RS,KC,PHI,A,26,16,0
2013-09-19,2013,R,RS,PHI,KC,H,16,26,0
2013-09-22,2013,R,RS,DAL,STL,H,31,7,0
2013-09-22,2013,R,RS,STL,DAL,A,7,31,0
2013-09-22,2013,R,RS,NE,TB,H,23,3,0
2013-09-22,2013,R,RS,TB,NE,A,3,23,0
2013-09-22,2013,R,RS,CAR,NYG,H,38,0,0
2013-09-22,2013,R,RS,NYG,CAR,A,0,38,0
2013-09-22,2013,R,RS,CIN,GB,H,34,30,0
2013-09-22,2013,R,RS,GB,CIN,A,30,34,0
2013-09-22,2013,R,RS,NO,ARI,H,31,7,0
2013-09-22,2013,R,RS,ARI,NO,A,7,31,0
2013-09-22,2013,R,RS,DET,WAS,A,27,20,0
2013-09-22,2013,R,RS,WAS,DET,H,20,27,0
2013-09-22,2013,R,RS,BAL,HOU,H,30,9,0
2013-09-22,2013,R,RS,HOU,BAL,A,9,30,0
2013-09-22,2013,R,RS,TEN,SD,H,20,17,0
2013-09-22,2013,R,RS,SD,TEN,A,17,20,0
2013-09-22,2013,R,RS,CLE,MIN,A,31,27,0
2013-09-22,2013,R,RS,MIN,CLE,H,27,31,0
2013-09-22,2013,R,RS,MIA,ATL,H,27,23,0
2013-09-22,2013,R,RS,ATL,MIA,A,23,27,0
2013-09-22,2013,R,RS,NYJ,BUF,H,27,20,0
2013-09-22,2013,R,RS,BUF,NYJ,A,20,27,0
2013-09-22,2013,R,RS,IND,SF,A,27,7,0
2013-09-22,2013,R,RS,SF,IND,H,7,27,0
2013-09-22,2013,R,RS,SEA,JAX,H,45,17,0
2013-09-22,2013,R,RS,JAX,SEA,A,17,45,0
2013-09-22,2013,R,RS,CHI,PIT,A,40,23,0
2013-09-22,2013,R,RS,PIT,CHI,H,23,40,0
2013-09-23,2013,R,RS,DEN,OAK,H,37,21,0
2013-09-23,2013,R,RS,OAK,DEN,A,21,37,0
2013-09-26,2013,R,RS,SF,STL,A,35,11,0
2013-09-26,2013,R,RS,STL,SF,H,11,35,0
2013-09-29,2013,R,RS,BUF,BAL,H,23,20,0
2013-09-29,2013,R,RS,BAL,BUF,A,20,23,0
2013-09-29,2013,R,RS,KC,NYG,H,31,7,0
2013-09-29,2013,R,RS,NYG,KC,A,7,31,0
2013-09-29,2013,R,RS,DET,CHI,H,40,32,0
2013-09-29,2013,R,RS,CHI,DET,A,32,40,0
2013-09-29,2013,R,RS,ARI,TB,A,13,10,0
2013-09-29,2013,R,RS,TB,ARI,H,10,13,0
2013-09-29,2013,R,RS,SEA,HOU,A,23,20,1
2013-09-29,2013,R,RS,HOU,SEA,H,20,23,1
2013-09-29,2013,R,RS,CLE,CIN,H,17,6,0
2013-09-29,2013,R,RS,CIN,CLE,A,6,17,0
2013-09-29,2013,R,RS,IND,JAX,A,37,3,0
2013-09-29,2013,R,RS,JAX,IND,H,3,37,0
2013-09-29,2013,R,RS,MIN,PIT,H,34,27,0
2013-09-29,2013,R,RS,PIT,MIN,A,27,34,0
2013-09-29,2013,R,RS,TEN,NYJ,H,38,13,0
2013-09-29,2013,R,RS,NYJ,TEN,A,13,38,0
2013-09-29,2013,R,RS,SD,DAL,H,30,21,0
2013-09-29,2013,R,RS,DAL,SD,A,21,30,0
2013-09-29,2013,R,RS,DEN,PHI,H,52,20,0
