Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
2018-09-06,2018,R,RS,PHI,ATL,H,18,12,0
2018-09-06,2018,R,RS,ATL,PHI,A,12,18,0
2018-09-09,2018,R,RS,BAL,BUF,H,47,3,0
2018-09-09,2018,R,RS,BUF,BAL,A,3,47,0
2018-09-09,2018,R,RS,CIN,IND,A,34,23,0
2018-09-09,2018,R,RS,IND,CIN,H,23,34,0
2018-09-09,2018,R,RS,PIT,CLE,A,21,21,1
2018-09-09,2018,R,RS,CLE,PIT,H,21,21,1
2018-09-09,2018,R,RS,NE,HOU,H,27,20,0
2018-09-09,2018,R,RS,HOU,NE,A,20,27,0
2018-09-09,2018,R,RS,JAX,NYG,A,20,15,0
2018-09-09,2018,R,RS,NYG,JAX,H,15,20,0
2018-09-09,2018,R,RS,MIA,TEN,H,27,20,0
2018-09-09,2018,R,RS,TEN,MIA,A,20,27,0
2018-09-09,2018,R,RS,MIN,SF,H,24,16,0
2018-09-09,2018,R,RS,SF,MIN,A,16,24,0
2018-09-09,2018,R,RS,TB,NO,A,48,40,0
2018-09-09,2018,R,RS,NO,TB,H,40,48,0
2018-09-09,2018,R,RS,KC,SD,A,38,28,0
2018-09-09,2018,R,RS,SD,KC,H,28,38,0
2018-09-09,2018,R,RS,CAR,DAL,H,16,8,0
2018-09-09,2018,R,RS,DAL,CAR,A,8,16,0
2018-09-09,2018,R,RS,WAS,ARI,A,24,6,0
2018-09-09,2018,R,RS,ARI,WAS,H,6,24,0
2018-09-09,2018,R,RS,DEN,SEA,H,27,24,0
2018-09-09,2018,R,RS,SEA,DEN,A,24,27,0
2018-09-09,2018,R,RS,GB,CHI,H,24,23,0
2018-09-09,2018,R,RS,CHI,GB,A,23,24,0
2018-09-10,2018,R,RS,NYJ,DET,A,48,17,0
2018-09-10,2018,R,RS,DET,NYJ,H,17,48,0
2018-09-10,2018,R,RS,STL,OAK,A,33,13,0
2018-09-10,2018,R,RS,OAK,STL,H,13,33,0
2018-09-13,2018,R,RS,CIN,BAL,H,34,23,0
2018-09-13,2018,R,RS,BAL,CIN,A,23,34,0
2018-09-16,2018,R,RS,ATL,CAR,H,31,24,0
2018-09-16,2018,R,RS,CAR,ATL,A,24,31,0
2018-09-16,2018,R,RS,SD,BUF,A,31,20,0
2018-09-16,2018,R,RS,BUF,SD,H,20,31,0
2018-09-16,2018,R,RS,NO,CLE,H,21,18,0
2018-09-16,2018,R,RS,CLE,NO,A,18,21,0
2018-09-16,2018,R,RS,IND,WAS,A,21,9,0
2018-09-16,2018,R,RS,WAS,IND,H,9,21,0
2018-09-16,2018,R,RS,MIN,GB,A,29,29,1
2018-09-16,2018,R,RS,GB,MIN,H,29,29,1
2018-09-16,2018,R,RS,TEN,HOU,H,20,17,0
2018-09-16,2018,R,RS,HOU,TEN,A,17,20,0
2018-09-16,2018,R,RS,KC,PIT,A,42,37,0
2018-09-16,2018,R,RS,PIT,KC,H,37,42,0
2018-09-16,2018,R,RS,MIA,NYJ,A,20,12,0
2018-09-16,2018,R,RS,NYJ,MIA,H,12,20,0
2018-09-16,2018,R,RS,TB,PHI,H,27,21,0
2018-09-16,2018,R,RS,PHI,TB,A,21,27,0
2018-09-16,2018,R,RS,STL,ARI,H,34,0,0
2018-09-16,2018,R,RS,ARI,STL,A,0,34,0
2018-09-16,2018,R,RS,SF,DET,H,30,27,0
2018-09-16,2018,R,RS,DET,SF,A,27,30,0
2018-09-16,2018,R,RS,DEN,OAK,H,20,19,0
2018-09-16,2018,R,RS,OAK,DEN,A,19,20,0
2018-09-16,2018,R,RS,JAX,NE,H,31,20,0
2018-09-16,2018,R,RS,NE,JAX,A,20,31,0
2018-09-16,2018,R,RS,DAL,NYG,H,20,13,0
