date,season,type,round,po_mult,team,opponent,home_away,pre_rate,opp_pre_rate,expected_win,result,accuracy,brier,points_for,points_against,mov,mov_mult,k,keff,days_off,opp_days_off,rest_adj
2012-07-12,2012,R,,1.0,MIN,DET,H,1663.2488898218023,1323.9868396198908,0.9195680244422514,1.0,1,0.006469302692122271,89,74,15,0.3920174823873319,73.15,73.15,1,1,0.0
2012-08-17,2012,R,,1.0,MIN,WAS,H,1665.5553634938824,1348.3292932555805,0.9237095367725846,1.0,1,0.00582023477945362,98,69,29,0.5468107622767272,73.0,73.0,35,0,16.0
2012-08-19,2012,R,,1.0,MIN,DET,H,1668.6006640775659,1316.0930700928939,0.9250301082763788,1.0,1,0.005620484665051491,83,59,24,0.4857413388891993,72.85,72.85,1,1,0.0
2012-08-21,2012,R,,1.0,ORL,DET,H,1599.5927722911954,1313.4347038753926,0.9022875721021366,1.0,1,0.00954771856569515,82,80,2,0.19464189753570063,72.7,72.7,2,1,8.0
2012-08-25,2012,R,,1.0,UTA,DET,H,1633.6780787031628,1320.8624183035367,0.9150066227498549,1.0,1,0.007223874176385484,91,71,20,0.45601380841626954,72.55,72.55,1,0,8.0
2012-08-31,2012,R,,1.0,MIN,DET,H,1702.5608719547038,1356.9093779437244,0.9344704990744512,1.0,1,0.004294115491551497,92,83,9,0.31518478419251655,72.25,72.25,2,0,16.0
2012-09-18,2012,R,,1.0,LAS,PHX,H,1596.0566143323251,1308.4805442260736,0.9107779247460619,1.0,1,0.007960578712619393,101,76,25,0.5173608594131508,71.05,71.05,3,1,16.0
2016-07-02,2016,R,,1.0,MIN,UTA,H,1645.1390245304447,1353.265481856293,0.9127678680715652,1.0,1,0.007609444840779857,91,68,23,0.4949516845447546,73.45,73.45,2,0,16.0
2016-09-16,2016,R,,1.0,LAS,UTA,H,1615.412398929745,1308.797038546236,0.9045264900249358,1.0,1,0.009115191106958685,71,65,6,0.2797906648196443,70.9,70.9,2,2,0.0
2017-06-25,2017,R,,1.0,MIN,UTA,H,1688.0449983553583,1290.1287872063263,0.9412618926566269,1.0,1,0.0034501652542816264,87,78,9,0.30487570573326833,74.2,74.2,1,1,0.0
