Elo Model Accuracy Report
=============================================
Scope: all seasons

All games             n=8029   accuracy=0.636   brier=0.2200   log_loss=0.6305
Regular season        n=7687   accuracy=0.634   brier=0.2201   log_loss=0.6308
Playoffs              n= 342   accuracy=0.687   brier=0.2167   log_loss=0.6235

Baselines for context:
  Coin flip (always 50%):   Brier = 0.2500
  Always pick home team:    57.0% accuracy

By season:
  2005-09               n=  46   accuracy=0.652   brier=0.2272   log_loss=0.6447
  2005-10               n=  70   accuracy=0.686   brier=0.2032   log_loss=0.5944
  2005-11               n=  60   accuracy=0.767   brier=0.1986   log_loss=0.5837
  2005-12               n=  66   accuracy=0.727   brier=0.1947   log_loss=0.5770
  2006-01               n=  24   accuracy=0.583   brier=0.2395   log_loss=0.6692
  2006-02               n=   1   accuracy=1.000   brier=0.1898   log_loss=0.5721
  2006-09               n=  46   accuracy=0.478   brier=0.2398   log_loss=0.6686
  2006-10               n=  68   accuracy=0.691   brier=0.2116   log_loss=0.6092
  2006-11               n=  63   accuracy=0.619   brier=0.2255   log_loss=0.6445
  2006-12               n=  79   accuracy=0.506   brier=0.2680   log_loss=0.7324
  2007-01               n=  10   accuracy=0.800   brier=0.1857   log_loss=0.5570
  2007-02               n=   1   accuracy=1.000   brier=0.2445   log_loss=0.6822
  2007-09               n=  61   accuracy=0.590   brier=0.2313   log_loss=0.6526
  2007-10               n=  55   accuracy=0.709   brier=0.1981   log_loss=0.5819
  2007-11               n=  61   accuracy=0.607   brier=0.2217   log_loss=0.6299
  2007-12               n=  79   accuracy=0.671   brier=0.1990   log_loss=0.5809
  2008-01               n=  10   accuracy=0.500   brier=0.2663   log_loss=0.7234
  2008-02               n=   1   accuracy=0.000   brier=0.6488   log_loss=1.6374
  2008-09               n=  60   accuracy=0.683   brier=0.2252   log_loss=0.6456
  2008-10               n=  56   accuracy=0.643   brier=0.2094   log_loss=0.6082
  2008-11               n=  75   accuracy=0.653   brier=0.2229   log_loss=0.6408
  2008-12               n=  65   accuracy=0.646   brier=0.2040   log_loss=0.5890
  2009-01               n=  10   accuracy=0.400   brier=0.2898   log_loss=0.7785
  2009-02               n=   1   accuracy=1.000   brier=0.1094   log_loss=0.4016
  2009-09               n=  48   accuracy=0.542   brier=0.2249   log_loss=0.6395
  2009-10               n=  55   accuracy=0.782   brier=0.1956   log_loss=0.5772
  2009-11               n=  73   accuracy=0.671   brier=0.1984   log_loss=0.5773
  2009-12               n=  64   accuracy=0.656   brier=0.2164   log_loss=0.6329
  2010-01               n=  26   accuracy=0.692   brier=0.2308   log_loss=0.6595
  2010-02               n=   1   accuracy=1.000   brier=0.2156   log_loss=0.6242
  2010-09               n=  48   accuracy=0.562   brier=0.2319   log_loss=0.6548
  2010-10               n=  68   accuracy=0.588   brier=0.2489   log_loss=0.6923
  2010-11               n=  60   accuracy=0.683   brier=0.2022   log_loss=0.5923
  2010-12               n=  64   accuracy=0.641   brier=0.2352   log_loss=0.6629
  2011-01               n=  26   accuracy=0.692   brier=0.2210   log_loss=0.6331
  2011-02               n=   1   accuracy=1.000   brier=0.1601   log_loss=0.5110
  2011-09               n=  48   accuracy=0.750   brier=0.2109   log_loss=0.6124
  2011-10               n=  68   accuracy=0.662   brier=0.2040   log_loss=0.5932
  2011-11               n=  60   accuracy=0.600   brier=0.2257   log_loss=0.6387
  2011-12               n=  64   accuracy=0.641   brier=0.2199   log_loss=0.6301
  2012-01               n=  26   accuracy=0.731   brier=0.1908   log_loss=0.5627
  2012-02               n=   1   accuracy=0.000   brier=0.4350   log_loss=1.0775
  2012-09               n=  62   accuracy=0.629   brier=0.2285   log_loss=0.6482
  2012-10               n=  56   accuracy=0.643   brier=0.2166   log_loss=0.6195
  2012-11               n=  59   accuracy=0.678   brier=0.1967   log_loss=0.5847
  2012-12               n=  79   accuracy=0.595   brier=0.2172   log_loss=0.6218
  2013-01               n=  10   accuracy=0.700   brier=0.2330   log_loss=0.6645
  2013-02               n=   1   accuracy=0.000   brier=0.3157   log_loss=0.8252
  2013-09               n=  63   accuracy=0.698   brier=0.2069   log_loss=0.6016
  2013-10               n=  58   accuracy=0.586   brier=0.2142   log_loss=0.6123
  2013-11               n=  58   accuracy=0.603   brier=0.2336   log_loss=0.6709
  2013-12               n=  77   accuracy=0.714   brier=0.1966   log_loss=0.5760
  2014-01               n=  10   accuracy=0.700   brier=0.1880   log_loss=0.5620
  2014-02               n=   1   accuracy=1.000   brier=0.2435   log_loss=0.6800
  2014-09               n=  61   accuracy=0.607   brier=0.2357   log_loss=0.6637
  2014-10               n=  61   accuracy=0.689   brier=0.1956   log_loss=0.5887
  2014-11               n=  69   accuracy=0.638   brier=0.2102   log_loss=0.6045
  2014-12               n=  65   accuracy=0.692   brier=0.2056   log_loss=0.5958
  2015-01               n=  10   accuracy=0.800   brier=0.1742   log_loss=0.5311
  2015-02               n=   1   accuracy=1.000   brier=0.2465   log_loss=0.6861
  2015-09               n=  48   accuracy=0.562   brier=0.2326   log_loss=0.6559
  2015-10               n=  58   accuracy=0.672   brier=0.2125   log_loss=0.6149
  2015-11               n=  70   accuracy=0.643   brier=0.2446   log_loss=0.6877
  2015-12               n=  64   accuracy=0.656   brier=0.2224   log_loss=0.6391
  2016-01               n=  26   accuracy=0.654   brier=0.2239   log_loss=0.6350
  2016-02               n=   1   accuracy=0.000   brier=0.4264   log_loss=1.0584
  2016-09               n=  49   accuracy=0.551   brier=0.2332   log_loss=0.6576
  2016-10               n=  71   accuracy=0.535   brier=0.2325   log_loss=0.6708
  2016-11               n=  57   accuracy=0.667   brier=0.2050   log_loss=0.5970
  2016-12               n=  63   accuracy=0.683   brier=0.2120   log_loss=0.6093
  2017-01               n=  26   accuracy=0.731   brier=0.1721   log_loss=0.5204
  2017-02               n=   1   accuracy=1.000   brier=0.1822   log_loss=0.5567
  2017-09               n=  48   accuracy=0.604   brier=0.2272   log_loss=0.6448
  2017-10               n=  71   accuracy=0.606   brier=0.2391   log_loss=0.6717
  2017-11               n=  58   accuracy=0.707   brier=0.2031   log_loss=0.5914
  2017-12               n=  79   accuracy=0.671   brier=0.2057   log_loss=0.5992
  2018-01               n=  10   accuracy=0.700   brier=0.2078   log_loss=0.6030
  2018-02               n=   1   accuracy=0.000   brier=0.2578   log_loss=0.7088
  2018-09               n=  62   accuracy=0.613   brier=0.2221   log_loss=0.6529
  2018-10               n=  59   accuracy=0.729   brier=0.2006   log_loss=0.5885
  2018-11               n=  56   accuracy=0.643   brier=0.2120   log_loss=0.6088
  2018-12               n=  79   accuracy=0.633   brier=0.2179   log_loss=0.6229
  2019-01               n=  10   accuracy=0.500   brier=0.2598   log_loss=0.7109
  2019-02               n=   1   accuracy=0.000   brier=0.2758   log_loss=0.7449
  2019-09               n=  63   accuracy=0.571   brier=0.2398   log_loss=0.6808
  2019-10               n=  59   accuracy=0.661   brier=0.2090   log_loss=0.5994
  2019-11               n=  57   accuracy=0.719   brier=0.2115   log_loss=0.6196
  2019-12               n=  77   accuracy=0.623   brier=0.2377   log_loss=0.6771
  2020-01               n=  10   accuracy=0.600   brier=0.2564   log_loss=0.7139
  2020-02               n=   1   accuracy=1.000   brier=0.2442   log_loss=0.6815
  2020-09               n=  48   accuracy=0.625   brier=0.2149   log_loss=0.6314
  2020-10               n=  58   accuracy=0.638   brier=0.2225   log_loss=0.6371
  2020-11               n=  70   accuracy=0.643   brier=0.2211   log_loss=0.6290
  2020-12               n=  64   accuracy=0.609   brier=0.2367   log_loss=0.6710
  2021-01               n=  28   accuracy=0.714   brier=0.2019   log_loss=0.6024
  2021-02               n=   1   accuracy=0.000   brier=0.2888   log_loss=0.7710
  2021-09               n=  49   accuracy=0.551   brier=0.2422   log_loss=0.6754
  2021-10               n=  72   accuracy=0.542   brier=0.2360   log_loss=0.6603
  2021-11               n=  59   accuracy=0.542   brier=0.2694   log_loss=0.7559
  2021-12               n=  60   accuracy=0.633   brier=0.2205   log_loss=0.6287
  2022-01               n=  44   accuracy=0.591   brier=0.2376   log_loss=0.6691
  2022-02               n=   1   accuracy=1.000   brier=0.1905   log_loss=0.5734
  2022-09               n=  49   accuracy=0.490   brier=0.2511   log_loss=0.7070
  2022-10               n=  74   accuracy=0.554   brier=0.2440   log_loss=0.6789
  2022-11               n=  57   accuracy=0.667   brier=0.2182   log_loss=0.6249
  2022-12               n=  61   accuracy=0.689   brier=0.2005   log_loss=0.5944
  2023-01               n=  42   accuracy=0.738   brier=0.1889   log_loss=0.5606
  2023-02               n=   1   accuracy=1.000   brier=0.2310   log_loss=0.6551
  2023-09               n=  49   accuracy=0.429   brier=0.2615   log_loss=0.7154
  2023-10               n=  73   accuracy=0.562   brier=0.2330   log_loss=0.6547
  2023-11               n=  59   accuracy=0.644   brier=0.2079   log_loss=0.6051
  2023-12               n=  75   accuracy=0.613   brier=0.2299   log_loss=0.6536
  2024-01               n=  28   accuracy=0.643   brier=0.2396   log_loss=0.6840
  2024-02               n=   1   accuracy=0.000   brier=0.3438   log_loss=0.8827
  2024-09               n=  64   accuracy=0.500   brier=0.2583   log_loss=0.7117
  2024-10               n=  60   accuracy=0.600   brier=0.2269   log_loss=0.6418
  2024-11               n=  59   accuracy=0.746   brier=0.1890   log_loss=0.5643
  2024-12               n=  73   accuracy=0.753   brier=0.1770   log_loss=0.5285
  2025-01               n=  28   accuracy=0.643   brier=0.2448   log_loss=0.6958
  2025-02               n=   1   accuracy=1.000   brier=0.1535   log_loss=0.4972
  2025-09               n=  64   accuracy=0.609   brier=0.2080   log_loss=0.6113
  2025-10               n=  58   accuracy=0.603   brier=0.2350   log_loss=0.6625
  2025-11               n=  71   accuracy=0.620   brier=0.2209   log_loss=0.6305
  2025-12               n=  63   accuracy=0.556   brier=0.2393   log_loss=0.6664
  2026-01               n=  28   accuracy=0.714   brier=0.2022   log_loss=0.5891
  2026-02               n=   1   accuracy=1.000   brier=0.1583   log_loss=0.5072

Calibration (expected win% bucket vs actual win rate):
  Bucket         Games   Predicted avg   Actual win rate
  50%-60%        1942           55.3%             50.9%
  60%-70%        2118           64.8%             62.1%
  70%-80%        1369           74.5%             74.9%
  80%-90%         577           84.0%             83.5%
  90%-101%          55           91.6%             92.7%

10 biggest upsets (lowest pre-game win probability for the winner):
  2022-01-09  nfl_0013 beat nfl_0012  (26-11, given only 14.3% to win)
  2025-01-05  nfl_0017 beat nfl_0004  (23-16, given only 14.8% to win)
  1997-11-16  nfl_0012 beat nfl_0011  (41-38, given only 16.1% to win)
  2022-01-09  nfl_0010 beat nfl_0011  (37-30, given only 17.0% to win)
  2011-12-18  nfl_0014 beat nfl_0011  (19-14, given only 17.6% to win)
  2021-11-07  nfl_0013 beat nfl_0004  (9-6, given only 17.9% to win)
  2021-12-19  nfl_0010 beat nfl_0001  (30-12, given only 17.9% to win)
  2016-01-03  nfl_0015 beat nfl_0017  (20-10, given only 19.4% to win)
  2004-12-20  nfl_0015 beat nfl_0017  (29-28, given only 19.8% to win)
  2001-12-30  nfl_0007 beat nfl_0023  (26-23, given only 20.0% to win)

Worst 10 predictions (highest log loss - biggest confident misses):
  2019-12-29  nfl_0017 24-27 nfl_0015  (favored: nfl_0017 @ 93.2%, winner: nfl_0015, log_loss=2.685)
  2009-12-27  nfl_0018 17-20 nfl_0028  (favored: nfl_0018 @ 92.6%, winner: nfl_0028, log_loss=2.601)
  2020-12-20  nfl_0027 20-23 nfl_0020  (favored: nfl_0027 @ 92.2%, winner: nfl_0020, log_loss=2.554)
  2021-01-03  nfl_0014 21-38 nfl_0024  (favored: nfl_0014 @ 90.8%, winner: nfl_0024, log_loss=2.383)
  2001-12-02  nfl_0021 31-34 nfl_0001  (favored: nfl_0021 @ 88.3%, winner: nfl_0001, log_loss=2.147)
  2017-12-31  nfl_0027 13-34 nfl_0026  (favored: nfl_0027 @ 88.2%, winner: nfl_0026, log_loss=2.133)
  2018-12-30  nfl_0018 14-33 nfl_0005  (favored: nfl_0018 @ 87.7%, winner: nfl_0005, log_loss=2.097)
  2002-12-08  nfl_0023 6-24 nfl_0032  (favored: nfl_0023 @ 87.6%, winner: nfl_0032, log_loss=2.090)
  2006-12-31  nfl_0006 7-26 nfl_0011  (favored: nfl_0006 @ 87.5%, winner: nfl_0011, log_loss=2.077)
  1999-11-28  nfl_0023 20-27 nfl_0007  (favored: nfl_0023 @ 87.5%, winner: nfl_0007, log_loss=2.077)
