Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
2014-09-04,2014,R,RS,SEA,GB,H,36,16,0
2014-09-04,2014,R,RS,GB,SEA,A,16,36,0
2014-09-07,2014,R,RS,BUF,CHI,A,23,20,1
2014-09-07,2014,R,RS,CHI,BUF,H,20,23,1
2014-09-07,2014,R,RS,MIN,STL,A,34,6,0
2014-09-07,2014,R,RS,STL,MIN,H,6,34,0
2014-09-07,2014,R,RS,CIN,BAL,A,23,16,0
2014-09-07,2014,R,RS,BAL,CIN,H,16,23,0
2014-09-07,2014,R,RS,PIT,CLE,H,30,27,0
2014-09-07,2014,R,RS,CLE,PIT,A,27,30,0
2014-09-07,2014,R,RS,PHI,JAX,H,34,17,0
2014-09-07,2014,R,RS,JAX,PHI,A,17,34,0
2014-09-07,2014,R,RS,TEN,KC,A,26,10,0
2014-09-07,2014,R,RS,KC,TEN,H,10,26,0
2014-09-07,2014,R,RS,NYJ,OAK,H,19,14,0
2014-09-07,2014,R,RS,OAK,NYJ,A,14,19,0
2014-09-07,2014,R,RS,ATL,NO,H,37,34,1
2014-09-07,2014,R,RS,NO,ATL,A,34,37,1
2014-09-07,2014,R,RS,HOU,WAS,H,17,6,0
2014-09-07,2014,R,RS,WAS,HOU,A,6,17,0
2014-09-07,2014,R,RS,MIA,NE,H,33,20,0
2014-09-07,2014,R,RS,NE,MIA,A,20,33,0
2014-09-07,2014,R,RS,CAR,TB,A,20,14,0
2014-09-07,2014,R,RS,TB,CAR,H,14,20,0
2014-09-07,2014,R,RS,SF,DAL,A,28,17,0
2014-09-07,2014,R,RS,DAL,SF,H,17,28,0
2014-09-07,2014,R,RS,DEN,IND,H,31,24,0
2014-09-07,2014,R,RS,IND,DEN,A,24,31,0
2014-09-08,2014,R,RS,DET,NYG,H,35,14,0
2014-09-08,2014,R,RS,NYG,DET,A,14,35,0
2014-09-08,2014,R,RS,ARI,SD,H,18,17,0
2014-09-08,2014,R,RS,SD,ARI,A,17,18,0
2014-09-11,2014,R,RS,BAL,PIT,H,26,6,0
2014-09-11,2014,R,RS,PIT,BAL,A,6,26,0
2014-09-14,2014,R,RS,BUF,MIA,H,29,10,0
2014-09-14,2014,R,RS,MIA,BUF,A,10,29,0
2014-09-14,2014,R,RS,CLE,NO,H,26,24,0
2014-09-14,2014,R,RS,NO,CLE,A,24,26,0
2014-09-14,2014,R,RS,DAL,TEN,A,26,10,0
2014-09-14,2014,R,RS,TEN,DAL,H,10,26,0
2014-09-14,2014,R,RS,CAR,DET,H,24,7,0
2014-09-14,2014,R,RS,DET,CAR,A,7,24,0
2014-09-14,2014,R,RS,ARI,NYG,A,25,14,0
2014-09-14,2014,R,RS,NYG,ARI,H,14,25,0
2014-09-14,2014,R,RS,CIN,ATL,H,24,10,0
2014-09-14,2014,R,RS,ATL,CIN,A,10,24,0
2014-09-14,2014,R,RS,WAS,JAX,H,41,10,0
2014-09-14,2014,R,RS,JAX,WAS,A,10,41,0
2014-09-14,2014,R,RS,NE,MIN,A,30,7,0
2014-09-14,2014,R,RS,MIN,NE,H,7,30,0
2014-09-14,2014,R,RS,STL,TB,A,19,17,0
2014-09-14,2014,R,RS,TB,STL,H,17,19,0
2014-09-14,2014,R,RS,SD,SEA,H,30,21,0
2014-09-14,2014,R,RS,SEA,SD,A,21,30,0
2014-09-14,2014,R,RS,DEN,KC,H,24,17,0
2014-09-14,2014,R,RS,KC,DEN,A,17,24,0
