date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2,is_home,result,correct,brier
1995-11-04,1996,0,,MIL,NYK,1438.2195,1605.993,0.403684652,0.596315348,1428.8357,1615.3768,71,84,1,0,True,0.1629612982603611
1995-11-04,1996,0,,SEA,LAL,1615.3959,1524.707,0.749827696,0.250172304,1620.9794,1519.1235,103,89,1,1,True,0.06258618168866842
1995-11-04,1996,0,,ORL,ATL,1579.5604,1508.0967,0.459025061,0.540974939,1558.5205,1529.1366,91,124,0,0,True,0.21070400662605374
1995-11-04,1996,0,,PHI,CHH,1383.2443,1531.7449,0.193023214,0.806976786,1379.6982,1535.2908,108,119,0,0,True,0.037257961142889796
1995-11-04,1996,0,,DET,WSB,1365.7269,1353.9354,0.375716683,0.624283317,1357.998,1361.6643,89,100,0,0,True,0.14116302588452248
1995-11-04,1996,0,,BOS,CHI,1464.7432,1598.2924,0.206784579,0.793215421,1458.6415,1604.394,85,107,0,0,True,0.04275986211220724
1995-11-04,1996,0,,GSW,DAL,1392.5458,1481.2133,0.252361416,0.747638584,1386.6416,1487.1174,84,99,0,0,True,0.06368628428552506
1995-11-04,1996,0,,SAS,DEN,1615.6949,1532.9875,0.475134478,0.524865522,1625.3595,1523.323,116,108,0,1,False,0.27548381618433254
1995-11-04,1996,0,,TOR,IND,1313.6648,1603.6818,0.095771381,0.904228619,1312.3392,1605.0073,89,97,0,0,True,0.009172157418647162
1995-11-04,1996,0,,CLE,MIA,1480.2339,1458.3706,0.389410458,0.610589542,1470.8063,1467.7982,71,85,0,0,True,0.1516405047997698
1995-11-04,1996,0,,NYK,MIL,1605.993,1438.2195,0.596315348,0.403684652,1615.3768,1428.8357,84,71,0,1,True,0.16296129826036113
1995-11-04,1996,0,,LAL,SEA,1524.707,1615.3959,0.250172304,0.749827696,1519.1235,1620.9794,89,103,0,0,True,0.06258618168866842
1995-11-05,1996,0,,POR,UTA,1506.7478,1615.5409,0.487348413,0.512651587,1513.2781,1609.0106,109,105,1,1,False,0.2628116496536186
1995-11-05,1996,0,,VAN,MIN,1327.7312,1350.0461,0.609971253,0.390028747,1331.2798,1346.4976,100,98,1,1,True,0.15212242348639002
1995-11-05,1996,0,,SAC,LAC,1486.7472,1376.8986,0.769942338,0.230057662,1492.5179,1371.1278,99,82,1,1,True,0.05292652784490624
1995-11-05,1996,0,,PHO,HOU,1573.9341,1628.2434,0.565377746,0.434622254,1568.2632,1633.9143,104,106,1,0,False,0.31965199567204056
1995-11-05,1996,0,,UTA,POR,1615.5409,1506.7478,0.512651587,0.487348413,1609.0106,1513.2781,105,109,0,0,False,0.2628116496536186
1995-11-05,1996,0,,MIN,VAN,1350.0461,1327.7312,0.390028747,0.609971253,1346.4976,1331.2798,98,100,0,0,True,0.15212242348639002
1995-11-05,1996,0,,LAC,SAC,1376.8986,1486.7472,0.230057662,0.769942338,1371.1278,1492.5179,82,99,0,0,True,0.05292652784490624
1995-11-05,1996,0,,HOU,PHO,1628.2434,1573.9341,0.434622254,0.565377746,1633.9143,1568.2632,106,104,0,1,False,0.31965199567204056
1995-11-06,1996,0,,UTA,ATL,1609.0106,1529.1366,0.737968802,0.262031198,1613.4701,1524.6771,105,96,1,1,True,0.06866034872531518
1995-11-06,1996,0,,ORL,WSB,1558.5205,1361.6643,0.846685981,0.153314019,1561.0919,1359.0929,105,95,1,1,True,0.02350518842193235
1995-11-06,1996,0,,ATL,UTA,1529.1366,1609.0106,0.262031198,0.737968802,1524.6771,1613.4701,96,105,0,0,True,0.06866034872531522
1995-11-06,1996,0,,WSB,ORL,1361.6643,1558.5205,0.153314019,0.846685981,1359.0929,1561.0919,95,105,0,0,True,0.02350518842193236
1995-11-07,1996,0,,CHI,TOR,1604.394,1312.3392,0.905239667,0.094760333,1605.7983,1310.9349,117,108,1,1,True,0.008979520710270883
1995-11-07,1996,0,,CLE,IND,1470.8063,1605.0073,0.450939171,0.549060829,1465.8986,1609.915,101,104,1,0,True,0.20334613594216727
1995-11-07,1996,0,,DAL,VAN,1487.1174,1331.2798,0.813470401,0.186529599,1490.5273,1327.8699,99,88,1,1,True,0.0347932913031008
1995-11-07,1996,0,,GSW,DEN,1386.6416,1523.323,0.44740649,0.55259351,1394.6543,1515.3103,98,93,1,1,False,0.3053595872941201
1995-11-07,1996,0,,HOU,MIL,1633.9143,1428.8357,0.852729782,0.147270218,1637.3822,1425.3678,106,89,1,1,True,0.02168851710976751
1995-11-07,1996,0,,NJN,POR,1390.3868,1513.2781,0.467104358,0.532895642,1408.1704,1495.4945,104,84,1,1,False,0.2839777652625921
1995-11-07,1996,0,,MIN,LAL,1346.4976,1519.1235,0.396979084,0.603020916,1351.673,1513.9481,93,92,1,1,False,0.363634225133479
1995-11-07,1996,0,,CHH,DET,1535.2908,1357.998,0.831490209,0.168509791,1538.5004,1354.7885,108,96,1,1,True,0.02839554966286367
1995-11-07,1996,0,,SEA,LAC,1620.9794,1371.1278,0.882249581,0.117750419,1623.8881,1368.2191,127,108,1,1,True,0.013865161174675573
1995-11-07,1996,0,,NYK,PHO,1615.3768,1568.2632,0.699906772,0.300093228,1600.9722,1582.6678,94,102,1,0,False,0.4898694894914599
1995-11-07,1996,0,,PHI,SAC,1379.6982,1492.5179,0.481559337,0.518440663,1374.3685,1497.8477,106,109,1,0,True,0.23189939505187954
1995-11-07,1996,0,,TOR,CHI,1312.3392,1604.394,0.094760333,0.905239667,1310.9349,1605.7983,108,117,0,0,True,0.00897952071027089
