week,checkpoint_date,games_played,games_remaining,dyn_coverage,dyn_avg_band_width,dyn_coinflip_ratio,dyn_mae,dmp_coverage,dmp_avg_band_width,dmp_coinflip_ratio,dmp_mae,frz_coverage,frz_avg_band_width,frz_coinflip_ratio,frz_mae
1,2025-10-26,42,1188,0.7333333333333333,22.333333333333332,1.9957070707070705,9.325133333333333,0.6333333333333333,18.966666666666665,1.694949494949495,9.2166,0.4,10.5,0.9388888888888889,9.217866666666668
2,2025-11-02,94,1136,0.7333333333333333,21.2,1.8421717171717171,8.0626,0.6666666666666666,17.866666666666667,1.5522727272727272,8.079066666666668,0.5,10.166666666666666,0.8833333333333333,8.338133333333333
3,2025-11-09,147,1083,0.7666666666666667,19.933333333333334,1.9090909090909092,6.782266666666667,0.6666666666666666,16.9,1.6184848484848484,6.788399999999999,0.4666666666666667,9.9,0.9484848484848485,6.687266666666667
4,2025-11-16,199,1031,0.8333333333333334,18.466666666666665,1.7684848484848485,5.8028,0.7666666666666667,15.866666666666667,1.5206060606060605,5.801266666666667,0.6333333333333333,9.6,0.9190909090909092,5.7648
5,2025-11-23,250,980,0.8333333333333334,17.566666666666666,1.6915151515151514,5.670333333333333,0.8,15.033333333333333,1.446060606060606,5.6441333333333334,0.5666666666666667,9.433333333333334,0.9087878787878788,6.0704666666666665
6,2025-11-30,299,931,0.8,16.433333333333334,1.5442424242424242,5.509333333333334,0.7666666666666667,14.033333333333333,1.3193939393939393,5.564066666666666,0.5333333333333333,9.1,0.8551515151515152,5.7454
7,2025-12-07,354,876,0.7666666666666667,15.5,1.645892255892256,5.5154,0.7666666666666667,13.366666666666667,1.419023569023569,5.5108,0.6666666666666666,8.933333333333334,0.9472727272727273,5.579933333333334
8,2025-12-14,382,848,0.8,14.9,1.5792592592592594,5.2954,0.7333333333333333,13.033333333333333,1.3818518518518519,5.300200000000001,0.5666666666666667,8.666666666666666,0.9177777777777778,5.4452
9,2025-12-21,422,808,0.8333333333333334,14.233333333333333,1.497037037037037,5.156266666666666,0.7333333333333333,12.633333333333333,1.3285185185185184,5.163333333333332,0.6,8.466666666666667,0.89,5.014466666666667
10,2025-12-28,472,758,0.7666666666666667,13.6,1.4400000000000002,5.297533333333333,0.7,12.0,1.2714814814814814,5.294266666666667,0.5333333333333333,8.3,0.8796296296296297,5.436866666666668
11,2026-01-04,527,703,0.7666666666666667,12.633333333333333,1.4859259259259259,4.6732,0.7666666666666667,11.3,1.3283333333333334,4.651466666666666,0.5666666666666667,7.9,0.9289814814814814,4.500333333333334
12,2026-01-11,582,648,0.8666666666666667,11.833333333333334,1.4023148148148148,4.093999999999999,0.8,10.466666666666667,1.2398148148148147,4.059533333333333,0.6,7.566666666666666,0.8962962962962963,3.9880000000000004
13,2026-01-18,632,598,0.7666666666666667,11.033333333333333,1.4092592592592592,4.2943333333333324,0.7333333333333333,9.966666666666667,1.2751984126984126,4.320200000000001,0.6,7.2,0.9223544973544974,4.337733333333333
14,2026-01-25,683,547,0.7333333333333333,10.133333333333333,1.338690476190476,4.153333333333333,0.7,9.133333333333333,1.2083333333333333,4.1494,0.5666666666666667,7.0,0.925,4.2046
15,2026-02-01,739,491,0.7,9.166666666666666,1.223809523809524,3.5346666666666664,0.7333333333333333,8.466666666666667,1.1291666666666667,3.5002,0.6333333333333333,6.633333333333334,0.8851190476190476,3.575133333333334
16,2026-02-08,788,442,0.8333333333333334,8.566666666666666,1.2351190476190477,2.788866666666667,0.8333333333333334,7.733333333333333,1.1138888888888887,2.7941333333333334,0.7666666666666667,6.166666666666667,0.8875,2.7512666666666674
17,2026-02-15,819,411,0.7666666666666667,7.933333333333334,1.2198412698412697,2.8738,0.7333333333333333,7.466666666666667,1.1476190476190478,2.868933333333333,0.6333333333333333,5.866666666666666,0.9023809523809523,2.8778
18,2026-02-22,855,375,0.8,7.3,1.1563492063492062,2.7884000000000007,0.8,6.966666666666667,1.1047619047619048,2.7660666666666667,0.6333333333333333,5.566666666666666,0.8825396825396826,2.790666666666666
19,2026-03-01,906,324,0.7666666666666667,6.4,1.0782539682539682,2.1209333333333333,0.7666666666666667,6.033333333333333,1.0165079365079364,2.1134666666666666,0.7333333333333333,5.033333333333333,0.8511111111111112,2.193733333333333
20,2026-03-08,958,272,0.8333333333333334,5.7,1.051111111111111,1.7865333333333333,0.8333333333333334,5.4,0.9966666666666666,1.7960666666666667,0.8333333333333334,4.7,0.8677777777777779,1.8058000000000005
21,2026-03-15,1011,219,0.9333333333333333,4.733333333333333,1.018888888888889,1.5729333333333335,0.9,4.666666666666667,1.0027777777777778,1.5518000000000003,0.8666666666666667,4.266666666666667,0.9183333333333333,1.6091333333333333
22,2026-03-22,1065,165,0.9,4.0,0.8983333333333333,1.0273999999999996,0.9333333333333333,3.933333333333333,0.8800000000000001,1.0339333333333331,0.9,3.566666666666667,0.7983333333333333,1.0383333333333338
23,2026-03-29,1119,111,0.9333333333333333,3.2666666666666666,0.9055555555555556,0.8645333333333328,0.8666666666666667,3.1333333333333333,0.8694444444444444,0.8620666666666661,0.8333333333333334,2.933333333333333,0.8138888888888889,0.8834666666666668
24,2026-04-05,1172,58,0.9666666666666667,2.2,1.0555555555555556,0.46846666666666636,0.9666666666666667,2.1333333333333333,1.0222222222222224,0.4699999999999997,0.9666666666666667,2.1,1.0055555555555555,0.4619333333333338
25,2026-04-12,1230,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
