week,n_seasons,n_teams,dyn_coverage,dyn_avg_band_width,dyn_coinflip_ratio,dyn_mae,dmp_coverage,dmp_avg_band_width,dmp_coinflip_ratio,dmp_mae,frz_coverage,frz_avg_band_width,frz_coinflip_ratio,frz_mae
1,31,921,0.7969598262757872,22.677524429967427,2.03581389355005,7.468403908794788,0.6959826275787188,17.820846905537458,1.600448568201011,7.4299022801302925,0.4820846905537459,10.532030401737241,0.9474251198192566,7.408642779587405
2,31,921,0.8132464712269273,21.335504885993487,1.8983913510786474,6.888838219326819,0.7068403908794788,16.995656894679698,1.5129816076070148,6.872453854505972,0.49294245385450597,10.29098805646037,0.9180260805667971,6.887806731813247
3,31,921,0.8186753528773073,20.10314875135722,1.8220003666257738,6.304657980456026,0.7187839305103149,16.11617806731813,1.4622131035811818,6.271639522258415,0.5211726384364821,9.968512486427796,0.9067425456676271,6.243735070575461
4,31,921,0.8251900108577633,18.854505971769814,1.8250014884379706,5.763659066232356,0.7328990228013029,15.26601520086862,1.4788190576464193,5.747513572204126,0.5570032573289903,9.711183496199784,0.9423386964103576,5.80243213897937
5,31,921,0.8295331161780674,17.806731813246472,1.7341917311787018,5.379239956568947,0.747014115092291,14.526601520086862,1.4163808082374856,5.370629750271443,0.5830618892508144,9.413680781758957,0.9195628536019416,5.360456026058633
6,31,921,0.8349619978284474,16.75352877307275,1.6362637935113504,5.072899022801304,0.761129207383279,13.64169381107492,1.334482994987881,5.071834961997828,0.5852334419109664,9.11400651465798,0.8936967785501988,5.107904451682954
7,31,921,0.8512486427795874,15.753528773072746,1.5992191184373594,4.833615635179154,0.758957654723127,12.96199782844734,1.318509666229536,4.817893593919652,0.5808903365906624,8.806731813246472,0.8981638550856792,4.827242128121608
8,31,921,0.8262757871878393,14.743756786102063,1.5925767681468006,4.530358306188925,0.751357220412595,12.190010857763301,1.3188935657176701,4.505276872964169,0.5939196525515744,8.51357220412595,0.9241324365102868,4.5174375678610215
9,31,921,0.8338762214983714,13.82627578718784,1.497211450631646,4.2183713355048855,0.750271444082519,11.601520086862106,1.2579059166192716,4.2224647122692724,0.6047774158523345,8.241042345276872,0.897575961256743,4.26613463626493
10,31,921,0.8295331161780674,13.001085776330076,1.4301535597952537,4.051150922909881,0.758957654723127,10.993485342019545,1.2119719766299573,4.02828447339848,0.6330076004343105,7.985884907709012,0.8843303517570619,4.047622149837133
11,31,921,0.8219326818675353,12.115092290988056,1.4508746531547834,3.7853094462540717,0.761129207383279,10.311617806731814,1.236679420229909,3.77343105320304,0.6416938110749185,7.6720955483170465,0.9258225186563949,3.7613355048859933
12,31,921,0.8349619978284474,11.186753528773073,1.3699390758837013,3.488686210640608,0.7741585233441911,9.6199782844734,1.1812613101701048,3.4801737242128126,0.6579804560260586,7.308360477741585,0.9018751184874964,3.504885993485342
13,31,921,0.8382193268186754,10.338762214983714,1.348959000640615,3.253887079261672,0.7817589576547231,8.921824104234528,1.1656238878211973,3.248371335504886,0.6775244299674267,6.93485342019544,0.9076215388995659,3.2693268186753532
14,30,892,0.8396860986547086,9.864349775784753,1.3439395152679907,3.1733520179372197,0.7903587443946188,8.59304932735426,1.1726573065698627,3.1346188340807175,0.6748878923766816,6.818385650224215,0.931700209979358,3.188766816143498
15,30,892,0.8452914798206278,8.995515695067265,1.230596038863976,2.789843049327354,0.7982062780269058,7.942825112107624,1.0878643497757847,2.789383408071749,0.7152466367713004,6.468609865470852,0.8882887572069186,2.7963677130044844
16,30,892,0.8340807174887892,8.202914798206278,1.1730634742686312,2.5615022421524665,0.8004484304932735,7.376681614349776,1.05716821481956,2.540728699551569,0.7174887892376681,6.098654708520179,0.8766162182361733,2.5761547085201797
17,30,892,0.8408071748878924,7.658071748878924,1.1789784860132395,2.3915470852017933,0.8071748878923767,6.871076233183857,1.0611720585095024,2.390627802690583,0.742152466367713,5.780269058295964,0.8957105487935085,2.3852578475336323
18,30,892,0.8553811659192825,6.866591928251121,1.1189316097668764,2.2206053811659197,0.8217488789237668,6.29932735426009,1.0267788089713845,2.2164910313901345,0.7544843049327354,5.373318385650224,0.877632305822561,2.2411322869955157
19,29,862,0.8596287703016241,6.400232018561485,1.1366810297204728,2.0846635730858467,0.8213457076566125,5.886310904872389,1.0450972268257652,2.0993735498839907,0.7761020881670534,5.1160092807424595,0.9111120318196884,2.105092807424594
20,29,862,0.8758700696055685,5.592807424593968,1.0538089713843775,1.805197215777262,0.8503480278422274,5.193735498839907,0.982452215224837,1.7913921113689095,0.796983758700696,4.6415313225058,0.8799856369461938,1.8057888631090486
21,29,862,0.8805104408352669,4.748259860788863,1.0659789644012945,1.5157888631090488,0.8596287703016241,4.458236658932715,1.0002224919093852,1.5094547563805105,0.8306264501160093,4.122969837587007,0.9265978964401295,1.5207772621809745
22,28,832,0.890625,4.108173076923077,0.9475930420711974,1.3293149038461538,0.8762019230769231,3.956730769230769,0.9124190938511327,1.3290504807692307,0.8557692307692307,3.65625,0.8449029126213593,1.3301201923076924
23,28,832,0.8858173076923077,3.2908653846153846,0.945873786407767,1.0761538461538462,0.8762019230769231,3.1670673076923075,0.9104773462783172,1.0784495192307693,0.8786057692307693,3.0444711538461537,0.8763956310679611,1.0757331730769233
24,28,832,0.9146634615384616,2.3173076923076925,1.0197208737864079,0.8032572115384613,0.9266826923076923,2.300480769230769,1.0118325242718447,0.8066947115384615,0.9110576923076923,2.2680288461538463,1.0,0.8015144230769231
25,28,832,0.9867788461538461,0.25240384615384615,0.9542682926829268,0.09881009615384619,0.984375,0.24759615384615385,0.9278455284552845,0.09969951923076918,0.984375,0.24639423076923078,0.9288617886178863,0.09945913461538461
26,3,90,0.9666666666666667,0.9444444444444444,0.9659090909090909,0.35777777777777764,0.9666666666666667,0.9222222222222223,0.9431818181818182,0.3441111111111111,0.9555555555555556,0.8333333333333334,0.8522727272727273,0.35544444444444456
27,1,30,0.9,2.7,0.9204545454545454,1.0799999999999998,0.9,2.6333333333333333,0.8977272727272727,1.066666666666667,0.9,2.5,0.8522727272727273,1.0713333333333332
28,1,30,0.9,2.6666666666666665,0.9090909090909091,1.0530000000000002,0.8666666666666667,2.7,0.9204545454545454,1.0869999999999997,0.9,2.566666666666667,0.875,1.062333333333334
29,1,30,0.9,2.6666666666666665,0.9090909090909091,1.0770000000000006,0.9,2.7333333333333334,0.9318181818181818,1.056,0.9,2.566666666666667,0.875,1.0666666666666667
30,1,30,0.9,2.8666666666666667,0.9772727272727273,1.0716666666666659,0.9,2.6,0.8863636363636364,1.092,0.8666666666666667,2.6,0.8863636363636364,1.0476666666666665
31,1,30,0.8666666666666667,2.7333333333333334,0.9318181818181818,1.0749999999999995,0.9,2.6666666666666665,0.9090909090909091,1.0536666666666672,0.9,2.533333333333333,0.8636363636363636,1.0446666666666669
32,1,30,0.9,2.8333333333333335,0.9659090909090909,1.0716666666666668,0.9,2.566666666666667,0.875,1.0909999999999997,0.8666666666666667,2.533333333333333,0.8636363636363636,1.0473333333333337
33,1,30,0.9,2.6666666666666665,0.9090909090909091,1.0753333333333333,0.8666666666666667,2.5,0.8522727272727273,1.091666666666667,0.8666666666666667,2.533333333333333,0.8636363636363636,1.0923333333333332
34,1,30,0.9,2.7,0.9204545454545454,1.0886666666666664,0.9,2.7,0.9204545454545454,1.080333333333333,0.8666666666666667,2.6,0.8863636363636364,1.069333333333333
35,1,30,0.9,2.6666666666666665,0.9090909090909091,1.0613333333333337,0.9,2.6333333333333333,0.8977272727272727,1.0860000000000005,0.8666666666666667,2.533333333333333,0.8636363636363636,1.0546666666666666
36,1,30,0.9,2.8666666666666667,0.9772727272727273,1.0386666666666668,0.9,2.7,0.9204545454545454,1.0646666666666662,0.9,2.6666666666666665,0.9090909090909091,1.0776666666666663
37,1,30,0.9,2.7,0.9204545454545454,1.0573333333333335,0.9,2.7333333333333334,0.9318181818181818,1.060000000000001,0.8666666666666667,2.566666666666667,0.875,1.060666666666667
38,1,30,0.9,2.7666666666666666,0.9431818181818182,1.0633333333333335,0.9,2.6666666666666665,0.9090909090909091,1.089333333333333,0.9,2.533333333333333,0.8636363636363636,1.0736666666666665
39,1,30,0.9,2.6666666666666665,0.9090909090909091,1.0510000000000004,0.9,2.6,0.8863636363636364,1.0793333333333333,0.8666666666666667,2.5,0.8522727272727273,1.0683333333333327
40,1,30,0.9,2.7666666666666666,0.9431818181818182,1.05,0.9,2.6666666666666665,0.9090909090909091,1.0839999999999999,0.8666666666666667,2.533333333333333,0.8636363636363636,1.044333333333333
41,1,30,0.8666666666666667,2.533333333333333,1.0643939393939394,1.049,0.8333333333333334,2.5,1.049242424242424,1.072,0.8333333333333334,2.3333333333333335,0.9848484848484849,1.0760000000000005
42,1,30,0.9333333333333333,1.8333333333333333,1.0833333333333333,0.7020000000000003,0.9333333333333333,1.7,1.0,0.6936666666666664,0.8666666666666667,1.5333333333333334,0.893939393939394,0.6986666666666664
43,1,30,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
