date,games_remaining,team,current_w,p10,p50,p90,actual_final_w,in_range,pit
2023-10-29,1190,nba_0022,0,25,36,49,21,False,0.035
2023-10-29,1190,nba_0024,1,25,37,52,22,False,0.0483
2023-10-29,1190,nba_0010,0,25,36,49,41,True,0.68
2023-10-29,1190,nba_0014,1,25,41,54,46,True,0.6933
2023-10-29,1190,nba_0002,2,31,44,55,64,False,0.9867
2023-10-29,1190,nba_0018,1,28,41,54,50,True,0.8333
2023-10-29,1190,nba_0017,0,24,38,51,32,True,0.2933
2023-10-29,1190,nba_0026,1,27,40,51,25,False,0.0633
2023-10-29,1190,nba_0012,2,32,43,54,51,True,0.7867
2023-10-29,1190,nba_0005,1,26,38,51,48,True,0.8083
2023-10-29,1190,nba_0001,1,27,40,52,36,True,0.3717
2023-10-29,1190,nba_0009,2,31,43,55,46,True,0.6267
2023-10-29,1190,nba_0021,2,31,42,55,49,True,0.7467
2023-10-29,1190,nba_0019,2,33,44,57,47,True,0.605
2023-10-29,1190,nba_0030,1,27,41,52,21,False,0.02
2023-10-29,1190,nba_0028,0,25,35,50,27,True,0.1567
2023-10-29,1190,nba_0011,2,34,46,58,47,True,0.56
2023-10-29,1190,nba_0029,1,28,39,50,15,False,0.0
2023-10-29,1190,nba_0027,1,26,36,51,31,True,0.2433
2023-10-29,1190,nba_0008,2,31,44,56,14,False,0.0
2023-10-29,1190,nba_0003,2,31,44,57,49,True,0.655
2023-10-29,1190,nba_0016,1,28,41,54,56,False,0.9233
2023-10-29,1190,nba_0020,2,31,42,56,47,True,0.6467
2023-10-29,1190,nba_0015,1,26,39,52,49,True,0.8317
2023-10-29,1190,nba_0025,2,30,43,56,57,False,0.9267
2023-10-29,1190,nba_0006,2,30,45,56,50,True,0.7183
2023-10-29,1190,nba_0007,3,35,48,59,57,True,0.8717
2023-10-29,1190,nba_0013,1,28,40,53,47,True,0.7317
2023-10-29,1190,nba_0023,2,32,43,54,46,True,0.6433
2023-10-29,1190,nba_0004,1,27,39,52,39,True,0.48
2023-11-05,1139,nba_0022,3,27,39,52,21,False,0.0167
2023-11-05,1139,nba_0024,3,28,40,52,22,False,0.0367
2023-11-05,1139,nba_0010,2,26,38,50,41,True,0.615
2023-11-05,1139,nba_0014,2,27,38,50,46,True,0.81
2023-11-05,1139,nba_0002,5,38,52,62,64,False,0.94
2023-11-05,1139,nba_0018,2,28,40,52,50,True,0.8467
2023-11-05,1139,nba_0017,3,32,42,56,32,True,0.1033
2023-11-05,1139,nba_0026,3,28,40,53,25,False,0.0517
2023-11-05,1139,nba_0012,3,32,43,55,51,True,0.78
2023-11-05,1139,nba_0005,3,27,39,51,48,True,0.8283
2023-11-05,1139,nba_0001,4,34,46,57,36,True,0.1767
2023-11-05,1139,nba_0009,5,35,48,58,46,True,0.4167
2023-11-05,1139,nba_0021,3,29,41,53,49,True,0.8183
2023-11-05,1139,nba_0019,4,33,47,57,47,True,0.5167
2023-11-05,1139,nba_0030,2,25,37,50,21,False,0.0167
2023-11-05,1139,nba_0029,1,23,36,48,15,False,0.0083
2023-11-05,1139,nba_0011,3,28,41,52,47,True,0.7467
2023-11-05,1139,nba_0028,1,23,33,46,27,True,0.2033
2023-11-05,1139,nba_0008,2,24,37,50,14,False,0.0
2023-11-05,1139,nba_0027,2,24,35,47,31,True,0.3317
2023-11-05,1139,nba_0003,4,30,41,52,49,True,0.81
2023-11-05,1139,nba_0016,3,31,43,56,56,True,0.905
2023-11-05,1139,nba_0020,4,34,45,57,47,True,0.565
2023-11-05,1139,nba_0015,3,28,39,52,49,True,0.845
2023-11-05,1139,nba_0025,3,29,41,53,57,False,0.965
2023-11-05,1139,nba_0006,5,35,48,58,50,True,0.5983
2023-11-05,1139,nba_0013,3,27,40,51,47,True,0.77
2023-11-05,1139,nba_0007,6,36,49,61,57,True,0.8183
2023-11-05,1139,nba_0023,2,27,40,51,46,True,0.7717
2023-11-05,1139,nba_0004,2,25,36,49,39,True,0.5933
2023-11-12,1087,nba_0022,3,26,36,49,21,False,0.0367
