date,games_remaining,team,current_w,p10,p50,p90,actual_final_w,in_range,pit
2022-10-23,1187,nba_0028,2,27,42,54,51,True,0.8367
2022-10-23,1187,nba_0012,2,29,42,54,44,True,0.5717
2022-10-23,1187,nba_0018,1,29,42,55,47,True,0.74
2022-10-23,1187,nba_0005,2,33,45,56,51,True,0.745
2022-10-23,1187,nba_0019,0,26,38,50,34,True,0.37
2022-10-23,1187,nba_0026,1,27,39,51,41,True,0.5817
2022-10-23,1187,nba_0017,1,27,39,52,45,True,0.7283
2022-10-23,1187,nba_0024,2,30,42,54,22,False,0.01
2022-10-23,1187,nba_0009,2,30,42,55,44,True,0.5583
2022-10-23,1187,nba_0014,1,25,38,51,44,True,0.7283
2022-10-23,1187,nba_0013,0,24,36,49,43,True,0.775
2022-10-23,1187,nba_0022,3,33,46,58,33,True,0.095
2022-10-23,1187,nba_0006,1,30,43,54,38,True,0.3233
2022-10-23,1187,nba_0001,2,28,40,52,41,True,0.5283
2022-10-23,1187,nba_0023,0,25,35,49,48,True,0.8783
2022-10-23,1187,nba_0020,0,24,36,49,54,False,0.9667
2022-10-23,1187,nba_0011,1,26,38,50,35,True,0.3783
2022-10-23,1187,nba_0025,0,25,36,48,40,True,0.665
2022-10-23,1187,nba_0030,2,32,45,58,27,False,0.0417
2022-10-23,1187,nba_0002,3,34,46,58,57,True,0.8667
2022-10-23,1187,nba_0016,2,31,43,56,42,True,0.4633
2022-10-23,1187,nba_0029,2,30,42,55,35,True,0.2283
2022-10-23,1187,nba_0007,2,31,42,55,53,True,0.8617
2022-10-23,1187,nba_0003,2,31,45,56,42,True,0.3917
2022-10-23,1187,nba_0021,2,31,43,56,45,True,0.5867
2022-10-23,1187,nba_0004,1,28,40,51,40,True,0.515
2022-10-23,1187,nba_0015,2,32,44,56,58,False,0.9283
2022-10-23,1187,nba_0008,1,26,40,52,17,False,0.005
2022-10-23,1187,nba_0027,3,35,46,57,37,True,0.1583
2022-10-23,1187,nba_0010,0,24,36,49,22,False,0.0717
2022-10-30,1135,nba_0012,2,26,38,50,44,True,0.75
2022-10-30,1135,nba_0028,4,33,45,55,51,True,0.7267
2022-10-30,1135,nba_0018,3,30,44,55,47,True,0.6667
2022-10-30,1135,nba_0005,5,37,49,59,51,True,0.5833
2022-10-30,1135,nba_0019,1,24,35,45,34,True,0.4517
2022-10-30,1135,nba_0026,3,27,40,52,41,True,0.5533
2022-10-30,1135,nba_0017,1,23,35,45,45,True,0.8967
2022-10-30,1135,nba_0024,5,33,44,56,22,False,0.0
2022-10-30,1135,nba_0009,3,27,38,49,44,True,0.7517
2022-10-30,1135,nba_0014,2,25,37,49,44,True,0.76
2022-10-30,1135,nba_0013,1,26,37,48,43,True,0.7667
2022-10-30,1135,nba_0022,5,33,46,56,33,True,0.0967
2022-10-30,1135,nba_0006,3,31,43,53,38,True,0.2917
2022-10-30,1135,nba_0001,4,31,45,56,41,True,0.36
2022-10-30,1135,nba_0023,1,23,34,47,48,False,0.9333
2022-10-30,1135,nba_0020,3,29,41,53,54,False,0.91
2022-10-30,1135,nba_0011,3,28,40,52,35,True,0.3183
2022-10-30,1135,nba_0025,3,29,42,54,40,True,0.4267
2022-10-30,1135,nba_0030,3,30,42,55,27,False,0.0617
2022-10-30,1135,nba_0016,4,30,42,55,42,True,0.4983
2022-10-30,1135,nba_0002,4,31,42,55,57,False,0.9317
2022-10-30,1135,nba_0029,3,29,41,53,35,True,0.2667
2022-10-30,1135,nba_0007,4,30,41,52,53,False,0.9133
2022-10-30,1135,nba_0003,4,35,46,58,42,True,0.2633
2022-10-30,1135,nba_0021,5,36,47,59,45,True,0.3883
2022-10-30,1135,nba_0004,3,27,38,51,40,True,0.615
2022-10-30,1135,nba_0015,5,36,48,59,58,True,0.8817
2022-10-30,1135,nba_0008,2,24,34,47,17,False,0.025
2022-10-30,1135,nba_0027,5,35,45,58,37,True,0.1767
2022-10-30,1135,nba_0010,1,23,34,45,22,False,0.06
