Team1,Team2,Round,StartDate,EndDate
BLB,CHS,0.5,1948-03-25,1948-03-25
WSC,CHS,0.5,,
NYK,BLB,1,,
CHS,BOS,1,,
BLB,CHS,2,1948-04-07,1948-04-08
PHW,STB,2,,
BLB,PHW,3,,
