Team1,Team2,Round,StartDate,EndDate
SYR,BOS,1,,1954-03-22
SYR,NYK,1,,
BOS,NYK,1,,
MNL,ROC,1,,1954-03-22
MNL,FTW,1,,
FTW,ROC,1,,
BOS,SYR,2,1954-03-23,
MNL,ROC,2,1954-03-23,
SYR,MNL,3,,
