Team1,Team2,Round,StartDate,EndDate
WSC,PHW,1,1949-03-22,1949-03-26
NYK,BLB,1,,
ROC,STB,1,,
MNL,CHS,1,,
WSC,NYK,2,1949-03-27,1949-04-02
ROC,MNL,2,,
WSC,MNL,3,,
