--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 24 1996,Sat,Brigham Young,41,,(13) Texas A&M,37,
2,1,Aug 25 1996,Sun,(11) Penn State,24,N,(7) Southern California,7,
3,2,Aug 29 1996,Thu,Central Florida,39,,William & Mary,33,
4,2,Aug 29 1996,Thu,Eastern Illinois,28,@,Western Michigan,20,
5,2,Aug 29 1996,Thu,(25) Kansas,35,,Ball State,10,
6,2,Aug 29 1996,Thu,Louisiana-Monroe,14,,Nicholls State,12,
7,2,Aug 29 1996,Thu,New Mexico,28,@,New Mexico State,7,
8,2,Aug 29 1996,Thu,Ohio,44,,Akron,14,
9,2,Aug 29 1996,Thu,Wake Forest,19,,Appalachian State,13,
10,2,Aug 30 1996,Fri,Tulane,34,@,Cincinnati,14,
11,2,Aug 31 1996,Sat,Air Force,45,,San Jose State,0,
12,2,Aug 31 1996,Sat,(13) Alabama,21,,Bowling Green,7,
13,2,Aug 31 1996,Sat,Arizona,23,,Texas-El Paso,3,
14,2,Aug 31 1996,Sat,(16) Auburn,29,,Alabama-Birmingham,0,
15,2,Aug 31 1996,Sat,Boston College,24,@,Hawaii,21,
16,2,Aug 31 1996,Sat,(19) Brigham Young,58,,Arkansas State,9,
17,2,Aug 31 1996,Sat,Central Michigan,42,@,Boise State,21,
18,2,Aug 31 1996,Sat,(5) Colorado,37,,Washington State,19,
19,2,Aug 31 1996,Sat,Colorado State,61,,Chattanooga,19,
20,2,Aug 31 1996,Sat,(4) Florida,55,,Louisiana,21,
21,2,Aug 31 1996,Sat,Houston,43,,Sam Houston,25,
22,2,Aug 31 1996,Sat,(21) Kansas State,21,,Texas Tech,14,
23,2,Aug 31 1996,Sat,Louisiana Tech,20,,Middle Tennessee State,0,
24,2,Aug 31 1996,Sat,Louisville,38,@,Kentucky,14,
25,2,Aug 31 1996,Sat,Maryland,30,,Northern Illinois,6,
26,2,Aug 31 1996,Sat,(11) Miami (FL),30,@,Memphis,7,
27,2,Aug 31 1996,Sat,Miami (OH),64,,Kent State,6,
28,2,Aug 31 1996,Sat,(12) Michigan,20,,Illinois,8,
29,2,Aug 31 1996,Sat,Michigan State,52,,Purdue,14,
30,2,Aug 31 1996,Sat,Mississippi,38,,Idaho State,14,
31,2,Aug 31 1996,Sat,North Carolina,45,,Clemson,0,
32,2,Aug 31 1996,Sat,Oklahoma State,23,,Missouri State,20,
33,2,Aug 31 1996,Sat,Oregon,30,@,Fresno State,27,
34,2,Aug 31 1996,Sat,Rutgers,38,,Villanova,28,
35,2,Aug 31 1996,Sat,Southern Methodist,17,,Tulsa,10,
36,2,Aug 31 1996,Sat,Southern Mississippi,11,@,Georgia,7,
37,2,Aug 31 1996,Sat,Temple,28,@,Eastern Michigan,24,
38,2,Aug 31 1996,Sat,(2) Tennessee,62,,Nevada-Las Vegas,3,
39,2,Aug 31 1996,Sat,(8) Texas,40,,Missouri,10,
40,2,Aug 31 1996,Sat,Utah State,20,,Utah,17,
41,2,Aug 31 1996,Sat,West Virginia,34,@,Pittsburgh,0,
42,2,Aug 31 1996,Sat,Wyoming,40,,Idaho,38,
43,3,Sep 5 1996,Thu,(6) Notre Dame,14,@,Vanderbilt,7,
44,3,Sep 7 1996,Sat,Air Force,65,@,Nevada-Las Vegas,17,
45,3,Sep 7 1996,Sat,(14) Alabama,20,,Southern Mississippi,10,
46,3,Sep 7 1996,Sat,(20) Arizona State,45,,Washington,42,
47,3,Sep 7 1996,Sat,Arkansas State,24,,Austin Peay,0,
48,3,Sep 7 1996,Sat,(18) Auburn,62,,Fresno State,0,
49,3,Sep 7 1996,Sat,Baylor,24,@,Louisiana Tech,16,
50,3,Sep 7 1996,Sat,Boise State,33,,Portland State,22,
51,3,Sep 7 1996,Sat,California,45,@,San Jose State,25,
52,3,Sep 7 1996,Sat,Cincinnati,24,,Kentucky,3,
53,3,Sep 7 1996,Sat,Clemson,19,,Furman,3,
54,3,Sep 7 1996,Sat,(5) Colorado,48,@,Colorado State,34,
55,3,Sep 7 1996,Sat,East Carolina,45,,East Tennessee State,21,
56,3,Sep 7 1996,Sat,(4) Florida,62,,Georgia Southern,14,
57,3,Sep 7 1996,Sat,(3) Florida State,44,,Duke,7,
