--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 28 2008,Thu,Ball State,48,,Northeastern,14,
2,1,Aug 28 2008,Thu,Buffalo,42,,Texas-El Paso,17,
3,1,Aug 28 2008,Thu,Central Michigan,31,,Eastern Illinois,12,
4,1,Aug 28 2008,Thu,Cincinnati,40,,Eastern Kentucky,7,
5,1,Aug 28 2008,Thu,Connecticut,35,,Hofstra,3,
6,1,Aug 28 2008,Thu,Eastern Michigan,52,,Indiana State,0,
7,1,Aug 28 2008,Thu,Georgia Tech,41,,Jacksonville State,14,
8,1,Aug 28 2008,Thu,Iowa State,44,,South Dakota State,17,
9,1,Aug 28 2008,Thu,Miami (FL),52,,Charleston Southern,7,
10,1,Aug 28 2008,Thu,South Carolina,34,,North Carolina State,0,
11,1,Aug 28 2008,Thu,Stanford,36,,Oregon State,28,
12,1,Aug 28 2008,Thu,Troy,31,@,Middle Tennessee State,17,
13,1,Aug 28 2008,Thu,Vanderbilt,34,@,Miami (OH),13,
14,1,Aug 28 2008,Thu,(23) Wake Forest,41,@,Baylor,13,
15,1,Aug 29 2008,Fri,Rice,56,,Southern Methodist,27,
16,1,Aug 29 2008,Fri,Temple,35,@,Army,7,
17,1,Aug 30 2008,Sat,Air Force,41,,Southern Utah,7,
18,1,Aug 30 2008,Sat,(24) Alabama,34,N,(9) Clemson,10,
19,1,Aug 30 2008,Sat,Arizona,70,,Idaho,0,
20,1,Aug 30 2008,Sat,(15) Arizona State,30,,Northern Arizona,13,
21,1,Aug 30 2008,Sat,Arkansas,28,,Western Illinois,24,
22,1,Aug 30 2008,Sat,Arkansas State,18,@,Texas A&M,14,
23,1,Aug 30 2008,Sat,(10) Auburn,34,,Louisiana-Monroe,0,
24,1,Aug 30 2008,Sat,Boise State,49,,Idaho State,7,
25,1,Aug 30 2008,Sat,Boston College,21,@,Kent State,0,
26,1,Aug 30 2008,Sat,Bowling Green,27,@,(25) Pittsburgh,17,
27,1,Aug 30 2008,Sat,(16) Brigham Young,41,,Northern Iowa,17,
28,1,Aug 30 2008,Sat,Cal Poly,29,@,San Diego State,27,
29,1,Aug 30 2008,Sat,California,38,,Michigan State,31,
30,1,Aug 30 2008,Sat,Central Florida,17,,South Carolina State,0,
31,1,Aug 30 2008,Sat,Duke,31,,James Madison,7,
32,1,Aug 30 2008,Sat,East Carolina,27,N,(17) Virginia Tech,22,
33,1,Aug 30 2008,Sat,(5) Florida,56,,Hawaii,10,
34,1,Aug 30 2008,Sat,(1) Georgia,45,,Georgia Southern,21,
35,1,Aug 30 2008,Sat,Houston,55,,Southern,3,
36,1,Aug 30 2008,Sat,Indiana,31,,Western Kentucky,13,
37,1,Aug 30 2008,Sat,Iowa,46,,Maine,3,
38,1,Aug 30 2008,Sat,(14) Kansas,40,,Florida International,10,
39,1,Aug 30 2008,Sat,Kansas State,45,,North Texas,6,
40,1,Aug 30 2008,Sat,(7) Louisiana State,41,,Appalachian State,13,
41,1,Aug 30 2008,Sat,Louisiana Tech,22,,Mississippi State,14,
42,1,Aug 30 2008,Sat,Marshall,35,,Illinois State,10,
43,1,Aug 30 2008,Sat,Maryland,14,,Delaware,7,
44,1,Aug 30 2008,Sat,Minnesota,31,,Northern Illinois,27,
45,1,Aug 30 2008,Sat,Mississippi,41,,Memphis,24,
46,1,Aug 30 2008,Sat,(6) Missouri,52,N,(20) Illinois,42,
47,1,Aug 30 2008,Sat,Navy,41,,Towson,13,
48,1,Aug 30 2008,Sat,Nebraska,47,,Western Michigan,24,
49,1,Aug 30 2008,Sat,Nevada,49,,Grambling State,13,
50,1,Aug 30 2008,Sat,Nevada-Las Vegas,27,,Utah State,17,
51,1,Aug 30 2008,Sat,North Carolina,35,,McNeese State,27,
52,1,Aug 30 2008,Sat,Northwestern,30,,Syracuse,10,
53,1,Aug 30 2008,Sat,(2) Ohio State,43,,Youngstown State,0,
54,1,Aug 30 2008,Sat,(4) Oklahoma,57,,Chattanooga,2,
55,1,Aug 30 2008,Sat,Oklahoma State,39,@,Washington State,13,
56,1,Aug 30 2008,Sat,(21) Oregon,44,,Washington,10,
57,1,Aug 30 2008,Sat,(22) Penn State,66,,Coastal Carolina,10,
58,1,Aug 30 2008,Sat,San Jose State,13,,California-Davis,10,
59,1,Aug 30 2008,Sat,(19) South Florida,56,,Tennessee-Martin,7,
60,1,Aug 30 2008,Sat,(3) Southern California,52,@,Virginia,7,
61,1,Aug 30 2008,Sat,Southern Mississippi,51,,Louisiana,21,
62,1,Aug 30 2008,Sat,(11) Texas,52,,Florida Atlantic,10,
63,1,Aug 30 2008,Sat,Texas Christian,26,@,New Mexico,3,
64,1,Aug 30 2008,Sat,(12) Texas Tech,49,,Eastern Washington,24,
65,1,Aug 30 2008,Sat,Tulsa,45,@,Alabama-Birmingham,22,
66,1,Aug 30 2008,Sat,Utah,25,@,Michigan,23,
67,1,Aug 30 2008,Sat,(8) West Virginia,48,,Villanova,21,
68,1,Aug 30 2008,Sat,(13) Wisconsin,38,,Akron,17,
69,1,Aug 30 2008,Sat,Wyoming,21,,Ohio,20,
70,1,Aug 31 2008,Sun,Colorado,38,N,Colorado State,17,Empower Field at Mile High - Denver Colorado
71,1,Aug 31 2008,Sun,Colorado,38,N,Colorado State,17,
72,1,Aug 31 2008,Sun,Kentucky,27,@,Louisville,2,
73,1,Sep 1 2008,Mon,Fresno State,24,@,Rutgers,7,
74,1,Sep 1 2008,Mon,UCLA,27,,(18) Tennessee,24,
75,2,Sep 4 2008,Thu,Vanderbilt,24,,(24) South Carolina,17,
76,2,Sep 5 2008,Fri,Ball State,35,,Navy,23,
77,2,Sep 6 2008,Sat,Air Force,23,@,Wyoming,3,
78,2,Sep 6 2008,Sat,Akron,42,@,Syracuse,28,
79,2,Sep 6 2008,Sat,(13) Alabama,20,,Tulane,6,
80,2,Sep 6 2008,Sat,Arizona,41,,Toledo,16,
81,2,Sep 6 2008,Sat,(15) Arizona State,41,,Stanford,17,
82,2,Sep 6 2008,Sat,Arkansas,28,,Louisiana-Monroe,27,
83,2,Sep 6 2008,Sat,Arkansas State,83,,Texas Southern,10,
84,2,Sep 6 2008,Sat,(9) Auburn,27,,Southern Mississippi,13,
85,2,Sep 6 2008,Sat,Baylor,51,,Northwestern State,6,
86,2,Sep 6 2008,Sat,(15) Brigham Young,28,@,Washington,27,
87,2,Sep 6 2008,Sat,California,66,@,Washington State,3,
88,2,Sep 6 2008,Sat,Clemson,45,,Citadel,17,
89,2,Sep 6 2008,Sat,Colorado,31,,Eastern Washington,24,
90,2,Sep 6 2008,Sat,Colorado State,23,,Sacramento State,20,
91,2,Sep 6 2008,Sat,Connecticut,12,@,Temple,9,
92,2,Sep 6 2008,Sat,East Carolina,24,,(8) West Virginia,3,
93,2,Sep 6 2008,Sat,(5) Florida,26,,Miami (FL),3,
94,2,Sep 6 2008,Sat,Florida Atlantic,49,,Alabama-Birmingham,34,
95,2,Sep 6 2008,Sat,Florida State,69,,Western Carolina,0,
96,2,Sep 6 2008,Sat,(2) Georgia,56,,Central Michigan,17,
97,2,Sep 6 2008,Sat,Georgia Tech,19,@,Boston College,16,
98,2,Sep 6 2008,Sat,Hawaii,36,,Weber State,17,
99,2,Sep 6 2008,Sat,Idaho,42,,Idaho State,27,
100,2,Sep 6 2008,Sat,(24) Illinois,47,,Eastern Illinois,21,
101,2,Sep 6 2008,Sat,Indiana,45,,Murray State,3,
102,2,Sep 6 2008,Sat,Iowa,42,,Florida International,0,
103,2,Sep 6 2008,Sat,Iowa State,48,,Kent State,28,
104,2,Sep 6 2008,Sat,(14) Kansas,29,,Louisiana Tech,0,
105,2,Sep 6 2008,Sat,Kansas State,69,,Montana State,10,
106,2,Sep 6 2008,Sat,Kentucky,38,,Norfolk State,3,
107,2,Sep 6 2008,Sat,Louisville,51,,Tennessee Tech,10,
108,2,Sep 6 2008,Sat,Michigan,16,,Miami (OH),6,
109,2,Sep 6 2008,Sat,Michigan State,42,,Eastern Michigan,10,
110,2,Sep 6 2008,Sat,Middle Tennessee State,24,,Maryland,14,
111,2,Sep 6 2008,Sat,Minnesota,42,@,Bowling Green,17,
112,2,Sep 6 2008,Sat,Mississippi State,34,,Southeastern Louisiana,10,
113,2,Sep 6 2008,Sat,(6) Missouri,52,,Southeast Missouri State,3,
114,2,Sep 6 2008,Sat,Nebraska,35,,San Jose State,12,
115,2,Sep 6 2008,Sat,New Hampshire,28,@,Army,10,
116,2,Sep 6 2008,Sat,North Carolina State,34,,William & Mary,24,
117,2,Sep 6 2008,Sat,Northwestern,24,@,Duke,20,
118,2,Sep 6 2008,Sat,Notre Dame,21,,San Diego State,13,
119,2,Sep 6 2008,Sat,(3) Ohio State,26,,Ohio,14,
120,2,Sep 6 2008,Sat,(4) Oklahoma,52,,Cincinnati,26,
121,2,Sep 6 2008,Sat,Oklahoma State,56,,Houston,37,
122,2,Sep 6 2008,Sat,(18) Oregon,66,,Utah State,24,
123,2,Sep 6 2008,Sat,(19) Penn State,45,,Oregon State,14,
124,2,Sep 6 2008,Sat,Pittsburgh,27,,Buffalo,16,
125,2,Sep 6 2008,Sat,Purdue,42,,Northern Colorado,10,
126,2,Sep 6 2008,Sat,Rice,42,@,Memphis,35,
127,2,Sep 6 2008,Sat,(17) South Florida,31,@,Central Florida,24,
128,2,Sep 6 2008,Sat,Southern Methodist,47,,Texas State,36,
129,2,Sep 6 2008,Sat,(10) Texas,42,@,Texas-El Paso,13,
130,2,Sep 6 2008,Sat,Texas A&M,28,@,New Mexico,22,
131,2,Sep 6 2008,Sat,Texas Christian,67,,Stephen F. Austin,7,
132,2,Sep 6 2008,Sat,(12) Texas Tech,35,@,Nevada,19,
133,2,Sep 6 2008,Sat,Tulsa,56,@,North Texas,26,
134,2,Sep 6 2008,Sat,(22) Utah,42,,Nevada-Las Vegas,21,
135,2,Sep 6 2008,Sat,Virginia,16,,Richmond,0,
136,2,Sep 6 2008,Sat,Virginia Tech,24,,Furman,7,
137,2,Sep 6 2008,Sat,(20) Wake Forest,30,,Mississippi,28,
138,2,Sep 6 2008,Sat,Western Kentucky,37,@,Eastern Kentucky,13,
139,2,Sep 6 2008,Sat,Western Michigan,29,,Northern Illinois,26,
140,2,Sep 6 2008,Sat,(11) Wisconsin,51,,Marshall,14,
141,3,Sep 11 2008,Thu,North Carolina,44,@,Rutgers,12,
142,3,Sep 12 2008,Fri,Baylor,45,,Washington State,17,
143,3,Sep 12 2008,Fri,Louisiana-Monroe,37,,Alabama A&M,15,
144,3,Sep 12 2008,Fri,(19) South Florida,37,,(13) Kansas,34,
145,3,Sep 13 2008,Sat,Air Force,31,@,Houston,28,
146,3,Sep 13 2008,Sat,(11) Alabama,41,,Western Kentucky,7,
147,3,Sep 13 2008,Sat,(9) Auburn,3,@,Mississippi State,2,
148,3,Sep 13 2008,Sat,Ball State,41,@,Akron,24,
149,3,Sep 13 2008,Sat,Boise State,20,,Bowling Green,7,
150,3,Sep 13 2008,Sat,(18) Brigham Young,59,,UCLA,0,
151,3,Sep 13 2008,Sat,Buffalo,30,,Temple,28,
152,3,Sep 13 2008,Sat,Central Michigan,31,@,Ohio,28,
153,3,Sep 13 2008,Sat,Clemson,27,,North Carolina State,9,
154,3,Sep 13 2008,Sat,Connecticut,45,,Virginia,10,
155,3,Sep 13 2008,Sat,Duke,41,,Navy,31,
156,3,Sep 13 2008,Sat,(14) East Carolina,28,@,Tulane,24,
157,3,Sep 13 2008,Sat,Florida State,46,,Chattanooga,7,
158,3,Sep 13 2008,Sat,(2) Georgia,14,@,South Carolina,7,
159,3,Sep 13 2008,Sat,(24) Illinois,20,,Louisiana,17,
160,3,Sep 13 2008,Sat,Iowa,17,,Iowa State,5,
161,3,Sep 13 2008,Sat,Kent State,24,,Delaware State,3,
162,3,Sep 13 2008,Sat,Kentucky,20,,Middle Tennessee State,14,
163,3,Sep 13 2008,Sat,(7) Louisiana State,41,,North Texas,3,
164,3,Sep 13 2008,Sat,Marshall,17,,Memphis,16,
165,3,Sep 13 2008,Sat,Maryland,35,,(23) California,27,
166,3,Sep 13 2008,Sat,Miami (OH),38,,Charleston Southern,27,
167,3,Sep 13 2008,Sat,Michigan State,17,,Florida Atlantic,0,
168,3,Sep 13 2008,Sat,Minnesota,35,,Montana State,23,
169,3,Sep 13 2008,Sat,Mississippi,34,,Samford,10,
170,3,Sep 13 2008,Sat,(6) Missouri,69,,Nevada,17,
171,3,Sep 13 2008,Sat,Nebraska,38,,New Mexico State,7,
172,3,Sep 13 2008,Sat,Nevada-Las Vegas,23,@,(15) Arizona State,20,
173,3,Sep 13 2008,Sat,New Mexico,36,,Arizona,28,
174,3,Sep 13 2008,Sat,Northwestern,33,,Southern Illinois,7,
175,3,Sep 13 2008,Sat,Notre Dame,35,,Michigan,17,
176,3,Sep 13 2008,Sat,(3) Oklahoma,55,@,Washington,14,
177,3,Sep 13 2008,Sat,Oklahoma State,57,,Missouri State,13,
178,3,Sep 13 2008,Sat,(16) Oregon,32,@,Purdue,26,
179,3,Sep 13 2008,Sat,Oregon State,45,,Hawaii,7,
180,3,Sep 13 2008,Sat,(17) Penn State,55,@,Syracuse,13,
181,3,Sep 13 2008,Sat,San Jose State,35,,San Diego State,10,
182,3,Sep 13 2008,Sat,(1) Southern California,35,,(5) Ohio State,3,
183,3,Sep 13 2008,Sat,Southern Mississippi,27,@,Arkansas State,24,
184,3,Sep 13 2008,Sat,Tennessee,35,,Alabama-Birmingham,3,
185,3,Sep 13 2008,Sat,Texas Christian,31,,Stanford,14,
186,3,Sep 13 2008,Sat,(12) Texas Tech,43,,Southern Methodist,7,
187,3,Sep 13 2008,Sat,Toledo,41,@,Eastern Michigan,17,
