--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 23 1997,Sat,Northwestern,24,,Oklahoma,0,
2,1,Aug 24 1997,Sun,(17) Syracuse,34,N,(24) Wisconsin,0,
3,2,Aug 28 1997,Thu,Central Michigan,44,,Northern Illinois,10,
4,2,Aug 28 1997,Thu,Cincinnati,34,,Tulsa,24,
5,2,Aug 28 1997,Thu,Kansas,24,,Alabama-Birmingham,0,
6,2,Aug 28 1997,Thu,Ohio,31,,Kent State,7,
7,2,Aug 28 1997,Thu,(9) Ohio State,24,,Wyoming,10,
8,2,Aug 28 1997,Thu,Western Michigan,34,,Temple,14,
9,2,Aug 30 1997,Sat,Air Force,14,,Idaho,10,
10,2,Aug 30 1997,Sat,(16) Alabama,42,,Houston,17,
11,2,Aug 30 1997,Sat,Arizona State,41,,New Mexico State,10,
12,2,Aug 30 1997,Sat,Cal State Northridge,63,@,Boise State,23,
13,2,Aug 30 1997,Sat,Colorado State,45,,Nevada,13,
14,2,Aug 30 1997,Sat,(2) Florida,21,,Southern Mississippi,6,
15,2,Aug 30 1997,Sat,Fresno State,35,,Portland State,7,
16,2,Aug 30 1997,Sat,Georgia,38,,Arkansas State,7,
17,2,Aug 30 1997,Sat,Hawaii,17,,Minnesota,3,
18,2,Aug 30 1997,Sat,Kentucky,38,,Louisville,24,
19,2,Aug 30 1997,Sat,Louisiana Tech,30,,Bowling Green,23,
20,2,Aug 30 1997,Sat,Louisiana-Monroe,28,,Nicholls State,0,
21,2,Aug 30 1997,Sat,(14) Miami (FL),45,@,Baylor,14,
22,2,Aug 30 1997,Sat,Miami (OH),27,,Ball State,10,
23,2,Aug 30 1997,Sat,Mississippi,24,,Central Florida,23,
24,2,Aug 30 1997,Sat,Mississippi State,13,,Memphis,10,
25,2,Aug 30 1997,Sat,(6) Nebraska,59,,Akron,14,
26,2,Aug 30 1997,Sat,New Mexico,33,,Northern Arizona,10,
27,2,Aug 30 1997,Sat,North Carolina State,32,@,(13) Syracuse,31,
28,2,Aug 30 1997,Sat,Oklahoma State,21,@,Iowa State,14,
29,2,Aug 30 1997,Sat,Pittsburgh,45,,Louisiana,13,
30,2,Aug 30 1997,Sat,(5) Tennessee,52,,Texas Tech,17,
31,2,Aug 30 1997,Sat,Utah State,21,@,Utah,14,
32,2,Aug 30 1997,Sat,Vanderbilt,29,,North Texas,12,
33,2,Aug 30 1997,Sat,Virginia Tech,59,@,Rutgers,19,
34,2,Aug 30 1997,Sat,Washington State,37,,UCLA,34,
35,2,Aug 30 1997,Sat,West Virginia,42,,Marshall,31,
36,3,Sep 4 1997,Thu,(16) Auburn,28,@,Virginia,17,
37,3,Sep 4 1997,Thu,Oregon,16,,Arizona,9,
38,3,Sep 5 1997,Fri,San Diego State,45,,Navy,31,
39,3,Sep 6 1997,Sat,Air Force,41,@,Rice,12,
40,3,Sep 6 1997,Sat,Arkansas,28,,Louisiana-Monroe,16,
41,3,Sep 6 1997,Sat,Ball State,24,,James Madison,6,
42,3,Sep 6 1997,Sat,Baylor,37,@,Fresno State,35,
43,3,Sep 6 1997,Sat,Bowling Green,28,,Miami (OH),21,
44,3,Sep 6 1997,Sat,California,35,@,Houston,3,
45,3,Sep 6 1997,Sat,(18) Clemson,23,,Appalachian State,12,
46,3,Sep 6 1997,Sat,(8) Colorado,31,,(24) Colorado State,21,
47,3,Sep 6 1997,Sat,(2) Florida,82,,Central Michigan,6,
48,3,Sep 6 1997,Sat,(5) Florida State,14,@,(23) Southern California,7,
49,3,Sep 6 1997,Sat,Hawaii,34,,Cal State Northridge,21,
50,3,Sep 6 1997,Sat,Idaho,46,,Portland State,0,
51,3,Sep 6 1997,Sat,(20) Iowa,66,,Northern Iowa,0,
52,3,Sep 6 1997,Sat,Kansas,17,,Texas Christian,10,
53,3,Sep 6 1997,Sat,(21) Kansas State,47,@,Northern Illinois,7,
54,3,Sep 6 1997,Sat,(10) Louisiana State,55,,Texas-El Paso,3,
55,3,Sep 6 1997,Sat,Marshall,35,@,Army,25,
56,3,Sep 6 1997,Sat,Memphis,28,,Alabama-Birmingham,7,
57,3,Sep 6 1997,Sat,(25) Michigan State,42,,Western Michigan,10,
58,3,Sep 6 1997,Sat,Mississippi,23,,Southern Methodist,15,
59,3,Sep 6 1997,Sat,Mississippi State,35,,Kentucky,27,
60,3,Sep 6 1997,Sat,Missouri,44,,Eastern Michigan,24,
61,3,Sep 6 1997,Sat,Nevada,31,,Nevada-Las Vegas,14,
62,3,Sep 6 1997,Sat,New Mexico,61,,New Mexico State,24,
63,3,Sep 6 1997,Sat,(7) North Carolina,23,,Indiana,6,
64,3,Sep 6 1997,Sat,North Carolina State,45,@,Duke,14,
65,3,Sep 6 1997,Sat,(11) Notre Dame,17,,Georgia Tech,13,
66,3,Sep 6 1997,Sat,Ohio,21,@,Maryland,14,
67,3,Sep 6 1997,Sat,Oklahoma,36,,Syracuse,34,
68,3,Sep 6 1997,Sat,Oklahoma State,31,@,Louisiana,7,
69,3,Sep 6 1997,Sat,Oregon State,33,,North Texas,7,
70,3,Sep 6 1997,Sat,(1) Penn State,34,,Pittsburgh,17,
71,3,Sep 6 1997,Sat,South Carolina,33,,Central Florida,31,
72,3,Sep 6 1997,Sat,Southern Mississippi,24,@,Illinois,7,
73,3,Sep 6 1997,Sat,(17) Stanford,28,,San Jose State,12,
74,3,Sep 6 1997,Sat,Temple,28,,Boston College,21,
75,3,Sep 6 1997,Sat,(3) Tennessee,30,@,UCLA,24,
76,3,Sep 6 1997,Sat,(12) Texas,48,,Rutgers,14,
77,3,Sep 6 1997,Sat,Texas A&M,59,,Sam Houston,6,
78,3,Sep 6 1997,Sat,Toledo,36,,Purdue,22,
79,3,Sep 6 1997,Sat,Tulane,31,,Cincinnati,17,
80,3,Sep 6 1997,Sat,Utah,27,@,Louisville,21,
81,3,Sep 6 1997,Sat,Utah State,41,,Idaho State,7,
82,3,Sep 6 1997,Sat,Wake Forest,27,,(21) Northwestern,20,
83,3,Sep 6 1997,Sat,(4) Washington,42,@,(19) Brigham Young,20,
84,3,Sep 6 1997,Sat,West Virginia,24,,East Carolina,17,
85,3,Sep 6 1997,Sat,Wisconsin,28,,Boise State,24,
86,3,Sep 6 1997,Sat,Wyoming,56,,Iowa State,10,
87,3,Sep 6 1997,Sat,Youngstown State,44,,Kent State,23,
88,4,Sep 11 1997,Thu,(15) Alabama,20,@,Vanderbilt,0,
89,4,Sep 13 1997,Sat,Air Force,25,,Nevada-Las Vegas,24,
90,4,Sep 13 1997,Sat,Arizona,24,,Alabama-Birmingham,10,
91,4,Sep 13 1997,Sat,(24) Arizona State,23,@,(13) Miami (FL),12,
92,4,Sep 13 1997,Sat,Arkansas State,36,,Central Arkansas,35,
93,4,Sep 13 1997,Sat,Army,41,,Lafayette,14,
94,4,Sep 13 1997,Sat,(16) Auburn,19,,Mississippi,9,
95,4,Sep 13 1997,Sat,Boston College,31,,West Virginia,24,
96,4,Sep 13 1997,Sat,Central Michigan,44,,Boise State,26,
97,4,Sep 13 1997,Sat,(19) Clemson,19,@,North Carolina State,17,
98,4,Sep 13 1997,Sat,(25) Colorado State,35,@,Utah State,24,
99,4,Sep 13 1997,Sat,East Carolina,25,,Wake Forest,24,
100,4,Sep 13 1997,Sat,(5) Florida State,50,,Maryland,7,
101,4,Sep 13 1997,Sat,Georgia,31,,South Carolina,15,
102,4,Sep 13 1997,Sat,Idaho,43,@,Idaho State,0,
103,4,Sep 13 1997,Sat,Indiana,33,,Ball State,6,
104,4,Sep 13 1997,Sat,(18) Iowa,54,,Tulsa,16,
105,4,Sep 13 1997,Sat,Kansas,15,,Missouri,7,
106,4,Sep 13 1997,Sat,(20) Kansas State,23,,Ohio,20,
107,4,Sep 13 1997,Sat,(10) Louisiana State,24,@,Mississippi State,9,
108,4,Sep 13 1997,Sat,Louisiana Tech,17,,Louisiana-Monroe,16,
109,4,Sep 13 1997,Sat,Louisville,26,,Illinois,14,
110,4,Sep 13 1997,Sat,Marshall,42,@,Kent State,17,
111,4,Sep 13 1997,Sat,Miami (OH),49,,Akron,20,
112,4,Sep 13 1997,Sat,(14) Michigan,27,,(8) Colorado,3,
113,4,Sep 13 1997,Sat,(21) Michigan State,51,,Memphis,21,
114,4,Sep 13 1997,Sat,Minnesota,53,,Iowa State,29,
115,4,Sep 13 1997,Sat,Navy,36,,Rutgers,7,
116,4,Sep 13 1997,Sat,(6) Nebraska,38,,Central Florida,24,
117,4,Sep 13 1997,Sat,New Mexico,38,@,Texas-El Paso,20,
118,4,Sep 13 1997,Sat,New Mexico State,28,,Cal State Northridge,18,
119,4,Sep 13 1997,Sat,(7) North Carolina,28,,(17) Stanford,17,
120,4,Sep 13 1997,Sat,North Texas,41,,Indiana State,6,
121,4,Sep 13 1997,Sat,Northwestern,24,,Duke,20,
122,4,Sep 13 1997,Sat,(9) Ohio State,44,,Bowling Green,13,
123,4,Sep 13 1997,Sat,Oklahoma State,35,,Fresno State,0,
124,4,Sep 13 1997,Sat,Oregon,24,@,Nevada,20,
125,4,Sep 13 1997,Sat,(1) Penn State,52,,Temple,10,
126,4,Sep 13 1997,Sat,Pittsburgh,35,@,Houston,24,
127,4,Sep 13 1997,Sat,Purdue,28,,(12) Notre Dame,17,
128,4,Sep 13 1997,Sat,Rice,30,@,Tulane,24,
129,4,Sep 13 1997,Sat,Southern Methodist,31,N,Arkansas,9,
130,4,Sep 13 1997,Sat,Texas Tech,59,,Louisiana,14,
131,4,Sep 13 1997,Sat,Toledo,38,,Eastern Michigan,35,
132,4,Sep 13 1997,Sat,UCLA,66,@,(11) Texas,3,
133,4,Sep 13 1997,Sat,Utah,32,@,Texas Christian,18,
134,4,Sep 13 1997,Sat,Virginia,26,,Richmond,7,
135,4,Sep 13 1997,Sat,(22) Virginia Tech,31,,Syracuse,3,
136,4,Sep 13 1997,Sat,(3) Washington,36,,San Diego State,3,
137,4,Sep 13 1997,Sat,Washington State,28,@,(23) Southern California,21,
138,4,Sep 13 1997,Sat,Western Michigan,21,@,Northern Illinois,13,
139,4,Sep 13 1997,Sat,Wisconsin,56,@,San Jose State,10,
140,4,Sep 13 1997,Sat,Wyoming,35,@,Hawaii,6,
141,5,Sep 18 1997,Thu,Pittsburgh,21,,(22) Miami (FL),17,
142,5,Sep 20 1997,Sat,Air Force,24,@,(23) Colorado State,0,
