--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 28 1999,Sat,(1) Florida State,41,,Louisiana Tech,7,
2,1,Aug 28 1999,Sat,North Carolina State,23,@,(17) Texas,20,
3,1,Aug 28 1999,Sat,(18) Notre Dame,48,,Kansas,13,
4,1,Aug 28 1999,Sat,(3) Penn State,41,,(4) Arizona,7,
5,1,Aug 29 1999,Sun,(12) Miami (FL),23,N,(9) Ohio State,12,
6,2,Sep 2 1999,Thu,Central Michigan,33,,Eastern Illinois,17,
7,2,Sep 2 1999,Thu,Idaho,48,N,Eastern Washington,21,
8,2,Sep 2 1999,Thu,Iowa State,33,,Indiana State,7,
9,2,Sep 2 1999,Thu,Maryland,6,@,Temple,0,
10,2,Sep 2 1999,Thu,Michigan State,27,,Oregon,20,
11,2,Sep 2 1999,Thu,Nevada-Las Vegas,26,@,North Texas,3,
12,2,Sep 2 1999,Thu,New Mexico State,73,,New Mexico Highlands,7,
13,2,Sep 2 1999,Thu,Syracuse,35,@,Toledo,12,
14,2,Sep 2 1999,Thu,Western Illinois,27,@,Northern Illinois,21,
15,2,Sep 4 1999,Sat,Air Force,37,,Villanova,13,
16,2,Sep 4 1999,Sat,(20) Alabama,28,@,Vanderbilt,17,
17,2,Sep 4 1999,Sat,(18) Arkansas,26,@,Southern Methodist,0,
18,2,Sep 4 1999,Sat,Auburn,22,,Appalachian State,15,
19,2,Sep 4 1999,Sat,Boston College,30,,Baylor,29,
20,2,Sep 4 1999,Sat,California,21,,Rutgers,7,
21,2,Sep 4 1999,Sat,Cincinnati,41,,Kent State,3,
22,2,Sep 4 1999,Sat,Colorado State,41,N,(14) Colorado,14,
23,2,Sep 4 1999,Sat,East Carolina,30,N,West Virginia,23,
24,2,Sep 4 1999,Sat,(4) Florida,55,,Western Michigan,26,
25,2,Sep 4 1999,Sat,Fresno State,34,,Portland State,6,
26,2,Sep 4 1999,Sat,(12) Georgia,38,,Utah State,7,
27,2,Sep 4 1999,Sat,(10) Georgia Tech,49,@,Navy,14,
28,2,Sep 4 1999,Sat,Houston,28,,Rice,3,
29,2,Sep 4 1999,Sat,Illinois,41,,Arkansas State,3,
30,2,Sep 4 1999,Sat,Indiana,21,,Ball State,9,
31,2,Sep 4 1999,Sat,Louisiana State,29,,San Jose State,21,
32,2,Sep 4 1999,Sat,Louisiana-Monroe,27,,Nicholls State,10,
33,2,Sep 4 1999,Sat,Louisville,56,@,Kentucky,28,
34,2,Sep 4 1999,Sat,Marshall,13,@,Clemson,10,
35,2,Sep 4 1999,Sat,(8) Miami (FL),57,,Florida A&M,3,
36,2,Sep 4 1999,Sat,Miami (OH),28,@,Northwestern,3,
37,2,Sep 4 1999,Sat,(7) Michigan,26,,(16) Notre Dame,22,
38,2,Sep 4 1999,Sat,Minnesota,33,,Ohio,7,
39,2,Sep 4 1999,Sat,Mississippi,3,@,Memphis,0,
40,2,Sep 4 1999,Sat,Mississippi State,40,,Middle Tennessee State,7,
41,2,Sep 4 1999,Sat,Missouri,31,,Alabama-Birmingham,28,
42,2,Sep 4 1999,Sat,(5) Nebraska,42,@,Iowa,7,
43,2,Sep 4 1999,Sat,(24) North Carolina State,10,,South Carolina,0,
44,2,Sep 4 1999,Sat,Oklahoma State,24,,Louisiana,7,
45,2,Sep 4 1999,Sat,Oregon State,28,@,Nevada,13,
46,2,Sep 4 1999,Sat,(2) Penn State,70,,Akron,24,
47,2,Sep 4 1999,Sat,Pittsburgh,30,,Bowling Green,10,
48,2,Sep 4 1999,Sat,(22) Purdue,47,@,Central Florida,13,
49,2,Sep 4 1999,Sat,San Diego State,41,,South Florida,12,
50,2,Sep 4 1999,Sat,(21) Southern California,62,@,Hawaii,7,
51,2,Sep 4 1999,Sat,(3) Tennessee,42,,Wyoming,17,
52,2,Sep 4 1999,Sat,Texas,69,,Stanford,17,
53,2,Sep 4 1999,Sat,(6) Texas A&M,37,@,Louisiana Tech,17,
54,2,Sep 4 1999,Sat,Texas-El Paso,13,,New Mexico,10,
55,2,Sep 4 1999,Sat,Tulsa,45,,Missouri State,21,
56,2,Sep 4 1999,Sat,(17) UCLA,38,,Boise State,7,
57,2,Sep 4 1999,Sat,Utah,27,@,Washington State,7,
58,2,Sep 4 1999,Sat,(23) Virginia,20,@,North Carolina,17,
59,2,Sep 4 1999,Sat,(11) Virginia Tech,47,,James Madison,0,
60,2,Sep 4 1999,Sat,(9) Wisconsin,49,,Murray State,10,
61,2,Sep 5 1999,Sun,(15) Arizona,35,@,Texas Christian,31,
62,2,Sep 6 1999,Mon,(25) Arizona State,31,,Texas Tech,13,
63,2,Sep 6 1999,Mon,Southern Mississippi,48,,Tulane,14,
64,3,Sep 9 1999,Thu,Brigham Young,35,,Washington,28,
65,3,Sep 11 1999,Sat,Akron,17,@,Buffalo,10,
66,3,Sep 11 1999,Sat,(21) Alabama,37,,Houston,10,
67,3,Sep 11 1999,Sat,(19) Arizona,34,,Middle Tennessee State,19,
68,3,Sep 11 1999,Sat,Auburn,30,,Idaho,23,
69,3,Sep 11 1999,Sat,Boise State,35,,Southern Utah,27,
70,3,Sep 11 1999,Sat,Bowling Green,40,,Tennessee Tech,15,
71,3,Sep 11 1999,Sat,Clemson,33,,(22) Virginia,14,
72,3,Sep 11 1999,Sat,Colorado,63,,San Jose State,35,
73,3,Sep 11 1999,Sat,(24) Colorado State,38,,Nevada,33,
74,3,Sep 11 1999,Sat,East Carolina,27,,Duke,9,
75,3,Sep 11 1999,Sat,(4) Florida,58,,Central Florida,27,
76,3,Sep 11 1999,Sat,(1) Florida State,41,,(10) Georgia Tech,35,
77,3,Sep 11 1999,Sat,(12) Georgia,24,,South Carolina,9,
78,3,Sep 11 1999,Sat,Hawaii,31,,Eastern Illinois,27,
79,3,Sep 11 1999,Sat,Illinois,38,,San Diego State,10,
80,3,Sep 11 1999,Sat,Iowa State,17,,Iowa,10,
81,3,Sep 11 1999,Sat,Kansas,71,,Cal State Northridge,14,
82,3,Sep 11 1999,Sat,(17) Kansas State,40,,Temple,0,
83,3,Sep 11 1999,Sat,Kentucky,45,,Connecticut,14,
84,3,Sep 11 1999,Sat,Louisiana State,52,,North Texas,0,
85,3,Sep 11 1999,Sat,Louisiana Tech,55,,Sam Houston,17,
86,3,Sep 11 1999,Sat,Louisville,58,,Chattanooga,30,
87,3,Sep 11 1999,Sat,Marshall,63,,Liberty,3,
88,3,Sep 11 1999,Sat,Maryland,51,,Western Carolina,10,
89,3,Sep 11 1999,Sat,(6) Michigan,37,,Rice,3,
90,3,Sep 11 1999,Sat,Michigan State,51,,Eastern Michigan,7,
91,3,Sep 11 1999,Sat,Minnesota,35,,Louisiana-Monroe,0,
92,3,Sep 11 1999,Sat,Mississippi,38,,Arkansas State,14,
93,3,Sep 11 1999,Sat,Mississippi State,13,,Memphis,10,
94,3,Sep 11 1999,Sat,Navy,48,@,Kent State,28,
95,3,Sep 11 1999,Sat,(5) Nebraska,45,,California,0,
96,3,Sep 11 1999,Sat,Nevada-Las Vegas,27,@,Baylor,24,
97,3,Sep 11 1999,Sat,New Mexico State,35,@,New Mexico,28,
98,3,Sep 11 1999,Sat,North Carolina,42,@,Indiana,30,
99,3,Sep 11 1999,Sat,(23) North Carolina State,38,,William & Mary,9,
100,3,Sep 11 1999,Sat,Northern Iowa,36,@,Ohio,21,
101,3,Sep 11 1999,Sat,Northwestern,17,,Texas Christian,7,
102,3,Sep 11 1999,Sat,(13) Ohio State,42,,(14) UCLA,20,
103,3,Sep 11 1999,Sat,Oklahoma,49,,Indiana State,0,
104,3,Sep 11 1999,Sat,Oklahoma State,46,,Tulsa,9,
105,3,Sep 11 1999,Sat,Oregon,47,,Texas-El Paso,28,
106,3,Sep 11 1999,Sat,Oregon State,46,,Fresno State,23,
107,3,Sep 11 1999,Sat,(2) Penn State,20,,Pittsburgh,17,
108,3,Sep 11 1999,Sat,(20) Purdue,28,,(16) Notre Dame,23,
109,3,Sep 11 1999,Sat,Southern Mississippi,40,,Northwestern State,6,
110,3,Sep 11 1999,Sat,Stanford,54,,Washington State,17,
111,3,Sep 11 1999,Sat,Syracuse,47,,Central Michigan,7,
112,3,Sep 11 1999,Sat,Texas,38,@,Rutgers,21,
113,3,Sep 11 1999,Sat,Texas Tech,38,@,Louisiana,17,
114,3,Sep 11 1999,Sat,Troy,31,@,Cincinnati,24,
115,3,Sep 11 1999,Sat,Tulane,53,,Southern Methodist,19,
116,3,Sep 11 1999,Sat,Utah State,51,,Stephen F. Austin,17,
117,3,Sep 11 1999,Sat,Vanderbilt,34,,Northern Illinois,31,
118,3,Sep 11 1999,Sat,(11) Virginia Tech,31,,Alabama-Birmingham,10,
119,3,Sep 11 1999,Sat,Wake Forest,34,@,Army,15,
120,3,Sep 11 1999,Sat,West Virginia,43,,Miami (OH),27,
121,3,Sep 11 1999,Sat,Western Michigan,46,,Youngstown State,28,
122,3,Sep 11 1999,Sat,(9) Wisconsin,50,,Ball State,10,
123,3,Sep 11 1999,Sat,Wyoming,41,,Weber State,16,
124,4,Sep 16 1999,Thu,(25) Brigham Young,34,,(23) Colorado State,13,
125,4,Sep 18 1999,Sat,Air Force,31,@,Washington,21,
126,4,Sep 18 1999,Sat,Akron,25,,Temple,15,
127,4,Sep 18 1999,Sat,(15) Arkansas,44,,Louisiana-Monroe,6,
128,4,Sep 18 1999,Sat,Auburn,41,@,Louisiana State,7,
129,4,Sep 18 1999,Sat,Boston College,14,@,Navy,10,
130,4,Sep 18 1999,Sat,Cincinnati,17,,(9) Wisconsin,12,
131,4,Sep 18 1999,Sat,Colorado,51,,Kansas,17,
132,4,Sep 18 1999,Sat,Connecticut,23,,Buffalo,0,
133,4,Sep 18 1999,Sat,East Carolina,21,@,South Carolina,3,
134,4,Sep 18 1999,Sat,(4) Florida,23,,(2) Tennessee,21,
135,4,Sep 18 1999,Sat,(1) Florida State,42,,(20) North Carolina State,11,
136,4,Sep 18 1999,Sat,(12) Georgia Tech,41,,Central Florida,10,
137,4,Sep 18 1999,Sat,Hawaii,34,,Boise State,19,
138,4,Sep 18 1999,Sat,Houston,45,,Louisiana,0,
139,4,Sep 18 1999,Sat,Idaho,28,N,Washington State,17,
140,4,Sep 18 1999,Sat,Illinois,41,@,Louisville,36,
141,4,Sep 18 1999,Sat,Iowa,24,,Northern Illinois,0,
142,4,Sep 18 1999,Sat,Iowa State,24,@,Nevada-Las Vegas,0,
143,4,Sep 18 1999,Sat,(16) Kansas State,40,,Texas-El Paso,7,
144,4,Sep 18 1999,Sat,Kentucky,44,@,Indiana,35,
145,4,Sep 18 1999,Sat,Louisiana Tech,29,@,(18) Alabama,28,
146,4,Sep 18 1999,Sat,Marshall,35,,Bowling Green,16,
147,4,Sep 18 1999,Sat,Maryland,33,,West Virginia,0,
148,4,Sep 18 1999,Sat,Memphis,31,,Arkansas State,26,
149,4,Sep 18 1999,Sat,Miami (OH),35,,Eastern Michigan,14,
150,4,Sep 18 1999,Sat,(6) Michigan,18,@,Syracuse,13,
151,4,Sep 18 1999,Sat,Michigan State,23,@,(24) Notre Dame,13,
152,4,Sep 18 1999,Sat,Middle Tennessee State,52,,Wofford,42,
153,4,Sep 18 1999,Sat,Minnesota,55,,Illinois State,7,
154,4,Sep 18 1999,Sat,Mississippi State,29,,Oklahoma State,11,
155,4,Sep 18 1999,Sat,Missouri,48,,Western Michigan,34,
156,4,Sep 18 1999,Sat,(4) Nebraska,20,,Southern Mississippi,13,
157,4,Sep 18 1999,Sat,New Mexico,45,,Northern Arizona,14,
158,4,Sep 18 1999,Sat,New Mexico State,35,@,(22) Arizona State,7,
159,4,Sep 18 1999,Sat,North Texas,21,@,Texas Tech,14,
160,4,Sep 18 1999,Sat,Northwestern,15,@,Duke,12,
161,4,Sep 18 1999,Sat,(13) Ohio State,40,,Ohio,16,
162,4,Sep 18 1999,Sat,Oklahoma,41,,Baylor,10,
163,4,Sep 18 1999,Sat,Oregon,72,,Nevada,10,
164,4,Sep 18 1999,Sat,Oregon State,48,,Georgia Southern,41,
165,4,Sep 18 1999,Sat,(3) Penn State,27,@,(8) Miami (FL),23,
166,4,Sep 18 1999,Sat,Pittsburgh,30,,Kent State,23,
167,4,Sep 18 1999,Sat,(14) Purdue,58,,Central Michigan,16,
168,4,Sep 18 1999,Sat,San Jose State,38,,Saint Mary's (CA),3,
169,4,Sep 18 1999,Sat,(17) Southern California,24,,San Diego State,21,
170,4,Sep 18 1999,Sat,Stanford,50,@,(19) Arizona,22,
171,4,Sep 18 1999,Sat,Texas,18,,Rice,13,
172,4,Sep 18 1999,Sat,(7) Texas A&M,62,,Tulsa,13,
173,4,Sep 18 1999,Sat,Toledo,23,@,Ball State,10,
