--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
36,2,Aug 31 2019,3:30 PM,Sat,Eastern Michigan,30,@,Coastal Carolina,23,Brooks Stadium - Conway South Carolina
37,2,Aug 31 2019,7:30 PM,Sat,(3) Georgia,30,@,Vanderbilt,6,Vanderbilt Stadium - Nashville Tennessee
38,2,Aug 31 2019,3:30 PM,Sat,Georgia State,38,@,Tennessee,30,Neyland Stadium - Knoxville Tennessee
39,2,Aug 31 2019,12:00 PM,Sat,Illinois,42,,Akron,3,Memorial Stadium - Champaign Illinois
40,2,Aug 31 2019,12:00 PM,Sat,Indiana,34,N,Ball State,24,Lucas Oil Stadium - Indianapolis Indiana
41,2,Aug 31 2019,7:30 PM,Sat,(20) Iowa,38,,Miami (OH),14,Kinnick Stadium - Iowa City Iowa
42,2,Aug 31 2019,12:00 PM,Sat,(21) Iowa State,29,,Northern Iowa,26,Jack Trice Stadium - Ames Iowa
43,2,Aug 31 2019,12:00 PM,Sat,Kansas,24,,Indiana State,17,David Booth Kansas Memorial Stadium - Lawrence Kansas
44,2,Aug 31 2019,7:00 PM,Sat,Kansas State,49,,Nicholls State,14,Bill Snyder Family Stadium - Manhattan Kansas
45,2,Aug 31 2019,12:00 PM,Sat,Kentucky,38,,Toledo,24,Kroger Field - Lexington Kentucky
46,2,Aug 31 2019,7:30 PM,Sat,(6) Louisiana State,55,,Georgia Southern,3,Tiger Stadium - Baton Rouge Louisiana
47,2,Aug 31 2019,8:00 PM,Sat,Louisiana-Monroe,31,,Grambling State,9,Malone Stadium - Monroe Louisiana
48,2,Aug 31 2019,6:30 PM,Sat,Marshall,56,,Virginia Military Institute,17,Joan C. Edwards Stadium - Huntington West Virginia
49,2,Aug 31 2019,12:00 PM,Sat,Maryland,79,,Howard,0,Capital One Field at Maryland Stadium - College Park Maryland
50,2,Aug 31 2019,12:00 PM,Sat,Memphis,15,,Mississippi,10,Liberty Bowl Memorial Stadium - Memphis Tennessee
51,2,Aug 31 2019,7:30 PM,Sat,(7) Michigan,40,,Middle Tennessee State,21,Michigan Stadium - Ann Arbor Michigan
52,2,Aug 31 2019,12:00 PM,Sat,Mississippi State,38,N,Louisiana,28,Mercedes-Benz Superdome - New Orleans Louisiana
53,2,Aug 31 2019,3:30 PM,Sat,Navy,45,,Holy Cross,7,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
54,2,Aug 31 2019,12:00 PM,Sat,(24) Nebraska,35,,South Alabama,21,Memorial Stadium - Lincoln Nebraska
55,2,Aug 31 2019,10:00 PM,Sat,Nevada-Las Vegas,56,,Southern Utah,23,Sam Boyd Stadium - Las Vegas Nevada
56,2,Aug 31 2019,6:00 PM,Sat,New Mexico,39,,Sam Houston,31,Dreamstyle Stadium - Albuquerque New Mexico
57,2,Aug 31 2019,3:30 PM,Sat,North Carolina,24,N,South Carolina,20,Bank of America Stadium - Charlotte North Carolina
58,2,Aug 31 2019,12:00 PM,Sat,North Carolina State,34,,East Carolina,6,Carter-Finley Stadium - Raleigh North Carolina
59,2,Aug 31 2019,7:30 PM,Sat,North Texas,51,,Abilene Christian,31,Apogee Stadium - Denton Texas
60,2,Aug 31 2019,7:00 PM,Sat,Northern Illinois,24,,Illinois State,10,Huskie Stadium - DeKalb Illinois
61,2,Aug 31 2019,2:00 PM,Sat,Ohio,41,,Rhode Island,20,Peden Stadium - Athens Ohio
62,2,Aug 31 2019,12:00 PM,Sat,(5) Ohio State,45,,Florida Atlantic,21,Ohio Stadium - Columbus Ohio
63,2,Aug 31 2019,7:00 PM,Sat,Old Dominion,24,,Norfolk State,21,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
64,2,Aug 31 2019,3:30 PM,Sat,(15) Penn State,79,,Idaho,7,Beaver Stadium - University Park Pennsylvania
65,2,Aug 31 2019,9:00 PM,Sat,San Diego State,6,,Weber State,0,SDCCU Stadium - San Diego California
66,2,Aug 31 2019,10:30 PM,Sat,Southern California,31,,Fresno State,23,Los Angeles Memorial Coliseum - Los Angeles California
67,2,Aug 31 2019,7:00 PM,Sat,Southern Methodist,37,@,Arkansas State,30,Centennial Bank Stadium - Jonesboro Arkansas
68,2,Aug 31 2019,7:00 PM,Sat,Southern Mississippi,38,,Alcorn State,10,M. M. Roberts Stadium - Hattiesburg Mississippi
69,2,Aug 31 2019,4:00 PM,Sat,(25) Stanford,17,,Northwestern,7,Stanford Stadium - Stanford California
70,2,Aug 31 2019,6:00 PM,Sat,(22) Syracuse,24,@,Liberty,0,Williams Stadium - Lynchburg Virginia
71,2,Aug 31 2019,3:00 PM,Sat,Temple,56,,Bucknell,12,Lincoln Financial Field - Philadelphia Pennsylvania
72,2,Aug 31 2019,8:00 PM,Sat,(10) Texas,45,,Louisiana Tech,14,Darrell K Royal-Texas Memorial Stadium - Austin Texas
73,2,Aug 31 2019,8:00 PM,Sat,Texas Christian,39,,Arkansas-Pine Bluff,7,Amon G. Carter Stadium - Fort Worth Texas
74,2,Aug 31 2019,4:00 PM,Sat,Texas Tech,45,,Montana State,10,Jones AT&T Stadium - Lubbock Texas
75,2,Aug 31 2019,8:00 PM,Sat,Texas-El Paso,36,,Houston Baptist,34,Sun Bowl - El Paso Texas
76,2,Aug 31 2019,6:00 PM,Sat,Texas-San Antonio,35,,Incarnate Word,7,Alamodome - San Antonio Texas
77,2,Aug 31 2019,6:00 PM,Sat,Troy,43,,Campbell,14,Veterans Memorial Stadium - Troy Alabama
78,2,Aug 31 2019,7:30 PM,Sat,Virginia,30,@,Pittsburgh,14,Heinz Field - Pittsburgh Pennsylvania
79,2,Aug 31 2019,3:00 PM,Sat,(13) Washington,47,,Eastern Washington,14,Husky Stadium - Seattle Washington
80,2,Aug 31 2019,10:00 PM,Sat,(23) Washington State,58,,New Mexico State,7,Martin Stadium - Pullman Washington
81,2,Aug 31 2019,2:00 PM,Sat,West Virginia,20,,James Madison,13,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
82,2,Aug 31 2019,7:00 PM,Sat,Western Michigan,48,,Monmouth,13,Waldo Stadium - Kalamazoo Michigan
83,2,Aug 31 2019,7:30 PM,Sat,Wyoming,37,,Missouri,31,Jonah Field War Memorial Stadium - Laramie Wyoming
84,2,Sep 1 2019,7:30 PM,Sun,(4) Oklahoma,49,,Houston,31,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
85,2,Sep 2 2019,8:00 PM,Mon,(9) Notre Dame,35,@,Louisville,17,Cardinal Stadium - Louisville Kentucky
86,3,Sep 6 2019,10:00 PM,Fri,Arizona State,19,,Sacramento State,7,Sun Devil Stadium - Tempe Arizona
87,3,Sep 6 2019,9:00 PM,Fri,(24) Boise State,14,,Marshall,7,Albertsons Stadium - Boise Idaho
88,3,Sep 6 2019,8:00 PM,Fri,Virginia,52,,William & Mary,17,Scott Stadium - Charlottesville Virginia
89,3,Sep 6 2019,8:00 PM,Fri,Wake Forest,41,@,Rice,21,Rice Stadium - Houston Texas
90,3,Sep 7 2019,4:00 PM,Sat,(2) Alabama,62,,New Mexico State,10,Bryant-Denny Stadium - Tuscaloosa Alabama
91,3,Sep 7 2019,12:00 PM,Sat,Alabama-Birmingham,31,@,Akron,20,InfoCision Stadium - Akron Ohio
92,3,Sep 7 2019,3:30 PM,Sat,Appalachian State,56,,Charlotte,41,Kidd Brewer Stadium - Boone North Carolina
93,3,Sep 7 2019,10:45 PM,Sat,Arizona,65,,Northern Arizona,41,Arizona Stadium - Tucson Arizona
94,3,Sep 7 2019,10:00 PM,Sat,Arkansas State,43,@,Nevada-Las Vegas,17,Sam Boyd Stadium - Las Vegas Nevada
95,3,Sep 7 2019,7:30 PM,Sat,(10) Auburn,24,,Tulane,6,Jordan-Hare Stadium - Auburn Alabama
96,3,Sep 7 2019,2:00 PM,Sat,Ball State,57,,Fordham,29,Scheumann Stadium - Muncie Indiana
97,3,Sep 7 2019,4:00 PM,Sat,Baylor,63,,Texas-San Antonio,14,McLane Stadium - Waco Texas
98,3,Sep 7 2019,3:30 PM,Sat,Boston College,45,,Richmond,13,Alumni Stadium - Chestnut Hill Massachusetts
99,3,Sep 7 2019,11:00 PM,Sat,Brigham Young,29,@,Tennessee,26,Neyland Stadium - Knoxville Tennessee
100,3,Sep 7 2019,10:30 PM,Sat,California,20,@,(14) Washington,19,Husky Stadium - Seattle Washington
101,3,Sep 7 2019,7:00 PM,Sat,(18) Central Florida,48,@,Florida Atlantic,14,FAU Football Stadium - Boca Raton Florida
102,3,Sep 7 2019,3:30 PM,Sat,(1) Clemson,24,,(12) Texas A&M,10,Clemson Memorial Stadium - Clemson South Carolina
103,3,Sep 7 2019,,Sat,Coastal Carolina,12,@,Kansas,7,David Booth Kansas Memorial Stadium - Lawrence Kansas
104,3,Sep 7 2019,3:30 PM,Sat,Colorado,34,,(25) Nebraska,31,Folsom Field - Boulder Colorado
105,3,Sep 7 2019,4:00 PM,Sat,Colorado State,38,,Western Illinois,13,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
106,3,Sep 7 2019,6:00 PM,Sat,Duke,45,,North Carolina A&T,13,Wallace Wade Stadium - Durham North Carolina
107,3,Sep 7 2019,6:00 PM,Sat,East Carolina,48,,Gardner-Webb,9,Dowdy-Ficklen Stadium - Greenville North Carolina
108,3,Sep 7 2019,7:30 PM,Sat,(11) Florida,45,,Tennessee-Martin,0,Ben Hill Griffin Stadium - Gainesville Florida
109,3,Sep 7 2019,5:00 PM,Sat,Florida State,45,,Louisiana-Monroe,44,Doak Campbell Stadium - Tallahassee Florida
110,3,Sep 7 2019,4:00 PM,Sat,(3) Georgia,63,,Murray State,17,Sanford Stadium - Athens Georgia
111,3,Sep 7 2019,6:00 PM,Sat,Georgia Southern,26,,Maine,18,Allen E. Paulson Stadium - Statesboro Georgia
112,3,Sep 7 2019,7:00 PM,Sat,Georgia State,48,,Furman,42,Georgia State Stadium - Atlanta Georgia
113,3,Sep 7 2019,,Sat,Georgia Tech,14,,South Florida,10,Bobby Dodd Stadium - Atlanta Georgia
114,3,Sep 7 2019,12:00 AM,Sat,Hawaii,31,,Oregon State,28,Aloha Stadium - Honolulu Hawaii
115,3,Sep 7 2019,8:00 PM,Sat,Houston,37,,Prairie View A&M,17,TDECU Stadium - Houston Texas
116,3,Sep 7 2019,3:30 PM,Sat,Illinois,31,@,Connecticut,23,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
117,3,Sep 7 2019,3:30 PM,Sat,Indiana,52,,Eastern Illinois,0,Memorial Stadium "The Rock" - Bloomington Indiana
118,3,Sep 7 2019,12:00 PM,Sat,(20) Iowa,30,,Rutgers,0,Kinnick Stadium - Iowa City Iowa
119,3,Sep 7 2019,12:00 PM,Sat,Kansas State,52,,Bowling Green,0,Bill Snyder Family Stadium - Manhattan Kansas
120,3,Sep 7 2019,12:00 PM,Sat,Kent State,26,,Kennesaw State,23,Dix Stadium - Kent Ohio
121,3,Sep 7 2019,7:30 PM,Sat,Kentucky,38,,Eastern Michigan,17,Kroger Field - Lexington Kentucky
122,3,Sep 7 2019,7:30 PM,Sat,Louisiana,35,,Liberty,14,Cajun Field - Lafayette Louisiana
123,3,Sep 7 2019,7:30 PM,Sat,(6) Louisiana State,45,@,(9) Texas,38,Darrell K Royal-Texas Memorial Stadium - Austin Texas
124,3,Sep 7 2019,3:30 PM,Sat,Louisiana Tech,20,,Grambling State,14,Joe Aillet Stadium - Ruston Louisiana
125,3,Sep 7 2019,7:00 PM,Sat,Louisville,42,,Eastern Kentucky,0,Cardinal Stadium - Louisville Kentucky
126,3,Sep 7 2019,12:00 PM,Sat,Maryland,63,,(21) Syracuse,20,Capital One Field at Maryland Stadium - College Park Maryland
127,3,Sep 7 2019,12:00 PM,Sat,Memphis,55,,Southern,24,Liberty Bowl Memorial Stadium - Memphis Tennessee
128,3,Sep 7 2019,2:30 PM,Sat,Miami (OH),48,,Tennessee Tech,17,Fred Yager Stadium - Oxford Ohio
129,3,Sep 7 2019,12:00 PM,Sat,(7) Michigan,24,,Army,21,Michigan Stadium - Ann Arbor Michigan
130,3,Sep 7 2019,7:30 PM,Sat,(19) Michigan State,51,,Western Michigan,17,Spartan Stadium - East Lansing Michigan
131,3,Sep 7 2019,7:00 PM,Sat,Middle Tennessee State,45,,Tennessee State,26,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
132,3,Sep 7 2019,10:30 PM,Sat,Minnesota,38,@,Fresno State,35,Bulldog Stadium - Fresno California
133,3,Sep 7 2019,7:30 PM,Sat,Mississippi,31,,Arkansas,17,Vaught-Hemingway Stadium - Oxford Mississippi
134,3,Sep 7 2019,3:30 PM,Sat,Mississippi State,38,,Southern Mississippi,15,Davis Wade Stadium - Starkville Mississippi
135,3,Sep 7 2019,12:00 PM,Sat,Missouri,38,,West Virginia,7,Faurot Field at Memorial Stadium - Columbia Missouri
136,3,Sep 7 2019,8:00 PM,Sat,North Carolina,28,,Miami (FL),25,Kenan Memorial Stadium - Chapel Hill North Carolina
137,3,Sep 7 2019,12:30 PM,Sat,North Carolina State,41,,Western Carolina,0,Carter-Finley Stadium - Raleigh North Carolina
138,3,Sep 7 2019,12:00 PM,Sat,(5) Ohio State,42,,Cincinnati,0,Ohio Stadium - Columbus Ohio
139,3,Sep 7 2019,7:00 PM,Sat,(4) Oklahoma,70,,South Dakota,14,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
140,3,Sep 7 2019,7:00 PM,Sat,Oklahoma State,56,,McNeese State,14,Boone Pickens Stadium - Stillwater Oklahoma
141,3,Sep 7 2019,7:30 PM,Sat,(16) Oregon,77,,Nevada,6,Autzen Stadium - Eugene Oregon
142,3,Sep 7 2019,7:30 PM,Sat,(15) Penn State,45,,Buffalo,13,Beaver Stadium - University Park Pennsylvania
143,3,Sep 7 2019,11:00 AM,Sat,Pittsburgh,20,,Ohio,10,Heinz Field - Pittsburgh Pennsylvania
144,3,Sep 7 2019,12:00 PM,Sat,Purdue,42,,Vanderbilt,24,Ross-Ade Stadium - West Lafayette Indiana
145,3,Sep 7 2019,4:15 PM,Sat,San Diego State,23,@,UCLA,14,Rose Bowl - Pasadena California
146,3,Sep 7 2019,7:00 PM,Sat,South Alabama,37,,Jackson State,14,Ladd-Peebles Stadium - Mobile Alabama
147,3,Sep 7 2019,12:00 PM,Sat,South Carolina,72,,Charleston Southern,10,Williams-Brice Stadium - Columbia South Carolina
148,3,Sep 7 2019,10:30 PM,Sat,Southern California,45,,(23) Stanford,20,Los Angeles Memorial Coliseum - Los Angeles California
149,3,Sep 7 2019,3:30 PM,Sat,Southern Illinois,45,@,Massachusetts,20,Warren McGuirk Alumni Stadium - Amherst Massachusetts
150,3,Sep 7 2019,7:00 PM,Sat,Southern Methodist,49,,North Texas,27,Gerald J. Ford Stadium - Dallas Texas
151,3,Sep 7 2019,8:00 PM,Sat,Texas Tech,38,,Texas-El Paso,3,Jones AT&T Stadium - Lubbock Texas
152,3,Sep 7 2019,9:00 PM,Sat,Tulsa,34,@,San Jose State,16,CEFCU Stadium - San Jose California
153,3,Sep 7 2019,1:00 PM,Sat,(13) Utah,35,,Northern Illinois,17,Rice-Eccles Stadium - Salt Lake City Utah
154,3,Sep 7 2019,7:30 PM,Sat,Utah State,62,,Stony Brook,7,Merlin Olsen Field at Maverik Stadium - Logan Utah
155,3,Sep 7 2019,12:00 PM,Sat,Virginia Tech,31,,Old Dominion,17,Lane Stadium - Blacksburg Virginia
156,3,Sep 7 2019,5:00 PM,Sat,(22) Washington State,59,,Northern Colorado,17,Martin Stadium - Pullman Washington
157,3,Sep 7 2019,7:00 PM,Sat,Western Kentucky,20,@,Florida International,14,Riccardo Silva Stadium - Miami Florida
158,3,Sep 7 2019,3:30 PM,Sat,(17) Wisconsin,61,,Central Michigan,0,Camp Randall Stadium - Madison Wisconsin
159,3,Sep 7 2019,7:00 PM,Sat,Wyoming,23,@,Texas State,14,Bobcat Stadium - San Marcos Texas
160,4,Sep 13 2019,7:30 PM,Fri,Kansas,48,@,Boston College,24,Alumni Stadium - Chestnut Hill Massachusetts
161,4,Sep 13 2019,6:00 PM,Fri,Wake Forest,24,,North Carolina,18,BB&T Field - Winston-Salem North Carolina
162,4,Sep 13 2019,9:15 PM,Fri,(20) Washington State,31,N,Houston,24,NRG Stadium - Houston Texas
163,4,Sep 14 2019,1:00 PM,Sat,Air Force,30,@,Colorado,23,Folsom Field - Boulder Colorado
164,4,Sep 14 2019,3:30 PM,Sat,(2) Alabama,47,@,South Carolina,23,Williams-Brice Stadium - Columbia South Carolina
165,4,Sep 14 2019,10:30 PM,Sat,Arizona,28,,Texas Tech,14,Arizona Stadium - Tucson Arizona
166,4,Sep 14 2019,4:00 PM,Sat,Arizona State,10,@,(18) Michigan State,7,Spartan Stadium - East Lansing Michigan
167,4,Sep 14 2019,4:00 PM,Sat,Arkansas,55,,Colorado State,34,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
168,4,Sep 14 2019,3:30 PM,Sat,Army,31,@,Texas-San Antonio,13,Alamodome - San Antonio Texas
169,4,Sep 14 2019,7:00 PM,Sat,(8) Auburn,55,,Kent State,16,Jordan-Hare Stadium - Auburn Alabama
170,4,Sep 14 2019,10:15 PM,Sat,(22) Boise State,45,,Portland State,10,Albertsons Stadium - Boise Idaho
171,4,Sep 14 2019,3:30 PM,Sat,Brigham Young,30,,(24) Southern California,27,LaVell Edwards Stadium - Provo Utah
172,4,Sep 14 2019,4:15 PM,Sat,California,23,,North Texas,17,California Memorial Stadium - Berkeley California
173,4,Sep 14 2019,3:30 PM,Sat,(17) Central Florida,45,,Stanford,27,Spectrum Stadium - Orlando Florida
174,4,Sep 14 2019,3:00 PM,Sat,Central Michigan,45,,Akron,24,Kelly/Shorts Stadium - Mount Pleasant Michigan
175,4,Sep 14 2019,6:00 PM,Sat,Charlotte,52,,Massachusetts,17,Jerry Richardson Stadium - Charlotte North Carolina
176,4,Sep 14 2019,12:00 PM,Sat,Cincinnati,35,,Miami (OH),13,Nippert Stadium - Cincinnati Ohio
177,4,Sep 14 2019,12:30 PM,Sat,Citadel,27,@,Georgia Tech,24,Bobby Dodd Stadium - Atlanta Georgia
178,4,Sep 14 2019,7:30 PM,Sat,(1) Clemson,41,@,Syracuse,6,Carrier Dome - Syracuse New York
179,4,Sep 14 2019,2:00 PM,Sat,Coastal Carolina,46,,Norfolk State,7,Brooks Stadium - Conway South Carolina
180,4,Sep 14 2019,7:00 PM,Sat,Duke,41,@,Middle Tennessee State,18,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
181,4,Sep 14 2019,12:00 PM,Sat,Eastern Michigan,34,@,Illinois,31,Memorial Stadium - Champaign Illinois
182,4,Sep 14 2019,7:00 PM,Sat,(9) Florida,29,@,Kentucky,21,Kroger Field - Lexington Kentucky
183,4,Sep 14 2019,2:00 PM,Sat,Florida Atlantic,41,@,Ball State,31,Scheumann Stadium - Muncie Indiana
184,4,Sep 14 2019,7:00 PM,Sat,Florida International,30,,New Hampshire,17,Riccardo Silva Stadium - Miami Florida
185,4,Sep 14 2019,12:00 PM,Sat,(3) Georgia,55,,Arkansas State,0,Sanford Stadium - Athens Georgia
186,4,Sep 14 2019,4:00 PM,Sat,(19) Iowa,18,@,Iowa State,17,Jack Trice Stadium - Ames Iowa
187,4,Sep 14 2019,12:00 PM,Sat,Kansas State,31,@,Mississippi State,24,Davis Wade Stadium - Starkville Mississippi
188,4,Sep 14 2019,6:00 PM,Sat,Liberty,35,,Buffalo,17,Williams Stadium - Lynchburg Virginia
189,4,Sep 14 2019,7:30 PM,Sat,Louisiana,77,,Texas Southern,6,Cajun Field - Lafayette Louisiana
190,4,Sep 14 2019,7:30 PM,Sat,(4) Louisiana State,65,,Northwestern State,14,Tiger Stadium - Baton Rouge Louisiana
191,4,Sep 14 2019,5:00 PM,Sat,Louisiana Tech,35,@,Bowling Green,7,Doyt Perry Stadium - Bowling Green Ohio
192,4,Sep 14 2019,4:00 PM,Sat,Louisville,38,N,Western Kentucky,21,Nissan Stadium - Nashville Tennessee
193,4,Sep 14 2019,6:30 PM,Sat,Marshall,33,,Ohio,31,Joan C. Edwards Stadium - Huntington West Virginia
194,4,Sep 14 2019,3:30 PM,Sat,Memphis,42,@,South Alabama,6,Ladd-Peebles Stadium - Mobile Alabama
195,4,Sep 14 2019,4:00 PM,Sat,Miami (FL),63,,Bethune-Cookman,0,Hard Rock Stadium - Miami Gardens Florida
196,4,Sep 14 2019,3:30 PM,Sat,Minnesota,35,,Georgia Southern,32,TCF Bank Stadium - Minneapolis Minnesota
197,4,Sep 14 2019,4:00 PM,Sat,Mississippi,40,,Southeastern Louisiana,29,Vaught-Hemingway Stadium - Oxford Mississippi
198,4,Sep 14 2019,7:30 PM,Sat,Missouri,50,,Southeast Missouri State,0,Memorial Stadium/Faurot Field - Columbia Missouri
199,4,Sep 14 2019,3:30 PM,Sat,Navy,42,,East Carolina,10,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
200,4,Sep 14 2019,8:00 PM,Sat,Nebraska,44,,Northern Illinois,8,Memorial Stadium - Lincoln Nebraska
201,4,Sep 14 2019,7:00 PM,Sat,Nevada,19,,Weber State,13,MacKay Stadium - Reno Nevada
202,4,Sep 14 2019,3:30 PM,Sat,Northwestern,30,,Nevada-Las Vegas,14,Ryan Field - Evanston Illinois
203,4,Sep 14 2019,2:30 PM,Sat,(7) Notre Dame,66,,New Mexico,14,Notre Dame Stadium - South Bend Indiana
204,4,Sep 14 2019,12:00 PM,Sat,(6) Ohio State,51,@,Indiana,10,Memorial Stadium "The Rock" - Bloomington Indiana
205,4,Sep 14 2019,8:00 PM,Sat,(5) Oklahoma,48,@,UCLA,14,Rose Bowl - Pasadena California
206,4,Sep 14 2019,3:30 PM,Sat,Oklahoma State,40,@,Tulsa,21,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
207,4,Sep 14 2019,,Sat,(15) Oregon,35,,Montana,3,Autzen Stadium - Eugene Oregon
208,4,Sep 14 2019,4:15 PM,Sat,Oregon State,45,,Cal Poly,7,Reser Stadium - Corvallis Oregon
209,4,Sep 14 2019,12:00 PM,Sat,(13) Penn State,17,,Pittsburgh,10,Beaver Stadium - University Park Pennsylvania
210,4,Sep 14 2019,8:00 PM,Sat,San Diego State,31,@,New Mexico State,10,Aggie Memorial Stadium - Las Cruces New Mexico
211,4,Sep 14 2019,6:00 PM,Sat,South Florida,55,,South Carolina State,16,Raymond James Stadium - Tampa Florida
212,4,Sep 14 2019,7:00 PM,Sat,Southern Methodist,47,,Texas State,17,Gerald J. Ford Stadium - Dallas Texas
213,4,Sep 14 2019,6:00 PM,Sat,Southern Mississippi,47,@,Troy,42,Veterans Memorial Stadium - Troy Alabama
214,4,Sep 14 2019,12:00 PM,Sat,Temple,20,,(21) Maryland,17,Lincoln Financial Field - Philadelphia Pennsylvania
215,4,Sep 14 2019,12:00 PM,Sat,Tennessee,45,,Chattanooga,0,Neyland Stadium - Knoxville Tennessee
216,4,Sep 14 2019,8:00 PM,Sat,(12) Texas,48,N,Rice,13,NRG Stadium - Houston Texas
217,4,Sep 14 2019,7:00 PM,Sat,(16) Texas A&M,62,,Lamar,3,Kyle Field - College Station Texas
