Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2010-09-02,2010,R,,ball-state,southeast-missouri-state,H,27,10,0,,
2010-09-02,2010,R,,southeast-missouri-state,ball-state,A,10,27,0,,
2010-09-02,2010,R,,buffalo,rhode-island,H,31,0,0,,
2010-09-02,2010,R,,rhode-island,buffalo,A,0,31,0,,
2010-09-02,2010,R,,central-michigan,hampton,H,33,0,0,,
2010-09-02,2010,R,,hampton,central-michigan,A,0,33,0,,
2010-09-02,2010,R,,florida-atlantic,alabama-birmingham,A,32,31,0,,
2010-09-02,2010,R,,alabama-birmingham,florida-atlantic,H,31,32,0,,
2010-09-02,2010,R,,idaho,north-dakota,H,45,0,0,,
2010-09-02,2010,R,,north-dakota,idaho,A,0,45,0,,
2010-09-02,2010,R,,indiana,towson,H,51,17,0,,
2010-09-02,2010,R,,towson,indiana,A,17,51,0,,
2010-09-02,2010,R,,iowa-state,northern-illinois,H,27,10,0,,
2010-09-02,2010,R,,northern-illinois,iowa-state,A,10,27,0,,
2010-09-02,2010,R,,kent-state,murray-state,H,41,10,0,,
2010-09-02,2010,R,,murray-state,kent-state,A,10,41,0,,
2010-09-02,2010,R,,miami-fl,florida-a-m,H,45,0,0,13.0,
2010-09-02,2010,R,,florida-a-m,miami-fl,A,0,45,0,,13.0
2010-09-02,2010,R,,minnesota,middle-tennessee-state,A,24,17,0,,
2010-09-02,2010,R,,middle-tennessee-state,minnesota,H,17,24,0,,
2010-09-02,2010,R,,nevada,eastern-washington,H,49,24,0,,
2010-09-02,2010,R,,eastern-washington,nevada,A,24,49,0,,
2010-09-02,2010,R,,ohio-state,marshall,H,45,7,0,2.0,
2010-09-02,2010,R,,marshall,ohio-state,A,7,45,0,,2.0
2010-09-02,2010,R,,rutgers,norfolk-state,H,31,0,0,,
2010-09-02,2010,R,,norfolk-state,rutgers,A,0,31,0,,
2010-09-02,2010,R,,south-carolina,southern-mississippi,H,41,13,0,,
2010-09-02,2010,R,,southern-mississippi,south-carolina,A,13,41,0,,
2010-09-02,2010,R,,southern-california,hawaii,A,49,36,0,14.0,
2010-09-02,2010,R,,hawaii,southern-california,H,36,49,0,,14.0
2010-09-02,2010,R,,tulane,southeastern-louisiana,H,27,21,0,,
2010-09-02,2010,R,,southeastern-louisiana,tulane,A,21,27,0,,
2010-09-02,2010,R,,utah,pittsburgh,H,27,24,0,,15.0
2010-09-02,2010,R,,pittsburgh,utah,A,24,27,0,15.0,
2010-09-02,2010,R,,wake-forest,presbyterian,H,53,13,0,,
2010-09-02,2010,R,,presbyterian,wake-forest,A,13,53,0,,
2010-09-03,2010,R,,arizona,toledo,A,41,2,0,,
2010-09-03,2010,R,,toledo,arizona,H,2,41,0,,
2010-09-03,2010,R,,temple,villanova,H,31,24,0,,
2010-09-03,2010,R,,villanova,temple,A,24,31,0,,
2010-09-04,2010,R,,air-force,northwestern-state,H,65,21,0,,
2010-09-04,2010,R,,northwestern-state,air-force,A,21,65,0,,
2010-09-04,2010,R,,alabama,san-jose-state,H,48,3,0,1.0,
2010-09-04,2010,R,,san-jose-state,alabama,A,3,48,0,,1.0
2010-09-04,2010,R,,arizona-state,portland-state,H,54,9,0,,
2010-09-04,2010,R,,portland-state,arizona-state,A,9,54,0,,
2010-09-04,2010,R,,arkansas,tennessee-tech,H,44,3,0,17.0,
2010-09-04,2010,R,,tennessee-tech,arkansas,A,3,44,0,,17.0
2010-09-04,2010,R,,army,eastern-michigan,A,31,27,0,,
2010-09-04,2010,R,,eastern-michigan,army,H,27,31,0,,
2010-09-04,2010,R,,auburn,arkansas-state,H,52,26,0,22.0,
2010-09-04,2010,R,,arkansas-state,auburn,A,26,52,0,,22.0
2010-09-04,2010,R,,baylor,sam-houston,H,34,3,0,,
2010-09-04,2010,R,,sam-houston,baylor,A,3,34,0,,
2010-09-04,2010,R,,boston-college,weber-state,H,38,20,0,,
2010-09-04,2010,R,,weber-state,boston-college,A,20,38,0,,
2010-09-04,2010,R,,brigham-young,washington,H,23,17,0,,
2010-09-04,2010,R,,washington,brigham-young,A,17,23,0,,
2010-09-04,2010,R,,california,california-davis,H,52,3,0,,
2010-09-04,2010,R,,california-davis,california,A,3,52,0,,
2010-09-04,2010,R,,central-florida,south-dakota,H,38,7,0,,
2010-09-04,2010,R,,south-dakota,central-florida,A,7,38,0,,
2010-09-04,2010,R,,clemson,north-texas,H,35,10,0,,
2010-09-04,2010,R,,north-texas,clemson,A,10,35,0,,
2010-09-04,2010,R,,colorado,colorado-state,N,24,3,0,,
2010-09-04,2010,R,,colorado-state,colorado,N,3,24,0,,
2010-09-04,2010,R,,colorado,colorado-state,N,24,3,0,,
2010-09-04,2010,R,,colorado-state,colorado,N,3,24,0,,
2010-09-04,2010,R,,duke,elon,H,41,27,0,,
2010-09-04,2010,R,,elon,duke,A,27,41,0,,
2010-09-04,2010,R,,florida,miami-oh,H,34,12,0,4.0,
2010-09-04,2010,R,,miami-oh,florida,A,12,34,0,,4.0
2010-09-04,2010,R,,florida-state,samford,H,59,6,0,20.0,
2010-09-04,2010,R,,samford,florida-state,A,6,59,0,,20.0
2010-09-04,2010,R,,fresno-state,cincinnati,H,28,14,0,,
2010-09-04,2010,R,,cincinnati,fresno-state,A,14,28,0,,
2010-09-04,2010,R,,georgia,louisiana,H,55,7,0,23.0,
2010-09-04,2010,R,,louisiana,georgia,A,7,55,0,,23.0
2010-09-04,2010,R,,georgia-tech,south-carolina-state,H,41,10,0,16.0,
2010-09-04,2010,R,,south-carolina-state,georgia-tech,A,10,41,0,,16.0
2010-09-04,2010,R,,houston,texas-state,H,68,28,0,,
2010-09-04,2010,R,,texas-state,houston,A,28,68,0,,
2010-09-04,2010,R,,iowa,eastern-illinois,H,37,7,0,9.0,
2010-09-04,2010,R,,eastern-illinois,iowa,A,7,37,0,,9.0
2010-09-04,2010,R,,jacksonville-state,mississippi,A,49,48,0,,
2010-09-04,2010,R,,mississippi,jacksonville-state,H,48,49,0,,
2010-09-04,2010,R,,kansas-state,ucla,H,31,22,0,,
2010-09-04,2010,R,,ucla,kansas-state,A,22,31,0,,
2010-09-04,2010,R,,kentucky,louisville,A,23,16,0,,
2010-09-04,2010,R,,louisville,kentucky,H,16,23,0,,
2010-09-04,2010,R,,louisiana-state,north-carolina,N,30,24,0,21.0,18.0
2010-09-04,2010,R,,north-carolina,louisiana-state,N,24,30,0,18.0,21.0
2010-09-04,2010,R,,louisiana-tech,grambling-state,H,20,6,0,,
2010-09-04,2010,R,,grambling-state,louisiana-tech,A,6,20,0,,
2010-09-04,2010,R,,michigan,connecticut,H,30,10,0,,
2010-09-04,2010,R,,connecticut,michigan,A,10,30,0,,
2010-09-04,2010,R,,michigan-state,western-michigan,H,38,14,0,,
2010-09-04,2010,R,,western-michigan,michigan-state,A,14,38,0,,
2010-09-04,2010,R,,mississippi-state,memphis,H,49,7,0,,
2010-09-04,2010,R,,memphis,mississippi-state,A,7,49,0,,
2010-09-04,2010,R,,missouri,illinois,N,23,13,0,,
2010-09-04,2010,R,,illinois,missouri,N,13,23,0,,
2010-09-04,2010,R,,nebraska,western-kentucky,H,49,10,0,8.0,
2010-09-04,2010,R,,western-kentucky,nebraska,A,10,49,0,,8.0
2010-09-04,2010,R,,north-carolina-state,western-carolina,H,48,7,0,,
2010-09-04,2010,R,,western-carolina,north-carolina-state,A,7,48,0,,
2010-09-04,2010,R,,north-dakota-state,kansas,A,6,3,0,,
2010-09-04,2010,R,,kansas,north-dakota-state,H,3,6,0,,
2010-09-04,2010,R,,northwestern,vanderbilt,A,23,21,0,,
2010-09-04,2010,R,,vanderbilt,northwestern,H,21,23,0,,
2010-09-04,2010,R,,notre-dame,purdue,H,23,12,0,,
2010-09-04,2010,R,,purdue,notre-dame,A,12,23,0,,
2010-09-04,2010,R,,ohio,wofford,H,33,10,0,,
2010-09-04,2010,R,,wofford,ohio,A,10,33,0,,
2010-09-04,2010,R,,oklahoma,utah-state,H,31,24,0,7.0,
2010-09-04,2010,R,,utah-state,oklahoma,A,24,31,0,,7.0
2010-09-04,2010,R,,oklahoma-state,washington-state,H,65,17,0,,
2010-09-04,2010,R,,washington-state,oklahoma-state,A,17,65,0,,
2010-09-04,2010,R,,oregon,new-mexico,H,72,0,0,11.0,
2010-09-04,2010,R,,new-mexico,oregon,A,0,72,0,,11.0
2010-09-04,2010,R,,penn-state,youngstown-state,H,44,14,0,19.0,
2010-09-04,2010,R,,youngstown-state,penn-state,A,14,44,0,,19.0
2010-09-04,2010,R,,san-diego-state,nicholls-state,H,47,0,0,,
2010-09-04,2010,R,,nicholls-state,san-diego-state,A,0,47,0,,
2010-09-04,2010,R,,south-florida,stony-brook,H,59,14,0,,
2010-09-04,2010,R,,stony-brook,south-florida,A,14,59,0,,
2010-09-04,2010,R,,stanford,sacramento-state,H,52,17,0,,
2010-09-04,2010,R,,sacramento-state,stanford,A,17,52,0,,
2010-09-04,2010,R,,syracuse,akron,A,29,3,0,,
2010-09-04,2010,R,,akron,syracuse,H,3,29,0,,
2010-09-04,2010,R,,tennessee,tennessee-martin,H,50,0,0,,
2010-09-04,2010,R,,tennessee-martin,tennessee,A,0,50,0,,
2010-09-04,2010,R,,texas,rice,A,34,17,0,5.0,
2010-09-04,2010,R,,rice,texas,H,17,34,0,,5.0
2010-09-04,2010,R,,texas-a-m,stephen-f-austin,H,48,7,0,,
2010-09-04,2010,R,,stephen-f-austin,texas-a-m,A,7,48,0,,
2010-09-04,2010,R,,texas-christian,oregon-state,H,30,21,0,6.0,24.0
