Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2006-08-31,2006,R,,arizona-state,northern-arizona,H,35,14,0,24.0,
2006-08-31,2006,R,,northern-arizona,arizona-state,A,14,35,0,,24.0
2006-08-31,2006,R,,ball-state,eastern-michigan,H,38,20,0,,
2006-08-31,2006,R,,eastern-michigan,ball-state,A,20,38,0,,
2006-08-31,2006,R,,boise-state,sacramento-state,H,45,0,0,,
2006-08-31,2006,R,,sacramento-state,boise-state,A,0,45,0,,
2006-08-31,2006,R,,boston-college,central-michigan,A,31,24,0,,
2006-08-31,2006,R,,central-michigan,boston-college,H,24,31,0,,
2006-08-31,2006,R,,buffalo,temple,H,9,3,0,,
2006-08-31,2006,R,,temple,buffalo,A,3,9,0,,
2006-08-31,2006,R,,connecticut,rhode-island,H,52,7,0,,
2006-08-31,2006,R,,rhode-island,connecticut,A,7,52,0,,
2006-08-31,2006,R,,iowa-state,toledo,H,45,43,0,,
2006-08-31,2006,R,,toledo,iowa-state,A,43,45,0,,
2006-08-31,2006,R,,louisiana-monroe,alcorn-state,H,24,6,0,,
2006-08-31,2006,R,,alcorn-state,louisiana-monroe,A,6,24,0,,
2006-08-31,2006,R,,middle-tennessee-state,florida-international,H,7,6,0,,
2006-08-31,2006,R,,florida-international,middle-tennessee-state,A,6,7,0,,
2006-08-31,2006,R,,minnesota,kent-state,A,44,0,0,,
2006-08-31,2006,R,,kent-state,minnesota,H,0,44,0,,
2006-08-31,2006,R,,new-mexico-state,southeastern-louisiana,H,30,15,0,,
2006-08-31,2006,R,,southeastern-louisiana,new-mexico-state,A,15,30,0,,
2006-08-31,2006,R,,northwestern,miami-oh,A,21,3,0,,
2006-08-31,2006,R,,miami-oh,northwestern,H,3,21,0,,
2006-08-31,2006,R,,oregon-state,eastern-washington,H,56,17,0,,
2006-08-31,2006,R,,eastern-washington,oregon-state,A,17,56,0,,
2006-08-31,2006,R,,south-carolina,mississippi-state,A,15,0,0,,
2006-08-31,2006,R,,mississippi-state,south-carolina,H,0,15,0,,
2006-08-31,2006,R,,texas-el-paso,san-diego-state,A,34,27,0,,
2006-08-31,2006,R,,san-diego-state,texas-el-paso,H,27,34,0,,
2006-08-31,2006,R,,tulsa,stephen-f-austin,H,45,7,0,,
2006-08-31,2006,R,,stephen-f-austin,tulsa,A,7,45,0,,
2006-09-01,2006,R,,fresno-state,nevada,H,28,19,0,,
2006-09-01,2006,R,,nevada,fresno-state,A,19,28,0,,
2006-09-02,2006,R,,alabama,hawaii,H,25,17,0,,
2006-09-02,2006,R,,hawaii,alabama,A,17,25,0,,
2006-09-02,2006,R,,arizona,brigham-young,H,16,13,0,,
2006-09-02,2006,R,,brigham-young,arizona,A,13,16,0,,
2006-09-02,2006,R,,arkansas-state,army,H,14,6,0,,
2006-09-02,2006,R,,army,arkansas-state,A,6,14,0,,
2006-09-02,2006,R,,auburn,washington-state,H,40,14,0,4.0,
2006-09-02,2006,R,,washington-state,auburn,A,14,40,0,,4.0
2006-09-02,2006,R,,central-florida,villanova,H,35,16,0,,
2006-09-02,2006,R,,villanova,central-florida,A,16,35,0,,
2006-09-02,2006,R,,cincinnati,eastern-kentucky,H,31,0,0,,
2006-09-02,2006,R,,eastern-kentucky,cincinnati,A,0,31,0,,
2006-09-02,2006,R,,clemson,florida-atlantic,H,54,6,0,18.0,
2006-09-02,2006,R,,florida-atlantic,clemson,A,6,54,0,,18.0
2006-09-02,2006,R,,colorado-state,weber-state,H,30,6,0,,
2006-09-02,2006,R,,weber-state,colorado-state,A,6,30,0,,
2006-09-02,2006,R,,florida,southern-mississippi,H,34,7,0,7.0,
2006-09-02,2006,R,,southern-mississippi,florida,A,7,34,0,,7.0
2006-09-02,2006,R,,georgia,western-kentucky,H,48,12,0,15.0,
2006-09-02,2006,R,,western-kentucky,georgia,A,12,48,0,,15.0
2006-09-02,2006,R,,houston,rice,A,31,30,0,,
2006-09-02,2006,R,,rice,houston,H,30,31,0,,
2006-09-02,2006,R,,illinois,eastern-illinois,H,42,17,0,,
2006-09-02,2006,R,,eastern-illinois,illinois,A,17,42,0,,
2006-09-02,2006,R,,indiana,western-michigan,H,39,20,0,,
2006-09-02,2006,R,,western-michigan,indiana,A,20,39,0,,
2006-09-02,2006,R,,iowa,montana,H,41,7,0,16.0,
2006-09-02,2006,R,,montana,iowa,A,7,41,0,,16.0
2006-09-02,2006,R,,kansas,northwestern-state,H,49,18,0,,
2006-09-02,2006,R,,northwestern-state,kansas,A,18,49,0,,
2006-09-02,2006,R,,kansas-state,illinois-state,H,24,23,0,,
2006-09-02,2006,R,,illinois-state,kansas-state,A,23,24,0,,
2006-09-02,2006,R,,louisiana-state,louisiana,H,45,3,0,8.0,
2006-09-02,2006,R,,louisiana,louisiana-state,A,3,45,0,,8.0
2006-09-02,2006,R,,maryland,william-mary,H,27,14,0,,
2006-09-02,2006,R,,william-mary,maryland,A,14,27,0,,
2006-09-02,2006,R,,michigan,vanderbilt,H,27,7,0,14.0,
2006-09-02,2006,R,,vanderbilt,michigan,A,7,27,0,,14.0
2006-09-02,2006,R,,michigan-state,idaho,H,27,17,0,,
2006-09-02,2006,R,,idaho,michigan-state,A,17,27,0,,
2006-09-02,2006,R,,missouri,murray-state,H,47,7,0,,
2006-09-02,2006,R,,murray-state,missouri,A,7,47,0,,
2006-09-02,2006,R,,montana-state,colorado,A,19,10,0,,
2006-09-02,2006,R,,colorado,montana-state,H,10,19,0,,
2006-09-02,2006,R,,navy,east-carolina,H,28,23,0,,
2006-09-02,2006,R,,east-carolina,navy,A,23,28,0,,
2006-09-02,2006,R,,nebraska,louisiana-tech,H,49,10,0,20.0,
2006-09-02,2006,R,,louisiana-tech,nebraska,A,10,49,0,,20.0
2006-09-02,2006,R,,nevada-las-vegas,idaho-state,H,54,10,0,,
2006-09-02,2006,R,,idaho-state,nevada-las-vegas,A,10,54,0,,
2006-09-02,2006,R,,north-carolina-state,appalachian-state,H,23,10,0,,
2006-09-02,2006,R,,appalachian-state,north-carolina-state,A,10,23,0,,
2006-09-02,2006,R,,notre-dame,georgia-tech,A,14,10,0,2.0,
2006-09-02,2006,R,,georgia-tech,notre-dame,H,10,14,0,,2.0
2006-09-02,2006,R,,ohio,tennessee-martin,H,29,3,0,,
2006-09-02,2006,R,,tennessee-martin,ohio,A,3,29,0,,
2006-09-02,2006,R,,ohio-state,northern-illinois,H,35,12,0,1.0,
2006-09-02,2006,R,,northern-illinois,ohio-state,A,12,35,0,,1.0
2006-09-02,2006,R,,oklahoma,alabama-birmingham,H,24,17,0,10.0,
2006-09-02,2006,R,,alabama-birmingham,oklahoma,A,17,24,0,,10.0
2006-09-02,2006,R,,oklahoma-state,missouri-state,H,52,10,0,,
2006-09-02,2006,R,,missouri-state,oklahoma-state,A,10,52,0,,
2006-09-02,2006,R,,oregon,stanford,H,48,10,0,21.0,
2006-09-02,2006,R,,stanford,oregon,A,10,48,0,,21.0
2006-09-02,2006,R,,penn-state,akron,H,34,16,0,19.0,
2006-09-02,2006,R,,akron,penn-state,A,16,34,0,,19.0
2006-09-02,2006,R,,pittsburgh,virginia,H,38,13,0,,
2006-09-02,2006,R,,virginia,pittsburgh,A,13,38,0,,
2006-09-02,2006,R,,portland-state,new-mexico,A,17,6,0,,
2006-09-02,2006,R,,new-mexico,portland-state,H,6,17,0,,
2006-09-02,2006,R,,purdue,indiana-state,H,60,35,0,,
2006-09-02,2006,R,,indiana-state,purdue,A,35,60,0,,
2006-09-02,2006,R,,richmond,duke,A,13,0,0,,
2006-09-02,2006,R,,duke,richmond,H,0,13,0,,
2006-09-02,2006,R,,rutgers,north-carolina,A,21,16,0,,
2006-09-02,2006,R,,north-carolina,rutgers,H,16,21,0,,
2006-09-02,2006,R,,south-florida,mcneese-state,H,41,10,0,,
2006-09-02,2006,R,,mcneese-state,south-florida,A,10,41,0,,
2006-09-02,2006,R,,southern-california,arkansas,A,50,14,0,6.0,
2006-09-02,2006,R,,arkansas,southern-california,H,14,50,0,,6.0
2006-09-02,2006,R,,tennessee,california,H,35,18,0,23.0,9.0
2006-09-02,2006,R,,california,tennessee,A,18,35,0,9.0,23.0
2006-09-02,2006,R,,texas,north-texas,H,56,7,0,3.0,
2006-09-02,2006,R,,north-texas,texas,A,7,56,0,,3.0
2006-09-02,2006,R,,texas-a-m,citadel,H,35,3,0,,
2006-09-02,2006,R,,citadel,texas-a-m,A,3,35,0,,
2006-09-02,2006,R,,texas-tech,southern-methodist,H,35,3,0,25.0,
2006-09-02,2006,R,,southern-methodist,texas-tech,A,3,35,0,,25.0
2006-09-02,2006,R,,troy,alabama-state,H,38,0,0,,
2006-09-02,2006,R,,alabama-state,troy,A,0,38,0,,
2006-09-02,2006,R,,ucla,utah,H,31,10,0,,
2006-09-02,2006,R,,utah,ucla,A,10,31,0,,
2006-09-02,2006,R,,virginia-tech,northeastern,H,38,0,0,17.0,
2006-09-02,2006,R,,northeastern,virginia-tech,A,0,38,0,,17.0
2006-09-02,2006,R,,wake-forest,syracuse,H,20,10,0,,
2006-09-02,2006,R,,syracuse,wake-forest,A,10,20,0,,
2006-09-02,2006,R,,washington,san-jose-state,H,35,29,0,,
2006-09-02,2006,R,,san-jose-state,washington,A,29,35,0,,
2006-09-02,2006,R,,west-virginia,marshall,H,42,10,0,5.0,
