Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2025-08-23,2025,R,,hawaii,stanford,H,23,20,0,,
2025-08-23,2025,R,,stanford,hawaii,A,20,23,0,,
2025-08-23,2025,R,,iowa-state,kansas-state,N,24,21,0,22.0,17.0
2025-08-23,2025,R,,kansas-state,iowa-state,N,21,24,0,17.0,22.0
2025-08-23,2025,R,,kansas,fresno-state,H,31,7,0,,
2025-08-23,2025,R,,fresno-state,kansas,A,7,31,0,,
2025-08-23,2025,R,,nevada-las-vegas,idaho-state,H,38,31,0,,
2025-08-23,2025,R,,idaho-state,nevada-las-vegas,A,31,38,0,,
2025-08-23,2025,R,,western-kentucky,sam-houston,H,41,24,0,,
2025-08-23,2025,R,,sam-houston,western-kentucky,A,24,41,0,,
2025-08-28,2025,R,,alabama-birmingham,alabama-state,H,52,42,0,,
2025-08-28,2025,R,,alabama-state,alabama-birmingham,A,42,52,0,,
2025-08-28,2025,R,,bowling-green,lafayette,H,26,7,0,,
2025-08-28,2025,R,,lafayette,bowling-green,A,7,26,0,,
2025-08-28,2025,R,,central-florida,jacksonville-state,H,17,10,0,,
2025-08-28,2025,R,,jacksonville-state,central-florida,A,10,17,0,,
2025-08-28,2025,R,,delaware,delaware-state,H,35,17,0,,
2025-08-28,2025,R,,delaware-state,delaware,A,17,35,0,,
2025-08-28,2025,R,,duke,elon,H,45,17,0,,
2025-08-28,2025,R,,elon,duke,A,17,45,0,,
2025-08-28,2025,R,,houston,stephen-f-austin,H,27,0,0,,
2025-08-28,2025,R,,stephen-f-austin,houston,A,0,27,0,,
2025-08-28,2025,R,,louisiana-monroe,st-francis-pa,H,29,0,0,,
2025-08-28,2025,R,,st-francis-pa,louisiana-monroe,A,0,29,0,,
2025-08-28,2025,R,,minnesota,buffalo,H,23,10,0,,
2025-08-28,2025,R,,buffalo,minnesota,A,10,23,0,,
2025-08-28,2025,R,,missouri,central-arkansas,H,61,6,0,,
2025-08-28,2025,R,,central-arkansas,missouri,A,6,61,0,,
2025-08-28,2025,R,,nebraska,cincinnati,N,20,17,0,,
2025-08-28,2025,R,,cincinnati,nebraska,N,17,20,0,,
2025-08-28,2025,R,,north-carolina-state,east-carolina,H,24,17,0,,
2025-08-28,2025,R,,east-carolina,north-carolina-state,A,17,24,0,,
2025-08-28,2025,R,,oklahoma-state,tennessee-martin,H,27,7,0,,
2025-08-28,2025,R,,tennessee-martin,oklahoma-state,A,7,27,0,,
2025-08-28,2025,R,,rutgers,ohio,H,34,31,0,,
2025-08-28,2025,R,,ohio,rutgers,A,31,34,0,,
2025-08-28,2025,R,,san-diego-state,stony-brook,H,42,0,0,,
2025-08-28,2025,R,,stony-brook,san-diego-state,A,0,42,0,,
2025-08-28,2025,R,,south-florida,boise-state,H,34,7,0,,25.0
2025-08-28,2025,R,,boise-state,south-florida,A,7,34,0,25.0,
2025-08-28,2025,R,,wisconsin,miami-oh,H,17,0,0,,
2025-08-28,2025,R,,miami-oh,wisconsin,A,0,17,0,,
2025-08-28,2025,R,,wyoming,akron,A,10,0,0,,
2025-08-28,2025,R,,akron,wyoming,H,0,10,0,,
2025-08-29,2025,R,,appalachian-state,charlotte,A,34,11,0,,
2025-08-29,2025,R,,charlotte,appalachian-state,H,11,34,0,,
2025-08-29,2025,R,,auburn,baylor,A,38,24,0,,
2025-08-29,2025,R,,baylor,auburn,H,24,38,0,,
2025-08-29,2025,R,,central-michigan,san-jose-state,A,16,14,0,,
2025-08-29,2025,R,,san-jose-state,central-michigan,H,14,16,0,,
2025-08-29,2025,R,,florida-international,bethune-cookman,H,42,9,0,,
2025-08-29,2025,R,,bethune-cookman,florida-international,A,9,42,0,,
2025-08-29,2025,R,,georgia-tech,colorado,A,27,20,0,,
2025-08-29,2025,R,,colorado,georgia-tech,H,20,27,0,,
2025-08-29,2025,R,,illinois,western-illinois,H,52,3,0,12.0,
2025-08-29,2025,R,,western-illinois,illinois,A,3,52,0,,12.0
2025-08-29,2025,R,,kansas,wagner,H,46,7,0,,
2025-08-29,2025,R,,wagner,kansas,A,7,46,0,,
2025-08-29,2025,R,,michigan-state,western-michigan,H,23,6,0,,
2025-08-29,2025,R,,western-michigan,michigan-state,A,6,23,0,,
2025-08-29,2025,R,,nevada-las-vegas,sam-houston,A,38,21,0,,
2025-08-29,2025,R,,sam-houston,nevada-las-vegas,H,21,38,0,,
2025-08-29,2025,R,,tarleton-state,army,A,30,27,0,,
2025-08-29,2025,R,,army,tarleton-state,H,27,30,0,,
2025-08-29,2025,R,,wake-forest,kennesaw-state,H,10,9,0,,
2025-08-29,2025,R,,kennesaw-state,wake-forest,A,9,10,0,,
2025-08-30,2025,R,,air-force,bucknell,H,49,13,0,,
2025-08-30,2025,R,,bucknell,air-force,A,13,49,0,,
